page,1
ಆಕ(ಗ)ಳಿಕೆ,"ನಿದ್ರೆ, ಆಲಸ್ಯ, ಅಸ್ವಸ್ಥತೆ, ಬೇಸರ ಮುಂತಾದುವುಗಳಿಂದ `ಆ’ ಎಂದು ಅಗಲವಾಗಿ ಬಾಯಿ ತೆರೆದು ಮತ್ತೆ ಮುಚ್ಚಿ ಕೊಳ್ಳುವ ಅನಿಚ್ಛಾಪೂರ್ವಕವಾದ ಒಂದು ಬಗೆಯ ದೈಹಿಕಕ್ರಿಯೆ."
ಆಕಂಠಪೂರ್ತಿ,ಗಂಟಲಿನವರೆಗೂ ತುಂಬುವಷ್ಟು.
ಆಕಂಪಿಸು,ನಡುಗು.
ಆಕರ,"1. ಬಾಯಾರಿಕೆ.
 2. ಉತ್ಪತ್ತಿ ಸ್ಥಾನ.
 3. ಗುಂಪು.
 4. ಗಣಿ.
 5. ಹಳ್ಳಿ.
 6. ಅವಕಾಶ.
 7. (ಗ್ರಂಥ, ವಿಷಯ, ಪಾಠ ಮೊದಲಾದುವುಗಳಿಗೆ) ಮೂಲಸಾಮಗ್ರಿ.
 8. ಒಂದು ಬಗೆಯ ತೆರಿಗೆ.
 9. ಮರ ಅಥವಾ ಲೋಹದಲ್ಲಿ ರಂಧ್ರವನ್ನು ಕೊರೆಯುವ ಸಾಧನ."
ಆಕರಗ್ರಂಥ,ಆಧಾರವಾದ ಗ್ರಂಥ.
ಆಕರಣೆ,"1. ಕರೆಯುವುದು.
 2. ಕಂದಾಯದ ನಿಗದಿಗಾಗಿ ಆಸ್ತಿಯ ಬೆಲೆ ಕಟ್ಟುವುದು.
 3. ತೊಂದರೆ."
ಆಕರಿಸು,"1. ಅಂಗೀಕರಿಸು.
 2. ಬರಮಾಡಿಕೊಳ್ಳು.
 3. ಶೇಖರಿಸು.
 4. ಹೆದರು.
 5. ನಿಗ್ರಹಿಸು.
 6. ಆಕಾರವನ್ನು ತಾಳು,- ಧರಿಸು.
 7. ಆಸೆಪಡು."
ಆಕರ್ಣನ,ಕಿವಿಯಿಂದ ಕೇಳುವುದು.
ಆಕರ್ಣಿಸು,ಕಿವಿಯಿಂದ ಕೇಳು.
ಆಕರ್ಷ,"1. ತನ್ನ ಕಡೆಗೆ ಸೆಳೆಯುವುದು,- ಎಳೆಯುವುದು.
 2. ಬಿಲ್ಲಿಗೆ ಬಾಣವನ್ನು ಹೂಡಿ ಪ್ರಯೋಗಕ್ಕಾಗಿ ಸೆಳೆಯುವುದು.
 3. ಬಿಲ್ಲು.
 4. ಮನಸ್ಸು ಪರವಶವಾಗುವುದು,- ಮೋಹಗೊಳ್ಳುವುದು.
 5. ಪಗಡೆಯಾಡುವುದು.
 6. ಪಗಡೆಯ ದಾಳ.
 7. ಪಗಡೆಯ ಹಾಸು.
 8. ಪಗಡೆ ಅಥವಾ ಚದುರಂಗದ ಕಾಯಿ."
ಆಕರ್ಷಕ,"1. (ಮನಸ್ಸನ್ನು) ಸೆಳೆಯುವಂತಹುದು.
 2. ಸೂಜಿಗಲ್ಲು."
