page,1
ಇ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂರನೆಯ ವರ್ಣ.
 2. ಕಾಮನ ಒಂದು ಹೆಸರು.
 3. ನೂರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಇಂಕು,ಶಾಯಿ.
ಇಂಕೆ,ಇಂಗುವಿಕೆ.
ಇಕ್ಕರಿಸು,"1. ಎರಡು ಕಡೆಗಳಲ್ಲಿಯೂ ಸಾಲುಗೊಳ್ಳು.
 2. ಎರಡು ಭಾಗವಾಗು.
 3. ರಭಸದಿಂದ ಹೊಡೆ."
ಇಕ್ಕಲು,"1. ರಾಶಿ.
 2. ಸಂದಿಗ್ಧ ಪರಿಸ್ಥಿತಿ."
ಇಕ್ಕಳ,"1. ಎರಡು ಕೊಳಗ ಪ್ರಮಾಣ.
 2. ತಂಡಸ."
ಇಕ್ಕಿಸು,"1. ಇರಿಸುವಂತೆ ಮಾಡು.
 2. ಕಟ್ಟಿಸು.
 3. ಮುಚ್ಚಿಸು.
 4. ಮರಳಿಸು."
ಇಕ್ಕು,"1. ಇರಿಸು.
 2. ಬಳಿ.
 3. ಹಾಕು.
 4. ಬಿಟ್ಟು ಹೋಗು.
 5. ಕೆಡಹು.
 6. (ಚಾಮರ) ಬೀಸು.
 7. ಹಾಸು.
 8. (ಬಾಗಿಲನ್ನು) ಮುಚ್ಚು.
 9. ನೀಡು.
 10. ಬಡಿ."
ಇಕ್ಕುಂಗೂೞ್,ಭಿಕ್ಷಾನ್ನ.
ಇಕ್ಕುಮದ್ದು,ಕೈಮಸಕು.
ಇಕ್ಕುಳ,ಇಕ್ಕಳ.
ಇಕ್ಕೆ,"1. ಇರುವ ಸ್ಥಳ.
 2. ಸ್ಥಿತಿ.
 3. ನೆಲಸುವಿಕೆ."
ಇಕ್ಷು,ಕಬ್ಬು.
ಇಕ್ಷುಚಾಪ,"1. ಕಬ್ಬಿನ ಕೋಲಿನಿಂದಾದ ಬಿಲ್ಲು.
 2. ಮನ್ಮಥ."
ಇಕ್ಷುರಸ,"ಕಬ್ಬಿನ ರಸ, – ಹಾಲು."
ಇಕ್ಷ್ವಾಕು,"1. ಕಹಿಸೋರೆಗಿಡ.
 2. ಅಯೋಧ್ಯೆಯನ್ನು ಆಳುತ್ತಿದ್ದ ಸೂರ್ಯವಂಶದ ಮೂಲಪುರುಷನಾದ ಒಬ್ಬ ದೊರೆಯ ಹೆಸರು."
ಇಂಗಡಲ್(ಲು),ಹಾಲಿನ ಕಡಲು.
ಇಂಗಣ,ಬೆಂಕಿ.
ಇಗರು,ಇಂಗು.
ಇಗರು,ಹಲ್ಲಿನ ಒಸಡು.
page,2
ಇಗರ್ಜಿ,ಕ್ರೈಸ್ತರ ದೇವಾಲಯ.
ಇಂಗಲೀಕ,"1. ಪಾದರಸದಿಂದ ಆದ ಒಂದು ಅದಿರು.
 2. ನೀಲಿಯ ಬಣ್ಣದ ಒಂದು ಔಷಧ ದ್ರವ್ಯ."
ಇಂಗಳ,"1. ಇಂಗಣ.
 2. ಸಂತಾಪ.
 3. ಗಾರೆಗಿಡ."
ಇಂಗಳಗಣ್(ಣ್ಣು),ಬೆಂಕಿಯನ್ನು ಕಾರುವ ಕಣ್ಣು.
ಇಂಗಳಗುವರ,ಬೆಂಕಿಯ ಮಗ.
ಇಂಗಾಲ,"1. ಇದ್ದಲು.
 2. ಕಾರ್ಬನ್ ಎಂಬ ಅಲೋಹ ಮೂಲಧಾತು."
ಇಂಗಾಲಾಮ್ಲ,ಇಂಗಾಲದ ಸಂಯುಕ್ತ ಅನಿಲ.
ಇಂಗಿತ,ಆಶಯ.
ಇಂಗಿತಜ್ಞ,ಬೇರೆಯವರ ಅಭಿಪ್ರಾಯವನ್ನು ಊಹಿಸಿ ತಿಳಿಯುವವನು.
ಇಂಗಿತಜ್ಞಾನ,ಬೇರೊಬ್ಬರ ಮನಸ್ಸಿನಲ್ಲಿರುವುದನ್ನು ಊಹಿಸಿ ತಿಳಿದುಕೊಳ್ಳುವುದು.
ಇಂಗಿಸು,"1. ಇಂಗಿಹೋಗುವಂತೆ ಮಾಡು.
 2. ಕಳೆ."
ಇಂಗು,"1. ಒಣಗು ಅಡಗು.
 2. ಕೊಡು."
ಇಂಗು,"ಅಡಿಗೆಗೂ, ಔಷಧಕ್ಕೂ ಉಪಯೋಗ ವಾಗುವ) ಒಂದು ಬಗೆಯ ಮರದ ಹಾಲಿನಿಂದ ದೊರೆಯುವ ವಸ್ತು."
ಇಂಗುದಿ,ಗಾರೆಗಿಡ.
ಇಂಗುಲಿಕ,"1. ಪಾದರಸದಿಂದ ಆದ ಒಂದು ಅದಿರು.
 2. ಕೆಂಪುಬಣ್ಣ."
ಇಂಗೊರಲ್,ಮಧುರವಾದ ಕಂಠ.
ಇಂಗೋಲ್,ಕಬ್ಬು.
ಇಗ್ಗರ,ಉಪದ್ರವ.
ಇಗ್ಗಾಲಿ,ಎರಡು ಚಕ್ರಗಳುಳ್ಳುದು.
ಇಂಗ್ರೇಜಿ,ಆಂಗ್ಲಭಾಷೆ.
page,3
ಇಂಚರ,"1. ಇಂಪಾದ ಧ್ವನಿ.
 2. ಇಂಪಾದ ಧ್ವನಿಯುಳ್ಳುದು.
 3. ಮಧುರವಾದ ಬಾಣಗಳನುಳ್ಳವನು."
ಇಂಚಿ,ಏಣಿ.
ಇಂಚು,ಅಂಗುಲ.
ಇಂಚುಪಟ್ಟಿ,ಅಂಗುಲಗಳನ್ನು ಗುರುತಿಸಿರುವ ಅಳತೆಯ ಪಟ್ಟಿ.
ಇಂಚೆ,ಹಿಂಸೆ.
ಇಚ್ಚಕ,"1. ಪುಸಲಾಯಿಸುವುದು.
 2. ವಿಧೇಯನಾದವನು.
 3. ಮುಖ ಸ್ತುತಿಮಾಡುವವನು."
ಇಚ್ಚಣಿಗೆ,ಏಣಿ.
ಇಚ್ಚಾರಿ,"1. ಎರಡು ಚಾರಿ.
 2. ಎರಡು ಪಕ್ಕ."
ಇಚ್ಚಿಸು,ಆಸೆಪಡು.
