page,1
ಉ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಐದನೆಯ ವರ್ಣ.
ಉಂಕಿ,ನೆಯ್ಗೆಯ ಮಗ್ಗದಲ್ಲಿ ಉದ್ದುದ್ದವಾಗಿ ಹಾಸಿದ ನೂಲಿನ ಹಾಸು.
ಉಂಕೆ,ಉಂಕಿ.
ಉಕ್ಕಡ,"1. ಊರಿನ ಅಥವಾ ನಗರದ ಗಡಿ.
 2. ಪಹರೆಯ ನೆಲೆ.
 3. ಸುಂಕದ ಕಟ್ಟೆ.
 4. ಹಗ್ಗದ ಕುಣಿಕೆ."
ಉಕ್ಕಡ,ಅತಿಶಯವಾದ.
ಉಕ್ಕಂದ,"1. ತುಂಬಿ ತುಳುಕಾಡುವಂತಹ ಸ್ಥಿತಿ.
 2. ಉತ್ಸಾಹ.
 3. ಉಕ್ಕಿನ ರೀತಿ.
 4. ಎರಡು ತೊಲೆಗಳಿಗಾಗಲಿ, ಜಂತೆ ಗಳಿಗಾಗಲಿ ನಡುವೆ ಬಟ್ಟೆ ಹರಡಲು ಜೋಡಿಸಿದ ಗಳು ಅಥವಾ ಮರದ ಪಟ್ಟಿ,- ಬೊಂಬಿನ ತುಂಡು."
ಉಕ್ಕರಿಸು,"1. ಬಾಡಿಸು.
 2. ಕುದಿಸು."
ಉಕ್ಕಲಿಸು,"1. ಉಬ್ಬು.
 2. ಸಡಿಲವಾಗು.
 3. ಮರೆಮಾಚು."
ಉಕ್ಕಳಿಸು,ಉಕ್ಕಲಿಸು.
ಉಕ್ಕಿಱೆ,ಉಕ್ಕಿ ಹರಿ.
ಉಕ್ಕಿಸು,ಉಕ್ಕುವಂತೆ ಮಾಡು.
ಉಕ್ಕು,"1. ಮೇಲಕ್ಕೆ ಉಬ್ಬು.
 2. ಗರ್ವಿಸು.
 3. ಕರಗು."
ಉಕ್ಕು,"1. ಹಿಗ್ಗುವಿಕೆ.
 2. ದರ್ಪ.
 3. ಬಲ.
 4. ಹದಮಾಡಿದ ಕಬ್ಬಿಣ."
ಉಕ್ಕುಡಿಸು,ಅತಿಶಯವಾಗು.
ಉಕ್ಕೆ,ಬೇಸಾಯ.
ಉಕ್ಕೆವ,"1. ಮೋಸ.
 2. ಮೋಸಗಾರ.
 3. ಉತ್ಸಾಹ.
 4. ಉತ್ಸವ.
 5. ಗರ್ವ.
 6. ಸಂಶಯ."
ಉಕ್ತ,ಹೇಳಿದ.
ಉಕ್ತ,ಮಾತು.
ಉಕ್ತಲೇಖಕ,ಹೇಳಿದುದನ್ನು ಬರೆದುಕೊಳ್ಳುವವನು.
ಉಕ್ತಲೇಖನ,ಹೇಳಿದುದನ್ನು ಬರೆದುಕೊಳ್ಳುವುದು.
page,2
ಉಕ್ತಿ,ಮಾತು.
ಉಕ್ಷ,"1. ಎತ್ತು.
 2. ವೃಷಭರಾಶಿ."
ಉಕ್ಷಕೇತ,ಎತ್ತಿನ ಗುರುತನ್ನು ಬಾವುಟದಲ್ಲಿ ಉಳ್ಳವನು.
ಉಕ್ಷಗ,ಎತ್ತಿನ ಮೇಲೆ ಹೋಗುವವನು.
ಉಕ್ಷಣ,ಚಿಮುಕಿಸುವುದು.
ಉಕ್ಷಸಲಕ್ಷ,ಉಕ್ಷಕೇತ.
ಉಖೆ,ಮಡಕೆ.
ಉಖ್ಯ,ಮಡಕೆಯಲ್ಲಿ ಬೇಯಿಸಿದ ಮಾಂಸ.
ಉಗಮ,"1. ಹುಟ್ಟುವ ಸ್ಥಳ.
 2. ಹುಟ್ಟು."
ಉಗರಿಸು,ಕಷ್ಟಪಟ್ಟು ಉಸಿರಾಡು.
ಉಗಾದಿ,ಯುಗಾದಿ.
ಉಗಾಭೋಗ,ಎಲ್ಲ ರಾಗ ತಾಳಗಳಲ್ಲಿ ಹಾಡಬಹುದಾದ ದಾಸಸಾಹಿತ್ಯದ ಒಂದು ಬಗೆಯ ಹಾಡು.
ಉಗಿ,"1. ಹೊರಕ್ಕೆ ತೆಗೆ.
 2. ಹೋಗ ಲಾಡಿಸು.
 3. ಬಿಚ್ಚಿಹೋಗು.
 4. ಚಿಮ್ಮು.
 5. ಉಗುಳು.
 6. ಚೆಲ್ಲು.
 7. ಚುಚ್ಚು.
 8. ಉಗುರಿನಿಂದ ಸೀಳು.
 9. ಕುಗ್ಗಿಸು."
ಉಗಿ,"1. ನೀರಿನ ಹಬೆ.
 2. ಸೀಳಿಹೋದ ಸ್ಥಿತಿ.
 3. ಇರಿತ."
ಉಗಿಕಾಸು,ಆವಿಯಿಂದ ಶಾಖವನ್ನು ಕೊಡು.
ಉಗಿಪಟ,ಸುಲಿಗೆ.
ಉಗಿಬಗಿ,ಹರಿದು ಚೂರು ಚೂರು ಮಾಡು.
ಉಗಿಬಗಿ,"1. ಸೀಳಿಹೋಗಿ ಚೂರು ಚೂರಾಗಿರುವುದು.
 2. ಕಕ್ಕಾಬಿಕ್ಕಿ."
ಉಗಿಬಂಡಿ,ಹಬೆಯಿಂದ ಓಡುವ ಗಾಡಿ.
ಉಗಿವಡಗ,ಉಗುಳುವ ಪಾತ್ರೆ.
page,3
ಉಗಿವಡೆ,ಕೆರೆಯಲ್ಪಡು.
ಉಗು,"1. ಚೆಲ್ಲು.
 2. ಬಿಸಾಡು."
ಉಗು,ಬಿಡಿ ಬಿಡಿಯಾಗಿರುವಿಕೆ.
ಉಗುಚು,"1. ನೆಗೆ.
 2. ಹೊರಕ್ಕೆ ಎಳೆದು ತೆಗೆ.
 3. ಬಿಚ್ಚು."
ಉಂಗುಟ,"1. ಕಾಲಿನ ಅಥವಾ ಕೈಯ ಹೆಬ್ಬೆರಳು.
 2. ಎಕ್ಕಡದಲ್ಲಿ ಕಾಲಿನ ಹೆಬ್ಬೆರಳನ್ನು ತೂರಿಸಲು ಮಾಡಿರುವ ಉಂಗುರದಂತಹ ರಚನೆ."
ಉಗುತರ್,ಉಕ್ಕಿಬರು.
ಉಗುನಿ,"1. ಒಂದು ಬಗೆಯ ಬಳ್ಳಿ.
 2. ಒಂದು ಬಗೆಯ ಮರ."
ಉಂಗುರ,ಬೆರಳಿಗೆ ಇಡುವ ಆಭರಣ.
ಉಗುರಂಟು,ಉಗುರಿಗೆ ಬಳಿಯುವ ಬಣ್ಣ.
ಉಗುರಡ್ಡಿಗೆ,"1. ಉಗುರಿನ ಆಕಾರದಿಂದ ಕೂಡಿದ ರಚನೆಯುಳ್ಳ ಕಂಠಾಭರಣ.
 2. ಹುಲಿಯುಗುರಿಗೆ ಚಿನ್ನದ ಚೌಕಟ್ಟನ್ನು ಸೇರಿಸಿ ಮಾಡಿದ ಆಭರಣ."
ಉಂಗುರಬೆರಳು,ಉಂಗುರ ಹಾಕಿಕೊಳ್ಳುವ ಬೆರಳು.
ಉಂಗುರವಿಡು,(ಮದುವೆ ಮಾಡಿಕೊಳ್ಳಲು ನಿಶ್ಚಯಿಸಿ) ಉಂಗುರವನ್ನು ತೊಡಿಸು.
ಉಂಗುರವುಡಿಕೆ,ಮದುವೆಯ ನಿಶ್ಚಿತಾರ್ಥ.
ಉಂಗುರಿಸು,ಉಂಗುರದಂತೆ ಗುಂಡಾಗು.
ಉಗುರಿಸು,ಉಗುರಿನಿಂದ ಬಾಚು.
ಉಗುರು,ಉಗುರ್.
ಉಗುರುಕಣ್ಣು,ಉಗುರಿಗೂ ಬೆರಳಿನ ತುದಿಗೂ ನಡುವೆ ಇರುವ ಮೃದುವಾದ ಭಾಗ.
ಉಗುರುಬಿಸಿ,ಉಗುರಿನ ಶಾಖದಷ್ಟು ಬೆಚ್ಚಗಿರುವುದು.
ಉಗುರುಬೆಚ್ಚಗೆ,ಉಗುರುಬಿಸಿಯಷ್ಟು ಬೆಚ್ಚಗೆ.
ಉಗುರುಸುತ್ತು,ಉಗುರಿನ ಸುತ್ತಲೂ ಊದಿಕೊಂಡು ನೋವುಂಟು ಮಾಡುವ ಒಂದು ಬಾವು.
page,4
ಉಗುರುಳಿ,"1. ವೀಳೆಯದೆಲೆಯನ್ನು ಹಂಬಿ ನಿಂದ ಬಿಡಿಸಲು ಹೆಬ್ಬೆರಳಿಗೆ ಹಾಕುವ ಉಗುರಿನ ಆಕಾರದ ಅಲಗುಳ್ಳ ಸಾಧನ.
 2. (ಕುಸುರಿ ಕೆಲಸಗಳಲ್ಲೂ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಗಳಲ್ಲೂ ಉಪಯೋಗಿಸುವ) ಒಳಗಡೆಗೆ ಬಾಗಿರುವ ಅಲಗುಳ್ಳ ಉಳಿ."
ಉಗುರೆಣ್ಣೆ,ಉಗುರಿನಿಂದ ಎಣ್ಣೆಶಾಸ್ತ್ರ ಮಾಡುವುದು.
ಉಗುರೊತ್ತು,"1. ಉಗುರಿನ ಒತ್ತುವಿಕೆ.
 2. ಗೋಧಿ ಅಥವಾ ಅಕ್ಕಿಹಿಟ್ಟನ್ನು ಕಲಸಿ ಉಗುರೊತ್ತಿ ಮಾಡಿದ ಗವುಲಿ ಮತ್ತು ಅಂತಹ ಗವುಲಿಯಿಂದ ಮಾಡಿದ ಪಾಯಸ."
ಉಗುರ್,"1. ನಖ.
 2. ವೀಳೆಯದೆಲೆಯನ್ನು ಕೀಳುವ ಸಾಧನ.
 3. ವೀಣೆ ಮೊದಲಾದುವನ್ನು ನುಡಿಸುವಾಗ ಬೆರಳಿಗೆ ಹಾಕಿಕೊಳ್ಳುವ ಒಂದು ಸಾಧನ."
ಉಗುರ್ಗಲೆ,"ಉಗುರೊತ್ತಿನಿಂದ ಆದ ಗುರುತು,- ಕಲೆ."
ಉಂಗುಷ್ಟ,ಉಂಗುಟ.
ಉಗುಳಿಚು,ಹೊರಕ್ಕೆ ಎಳೆದುತೆಗೆ.
ಉಗುಳಿಸು,"1. ಚಿಮ್ಮಿಸು.
 2. ಬಯ್ಯಿಸು."
ಉಗುಳು,"1. ಉಗಿ.
 2. ಹೊರಸೂಸು."
ಉಗುಳು,ಜೊಲ್ಲು.
ಉಗುಳುನುಂಗು,"1. ಉಗುಳನ್ನು ನುಂಗು.
 2. ಹಿಂದೆ ಮುಂದೆ ನೋಡು."
ಉಗುಳ್ನೀರು,"1. ಬಾಯಿ ತುಂಬುವಷ್ಟು ನೀರು.
 2. ಬಾಯಿಗೆ ಹಾಕಿಕೊಂಡು ಉಗುಳಬೇಕಾದ ನೀರು.
 3. ಜೊಲ್ಲು."
ಉಗೆ,ಜಯಘೋಷ.
ಉಗೆ,ನೀರಿನ ಹಬೆ.
ಉಗ್ಗ,"1. ತೊದಲುವವನು.
 2. ಪಾತ್ರೆಗಳನ್ನು ಸುಲಭವಾಗಿ ಹಿಡಿದುಕೊಂಡು ಹೋಗಲು ಅವುಗಳ ಬಾಯಿಗೆ ಕಟ್ಟುವ ಹಗ್ಗ."
ಉಗ್ಗಡ,"1. ಉತ್ಕಟತೆ.
 2. ಗಟ್ಟಿಯಾದ ಕೂಗು."
ಉಗ್ಗಡ,ಅತಿಶಯವಾದ.
ಉಗ್ಗಡಣೆ,ಗಟ್ಟಿಯಾದ ಕೂಗು.
ಉಗ್ಗಡಿಸು,"1. ಗಟ್ಟಿಯಾಗಿ ಕೂಗಿ ಹೇಳು.
 2. ಕೊಂಡಾಡು."
ಉಗ್ಗಿ,"1. ಒಂದು ಬಗೆಯ ವ್ರತ.
 2. ಉಗ್ಗುವವಳು."
page,5
ಉಗ್ಗು,"1. ತೊದಲು.
 2. (ನೀರು) ಚೆಲ್ಲು.
 3. ಉಕ್ಕಿಬರು."
ಉಗ್ಗು,"1. ತೊದಲುವಿಕೆ.
 2. ಹೆಚ್ಚಳ.
 3. (ಮಕ್ಕಳ ಮಾತಿನಲ್ಲಿ) ನೀರು ಅಥವಾ ಹಾಲು."
ಉಗ್ಘಡಿಯಂತ್ರ,ನೀರನ್ನು ಮೇಲಕ್ಕೆ ಎತ್ತುವ ಯಂತ್ರ.
ಉಗ್ರ,"1. ಪ್ರಚಂಡತೆ.
 2. ಕೋಪಿಷ್ಠ.
 3. ಕ್ರೂರಿ.
 4. ಶಿವ.
 5. ಸಂಕರ ಜಾತಿಯವನು."
ಉಗ್ರ,"1. ತೀಕ್ಷ್ಣವಾದ.
 2. ಭಯಂಕರವಾದ."
ಉಗ್ರಕರ,ತೀಕ್ಷ್ಣವಾದ ಕಿರಣಗಳನ್ನು ಉಳ್ಳವನು.
ಉಗ್ರಗಾಮಿ,"1. (ರಭಸದಿಂದ ಮುಂದೆ) ನುಗ್ಗುವವನು.
 2. ಭಯೋತ್ಪಾದಕ ವ್ಯಕ್ತಿ."
