page,1
ಊ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಆರನೆಯ ವರ್ಣ.
ಊ¾Âಡು,ಊರುಹಾಕು.
ಊ¾Âಸು,"1. ಕಚ್ಚಿಸು.
 2. ನಡು."
ಊಕ,"1. ಪ್ರಯತ್ನ.
 2. ಭಾವಿಸುವಿಕೆ."
ಊಂಕಿಡು,ತೂಗಾಡು.
ಊಂಕಿಸು,ಆಲೋಚಿಸು.
ಊಂಕು,ಧ್ಯಾನಿಸು.
ಊಂಕು,ನೆಗೆತ.
ಊಗು,"1. ತೂಗು.
 2. ಪ್ರವೇಶಿಸು."
ಊಗು,ಹಂಚಿಕಡ್ಡಿ ಮುಂತಾದುವುಗಳ ಮುಳ್ಳು.
ಊಚ,ಉತ್ಕøಷ್ಟವಾದ.
ಊಚನೀಚ,ಮೇಲು ಮತ್ತು ಕೀಳು.
ಊಚಿ,ಒಂದು ಬಗೆಯ ಹುಲ್ಲು.
ಊಚಿ,ಊಚ.
ಊಟ,"1. ಆಹಾರವನ್ನು ತೆಗೆದು ಕೊಳ್ಳುವುದು.
 2. ಆಹಾರ."
ಊಂಟು,ಉಬ್ಬಿ ಬೆಳೆ.
ಊಟೆ,ನೀರಿನ ಚಿಲುಮೆ.
ಊಡಿಸು,"1. ತಿನ್ನಿಸು.
 2. ಕುಡಿಸು.
 3. ಊಟಕ್ಕಾಗಿ ಕೊಡು."
ಊಡು,ಆಧಾರ.
ಊಡು,"1. ಊಟಮಾಡು.
 2. ಕುಡಿ.
 3. ತಿನ್ನಿಸು.
 4. (ಆಹಾರ) ನೀಡು.
 5. ಕುಡಿಸು.
 6. ನೆನೆಸು.
 7. ಲೇಪಿಸು."
page,2
ಊಡುಗೊಳ್,ದಾಟಿ ಹೊರಬೀಳು.
ಊಢೆ,ಮದುವೆಯಾದ ಹೆಂಗಸು.
ಊಣ,"1. ಊಟ.
 2. ಕುಂದು."
ಊಣ(ಣೆ)ಯ,ಕುಂದು.
ಊತ,ಊದಿಕೊಳ್ಳುವಿಕೆ.
ಊತಿ,"1. ಒಂದು ಬಗೆಯ ರೋಗ.
 2. ನೇಯುವುದು.
 3. ವೇಗ.
 4. ಆಸೆ."
ಊದ(ದಿ)ಲು,ಊದರ.
ಊದರ,ಹೊಗೆ.
ಊದರೆ,"1. ಊದರ.
 2. ಬಾವು.
 3. ಹುಲ್ಲು."
ಊದಾ,ಕೆನ್ನೀಲಿ ಅಥವಾ ಬೂದುಬಣ್ಣ.
ಊದಿಸು,"1. ಗಾಳಿ ಬೀಸುವಂತೆ ಮಾಡು.
 2. ಲೋಹವನ್ನು (ಪುಟಕ್ಕೆ ಹಾಕಿ) ಶುದ್ಧಗೊಳಿಸು.
 3. ಕೊಂಬು, ಕಹಳೆ ಮುಂತಾದುವನ್ನು ಊದುವಂತೆ ಮಾಡು.
 4. ದಪ್ಪನಾಗುವಂತೆ ಮಾಡು."
ಊದು,"1. ಬೀಸು.
 2. ಬಾಯಿಂದ ಗಾಳಿಯನ್ನು ಹೊರಡಿಸು.
 3. ಧ್ವನಿಮಾಡು.
 4. ಗುಟ್ಟಾಗಿ ಹೇಳು.
 5. ದಪ್ಪನಾಗು.
 6. ಲೋಬಾನ."
ಊದುಕಡ್ಡಿ,ಧೂಪಕ್ಕಾಗಿ ಸುಗಂಧ ವಸ್ತುಗಳಿಂದ ತಯಾರಿಸಿದ ಕಡ್ಡಿ.
ಊದುಕಾ(ಗಾ)ಮಾಲೆ,ದೇಹವು ಊದಿ ಕೊಂಡು ಹಳದಿ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುವ ಒಂದು ರೋಗ.
ಊದುಕೊ(ಗೊ)ಳವೆ,(ಬೆಂಕಿಯನ್ನು ಹೊತ್ತಿಸುವುದಕ್ಕಾಗಿ) ಗಾಳಿಯನ್ನು ಊದಲು ಬಳಸುವ ಕೊಳವೆ.
