page,1
ಐ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹನ್ನೊಂದನೆಯ ವರ್ಣ.
ಐಕಮತ್ಯ,ಏಕಾಭಿಪ್ರಾಯ.
ಐಕಿಲ್,"1. ಹಿಮ.
 2. ಹೇಮಂತಋತು."
ಐಕ್ಯ,"1. ಐಕಮತ್ಯ.
 2. ಪರಮಾತ್ಮನಲ್ಲಿ ಒಂದಾದವನು.
 3. ಒಟ್ಟು."
ಐಚ್ಛಿಕ,ಇಚ್ಛೆಗೆ ಸಂಬಂಧಿಸಿದ.
ಐಚ್ಛಿಕವಿಷಯ,ತಾನೇ ಆರಿಸಿಕೊಂಡ ವಿಷಯ.
ಐಟು,ಠೀವಿ.
ಐತಿಹಾಸಿಕ,ಇತಿಹಾಸಕ್ಕೆ ಸೇರಿದ.
ಐತಿಹ್ಯ,ಪರಂಪರೆಯಿಂದ ಬಂದಿರುವುದು.
ಐತೀರ್ಪು,"(ಪಂಚರ, ಪಂಚಾಯಿತರ) ನ್ಯಾಯ ನಿರ್ಣಯ,- ತೀರ್ಮಾನ."
ಐಂದವ,ಚಂದ್ರನಿಗೆ ಸಂಬಂಧಿಸಿದ.
ಐಂದವಾೞೆ,ಒಂದು ಬಗೆಯ ಬಾಳೆ.
ಐದೆ,ಸುವಾಸಿನಿ.
ಐಂದ್ರ,ಇಂದ್ರನಿಗೆ ಸಂಬಂಧಿಸಿದ.
ಐಂದ್ರಕ,ಇಂದ್ರನ ದಿಕ್ಕು.
ಐಂದ್ರಜಾಲ,ಯಕ್ಷಿಣಿ ವಿದ್ಯೆ.
ಐಂದ್ರಜಾಲಿಕ,ಯಕ್ಷಿಣಿ ವಿದ್ಯೆಬಲ್ಲವನು.
ಐಂದ್ರಶರ,ವಜ್ರಾಸ್ತ್ರ.
ಐಂದ್ರಿ,"1. ಇಂದ್ರನ ಹೆಂಡತಿ.
 2. ಪೂರ್ವದಿಕ್ಕು."
ಐಂದ್ರಿಯ,"1. ಇಂದ್ರಿಯಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ.
 2. ಇಂದ್ರಿಯಗಳನ್ನುಳ್ಳ."
page,2
ಐನಾತಿ,"1. ಮುಖ್ಯವಾದ.
 2. ಕಿಲಾಡಿ ಸ್ವಭಾವದ."
ಐನೀರು,ಮುಟ್ಟಾದವಳು ಐದನೆಯ ದಿನ ಎರೆದುಕೊಳ್ಳುವ ನೀರು.
ಐನು,ಮುಖ್ಯ.
ಐನ್,"1. ಮುಖ್ಯ.
 2. ಶುದ್ಧ."
ಐಬು,"1. ಕುಂದು.
 2. ಗುರುತು."
ಐರಾಣಿ,ಮದುವೆಯಲ್ಲಿ ಚಿತ್ರ ಬರೆದಿಡುವ ಗಡಿಗೆ ಮತ್ತು ಅದನ್ನು ಪೂಜಿಸುವ ವ್ರತ.
ಐರಾವಣ,"1. ಇಂದ್ರನ ಆನೆ.
 2. ಒಬ್ಬ ರಾಕ್ಷಸ."
ಐರಾವತ,ಇಂದ್ರನ ಆನೆ.
ಐಲ(ಳ)ಬಿಲ(ಳ),ಕುಬೇರ.
ಐಲಪೈಲ,ಸಾಮಾನ್ಯವಾದದ್ದು.
ಐಲು,ಹುಚ್ಚು.
ಐಲುಪೈಲು,ಹುಚ್ಚು.
ಐಲೇ(ಳೇ)ಯ,ಕರಿಯ ಏಲಕ್ಕಿ.
ಐವಜು,"1. ಉತ್ಪನ್ನ.
 2. ಬೆಲೆ."
ಐಶ್ವರ್ಯ,"1. ಪರಮಾಧಿಕಾರ.
 2. ಸಂಪತ್ತು."
ಐಷಾರಾಮ,ವಿಷಯಾಸಕ್ತಿ.
ಐಸಲೆ,ಅಷ್ಟೇ.
ಐಸಾಯಿ,ಕ್ರೈಸ್ತಧರ್ಮದವನು.
ಐಸಿರಿ,ಸಂಪತ್ತು.
ಐಸುಫೈಸು,ಪ್ರಶಸ್ತವಾದದ್ದು.
page,3
ಐಹಿಕ,ಇಹ ಲೋಕಕ್ಕೆ ಸಂಬಂಧಿಸಿದ.
ಐಹಿಕ,ಇಹಲೋಕ.
page,4
page,5
