page,1
ಒ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹನ್ನೆರಡನೆಯ ವರ್ಣ.
ಒ,ಒಂದು ಅನುಕರಣಾವ್ಯಯ.
ಒಕ್ಕಣಿಕೆ,"1. ಪೈರಿನಿಂದ ಕಾಳನ್ನು ಬೇರ್ಪಡಿಸುವ ಕೆಲಸ.
 2. ವ್ಯಾಖ್ಯಾನ."
ಒಕ್ಕಣೆ,ಒಕ್ಕಣಿಕೆ.
ಒಕ್ಕಣ್ಣ,ಒಂದು ಕಣ್ಣುಳ್ಳವನು.
ಒಕ್ಕತನ,ಕೂಡಿ ಬಾಳುವೆ ಮಾಡುವುದು.
ಒಕ್ಕಂದಿ,"1. ವರ್ಷಕ್ಕೊಮ್ಮೆ ಕರು ಹಾಕುವ ಹಸು.
 2. ಒಂದು ಕರುವನ್ನು ಹಾಕಿದ ಹಸು."
ಒಕ್ಕರೆ,ಕೊಳ.
ಒಕ್ಕಲಗಿತ್ತಿ,"1. ಒಕ್ಕಲಿಗನ ಹೆಂಡತಿ.
 2. ಕೆಲಸದವಳು."
ಒಕ್ಕಲಾಗು,ಜೀವಿಸು.
ಒಕ್ಕಲಿಕ್ಕು,"1. ಬಡಿ.
 2. ಅಸ್ತವ್ಯಸ್ತವಾಗಿಸು.
 3. ನೆಲಸು."
ಒಕ್ಕಲಿಗ,"1. ವ್ಯವಸಾಯ ಮಾಡುವವನು.
 2. ಚತುರ್ಥವರ್ಣಕ್ಕೆ ಸೇರಿದವನು."
ಒಕ್ಕಲು,"1. ಒಕ್ಕುವಿಕೆ.
 2. ಮನೆತನ.
 3. ಬೇಸಾಯಗಾರ.
 4. ನಿವಾಸಿ.
 5. ಹೆಂಡತಿ.
 6. ಗುತ್ತಿಗೆದಾರ."
ಒಕ್ಕಲುತೆಗೆ,ಊರು ಬಿಟ್ಟು ಹೋಗು.
ಒಕ್ಕಲುಮಕ್ಕಳು,"1. ವ್ಯವಸಾಯ ಮಾಡುವ ರೈತರು.
 2. ಜೀತಗಾರರು."
ಒಕ್ಕಲೆತ್ತು,ಸಂಸಾರಸಹಿತವಾಗಿ ಮನೆ ಬಿಟ್ಟು ಹೋಗು.
ಒಕ್ಕಲ್,"1. ಒಕ್ಕುವಿಕೆ.
 2. ಮನೆ.
 3. ಮನೆತನ.
 4. ಬೇಸಾಯಗಾರ."
ಒಕ್ಕಲ್ತನ,"1. ಗೃಹಸ್ಥತನ.
 2. ಬೇಸಾಯ."
ಒಕ್ಕಳ,ಒಂದು ಕೊಳಗ ಪ್ರಮಾಣ.
ಒಕ್ಕಿಲ್,ಒಕ್ಕುವಿಕೆ.
page,2
ಒಕ್ಕು,"1. ಬೆಳೆದ ಬೆಳೆಯಿಂದ ಕಸಕಡ್ಡಿಗಳನ್ನು ಬೇರ್ಪಡಿಸು.
 2. ಹರಿ."
ಒಕ್ಕು,"1. ಪೈರಿನಿಂದ ಕಾಳನ್ನು ಬೇರ್ಪಡಿಸುವ ಕೆಲಸ.
 2. ಶುಭಾಶುಭಗಳ ಸೂಚನೆ."
ಒಕ್ಕುಡಿತೆ,ಒಂದು ಬೊಗಸೆ.
ಒಕ್ಕೂಟ,"1. ಒಂದಾಗಿರುವುದು.
 2. ಸಂಯುಕ್ತ ರಾಜ್ಯ."
ಒಕ್ಕೊರಲು(ಳು),ಏಕಾಭಿಪ್ರಾಯ.
ಒಗಚು,ಆರು ವಿಧವಾದ ರಸಗಳಲ್ಲಿ ಒಂದು.
ಒಗಟು(ಟೆ),ಸುಲಭವಾಗಿ ತಿಳಿಯಲಾಗದ ಮಾತು.
ಒಗಂಟುವೇೞ್,"1. ಒಗಟೆಯನ್ನು ಒಡ್ಡು.
 2. ಗೂಢವಾಗಿ ಹೇಳು."
ಒಗಡಿಕೆ,ವಾಂತಿ.
