page,1
ಗ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹದಿನೇಳನೆಯ ಅಕ್ಷರ.
 2. ಛಂದಸ್ಸಿನಲ್ಲಿ ದೀರ್ಘಾಕ್ಷರದ ಸಂಕೇತ.
 3. ಸಂಗೀತದ ಸಪ್ತಸ್ವರಗಳಲ್ಲಿ ಮೂರನೆಯದು.
 4. ಶಾಸನಗಳಲ್ಲಿ ಬರುವ `ಗದ್ಯಾಣ’ ಎಂಬುದರ ಸಂಕ್ಷಿಪ್ತರೂಪ.
 5. ಒಂದು ತದ್ಧಿತಪ್ರತ್ಯಯ."
ಗಕ್ಕು,ಒಂದು ಬಗೆಯ ಕೊಕ್ಕರೆ.
ಗಗನ,"1. ಬಾನು.
 2. ಸೊನ್ನೆ."
ಗಗನಕುಂತಳ,ಆಕಾಶವೇ ಕೂದಲಾಗಿರುವವನು.
ಗಗನಕುಸುಮ,"1. ಆಕಾಶದಲ್ಲಿರುವ ಹೂವು.
 2. ಅಸಾಧ್ಯವಾದುದು.
 3. ಕೈಗೆಟುಕದುದು."
ಗಗನಗಜ,ಆಕಾಶದ ಆನೆ.
ಗಗನಚರ,"1. ಗಗನದಲ್ಲಿ ಸಂಚರಿಸುವಂಥದ್ದು.
 2. ಹಕ್ಕಿ.
 3. ಸೂರ್ಯ ಮೊದಲಾದ ಗ್ರಹ.
 4. ಗಂಧರ್ವ."
ಗಗನಚುಂಬಿ,ಆಕಾಶವನ್ನು ಮುಟ್ಟುವಂತಹದು.
ಗಗನಮಣಿ,ಸೂರ್ಯ.
ಗಗನಯಾತ್ರಿ,ಆಕಾಶದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
ಗಗನಸಖಿ,"ವಿಮಾನದಲ್ಲಿ ಪ್ರಯಾಣಿಕರನ್ನು ಸತ್ಕರಿಸುವವಳು,- ಮೇಲ್ವಿಚಾರಕಿ."
ಗಗನಾಧ್ವ,"1. ಆಕಾಶಮಾರ್ಗ.
 2. ಆಕಾಶಮಾರ್ಗದಲ್ಲಿ ಸಂಚರಿಸುವವನು."
ಗಗನೋಪಲ,ಆಕಾಶದಲ್ಲಿ ತೇಜಃ ಪುಂಜ ವಾಗಿ ಹೊಳೆದು ಬೀಳುವ ಶಿಲೆ.
