page,1
ಘ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹದಿನೆಂಟನೆಯ ಅಕ್ಷರ.
ಘಟ,"1. ಮಣ್ಣಿನ ದೊಡ್ಡ ಪಾತ್ರೆ,- ಕೊಡ.
 2. ತಾಳವಾದ್ಯಗಳಲ್ಲಿ ಒಂದು.
 3. ದೇಹ.
 4. ಸೇರಿಕೆ.
 5. ನಾಲ್ಕು ಕೊಳಗದಷ್ಟು ಅಳತೆ.
 6. ಅಂಚು."
ಘಟಕ,"1. (ಸಮಗ್ರವಾದ ಒಂದು ದೇಶ, ವಸ್ತು, ಸಂಸ್ಥೆ ಮೊದಲಾದುವುಗಳ) ಅಂಗ,- ವಿಭಾಗ,- ಪೂರಕಭಾಗ.
 2. (ಸಂಘ, ಸಂಸ್ಥೆ ಮೊದಲಾದುವುಗಳ) ವ್ಯವಸ್ಥಾಪಕ.
 3. (ಮದುವೆ, ವ್ಯಾಪಾರ ಮೊದಲಾದ ಕಾರ್ಯಗಳಲ್ಲಿ) ಎರಡು ಪಕ್ಷಗಳ ನಡುವೆ ವ್ಯವಹಾರವನ್ನು ಕುದುರಿಸುವವನು.
 4."
ಘಟಕ,ಸೇರಿರುವ.
ಘಟಚಕ್ರ,ಬಾವಿಯಿಂದ ನೀರನ್ನು ಮೇಲೆತ್ತುವ ಒಂದು ಬಗೆಯ ಸಾಧನ.
ಘಟಚೇಟಿ,"1. ನೀರು ಹೊರುವ ಸೇವಕಿ.
 2. ಕುಂಟಣಿ."
ಘಟಚೇಟಿಕೆ,ಘಟಚೇಟಿ.
ಘಟನ(ನೆ),"1. ಸೇರಿಸುವಿಕೆ.
 2. ಆಗುವಿಕೆ."
ಘಟಶ್ರಾದ್ಧ,ಬದುಕಿದವರೊಡನೆ ಸಂಬಂಧವನ್ನು ತ್ಯಜಿಸುವುದಕ್ಕಾಗಿ ಮಾಡುವ ಒಂದು ಬಗೆಯ ಶ್ರಾದ್ಧ.
ಘಟಸರ್ಪ,"1. ಮಡಕೆಯ ಒಳಗಿರುವ ಸರ್ಪ,- ಹಾವು.
 2. ಭಯಂಕರವಾದ ಹಾವು."
ಘಟಸ್ಫೋಟ,"1. ಘಟಶ್ರಾದ್ಧದ ಪೂರ್ವಾಂಗ ವಾಗಿ ಗಡಿಗೆಯನ್ನು ಒಡೆಯುವುದು.
 2. ವಿವಾಹವಿಚ್ಛೇದ."
ಘಟಾನುಘಟಿ,ಬಹಳ ಗಟ್ಟಿಗ.
ಘಟಾನುಘಟಿ,ಬಹಳ ಗಟ್ಟಿಯಾದ.
ಘಟಿ,"1. ಸಣ್ಣ ಗಡಿಗೆ.
 2. ಇಪ್ಪತ್ತುನಾಲ್ಕು ನಿಮಿಷಗಳ ಅವಧಿ."
ಘಟಿಕಾಯಂತ್ರ,ಕಾಲವನ್ನು ತಿಳಿಸುವ ಯಂತ್ರ.
ಘಟಿಕಾಸ್ಥಾನ,"1. ಧರ್ಮಶ್ರದ್ಧೆಯುಳ್ಳ ವಿದ್ವಾಂಸರು ಅಧಿಕೃತವಾಗಿ ಸಭೆಸೇರುವ ಸ್ಥಳ.
 2. ಧಾರ್ಮಿಕವಿಷಯಗಳನ್ನು ಬೋಧಿಸುವ ಮಹಾವಿದ್ಯಾಪೀಠ.
 3. ದೇವರು ನೆಲಸಿರುವ ಸಿದ್ಧಿಕ್ಷೇತ್ರ."
ಘಂಟಿಕೆ,"1. ಸಣ್ಣಗಂಟೆ.
 2. ದಶವಾದ್ಯಗಳಲ್ಲಿ ಒಂದು."
ಘಟಿಕೆ,"1. ಘಟಿ.
 2. ಧಾರ್ಮಿಕ ವಿದ್ಯಾಪೀಠ."
ಘಟಿಕೋತ್ಸವ,ವಿಶ್ವವಿದ್ಯಾಲಯದ ಪದವೀಪ್ರದಾನ ಸಮಾರಂಭ.
ಘಟಿತ,"1. ಉಂಟಾದುದು.
 2. ಆದುದು."
page,2
ಘಟಿತ,"1. ಉಂಟಾದ.
 2. ಕೂಡಿದ.
 3. ಜೋಡಿಸಿದ."
ಘಟಿಯಿಸು,"1. ಉಂಟಾಗು.
 2. ಸಿಕ್ಕು.
 3. ಸೇರಿಸು."
ಘಟಿಸು,"1. ಘಟಿಯಿಸು.
 2. ಸೇರು.
 3. ಉಂಟು ಮಾಡು."
ಘಟೀಯಂತ್ರ,"1. ಬಾವಿಯಿಂದ ನೀರನ್ನು ಮೇಲೆತ್ತುವ ಒಂದು ಸಾಧನ.
 2. ಕಾಲವನ್ನು ಸೂಚಿಸುವ ಸಾಧನ."
ಘಂಟೆ,"1. ಘಣಘಣ ಎಂದು ಶಬ್ದ ಮಾಡುವ ಸಾಧನ.
 2. ಅರುವತ್ತು ನಿಮಿಷಗಳ ಅವದಿ.
 3. ಒಂದು ಬಗೆಯ ಮರ."
ಘಟೆ,"1. ಗುಂಪು.
 2. ಆನೆಗಳ ಗುಂಪು.
 3. ಸಭೆ."
ಘಟ್ಟ,"1. ನದಿ, ಕೆರೆ ಮುಂತಾದುವುಗಳಲ್ಲಿ ನೀರಿಗೆ ಇಳಿಯುವುದಕ್ಕಾಗಿ ಕಟ್ಟಿರುವ ಮೆಟ್ಟಲು,- ಸೋಪಾನ.
 2. ಹಂತ.
 3. ಬೆಟ್ಟಗಳ ಸಾಲು.
 4. ಬೆಟ್ಟ."
ಘಟ್ಟಣೆ,"1. ಅಪ್ಪಳಿಸುವಿಕೆ.
 2. ಮೆಟ್ಟುವುದು.
 3. (ನೆಲವನ್ನು) ದಮ್ಮಸು ಮಾಡುವುದು.
 4. ದಮ್ಮಸುಮಾಡಿ ಮಟ್ಟ ಮಾಡಿದ ಸ್ಥಳ,- ಸಮನೆಲ.
 5. ಪೆಟ್ಟು."
ಘಟ್ಟಿ,"1. (ದ್ರವಪದಾರ್ಥವು) ಹೆಪ್ಪು ಗಟ್ಟಿದುದು.
 2. (ದ್ರವವು) ಮಂದವಾದುದು.
 3. ಬಿರುಸಾದುದು.
 4. ದೃಢವಾದುದು.
 5. ಶಕ್ತಿ.
 6. ಲೋಹದ (ಭಾರ ವಾದ) ಸಣ್ಣ ತುಂಡು.
 7. ಸುಗಂಧದ್ರವ್ಯದ ಉಂಡೆ,- ಬಿಲ್ಲೆ."
ಘಟ್ಟಿತ,"1. ಹೊಡೆದ.
 2. ಒತ್ತಾಗಿ ಸೇರಿಸಿದ,- ಜೋಡಿಸಿದ."
ಘಟ್ಟಿತ,ಹೊಡೆಯಲ್ಪಟ್ಟದು.
ಘಟ್ಟಿವಳ,"ಗಂಧವನ್ನು ತಯಾರಿಸುವವನು,- ತೇಯುವವನು."
ಘಟ್ಟಿವಳ್ತಿ,"ಗಂಧವನ್ನು ತೇಯುವವಳು,- ತಯಾರಿಸುವವಳು."
ಘಟ್ಟಿವಾಳ,"1. ಘಟ್ಟಿವಳ.
 2. ಸಮರ್ಥ.
 3. ಸ್ಥಿರತೆಯುಳ್ಳವನು."
ಘಟ್ಟಿಸು,"1. ಹೊಡೆ.
 2. ಸೇರಿಸು.
 3. ತೊಲಗಿಸು.
 4. ತಿರುವು.
 5. ನಿಬಿಡವಾಗು.
 6. ಕೊಲ್ಲು."
ಘನ,"1. ಗಟ್ಟಿಯಾದುದು.
 2. ಮೋಡ.
 3. ಸಾಂದ್ರವಾದುದು.
 4. ಉತ್ತಮವಾದುದು.
 5. ತಾಳ, ಗೆಜ್ಜೆ, ಗಂಟೆ ಮೊದಲಾದ ಕಂಚಿನ ವಾದ್ಯ.
 6. ದೊಡ್ಡ ಆಕಾರವುಳ್ಳುದು.
 7. ವೇದಪಠನದಲ್ಲಿ ಒಂದು ವಿಶೇಷವಾದ ರೀತಿ,- ಕ್ರಮ.
 8. ಅಧಿಕವಾದುದು.
 9. ಬಲ.
 10. ನೀರು.
 11. ಆರು ಸಮ ಚತುರಸ್ರ"
ಘನ,"1. ಭಾರವಾದ.
 2. ಮಹತ್ತ್ವವುಳ್ಳ, ಶ್ರೇಷ್ಠವಾದ.
 3. ಅಧಿಕವಾದ.
 4. ಒತ್ತಾದ.
 5. ಗಟ್ಟಿಯಾದ.
 6. ಪೂರ್ತಿಯಾದ."
ಘನತೆ,"1. ಹಿರಿಮೆ.
 2. ಏಳಿಗೆ.
 3. ಸಾಂದ್ರತೆ."
ಘನಪಾಠ,ವೇದವನ್ನು ಪಠನಮಾಡುವ ನಾಲ್ಕು ಕ್ರಮಗಳಲ್ಲಿ ಒಂದು.
ಘನಪಾಠಿ,ವೇದವನ್ನು ಘನಪಾಠದ ಕ್ರಮದಲ್ಲಿ ಅಭ್ಯಾಸ ಮಾಡಿದವನು.
page,3
ಘನಫಲ,ಘನದ ಪರಿಮಾಣ.
