page,1
ಛ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತೊಂದನೆಯ ಅಕ್ಷರ.
 2. ಏಳು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಛಟೆ,"1. ಸಮೂಹ.
 2. ಪ್ರಕಾಶ."
ಛಡಾಳ,ಹೆಚ್ಚಳ.
ಛಡಾಳಿಸು,"1. ಹೆಚ್ಚಾಗು.
 2. ಪ್ರಜ್ವಲಿಸು.
 3. ರಭಸಗೊಳ್ಳು.
 4. ವಿರೋಧಿಸು."
ಛಡಿ,"ತೆಳ್ಳಗಿರುವ ಉದ್ದವಾದ ಕೋಲು,- ಬೆತ್ತ."
ಛತ್ರ,"1. (ಉಚಿತವಾಗಿ) ಊಟ, ವಸತಿ ಗಳನ್ನು ಒದಗಿಸುವ ಸ್ಥಳ.
 2. ಕಲ್ಯಾಣಮಂದಿರ.
 3. ಕೊಡೆ.
 4. ಗೌರವಸೂಚಕವಾಗಿ ದೇವರಿಗೆ ಹಾಗೂ ರಾಜರಿಗೆ ಹಿಡಿಯುವ ಬಿಳಿಯ ಕೊಡೆ."
ಛತ್ರಪತಿ,"1. ರಾಜ.
 2. ಶಿವಾಜಿ ಮಹಾರಾಜನಿಗೆ ಅನ್ವಯಿಸುವ ಒಂದು ಬಿರುದು."
ಛತ್ರಭಂಗ,"1. ಕೊಡೆಯು ಮುರಿದು ಬೀಳುವಿಕೆ.
 2. ಅರಸೊತ್ತಿಗೆಯು ತಪ್ಪಿ ಹೋಗುವಿಕೆ."
ಛತ್ರಿ,"1. ಕೊಡೆ.
 2. ಕೊಡೆಯನ್ನು ಹೊಂದಿರುವವನು."
ಛಂದ,"1. ಅಂದವಾದುದು.
 2. ರೀತಿ.
 3. ಸಂತೋಷ.
 4. ಇಚ್ಛೆ.
 5. ಛಂದಸ್ಸು.
 6. ಇಪ್ಪತ್ತಾರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
