page,1
ಟ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತೈದನೆಯ ಅಕ್ಷರ.
 2. ಒಂದು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಟಂಕ,"1. ಕಲ್ಲುಕುಟಿಗನ ಒಂದು ಉಪಕರಣ.
 2. ನಾಣ್ಯವನ್ನು ಅಚ್ಚು ಮಾಡುವ ಸಾಧನ.
 3. ನಾಣ್ಯವನ್ನು ಮುದ್ರಿಸುವುದು,- ಅಚ್ಚಿಗೆ ಹಾಕುವುದು.
 4. ಮುದ್ರೆಯೊತ್ತಿದ ನಾಣ್ಯ.
 5. ನಾಣ್ಯವನ್ನು ಮುದ್ರಿಸುವ ಸ್ಥಳ.
 6. ಪಾತ್ರೆ ಮೊದಲಾದುವುಗಳ ಬಿರುಕನ್ನು ಸುತ್ತಿಗೆಯಿಂದ ಬಡಿದು ಕೂಡಿಸುವಿಕೆ.
 7. ಬೆ"
ಟಂಕಕ್ಷತ್ರ,ಕಲ್ಲುಳಿಯ ಪೆಟ್ಟು.
ಟಂಕಕ್ಷತ್ರ,ಕಲ್ಲುಳಿಯಿಂದ ಕೊರೆದ.
ಟಂಕಣ,ಲೋಹವನ್ನು ಶುದ್ಧಿಗೊಳಿಸಲು ಬಳಸುವ ಒಂದು ಬಗೆಯ ಖನಿಜ ಲವಣ.
ಟಕಮಕ,ಎವೆ ಬಡಿಯದೆ.
ಟಕಮಕ,ಆಶ್ಚರ್ಯ.
ಟಂಕಸಾಲೆ,ನಾಣ್ಯವನ್ನು ಮುದ್ರಿಸುವ ಸ್ಥಳ.
ಟಂಕಾರ,ಬಿಲ್ಲಿನ ಠೇಂಕಾರ.
ಟಂಕಾಹತಿ,"ಉಳಿಯ ಏಟು,- ಪೆಟ್ಟು."
ಟಂಕೃತಿ,ಟಂಕಾರ.
ಟಂಕೆ,"1. ದೊಣ್ಣೆ.
 2. ಕಲ್ಲುಳಿ.
 3. ಮೊಳಕಾಲು."
ಟಂಕೋತ್ಕೀರ್ಣ,"ಉಳಿಯಿಂದ ಕೊರೆದುದು,- ಕೆತ್ತಿದುದು."
ಟಕ್ಕ,ಮೋಸಗಾರ.
ಟಕ್ಕಿಸು,ವಂಚಿಸು.
ಟಕ್ಕು,"1. ಮೋಸ.
 2. ತೋರಿಕೆ.
 3. ಆತಂಕ.
 4. ಮಡಿಕೆ ಹಾಕಿ ಹೊಲಿದ ಹೊಲಿಗೆ."
ಟಕ್ಕುಟವಳಿ,ಮೋಸ.
ಟಕ್ಕೆ,ಒರಗುದಿಂಬು.
ಟಕ್ಕೆಯ,ಬಾವುಟ.
ಟಗರು,ಗಂಡುಕುರಿ.
page,2
ಟಪಾರಿಕೆ,ಮುಚ್ಚಳ.
ಟಪಾಲು,"1. ಅಂಚೆ.
 2. ಅಂಚೆಯ ಮೂಲಕ ಕಾಗದ ಪತ್ರ ಮುಂತಾದುವನ್ನು ರವಾನಿಸುವಿಕೆ."
ಟಪ್ಪೆ,"1. ಪ್ರಯಾಣದ ದಾರಿಯ ಮಧ್ಯದಲ್ಲಿ ಏರ್ಪಡಿಸಿರುವ ನಿಲುಗಡೆಯ ಸ್ಥಳ.
 2. ಟಪಾಲು."
ಟಮಕಿ,ಸಣ್ಣ ತಮಟೆ.
ಟಮಾಳ,"1. ಮೋಸ.
 2. ವಂಚನೆಯ ಮಾತು."
ಟಲಾ(ಳಾ)ಯಿಸು,ಅತ್ತಿಂದಿತ್ತ ತಿರುಗಾಡು.
ಟವಟವಿಸು,ಹೊಳೆ.
ಟವಣೆ,(ಸಂಖ್ಯೆಗಳನ್ನು) ಕೂಡುವ ಮತ್ತು ಕಳೆಯುವ ಲೆಕ್ಕ.
ಟವಳಿ,ಮೋಸ.
ಟವಳಿಗಾಱ,ಮೋಸಗಾರ.
ಟವಾಳ,"1. ಮೋಸ.
 2. ಮರುಳು."
ಟವಾಳಿಸು,"1. ಮೋಸಗೊಳಿಸು.
 2. ಮರುಳುಗೊಳಿಸು."
ಟವುಳಿ,"1. ಮೋಸ.
 2. ಸೀಸಕ.
 3. ಯುದ್ಧಕವಚ."
ಟಾಕಣ,ಒಂದು ಜಾತಿಯ ಗಿಡ್ಡಕುದುರೆ.
ಟಾಕಿ,"1. ಒಂದು ಬಗೆಯ ಹೊಲಿಗೆ.
 2. ಉಳಿ ಮತ್ತು ಅದರ ಪೆಟ್ಟು.
 3. ನೀರು ತುಂಬುವ ತೊಟ್ಟಿ.
 4. ಮಾತಿರುವ ಚಲನ ಚಿತ್ರ."
ಟಾಕು,"1. ಒಂದು ಬಗೆಯ ಹೊಲಿಗೆ.
 2. ಲೇಖನಿ.
 3. (ಘನವಸ್ತುಗಳ) ಭಾರದ ಒಂದು ಅಳತೆ."
ಟಾಂಗ,"1. ಒಂಟಿಕುದುರೆಯ ಗಾಡಿ.
 2. ಮೊಳಕಾಲು."
ಟಾಚಣಿ,ಗುಂಡುಸೂಜಿ.
ಟಾಂಟಾಂ,ತಮಟೆ ಬಾರಿಸುತ್ತ ಬೀದಿ ಬೀದಿಗಳಲ್ಲಿ ಪ್ರಚಾರ ಮಾಡುವ ಕ್ರಮ.
ಟಾಪು,"1. ದ್ವೀಪ.
 2. ದ್ವೀಪಾಂತರ ವಾಸದ ಶಿಕ್ಷೆ."
page,3
ಟಾರು,(ರಸ್ತೆಗೆ ಬಳಿಯುವ) ಕಪ್ಪಾದ ಅಂಟು ದ್ರವ.
ಟಾಳಿ,ಟವಳಿ.
ಟಾಳಿಕಾಱ,ಟವಳಿಗಾಱ.
ಟಾಳಿಸು,"1. ವಂಚಿಸು.
 2. ಹೀಯಾಳಿಸು."
ಟಿಕಳಿ,"1. ಚುಕ್ಕೆ.
 2. ಸಣ್ಣಬಿಲ್ಲೆ."
ಟಿಕೆಟ್ಟು,"ಪ್ರಯಾಣ ಅಥವಾ ಪ್ರವೇಶಕ್ಕಾಗಿ (ಹಣಪಡೆದು) ಅನುಮತಿ ನೀಡುವ ಚೀಟಿ,- ಗುರುತಿನ ಚೀಟಿ."
ಟಿಕ್ಕರಿಗಳೆ,"1. (ಮಾಣಿಕ್ಯದಂತೆ ಕಾಣುವ) ಗಾಜಿನ ಮಣಿ.
 2. ಕೊರಳಿನಲ್ಲಿ ಧರಿಸುವ ಒಂದು ಬಗೆಯ ಆಭರಣ."
ಟಿಟ್ಟಿಭ,ಒಂದು ಜಾತಿಯ ಪಕ್ಷಿ.
ಟಿಟ್ಟಿವ,ಟಿಟ್ಟಿಭ.
ಟಿನ್ನು,"1. ತವರ.
 2. ತವರದ ತಗಡು.
 3. ತಗಡಿನ ಡಬ್ಬ."
ಟಿಪ್ಪಣ(ಣಿ),"1. ವಿವರಣೆ.
 2. ವಿಶೇಷಸಂದರ್ಭಗಳಲ್ಲಿ ಮುಖ್ಯವಿಷಯ, ಸಾರಾಂಶಗಳನ್ನು ಮಾತ್ರ ನೆನಪಿಗಾಗಿ ಗುರುತು ಮಾಡಿಕೊಂಡ ಬರವಣಿಗೆ."
ಟಿಬ್ಬಿ,"1. ಒಂದು ಬಗೆಯ ಹೊಲಿಗೆ.
 2. ಕುಸ್ತಿಯಲ್ಲಿ ಒಂದು ವರಸೆ."
ಟಿಸಲು,ಚಿಕ್ಕಕೊಂಬೆ.
ಟಿಸಿಲು,"1. ಟಿಸಲು.
 2. ಕವಲು."
ಟಿಸಿಲುದಾರಿ,ಕವಲುದಾರಿ.
ಟಿಸಿಲೊಡೆ,"1. ಕೊಂಬೆಹುಟ್ಟು,- ಕವಲೊಡೆ.
 2. ಬೇರೆಬೇರೆಯಾಗು."
ಟೀ,ಒಂದು ಬಗೆಯ ಪಾನೀಯ.
ಟೀಕಾಕಾರ,ಮೂಲ(ಶಾಸ್ತ್ರ)ಗಳಿಗೆ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯುವವನು.
ಟೀಕಿಸು,"1. ವ್ಯಾಖ್ಯಾನಮಾಡು.
 2. ಗುಣದೋಷ ವಿಮರ್ಶೆಮಾಡು.
 3. ದೋಷಗಳನ್ನು ಎತ್ತಿತೋರಿಸು."
ಟೀಕು,ಅರ್ಥವಿವರಣೆ.
page,4
ಟೀಕುವರೆ,ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆ.
ಟೀಕೆ,"1. ಟೀಕು.
 2. ಗುಣದೋಷ ವಿಮರ್ಶೆ.
 3. ತಪ್ಪನ್ನು ಎತ್ತಿ ತೋರಿಸುವಿಕೆ.
 4. ಕೊರಳಲ್ಲಿ ಧರಿಸುವ ಒಂದು ಬಗೆಯ ಚಿನ್ನದ ಆಭರಣ."
ಟೀಪಾಯಿ,"1. ಮೂರುಕಾಲಿನ ಮಣೆ.
 2. ಒಂದು ಬಗೆಯ ಕಾಲುಮಣೆ."
ಟೀವ,ಉದ್ದವಾದ ಬಾಲವುಳ್ಳ ಒಂದು ಬಗೆಯ ಪಕ್ಷಿ.
ಟುಂಟುಕ,ಕೆಳಮಟ್ಟದ.
ಟುಂಟುಕ,ಕ್ರೂರಿ.
ಟುಮಕಿ,"1. ಒಂದು ಬಗೆಯ ಚರ್ಮ ವಾದ್ಯ.
 2. ನೀರಿನಲ್ಲಿ ಎರಡೂ ಕೈಗಳಿಂದ ಸದ್ದಾಗುವಂತೆ ಹೊಡೆಯುವಿಕೆ."
ಟುಮುಕ,ಕುಳ್ಳಾಗಿ ದಪ್ಪನಾಗಿರುವವನು.
ಟುಮುಕು,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಟೆಕ್ಕೆ,"1. ಬಾವುಟ.
 2. ಖೋಟಾ ರತ್ನ."
ಟೆಕ್ಕೆಯ,ಟಕ್ಕೆಯ.
ಟೆಂಟಣಿಸು,"1. ವಿರೋಧಿಸು.
 2. ಉತ್ಸಾಹಪಡು.
 3. ಅಂಜು.
 4. ಆಧಾರವಾಗು.
 5. ಒತ್ತಾಗಿ ಸೇರು.
 6. ಉಂಟುಮಾಡು.
 7. ಶೋಭಿಸು."
ಟೆಂಠಣಿಸು,"1. ವಿರೋಧಿಸು.
 2. ಅಂಜು.
 3. ಒಟ್ಟಾಗಿ ಸೇರು.
 4. ವ್ಯಾಕುಲಗೊಳ್ಳು."
ಟೆಪ್ಪರ,"1. ಕುದುರೆ ಮೊದಲಾದುವುಗಳ ನಾಗಾಲೋಟ.
 2. ಹಿಂಸೆ."
ಟೆಬ್ಬರ,ಹಿಂಸೆ.
ಟೆಬ್ಬರಿಸು,"1. ಶಕ್ತಿಗುಂದಿಸು.
 2. ಗಾಯಪಡಿಸು.
 3. ಶಕ್ತಿಗುಂದು.
 4. ಅಸಹ್ಯಪಡು."
ಟೇಕ,"ಮೃದಂಗ, ತಬಲ, ಮದ್ದಳೆ ಮುಂತಾದ ವಾದ್ಯಗಳನ್ನು ಬಾರಿಸುವಾಗ ಬೆರಳಿನಿಂದ ಹಾಕುವ ಪೆಟ್ಟು."
ಟೊಂಕ,ಸೊಂಟ.
ಟೊಂಕಕಟ್ಟು,ಅಣಿಯಾಗು.
ಟೊಕಳಿ,"1. ಪೊಳ್ಳಾದ ಹೊರಮರ.
 2. ಕೈಲಾಗದವನು."
page,5
ಟೊಕ್ಕ,ಕುಂಟುವಿಕೆ.
ಟೊಂಗೆ,ಕೊಂಬೆ.
ಟೊಣಪ,ದಪ್ಪವಾದ.
ಟೊಣಪ,"1. ಸ್ಥೂಲಕಾಯನಾದ ಮನುಷ್ಯ.
 2. ಉಂಡಾಡಿ.
 3. ದಡ್ಡ."
ಟೊಣಪೆ,"1. ಮರದ ದಪ್ಪವಾದ ತುಂಡು.
 2. ದೊಣ್ಣೆಯ ಪೆಟ್ಟು,- ಏಟು."
ಟೊಣೆ,"1. ಇರಿ.
 2. ಕದಿ.
 3. ವಂಚಿಸು.
 4. ತಿರಸ್ಕರಿಸು.
 5. ಸೋಲಿಸು."
ಟೊಣೆಯ,ಸ್ಥೂಲಕಾಯದ ಮನುಷ್ಯ.
ಟೊಪ್ಪರ,ಟೋಪಿ.
ಟೊಪ್ಪಿಗೆ,"1. ಹೆಣೆದು ಅಥವಾ ಹೊಲಿದು ತಯಾರಿಸಿದ ತಲೆಯ ತೊಡುಗೆ.
 2. ಬೇಟೆಯ ಪ್ರಾಣಿಗಳಿಗೆ ತೊಡಿಸುವ ಮೊಗ ವಾಡ,- ಮುಖಾವರಣ.
 3. ಸೀಸಕ."
ಟೊಪ್ಪಿಗೆಬೀಳು,"1. ಮೋಸಹೋಗು.
 2. ಮೋಸವಾಗು."
ಟೊಪ್ಪಿಗೆಹಾರಿಸು,"1. ಟೋಪಿ ಅಥವಾ ಶಿರಸ್ತ್ರಾಣವನ್ನು ತಲೆಯಿಂದ ಬೀಳಿಸು.
 2. ಅವಮರ್ಯಾದೆ ಮಾಡು."
ಟೊಳ್ಳು,"1. ಒಳಗೆ ತಿರುಳಿಲ್ಲದುದು,- ಸತ್ತ್ಚವಿಲ್ಲದುದು.
 2. ಪೊಟರೆ."
ಟೊಳ್ಳು,ಒಳಗೆ ಹುರುಳಿಲ್ಲದ.
ಟೊಳ್ಳುಗಣ್ಣು,ಗುಡ್ಡೆಯಿಲ್ಲದೆ ಗುಳಿಬಿದ್ದ ಕಣ್ಣು.
ಟೋಕರು,"1. ಪೆಟ್ಟು.
 2. ಮೋಸ.
 3. ಕೂಲಿ, ಸಂಬಳ ಮೊದಲಾದುವುಗಳಲ್ಲಿಯ ಕಡಿತ,- ಖೋತ."
ಟೋಕುಮಾರಾಟ,ಒಟ್ಟುಗಟ್ಟಲೆ ಮಾರಾಟ.
ಟೋಪಿ,ಟೊಪ್ಪಿಗೆ.
ಟೋಪಿಬೀಳು,ಟೊಪ್ಪಿಗೆಬೀಳು.
ಟೋಪಿಹಾಕು,ಟೊಪ್ಪಿಗೆಹಾಕು.
ಟೋಳಿ,"1. ಗುಂಪು.
 2. ಸೈನ್ಯದ ಒಂದು ಭಾಗ,- ತುಕಡಿ."
page,6
ಟೌಳಿ,"1. ಮೋಸ.
 2. ಸುಳ್ಳು.
 3. ಲೋಹದ ಟೊಪ್ಪಿಗೆ."
page,7
page,8
