page,1
ಢ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತೆಂಟನೆಯ ಅಕ್ಷರ.
 2. ನಾಲ್ಕು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಢಕಲಾಯಿಸು,ನೂಕು.
ಢಕ್ಕುಳಿ,ಮೈಗಳ್ಳತನ.
ಢಕ್ಕೆ,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಢಗೆ,"1. ಕಾವು.
 2. ಬಾಯಾರಿಕೆ.
 3. ಕಳವಳ."
ಢಪ್ಪಳಸೀರೆ,ಒಂದು ವಿಶಿಷ್ಟತರದ ನೆಯ್ಗೆ ಯುಳ್ಳ ಸೀರೆ.
ಢಾಣಾಡಂಗುರ,ಎಲ್ಲರಿಗೂ ತಿಳಿದ ವಿಷಯ.
ಢಾಣೆ,"1. ಒಂದು ಬಗೆಯ ಆಯುಧ.
 2. ಕಡಲೆಹಿಟ್ಟಿನಿಂದ ಕರಿದು ಮಾಡುವ ಒಂದು ಬಗೆಯ ತಿನಿಸು."
ಢಾಲು,"1. ಗುರಾಣಿ.
 2. ಪಂದ್ಯಗಳಲ್ಲಿ ಗೆದ್ದಿರುವ ತಂಡಕ್ಕೆ ಕೊಡುವ ಗುರಾಣಿಯ ಆಕಾರದ (ಬೆಳ್ಳಿಯ) ಪಾರಿತೋಷಕ.
 3. (ಸಂಗೀತದಲ್ಲಿ) ದಾಟುಸ್ವರಗಳ ಪ್ರಯೋಗ."
ಢಾಳ,"1. ಹೊಳಪು.
 2. ಮೋಸ ಗಾರ.
 3. ಒಂದು ಬಗೆಯ ನೃತ್ಯ.
 4. ಬಿಳಿಯ ಬಣ್ಣ.
 5. ಪಗಡೆಯಾಟದಲ್ಲಿ ಗರಕ್ಕಾಗಿ ಉರುಳಿಸುವ ಸಾಧನ."
ಢಾಳಂಬಡೆ,ಬೆಳಗು.
ಢಾಳಯಿಸು,ಬೀಸು.
ಢಾಳಿಸು,"1. ಮಿಂಚು.
 2. ಹೊಳಪು ಮಾಡು.
 3. ಮಸೆ.
 4. ಬೀಸು.
 5. ಅಲುಬು."
ಢಾಳು,ಹೊಳಪು.
ಢೀಗು,ಹೊರೆ.
ಢೋಂಗಿ,ಮೋಸ.
page,2
page,3
