page,1
ತ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತನೆಯ ಅಕ್ಷರ.
 2. ಆರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ.
 3. (ಛಂದಸ್ಸಿನ) ಅಕ್ಷರಗಣಗಳಲ್ಲಿ ಒಂದು."
ತಂ,(ಸಂಗೀತದಲ್ಲಿ) ಒಂದು ಗೀತಾಕ್ಷರ.
ತಂ,ತಂಪಾದ.
ತಕತ್ತು,ರಾಜ್ಯ.
ತಕರಾರು,"1. ಆಕ್ಷೇಪಣೆ.
 2. ಅಡ್ಡಿ."
ತಕರಾರುಅರ್ಜಿ,"1. ಕೆಳಗಿನ ಕೋರ್ಟಿನ ತೀರ್ಪನ್ನು ಪ್ರತಿಭಟಿಸಿ ಸಲ್ಲಿಸಿದ ಅರ್ಜಿ,- ಮೇಲರ್ಜಿ.
 2. (ನ್ಯಾಯಾಲಯಕ್ಕೆ) ಒಬ್ಬನು ಸಲ್ಲಿಸಿದ ಅರ್ಜಿಗೆ ಪ್ರತಿಯಾಗಿ ಸಲ್ಲಿಸಿದ ಅರ್ಜಿ."
ತಕಲಿ,ನೂಲನ್ನು ತೆಗೆಯುವ ಒಂದು ಉಪಕರಣ.
ತಕಾವಿ,"ಸರ್ಕಾರವು ರೈತರಿಗೆ ಕೊಡುವ ಸಾಲದ ಹಣ,- ಮುಂಗಡ ಹಣ."
ತಕ್ಕ,"1. ಯೋಗ್ಯನಾದವನು.
 2. ಒಳ್ಳೆಯವನು.
 3. ಹಿತೈಷಿ.
 4. ಊರಿನ ಮುಖ್ಯಸ್ಥ."
ತಕ್ಕಡಿ,"1. ವಸ್ತುಗಳ ಭಾರವನ್ನು ತೂಗುವ ಸಾಧನ.
 2. ಮೋಸ."
ತಕ್ಕಲು,ವ್ಯವಸಾಯಕ್ಕೆ ಯೋಗ್ಯವಾದ ಭೂಮಿ.
ತಕ್ಕಳಿ,ಎದೆಗುಂದು.
ತಕ್ಕಳಿಸು,ಚಿಮುಕಿಸು.
ತಕ್ಕೞಿ,"1. ಘನತೆಗೆಡು.
 2. ತಕ್ಕಳಿ.
 3. ಔಚಿತ್ಯವನ್ನು ಮೀರು."
ತಕ್ಕಾಮೆ,"1. ಘನತೆ.
 2. ಪದವಿ."
ತಕ್ಕಾಳಿ,ಟೊಮ್ಯಾಟೊ ಹಣ್ಣು.
ತಕ್ಕಿಲು,ತಕ್ಕಲು.
ತಕ್ಕಿಲ್,"1. ಒಂದು ಬಗೆಯ ಮರ.
 2. ತಕ್ಕಲು."
ತಕ್ಕಿಸು,"1. ಅಪೇಕ್ಷಿಸು.
 2. ಅಪ್ಪು.
 3. ನಾಟು."
ತಕ್ಕು,ಪಡೆ.
page,2
ತಕ್ಕು,"1. ಹಿರಿಮೆ.
 2. ಯೋಗ್ಯವಾದುದು.
 3. ನಾಣ್ಣುಡಿ.
 4. ಸಾಮಥ್ರ್ಯ.
 5. ಬೆಡಗು.
 6. ಸ್ನೇಹ.
 7. ಆಸೆ.
 8. ನೆರವು.
 9. ಕಾವ್ಯದಲ್ಲಿರುವ ಔಚಿತ್ಯ.
 10. ಮೋಸ.
 11. ಒಂದು ಬಗೆಯ ಔಷಧೀಸಸ್ಯ."
ತಕ್ಕುಗುಡು,ಒತ್ತಾಸೆಯಾಗು.
ತಕ್ಕುಮೆ,"1. ತಕ್ಕುದಾಗಿರುವಿಕೆ.
 2. ಯೋಗ್ಯತೆ.
 3. ಶೌರ್ಯ."
ತಕ್ಕೂರ್ಮೆ,"1. ದೊಡ್ಡಸ್ತಿಕೆ.
 2. ಪ್ರೀತಿ."
ತಕ್ಕೆ,"1. ಅಪ್ಪುಗೆ.
 2. ಎರಡು ತೋಳುಗಳ ಹಿಡಿತ.
 3. ಗುಂಪು.
 4. ತಕ್ಕವಳು.
 5. ಒರಗುದಿಂಬು."
ತಕ್ಕೆಬೀಳು,ಅವುಚಿಕೊಳ್ಳು.
ತಕ್ಕೆಮುಕ್ಕೆ,ಗಟ್ಟಿಯಾಗಿ ತಬ್ಬಿಕೊಳ್ಳುವುದು.
ತಕ್ಕೈಸು,"1. ಅಪ್ಪು.
 2. ಸಂತೈಸು.
 3. ಅಪ್ಪಿಕೊಳ್ಳುವಂತೆ ಮಾಡು."
