page,1
ಧ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತು ಮೂರನೆಯ ಅಕ್ಷರ.
 2. ಒಂಬತ್ತು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ.
 3. (ಸಂಗೀತದ) ಸಪ್ತಸ್ವರಗಳಲ್ಲಿ ಆರನೆಯದು."
ಧಕ್ಕಡ,ಗಟ್ಟಿಮುಟ್ಟಾದ.
ಧಕ್ಕಡ,"1. ಧೈರ್ಯಸ್ಥ.
 2. ತೀಕ್ಷ್ಣತೆ."
ಧಕ್ಕಾಮುಕ್ಕಿ,"1. ಗದ್ದಲ.
 2. ಗುದ್ದಾಟ."
ಧಕ್ಕೆ,"1. ಅಪಾಯ.
 2. ಏಟು.
 3. ಹಡಗು ನಿಲ್ಲುವ ಸ್ಥಳ.
 4. ಹಡಗಿನ ಅಟ್ಟ,- ಮೇಲು ಭಾಗ."
ಧಗಡಿ,"1. ಉದ್ಧಟವ್ಯಕ್ತಿ.
 2. ಜಾರೆ.
 3. ನೀರಿನ ಮೇಲೆ ಹಬ್ಬುವ ಒಂದು ವಿಧವಾದ ಬಳ್ಳಿ."
ಧಗಧಗಿಸು,"1. ಪ್ರಜ್ವಲಿಸು.
 2. ಥಳಥಳಿಸು."
ಧಗೆ,"1. ಕಾವು.
 2. ಕಳವಳ."
ಧಟ್ಟಣೆ,"1. ಅಬ್ಬರ.
 2. ಏಟು."
ಧಟ್ಟಿಸು,ದಟ್ಟಿಸು.
ಧಡ,"1. ದಂಡೆ.
 2. ಮುಂಡ.
 3. ಗಟ್ಟಿಮುಟ್ಟಾದುದು."
ಧಡಪಡಿಸು,"1. ಆತುರ ಪಡು.
 2. ಪ್ರಯತ್ನಿಸು.
 3. ಚಡಪಡಿಸು."
ಧಡಿಯ,"1. ಟೊಣಪ.
 2. ಮಣದ ನಾಲ್ಕನೆಯ ಒಂದು ಭಾಗ."
ಧಡೂತಿ,ದಡೂತಿ.
ಧಣಿ,ಒಡೆಯ.
ಧಂದೆ,"1. ಜೀವನೋಪಾಯ.
 2. ಕೆಲಸ.
 3. ವ್ಯಾಪಾರ."
ಧನ,"1. ಹಣ.
 2. ಸಂಪತ್ತು.
 3. ಸಂಕಲನವನ್ನು ಸೂಚಿಸುವ ಚಿಹ್ನೆ."
ಧನಂಜಯ,"1. ಅಗ್ನಿ.
 2. ಅರ್ಜುನ.
 3. ಶರೀರದಲ್ಲಿರುವ ದಶವಾಯುಗಳಲ್ಲಿ ಒಂದು."
ಧನದ,"1. ಕುಬೇರ.
 2. ಹಣವಂತ.
 3. ಧನವನ್ನು ದಾನ ಮಾಡುವವನು."
ಧನದಸಖ,ಕುಬೇರನ ಗೆಳೆಯ.
page,2
ಧನಸಹಾಯ,ಹಣದ ಪೂರೈಕೆ.
ಧನಾದೇಶ,ಅಂಚೆಯ ಮೂಲಕ ಹಣವನ್ನು ಕಳಿಸುವ ವ್ಯವಸ್ಥೆ.
ಧನಿ,"1. ಸದ್ದು.
 2. ಇಂಪಾದ ಸ್ವರ.
 3. ಹಣವಂತ.
 4. ಒಡೆಯ.
 5. ಕುಬೇರ."
ಧನಿಕ,ಹಣವಂತ.
ಧನಿಯ,"1. ಸ್ತುತಿಪಾತ್ರ.
 2. ಕೃತಾರ್ಥ.
 3. ಕೊತ್ತುಂಬರಿ ಬೀಜ."
ಧನು,"1. ಬಿಲ್ಲು.
 2. ನಾಲ್ಕು ಹಸ್ತಗಳ ಒಂದು ಅಳತೆ.
 3. ಜ್ಯೋತಿಶ್ಚಕ್ರದಲ್ಲಿ ಒಂದು ರಾಶಿಯ ಹೆಸರು."
ಧನುರಾಗಮ,ಅಸ್ತ್ರಪ್ರಯೋಗಗಳನ್ನು ಕುರಿತ ಶಾಸ್ತ್ರ.
ಧನುರ್ಗುಣ,ಬಿಲ್ಲಿನ ಹೆದೆ.
ಧನುರ್ದಂಡ,ಬಿಲ್ಲು.
ಧನುರ್ಮಾಸ,ಸೌರಮಾನದ ಒಂಬತ್ತನೆಯ ತಿಂಗಳು.
ಧನುರ್ವಾತ,ಸೆಳವು ರೋಗ.
ಧನುರ್ವೇದ,ನಾಲ್ಕು ಉಪವೇದಗಳಲ್ಲಿ ಒಂದು.
ಧನುಷ್ಕೋಟಿ,"1. ಬಿಲ್ಲಿನ ತುದಿ.
 2. ದಕ್ಷಿಣ ಭಾರತದ ಒಂದು ಪುಣ್ಯಕ್ಷೇತ್ರ.
 3. (ಜ್ಯೋತಿಶ್ಚಕ್ರದ) ಹನ್ನೆರಡು ರಾಶಿಗಳಲ್ಲಿ ಒಂದು."
ಧನುಸ್ಸು,"1. ಬಿಲ್ಲು.
 2. (ಜ್ಯೋತಿಶ್ಚಕ್ರದ) ಹನ್ನೆರಡು ರಾಶಿಗಳಲ್ಲಿ ಒಂದು."
ಧನ್ಯ,"1. ಪುಣ್ಯವಂತ.
 2. ಕೃತಾರ್ಥ.
 3. ಹಣವಂತ.
 4. ಧನ.
 5. ಗುಣವಂತ."
ಧನ್ಯತೆ,"1. ಐಶ್ವರ್ಯವಂತಿಕೆ.
 2. ಅದೃಷ್ಟ.
 3. ಕೃತಾರ್ಥತೆ."
ಧನ್ವ,"1. ಬಿಲ್ಲು.
 2. ಮರುಭೂಮಿ."
ಧನ್ವಂತರಿ,"1. ಸೂರ್ಯ.
 2. ದೇವತೆಗಳ ವೈದ್ಯ."
ಧನ್ವಿ,ಬಿಲ್ಲುಗಾರ.
ಧಬಧಬೆ,ಜಲಪಾತ.
page,3
ಧಮಕಿ,ಬೆದರಿಕೆ.
ಧಮನಿ,"1. ರಕ್ತನಾಳ.
 2. ಕೊಳವೆ."
ಧಮ್ಮಿಲ್ಲ,ತುರುಬು.
ಧರಣ,"1. ಧರಿಸುವುದು.
 2. ಒಂದು ಬಗೆಯ ನಾಣ್ಯ.
 3. ಒಂದು ತೂಕದ ಪ್ರಮಾಣ.
 4. ಧರಣಿ ಮುಷ್ಕರ."
ಧರಣಿ,"1. ಭೂಮಿ.
 2. ರಾಜ್ಯ.
 3. ಒಂದು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ.
 4. ಪಟ್ಟುಹಿಡಿದು ಕುಳಿತು ಮಾಡುವ ಮುಷ್ಕರ."
ಧರಣಿಜ,"1. ಭೂಮಿಯಲ್ಲಿ ಹುಟ್ಟಿದುದು.
 2. ಭೂಮಿದೇವಿಯ ಮಗ."
ಧರಣಿಪ,ರಾಜ.
ಧರಣಿಪಾಲ,ಧರಣಿಪ.
ಧರಣಿಮಂಡಲ,ಭೂಮಂಡಲ.
ಧರಣಿಸುತೆ,ಸೀತೆ.
ಧರತಿ,(ವಿಶಿಷ್ಟವಾದ) ಶೈಲಿ.
ಧರಧುರ,"1. ಆರ್ಭಟ.
 2. ಆಧಿಕ್ಯ.
 3. ತೀವ್ರತೆ."
