page,1
ಫ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತಾರನೆಯ ಅಕ್ಷರ.
 2. ಎರಡು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಫಕೀರ,ಮಹಮ್ಮದೀಯ ಸಂನ್ಯಾಸಿ.
ಫಕ್ಕನೆ,ಇದ್ದಕ್ಕಿದ್ದಂತೆ.
ಫಕ್ಕಿ,ರೀತಿ.
ಫಜೀತಿ,ತೊಂದರೆ.
ಫಟಿಂಗ,"1. ಪೋಕರಿ.
 2. ತಂಟೆಕೋರ."
ಫಡ,"1. ಬೆಳೆದು ನಿಂತ ಜೋಳ, ಕಬ್ಬು ಮೊದಲಾದ ಪೈರು.
 2. ತಿರಸ್ಕಾರ ಹಾಗೂ ಕೋಪಗಳನ್ನು ಸೂಚಿಸುವ ಒಂದು ಮಾತು,- ಪದ."
ಫಡಕು,"1. ಕಿಟಕಿ, ಬಾಗಿಲು ಮುಂತಾದುವುಗಳ ರೆಕ್ಕೆ,- ಕದ.
 2. ಬಾಳೆ ಎಲೆಯ ತುಂಡು,- ಸೀಳು."
ಫಡಗಳ್ಳಿ,ಪಾಪಾಸುಕಳ್ಳಿ.
ಫಡಪೋಶಿ(ಸಿ),ಎಚ್ಚರಿಕೆಯಿಲ್ಲದಿರುವಿಕೆ.
ಫಡಪೋಶಿ(ಸಿ),ಕೆಲಸಕ್ಕೆಬಾರದ.
ಫಡಿ,"1. ಕಲ್ಲುಬಂಡೆಗಳ ಸಂದು,- ಬಿರುಕು.
 2. ಚಪ್ಪಡಿ ಕಲ್ಲು.
 3. ಕಲ್ಲುಗಳಿಂದ ಕಟ್ಟಿರುವ ಕಟ್ಟೆ."
ಫಡ್ಚ,ನಾಶ.
ಫಣ,"1. ಹಾವಿನ ಹೆಡೆ.
 2. ಒಂದು ನಿರ್ದಿಷ್ಟ ಬೆಲೆಯ ನಾಣ್ಯ.
 3. ಜಾತಿ."
ಫಣಾರತ್ನ,ಹಾವಿನ ಹೆಡೆಯಲ್ಲಿರುವ ರತ್ನ.
