page,1
ಯ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತನೆಯ ಅಕ್ಷರ.
 2. (ಛಂದಸ್ಸಿನಲ್ಲಿ) ಒಂದು ಲಘು, ಎರಡು ಗುರುಗಳುಳ್ಳ ಒಂದು ಗಣ."
ಯ(ಯೆ)ಹೂದ್ಯ,ಪ್ಯಾಲಸ್ಟೈನ್ ಅಥವಾ ಇಸ್ರೇಲ್ ದೇಶದಲ್ಲಿ ವಾಸಿಸುವ ಒಂದು ಜನಾಂಗದ ಹೆಸರು ಮತ್ತು ಆ ಜನಾಂಗಕ್ಕೆ ಸೇರಿದ ವ್ಯಕ್ತಿ.
ಯಃಕಶ್ಚಿತ,ತೀರ ಕ್ಷುಲ್ಲಕನಾದವನು.
ಯಃಕಶ್ಚಿತ್,ತೀರ ಕ್ಷುಲ್ಲಕವಾದ.
ಯಕೃತ್ತು,ಪಿತ್ತಕೋಶ.
ಯಕ್ಷ,"1. ದೇವತೆಗಳಲ್ಲಿ ಒಂದು ವರ್ಗ.
 2. ಆ ವರ್ಗದ ಅಧಿಪತಿ.
 3. ಪಿಶಾಚಿ."
ಯಕ್ಷಕರ್ದಮ,"ಕರ್ಪೂರ, ಕಸ್ತೂರಿ ಮುಂತಾದ ಸುಗಂಧದ್ರವ್ಯಗಳಿಂದ ತಯಾರಿಸಿದ ಒಂದು ಬಗೆಯ ಲೇಪನದ್ರವ್ಯ."
ಯಕ್ಷಗಾನ,"1. ಒಂದು ಬಗೆಯ ಜಾನಪದ ನೃತ್ಯನಾಟಕ.
 2. (ಯಕ್ಷಗಾನಪ್ರಬಂಧಕ್ಕೆ ಸಂಬಂಧಿಸಿದ) ಒಂದು ಬಗೆಯ ಗಾಯನ ಪದ್ಧತಿ."
ಯಕ್ಷಪತಿ,ಯಕ್ಷರ ಅಧಿಪತಿ.
ಯಕ್ಷಪ್ರಶ್ನೆ,"1. ಮಹಾಭಾರತ ಕಥಾ ಪ್ರಸಂಗದಲ್ಲಿ ಯಕ್ಷರೂಪಿಯಾದ ಯಮ ಧರ್ಮರಾಯನು ಯುಧಿಷ್ಠಿರನಿಗೆ ಕೇಳಿದ ಪ್ರಶ್ನೆ.
 2. ಉತ್ತರಿಸಲು ಕಷ್ಟವಾದರೂ ಉತ್ತರಿಸಲೇಬೇಕಾದ ಮಹತ್ತ್ವದ ಪ್ರಶ್ನೆ,- ಸಮಸ್ಯೆ."
