page,1
ರಂಗಕಾಱ,ಬಟ್ಟೆಗಳನ್ನು ಶುಭ್ರಮಾಡುವವನು.
ರಣಗೞ್ತಲೆ,"ಯುದ್ಧಭೂಮಿಯಲ್ಲಿ ಧೂಳು, ಬಾಣಸಮುದಾಯ, ಧ್ವಜ ಮೊದಲಾದುವು ಗಳಿಂದ ಉಂಟಾಗುವ ಕತ್ತಲೆ."
ರನ್ನವೆಸ,ರತ್ನವನ್ನು ಕುಂದಣಿಸುವಿಕೆ.
ರನ್ನೆ,ಶ್ರೇಷ್ಠಳಾದವಳು.
ರಪಣ,"1. ಆಸ್ತಿ.
 2. ರಕ್ಷಿಸುವ ಸಾಧನ."
ರಪಾಟ,ವೇಗವಾದ ಓಟ.
ರಪ್ಪು,ಬಟ್ಟೆಯಲ್ಲಿ ತೂತುಬಿದ್ದ ಭಾಗವನ್ನು ದಾರದಿಂದ ಹೊಲಿದು ಜೋಡಿಸುವುದು.
ರಫ್ತು,ಒಂದು ದೇಶದಿಂದ ಪರದೇಶಕ್ಕೆ ಸರಕನ್ನು ಕಳುಹಿಸುವುದು.
ರಬಟಿ,ಅನಾವಶ್ಯಕವಾದ ಆಯಾಸ ವಾದ.
ರಬ್ಬಳಿಗೆ,"ಜೋಳದ ಹಿಟ್ಟಿನಿಂದ ಮಾಡಿದ ಗಂಜಿ,- ಅಂಬಲಿ."
ರಬ್ಬು,ಆಡಂಬರ.
ರಭಸ,"1. ವೇಗ.
 2. ಆರ್ಭಟ.
 3. ಸಿಟ್ಟು."
ರಮ,"1. ಹಿತಕರವಾದುದು.
 2. ಇನಿಯ."
ರಮಣ,"1. ಹಿತವನ್ನು ಉಂಟುಮಾಡು ವಂತಹುದು.
 2. ವಿಲಾಸ.
 3. ನಲ್ಲ.
 4. ಗಂಡ.
 5. ಕಾಮ.
 6. ಕತ್ತೆ."
ರಮಣಿ,"1. ಸುಂದರಳಾದ ತರುಣಿ.
 2. ಹೆಂಡತಿ.
 3. ಹೆಂಗಸು.
 4. ನಲ್ಲೆ."
ರಮಣೀಯ,ಮನೋಹರವಾದುದು.
ರಮಣೀಯ,"1. ಆನಂದವನ್ನುಂಟುಮಾಡುವ.
 2. ಚೆಲುವಾದ."
ರಮಾಧವ,ಲಕ್ಷ್ಮಿಯ ಪತಿ.
ರಮಾರಮಣ,ರಮಾಧವ.
ರಮಿಯಿಸು,ಸಂಭೋಗಿಸು.
page,2
ರಮಿಸು,"1. ಆನಂದ ಪಡು.
 2. ಪ್ರೀತಿಯಿಂದ ಸಮಾಧಾನಮಾಡು.
 3. ಸಂಭೋಗಿಸು.
 4. ಕಾಮಿಸು."
ರಮೆ,"1. ಹೆಂಡತಿ.
 2. ಲಕ್ಷ್ಮಿ.
 3. ಸಂಪತ್ತು.
 4. ಹೆಂಗಸು.
 5. ಸಂಭೋಗ."
ರಮ್ಯ,ರಮಣೀಯ.
ರಮ್ಯತೆ,ಚೆಲುವು.
ರಮ್ಯತೆವಡೆ,ಚೆಲುವಾಗು.
ರಯ,"1. ವೇಗ.
 2. ನೀರಿನ ಹರಿವು."
ರಯಗ,ಗಾಳಿ.
ರಯಪತಿ,ಗಾಳಿಯ ಅಧಿದೇವತೆ.
ರಯಿಸು,ಶೋಭಿಸು.
ರಯ್ಯ,ಚೆಲುವಾದ.
ರಯ್ಯ,ಅಂದವಾದುದು.
ರಯ್ಯನೆ,ವೇಗವಾಗಿ.
ರವ,ಧ್ವನಿ.
ರವ(ವಿ)ಕೆ,(ಹೆಂಗಸರ) ಕುಪ್ಪಸ.
ರವಂಗುಡು,ಧ್ವನಿಮಾಡು.
ರವಣ,"1. ಹಣ.
 2. ಜೂಜಿನಲ್ಲಿ ಒಡ್ಡುವ ಹಣ.
 3. ಕೋಗಿಲೆ.
 4. ಒಂಟೆ."
ರವಣ,"1. ಅಳುವ.
 2. ಹಾಸ್ಯಕರವಾದ.
 3. ಚಂಚಲವಾದ."
ರವಣಿ,"1. (ವಾದ್ಯ ಮುಂತಾದುವುಗಳ) ಧ್ವನಿ.
 2. ಅಬ್ಬರ."
ರವದಿ(ದೆ),ಜೋಳ ಮೊದಲಾದುವುಗಳ ಒಣಗಿದ ಗರಿ.
ರವಳಿ,"1. (ವಾದ್ಯ ಮುಂತಾದುವುಗಳ) ಧ್ವನಿ.
 2. ಒಂದು ಬಗೆಯ ರಣವಾದ್ಯ."
page,3
ರವಳಿಗೆ,ಬಿದಿರಿನಿಂದ ಮಾಡಿದ ಬುಟ್ಟಿ.
ರವಾನಿಸು,(ಸರಕು ಮುಂತಾದುವುಗಳನ್ನು) ಕಳುಹಿಸು.
ರವಾನೆ,"1. ಕಳುಹಿಸುವಿಕೆ.
 2. ಅಪ್ಪಣೆ ಚೀಟಿ."
ರವಾನೆದಾರ,ಸರಕುಗಳನ್ನು ಕಳುಹಿಸುವವನು.
ರವಿ,"1. ನೇಸರು.
 2. ಪರ್ವತ.
 3. ಎಕ್ಕದ ಗಿಡ.
 4. ಹನ್ನೆರಡು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ.
 5. (ಛಂದಸ್ಸಿನಲ್ಲಿ) ಒಂದು ಗಣದ ಹೆಸರು."
ರವಿಕಾಂತ,ಒಂದು ಬಗೆಯ ಸ್ಫಟಿಕಶಿಲೆ.
ರವಿಜ,"1. ಸೂರ್ಯನ ಮಗ.
 2. ಕರ್ಣ.
 3. ಸುಗ್ರೀವ.
 4. ಶನಿ.
 5. ವಾಲಿ.
 6. ಯಮ."
ರವಿಮಂಡಲ,ಸೂರ್ಯನ ಬಿಂಬ.
ರವಿವಾರ,ಭಾನುವಾರ.
ರವಿಸಿದ್ಧಾಂತ,ಸೌರಗಣನೆಯ ಮೂಲಕ ಗುಣಿಸಿ ಹೇಳುವ ಜ್ಯೋತಿಷ್ಯ.
ರವಿಸುತ,ರವಿಜ.
ರವಿಸುತೆ,ಸೂರ್ಯನ ಮಗಳು.
ರವೆ,"1. ಗೋಧಿ, ಅಕ್ಕಿ ಮೊದಲಾದುವುಗಳ ಸಣ್ಣ ನುಚ್ಚು,- ತರಿ.
 2. ಸಣ್ಣಹರಳು.
 3. ಬಂದೂಕಿಗೆ ಹಾಕುವ ಚರೆ."
ರವೆಯ,ನವರತ್ನಗಳಲ್ಲಿ ಒಂದು.
ರವೆವುಂಡೆ,"ರವೆ, ಸಕ್ಕರೆ ಮುಂತಾದುವನ್ನು ಸೇರಿಸಿ ತಯಾರಿಸಿದ ಒಂದುಬಗೆಯ ಉಂಡೆ."
ರಶನ,"1. ನಡುವಿಗೆ ಧರಿಸುವ ಪಟ್ಟಿ.
 2. ಲಗಾಮು."
ರಶೀತಿ(ದಿ),(ಹಣ ಮೊದಲಾದುವು) ತಲುಪಿದುದಕ್ಕಾಗಿ ಕೊಡುವ ಚೀಟಿ.
ರಶ್ಮಿ,"1. ಕದಿರು.
 2. ಕಾಂತಿ.
 3. ಕಡಿವಾಣ.
 4. ರೆಪ್ಪೆಯ ಕೂದಲು.
 5. ಹಗ್ಗ."
