page,1
ಱ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತೆರಡ ನೆಯ ಅಕ್ಷರ.
ಱ(ಱೆ)ಕ್ಕೆ,(ಪಕ್ಷಿಗಳ) ರೆಕ್ಕೆ.
ಱಂ(ಱೆಂ)ಚೆ,"ಆನೆ, ಕುದುರೆಗಳ ಪಕ್ಕರಕ್ಕೆ."
ಱಕಾರ,`ಱ’ ಎಂಬ ಅಕ್ಷರ.
ಱಂಚಿ(ಜಿ)ಕೆ,"1. ಸವಾರಿಗಾಗಿ ಆನೆಯ ಮೇಲೆ ರಚಿಸಿದ ಪೀಠ.
 2. ಒಂದು ಬಗೆಯ ಸಸ್ಯ."
ಱಚ್ಚೆ,"1. ಕೆಸರು.
 2. ಮಾತ್ಸರ್ಯ.
 3. ದೂಷಣೆ.
 4. ರಗಳೆ.
 5. ಛಲ."
ಱಚ್ಚೆಮಾಡು,ರಗಳೆಮಾಡು.
ಱಟ್ಟಡಿ,ಬಯ್ಗುಳು.
ಱಟ್ಟೆ,"1. ಪಕ್ಷಿಯ ರೆಕ್ಕೆ,- ಪಕ್ಕ.
 2. ಮೊಳಕೈಯಿಂದ ಭುಜದವರೆಗಿನ ಕೈಯ ಭಾಗ."
ಱವ(ವಿ)ಕೆ,ಹೆಂಗಸರು ತೊಡುವ ಕುಪ್ಪಸ.
ಱೞ,`ೞ’ ಎಂಬ ಅಕ್ಷರವನ್ನು ಗುರುತಿಸಲು ಉಪಯೋಗಿಸುವ ಸಂಜ್ಞೆ.
ಱಾಟಣ(ಳ),ಬಾವಿಯಿಂದ ನೀರೆತ್ತುವ ಗಾಲಿಯ ಯಂತ್ರ.
ಱಾಟಾಳ,"1. ಱಾಟಣ.
 2. ಮರದ ಕುದುರೆಗಳೂ ತೊಟ್ಟಿಲುಗಳೂ ಇದ್ದು ಚಕ್ರಾಕಾರವಾಗಿ ತಿರುಗುವ ಆಟದ ಯಂತ್ರ."
ಱುಂಜೆ,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಱೆಂಕೆ,ಱಕ್ಕೆ.
ಱೆಕ್ಕಟ,"1. ಬರಿದಾದುದು.
 2. ಮೌನ."
ಱೆಕ್ಕಟ,ನಿಷ್ಕಾರಣವಾಗಿ.
ಱೆಪ್ಪು,ಹೊಡೆ.
ಱೆಪ್ಪೆ,"ಕಣ್ಣಿನ ಎವೆ,- ಎಮೆ."
ಱೊಂಪೆ,ಕೆಸರು.
page,2
ಱೊಪ್ಪ,"1. ಪ್ರಾಣಿಗಳು ಇರುವ ನೆಲೆ.
 2. ಗಲಭೆ."
ಱೊಪ್ಪು,ಗುರುಗುಟ್ಟು.
ಱೊಪ್ಪು,ಆಶ್ರಯ.
ಱೊಬ್ಬು,"1. ಹಳುಕು.
 2. ಪ್ರಕಾಶ.
 3. ಪರಾಕ್ರಮ."
ಱೊಬ್ಬೆ,"1. ಹಳಕು.
 2. ಪ್ರಕಾಶ.
 3. ಹೊಲಸು."
ಱೋಡಗ,"1. ಪರಿಹಾಸಕ.
 2. ದಡ್ಡ.
 3. ನಾಚಿಕೆಗೆಟ್ಟವನು."
ಱೋಡಗತನ,ಪರಿಹಾಸ್ಯ.
ಱೋಡಾಡು,ಹೀಯಾಳಿಸು.
ಱೋಡಿಸು,ಱೋಡಾಡು.
ಱೋಡು,ಱೋಡಾಡು.
ಱೋಡೆಗ,ವಿಕಾರವಾದ ದೇಹವುಳ್ಳವನು.
ಱೌಂಕಿಡು,"ಗೂಳಿ, ಕೋಣ ಮೊದಲಾದ ಪ್ರಾಣಿಗಳು ಗುಟುರು ಹಾಕು,- ಡುರುಕಿಡು."
page,3
page,4
