page,1
ಲ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತು ಮೂರನೆಯ ಅಕ್ಷರ.
 2. ಮೂರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಲಂ(ಲಾಂ)ಟಾನ,"ನೀರಿನ ಸೌಕರ್ಯ ವಿಲ್ಲದಿದ್ದರೂ ಪೊದೆಪೊದೆಯಾಗಿ ಬೆಳೆಯುವ, ಸಣ್ಣ ಹೂವುಗಳನ್ನು ಬಿಡುವ ಒಂದು ಬಗೆಯ ಸಸ್ಯ."
ಲಕಲಕಿಸು,ಥಳಥಳಿಸು.
ಲಂಕಿಣಿ,"1. ಲಂಕೆಯ ಕಾವಲಿನ ರಾಕ್ಷಸಿ.
 2. ದುಷ್ಟಹೆಂಗಸು."
ಲಕುಚ,"1. ಗಜನಿಂಬೆ.
 2. ಬೇಲ.
 3. ಒಂದು ಬಗೆಯ ಕಾಡುಹಲಸು."
ಲಕುಟ,ಬಡಿಗೆ.
ಲಕೋಟೆ,"1. ಪತ್ರವನ್ನು ಇಟ್ಟು (ಅಂಟಿಸಿ) ಕಳುಹಿಸುವ ಕಾಗದದ ಸಣ್ಣ ಚೀಲ.
 2. ಅಂಟಿಸಿದ ಅಥವಾ ಅಂಟಿಸದೆ ಮುಚ್ಚಿರುವ ಅಂಚೆಯ ಪತ್ರ.
 3. ಒಂದುಬಗೆಯ ಹಣ್ಣು."
ಲಕೋಟೆಹೋಳಿಗೆ,ಲಕೋಟೆಯ ಆಕಾರ ದಲ್ಲಿ ಮಡಿಸಿ ಮಾಡಿದ ಒಂದು ಬಗೆಯ ಹೋಳಿಗೆ.
ಲಕ್ಕ,"1. ಒಂದು ಸಂಖ್ಯೆ.
 2. ಗಮನ.
 3. ದೃಷ್ಟಾಂತ.
 4. ಅರಗು.
 5. ಸುಂದರವಾದುದು."
ಲಕ್ಕಣ,"1. ಗುರುತು.
 2. ವ್ಯಾಖ್ಯೆ."
ಲಕ್ಕಣಿಕೆ,ಚಿತ್ರ ಬರೆಯುವ ಸಾಧನ.
ಲಕ್ಕರಿ,ಸೈನ್ಯ.
ಲಕ್ಕಿ,"1. ಒಂದು ಬಗೆಯ ಔಷಧೀಸಸ್ಯ.
 2. ಲಕ್ಷ್ಮಿ."
ಲಕ್ಕು,ಗಮನ.
ಲಕ್ಕೆ,"1. ಸಿಂಧುವಾರ.
 2. ಒಂದು ಸಂಖ್ಯೆ."
ಲಕ್ವ,ಶರೀರದ ಒಂದು ಭಾಗವು ನಿಷ್ಕಿ ್ರಯವಾಗುವ ಒಂದು ಬಗೆಯ ರೋಗ.
ಲಕ್ಷ,"1. ಗಮನ.
 2. ಒಂದು ಸಂಖ್ಯೆ.
 3. ಗುರುತು.
 4. ತೋರಿಕೆ.
 5. ಕಪಟ.
 6. ಗುರಿ.
 7. ಮುತ್ತು."
ಲಕ್ಷಕೊ(ಗೊ)ಡು,ಗಮನಕೊಡು.
ಲಕ್ಷಣ,"1. ಗುರುತು.
 2. ವಿಶಿಷ್ಟವಾದ ಗುಣ.
 3. ಚಂದ್ರನಲ್ಲಿರುವ ಕಪ್ಪು,- ಕಳಂಕ.
 4. (ಮೈಮೇಲಿನ) ಒಳ್ಳೆಯ ಗುರುತು.
 5. ಚೆಲುವು.
 6. ಒಂದು ವಸ್ತು ಇಲ್ಲವೆ ಸಂಗತಿಯ ವಿಶಿಷ್ಟಗುಣಗಳ ಸೂತ್ರಬದ್ಧವಾದ ನಿರೂಪಣೆ.
 7. ನೋಟ.
 8. ಗುರಿ.
 9. ಬೆಳೆದ ಉಗುರನ್ನು ತೆಗೆಯುವ ಸಾಧನ."
ಲಕ್ಷಣಗ್ರಂಥ,"(ಭಾಷೆ, ಕಾವ್ಯ ಮುಂತಾದುವುಗಳ) ಲಕ್ಷಣಗಳನ್ನು ಪ್ರತಿಪಾದಿಸುವ ಗ್ರಂಥ."
page,2
ಲಕ್ಷಣವಂತ,"1. ಚೆಲುವ.
 2. ಅದೃಷ್ಟವಂತ."
ಲಕ್ಷಾಂತರ,ಲಕ್ಷಗಟ್ಟಲೆ.
ಲಕ್ಷಾಧಿಕಾರಿ,ಲಕ್ಷಸಂಖ್ಯೆಯ ಸಂಪತ್ತಿನ ಒಡೆಯ.
ಲಕ್ಷಾಧಿಪತಿ,ಲಕ್ಷಾಧಿಕಾರಿ.
ಲಕ್ಷಾಧೀಶ್ವರ,ಲಕ್ಷಾಧಿಕಾರಿ.
ಲಕ್ಷಿಸು,"1. ಗುರಿಯಿಡು.
 2. ಹೊಂದಿಸು.
 3. ಗಮನಿಸು."
ಲಕ್ಷ್ಮ,"1. ಗುರುತು.
 2. ಚಂದ್ರನಲ್ಲಿರುವ ಕಳಂಕ,- ಕರೆ.
 3. ಮುಖ್ಯವಾದುದು."
ಲಕ್ಷ್ಮಿ,"1. ಸಂಪತ್ತು.
 2. ಸುದೈವ.
 3. ಏಳಿಗೆ.
 4. ಚೆಲುವು.
 5. ಐಶ್ವರ್ಯ ಮತ್ತು ಸೌಂದರ್ಯಗಳ ಅಧಿದೇವತೆ.
 6. ಒಂದು ಬಗೆಯ ಸಸ್ಯ."
ಲಕ್ಷ್ಮೀಕಟಾಕ್ಷ,ಲಕ್ಷ್ಮಿಯ ಕೃಪೆ.
ಲಕ್ಷ್ಮೀಚೇಳು,ಸಾವಿರಕಾಲು ಚೇಳು.
ಲಕ್ಷ್ಮೀಪತಿ,"1. ಲಕ್ಷ್ಮಿಯ ವಲ್ಲಭ.
 2. ಸಿರಿವಂತ."
