page,1
ಹ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತೆಂಟನೆಯ ಅಕ್ಷರ.
 2. ಎಂಟು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಹಂಕಣಿದಲೆ,ಕೆದರಿದ ಕೂದಲು ತುಂಬಿದ ತಲೆ.
ಹಂಕರ,ಜಂಬ.
ಹಂಕಲು,"1. ಬೀಳುಭೂಮಿ.
 2. ಹೊಲದಲ್ಲಿ ಚಲ್ಲಾಡಿರುವ ತೆನೆ."
ಹಕಾರಿಹೊಡೆ,ಕೂಗಿಡು.
ಹಕೀಕತ್(ತ್ತು),"1. ನಿಜವಾದ ವರ್ತಮಾನ.
 2. ಉಪಾಯ."
ಹಕೀಮ,ಯುನಾನಿವೈದ್ಯ.
ಹಂಕೃತಿ,ಹಂಕರ.
ಹಕ್ಕರಿ(ರೆ),"ಕುದುರೆ, ಆನೆ ಮೊದಲಾದುವು ಗಳಿಗೆ ಹಾಕುವ ಮೈಜೋಡು."
ಹಕ್ಕರಿಕೆ,"1. ಹಕ್ಕರಿ.
 2. ಒಂದು ಬಗೆಯ ಸೊಪ್ಪು."
ಹಕ್ಕರಿಕ್ಕೆ(ಗೆ),ಹಕ್ಕರಿ.
ಹಕ್ಕಲಾಯು,(ಹೊಲದ ಬಯಲಿನಲ್ಲಿ ಬಿದ್ದಿರುವ) ತೆನೆಗಳನ್ನು ಆಯು.
ಹಕ್ಕಲು,"1. ಹಕ್ಕಲ್.
 2. ಹಾಳಾಗಲು ಬಂದ ಬೆಳೆ.
 3. ಚೆಲ್ಲಾಡಿರುವಿಕೆ."
ಹಕ್ಕಲ್,(ಬೆಳೆ ಕೊಯ್ದ) ಬಯಲುಪ್ರದೇಶ.
ಹಕ್ಕಳೆ,"ಬಿರುಕು ಬಿಟ್ಟ ಮೇಲೆ ಎದ್ದಿರುವ ಪದರ,- ಪೊರೆ."
ಹಕ್ಕಿ,ಪಕ್ಷಿ.
ಹಕ್ಕಿನೋಟ,ದೂರದಿಂದ ಕಾಣುವ ಸಮಗ್ರ ನೋಟ.
ಹಕ್ಕಿಪಿ(ಬಿ)ಕ್ಕಿ,ಹಕ್ಕಿಗಳನ್ನು ಹಿಡಿದು ಮಾರಿ ಜೀವಿಸುವ ಒಂದು ಅಲೆಮಾರಿ ಜನಾಂಗ.
ಹಕ್ಕಿರೋಗ,ಮೂಳೆಗಳು ಮೆದುವಾಗುವ ಒಂದು ಬಗೆಯ ಮಕ್ಕಳ ರೋಗ.
ಹಕ್ಕಿಶಕುನ,ಹಾಲುಹಕ್ಕಿಯಿಂದ ಸೂಚಿತ ವಾಗುವ ಶುಭ ಅಥವಾ ಅಶುಭಶಕುನ.
page,2
