page,1
अंकतित,एक विशेष प्रकार का बुरा स्वाद
अँकनहा,कम उपजाऊ (खेत)
अँकनी,एक बार ओसाने के बाद बचा हुआ अनाज का खुरदुरा भाग 
अँकरा,एक घास; अँकुर; कंकड़ का टुकड़ा
अँकवारि,आलिंगन; दोनों हाथ फैलाकर किसी को घेरने या भेंटने की मुद्रा
अँकाइब,दूसरे से अँकवाना या अंदाज लगवाना 
अंकुरी,"जूता से फर्मा निकालने का लौह-यंत्र: अंकुर; लोहे की क्षण, जिसका एक सिरा टेढ़ा हो "
अँकोर,रिश्वत
अँखिया,जेवरात में नक्कासी करने की कलम; आलू में अंकुरण चिह्न; आँख
अँखुआ,अंकुर
अंगउबु,सहन करना
अंगनई ,छोटा आँगन
अंगरखा ,ऊपर पहनने की एक पोशाक; कुर्ता
अंगरथ ,समायोजित; काम;प्रयोग;-लगउबु  
अंगरथ ,समायोजित करना
अंगरा ,अंगारा
अंगरी ,"जिरह, बख्तर; गोह के चमड़े का दस्ताना"
अंगवारा ,खेत की जुताई में पारस्परिक सहायता; गाँव के छोटे हिस्से का मालिक
अंगस-बंगस ,"उल्टा-सीधा, टेढ़ा-मेढ़ा "
अंगा ,"एक लम्बा बंददार मर्दाना पहनावा, अंगरखा"
page,2
अंगारी ,गड़ासे से काटा गया ईख का टुकड़ा
अंगिराबु ,अंगड़ई लेना
अंगुठा ,पैर के अंगूठे का आभूषण
अंगुरताना ,"अंगुलियों का शीशा युक्त गहना; आरसी, हथपान"
अंगुरीय ,अंगूठी
अंगुसा ,अंकुर
अंगुसी ,"हल का फाल; सुनारों की वह नली, जिससे चिराग को फूंककर टांका जोड़ते हैं "
अंगौरिया ,मजदूरी के बदले हल-बैल लेकर अपनी खेती करने वाला मजदूर
अंघड़ा,पैर के अंगूठे में पहनने का काँसे का छल्ला
अँचर-धरउआ,"विवाह की रस्म विशेष, जिसमें वर ससुराल में कुछ स्त्रियॉं का अंचल पकड़ लेता है और वे स्त्रियाँ कुछ न कुछ उपहार देकर, ही मुक्ति पाती हैं "
अँचेल्याबु,खाने के बाद हाथ-मुँह धोना
अंछर,"अच्छर, अक्षर"
अंजहा,अनाज या गल्ले का (बाजार)
