page,1
आँकन,ज्वार की लटों का भूसा; दोष
आँकर,उच्च कुलीन; गहरा
आँकरि,दिल में लगने वाली; गहरी; अभद्र
आँकु,"बैलगाड़ी का वह पुर्जा, जिसमें लोहे की धुरी लगाई जाती है"
आँखा,"आलू आदि में अंकुर फूटने के स्थान या (अक्षि); लोहे या चमड़े का चलना, जिससे कोई वस्तु छानी जाती है"
आंगा,अंगरखा
आंगी,स्त्रियों के सीने पर धारण करने वाला वस्त्र विशेष; अंगिया
आँच,अग्नि की गरमी; अस्तित्व
आँचरु,अंचल पर रहने वाला धोती का सिरा; स्तन; अँचरा
आँचा,परिपक्व; अच्छा
आँजनु,आँख का अंजन
आँट,मचान; उंगुली का अगला पोटा
आँठा,माँस अथवा जमे हुए लहू का छोटा टुकड़ा
आँठी,जमा हुआ दही
आँड़ा,पतावर का फूला हुआ अंश
आँड़ा-डोइयाँ ,बिना सोचे-समझे; जो जैसा था वैसे
आँतरु,जब दो जोड़ी बैल एक साथ जोते जाते हैं तो उनकी माचियों को जोड़ने वाली रस्सी; दो कूडों के बीच बिना जुती छूटी जमीन
आँधर,अंधा 
आँब,आम
आँव,फेना युक्त टट्टी
page,2
आँवरि,गाय या भैंस की आँवल
आँसवँ,इस साल
आइसु,"नेवता, भोजन का निमंत्रण "
आक,बरसात में सूख जाने वाली घास विशेष; एक
आखत या आखति,नसी पीटने की मजदूरी के नेग स्वरूप दिया गया अनाज
आगर,एक आभूषण
आगर,चतुर
आगरि,"अग्रणी, चतुर"
आङ्गछु,अंग अथवा शरीर का प्रभाव; व्यक्ति विशेष का प्रभाव
आजा,पितामह
आजिद,परेशान
आठाठेली,"परस्पर हिंसका, एक-दूसरे को काम सौंपने की प्रवृत्ति या ढिलाही"
आढ़ति,शैतानी 
आतशपारा,"अग्निकण, चिनगारी"
आतशबजाँ,"जिसके अन्दर आग ही आग हो, अग्निगर्भ"
आतशरंग,आग जैसे रंग
आतशी,आग का बना हुआ
आतशी रुख,आग जैसा
आतशी सीसा ,सोना पकाने में सहायक धातु
आदि,"इतिहास, ब्योरा, रहस्य, स्मरण; आरम्भ"
page,3
आदी,अदरक
आदी,अभ्यस्त
आनबु,"लाना, ला देना"
आनि,दैवीय मान्यता
आनी,दुसरी-जाति (स्त्री.) अपने से अलग की जाति
आनु,गडढा (गहरा)
आफरु,खलिहान
आब,"शक्ति, रोब, प्रभाव"
आबरुह,"इज्जत, प्रतिष्ठा"
आमगौर,गहना विशेष
आमदि,"लाभ, आय"
आमलेट,गहना विशेष; अण्डों का पकवान
आमा हरदी,"एक प्रकार की हल्दी, जो दवा में प्रयुक्त होती है"
आम्बाझोर,"सतत झोंकायुक्त; अम्बाझोर, आमाझोर"
आयल,पैर का एक गहना
आयल दार ,"देनदार; ऋणी, बोझ से दबा"
आर,"सामान रखने हेतु दीवालों में बने छोटे-छोटे सुडौल खाँचे; ताख, आल"
आरचा,पूजा
आरज,आर्य
आरबल,आयु
page,4
आरम पुलिस,सशस्त्र पुलिस
आरर,(वृक्ष या डाल) जो जल्दी टूट सके; खुरदरापन से युक्त
आरव,आहट
आरसी,"शीशायुक्त अंगुलियों का गहना; हथपान, अंगुरताना"
आरसु,आलस्य
आरा,बैलगाड़ी की पहिया में तीली की तरह लगी हूई पट्टियाँ; लकड़ी चीरने का यंत्र
आराकस,आरा चलाने वाला (बढ़ई); लकड़चिर्रा
आरागजु,बैलगाड़ी के दोनों पहियों के किनारे की लम्बी लकड़ी
आरु,दीवारों में वस्तुएँ रखने हेतु बने हुए स्थान; ताख
आरू,"एक लता, जिसके पत्तों की तरकारी बनती है"
आर्मलेट,"गहना विशेष, जो बाजू में पहना जाता है"
आलंग,गधों की मस्ती
आल-गाल,इधर-उधर की बाते
आलनु,"पशुओं के पैरों से कुचला हुआ चारा, जो गोबर पाथते समय मिलाया जाता है"
आलभु,"भीड़, स्थिति, संसार"
आला,यंत्र (बीमारी देखने में प्रयुक्त)
आला,"बढ़िया, ऊँचा"
आलान,हाथी बाँधने की जंजीर
आलि, हल्की कच्ची (रोटी आदि)
आलि,स्यावारि
page,5
आली,सखी
आले-आले,बड़े-बड़े; एक से एक बढ़कर
आल्हर,"नया, दो-चार दिन का; बहुत पैदा (घास के लिए)"
आवँ-बावँ,उल्टी-सीधी बात 
आवँरि-पावँरि,"वंशज, संतति"
आवभगत,सेवा-सत्कार
आवाँ,मिट्टी के बर्तनों को पकाने का भट्ठा 
आसनी,"बैठने की छोटी चटाई, दरी आदि"
आसरा,"आश्रय, भरोसा, आशा"
आसीविख,सर्पिणी
आहिउ,हो
आहूँ,"गर्वोक्ति, चुनौती"
page,6
page,7
