page,1
इकबाल,स्वीकृत (कचहरी में किया गया विशेषतः किसी अपराध को)
इंगुई या इंगुवा,पुरइन का पेड़
इंगुदी,हिंगोट (वृक्ष)
इंगुरहा ज्वारा,लाल रंग युक्त लाख की चूड़ी
इंघे,इधर 
इजराय,"(किसी हुक्म का) कचहरी से प्रकाशित, विज्ञापित या रवाना होने की क्रिया"
इजलास,कचहरी  
इजहार,(कचहरी में दिया) बयान
इजाफति,दावत
इजाफा,वृद्धि (विशेषतः लगान का)
इजारबंद,पाजामा बाँधने का नाड़ा;
इजारा,ठेका
इटकोह,ईंट का टुकड़ा
इटारि,पांडेय लोगों का प्रसिद्ध स्थान
"इंडरी, इड़री",गाय या भैंस के ब्याने पर पहले दिन के दूध का पका हुआ रूप
इंडोरन,"देखने में सुन्दर, गोल किन्तु कड़वा फल"
इंतिहा,"अंदाज, अंत, बहुत पंसद; इंतहा"
इत्ता,"इतना, इस प्रकार"
इत्तिला,सूचना
इत्थिर,इस जगह
page,2
"इंदारा, इनारा",कुआँ
इनाइति,कृपा
इन्सानु,"उपकार, कृतज्ञता; मनुष्य"
इफराति,"प्रचुर, अधिक"
इमानु,"धर्म, नेकनीयत"
इमारी,हौदा
इरखहा,ईर्ष्यालु
इरखा,ईर्ष्या
इलटि,मैली चीज
इलहिका,अलग
इलासति,खेत और बाग की सम्पत्ति
इल्लति,"मैल, दोष, झंझट, दुर्व्यसन"
इल्लिम ,"इल्म, ज्ञान, विद्या"
इसपात,फौलाद
इस्तालक,"उत्साह, प्रोत्साहन"
इस्तिरी,कपड़े की कलप कलप करने की मशीन; स्त्री
इहिका,"इसका, इसको"
page,3
page,4
