page,1
उंघे,उधर
उँचवाँस,ऊँचा सिरा (खेत आदि में)
उँटरा,"गाड़ी के आगे लगने वाली टेढ़ी लकड़ी, जो बैलों के हटने से गाड़ी का आगे का सिरा उठा रहता है"
उँटाबु,उँटनी का गर्भिणी होंना
उआरा न्योछा,किसी देवता अथवा ब्राहमण को देने के लिये रखा हुआ
उई,"वह, वे"
उकठा,सूखा-पवाँरा
उकठा,परस्पर की गई बुराई; एक-दूसरे की बुराई
उकठबु,(पेड़ का) सूख जाना; उकसबु
उकवति,"दाद की तरह का एक रोग, जिसमें से पंछा निकलता रहता है"
उकाँव,"भूसा मिला हुआ वह अन्न, जो अभीं ओसाया न गया हो"
उकुर,"हक; अवसर विशेष पर जो कुछ किसी को मिले, जैसे सम्बन्धियों, नौकरों आदि में"
उकुरुँ,चूतड़ों को भूमि से बिना छुआये केवल पैरों पर (बैठना)
उक्कुन,छोटे बर्तन को लटकाने का फंदा 
उखमज,दुष्ट
उखर बेंट,व्यक्ति (जिसके सम्बन्ध में कुछ ज्ञात न हो)
उखार,खड़े-खड़े विरोधी पहलवान को कमर के बल पटकने का दाँव
उखारि,"ईख, देशी गन्ना"
उखारी जोत,आषाढ़ की पहली साधारण जुताई
उखाव,जो खेत ईख की खेती के लिये रखा गया हो
page,2
उखेरा,ईख
उगठापवारुँ,दूसरों की बुराई या शिकायत
उगड़बु,सूख जाना
उगहनी,चंदा करने की क्रिया
उगालदान,"वह बर्तन, जिनमें थूका या कुल्ला किया जाता है"
उगोहिया,साहूकारों द्वारा नियुक्त धन व ब्याज वसूल करने वाला व्यक्ति
उघारबु,खोलना; कपड़ा हटाना
उचकुन,"वह वस्तु, जो किसी दूसरी को ऊँची करने के लिये नीचे रखी जाये"
उचरबु,उखड़ना
उच्छू,उच्छ-वास विकार; पानी आदि पीते समय आने वाली खाँसी
उछरबु,निशान पड़ना; दिखाई देना; ऊपर आना
उछार,वमन
उछाह,उत्साह
उछिदिदर,मुक्त; ऋण मुक्त
उछिन्न,नष्ट
उजबक,अशिक्षित; गवाँर
उजर,साफ; सफेद
उजरति,"मजदूरी, फीस (लिखने आदि की)"
उजरबु,नष्ट होना
उजवास,प्रबन्ध
page,3
उजहबु,लुप्त हो जाना
उजार,"नष्ट, समाप्त; होना"
उजार,फसल आदि का अन्त होना
उजीर,"मन्त्री, शतरंज का फर्जी "
उजुर,आपत्ति; प्रार्थना
उजुर,अमान्य
उजेरु,"उजाला, प्रकाश"
उझिला,"उबटन का सुगन्धित सामान जिसमें तिल, सरसों नागरमोथा आदि पड़ता है"
उटंग,लम्बाई में कम
उटंग,"उटंक, बाँछ "
उटड़ा,गाड़ी का अगला हिस्सा जमीन पर टिकाने के लिये जुएँ के नीचे लगायी जाने वाली लकड़ी
उटड़ा,उटरा
उठइया,प्रसवकाल के दौरान प्रसूता के उतरे हुए कपड़ों की गठरी
उठनि,रिवाज
उठल्लू,"आवारा, इधर-उधर घूमने वाला, निठल्ला"
उठाईगीर,जो दूसरे की वस्तु लेकर चल दे; धोखेबाज
उठाट,उजाड़ने का काम
उठान,चौकड़ी
उड़नछू,जो छूते ही उड़ जाये
उड़ाही,"वह चोरी, जो छप्पर को एक ओर से उठाकर की गई हो"
page,4
उड़िया,डोली; उड़ीसा प्रान्त की मातृभाषा
उड़ुस,खटमल
उढ़र गंडा,पुरूषों को दी जाने वाली एक गाली
उतकबु,उलटकर खोलना या हटाना
उतन्ना,कानों के ऊपरी हिस्से में पहनने का गहना
उतरंगु ,दरवाजे की ऊपर की बेंड़ी लकड़ी या चौखट
उतरहरि,उत्तर दिशा से आने वाली हवा 
उतराबु,पानी में ऊपर आना; घमन्ड करना
उतान,पीठ के बल लेटने की अवस्था 
उतारु,आमादा; असम्मानित
उताहिल,शीघ्रता करने वाला
उतीरा,तरीका
उतेर,"ज्वार, बाजरा या अरहर का खेत "
उत्तू,कुटा-पिटा हुआ कच्चा चमड़ा
उत्थिर,उस जगह
"उदंत, उदत्त","जिस (पशु) के जन्मजात दाँत मौजूद हों अर्थात, गिरकर पुनः न निकले हों"
उदगरबु,"जोश में आना, सीमा के बाहर आ जाना"
उदबस,सुख से बैठे रहने में विघ्न 
उदम,"परिश्रम, काम"
उदमादा,"उद्यत, तैयार, आसक्त"
page,5
उदहबु,हाथ से पानी निकालना
उदुम्बर,गूलर 
उधध,फीका
उधान,"उद्यत, उन्मत्त"
उधाबु,किसी कार्य या आदत में अति करना; अधिक उत्पात करना
उधिराबु,"छेड़छाड़ करना, दूसरों को तंग करके स्वयं दुःख उठाना"
उधुआँ,व्यर्थ 
उनरबु,"ऊपर आना, उबर जाना, उखड़ना"
उनारबु,उखाड़ना
उन्दा,बढ़िया
उपछबु,फटक-फटक कर साफ करना; पानी में साँस न ले पाने से तिलमिलाना
उपधिया,ब्राहमणों की एक उपजाति 
उपरदरा,तनख्वाह के अलावा
उपरदेसिया ,जुते खेत में बीज बिखेरकर केवल पाटा चलाकर छोड़ने की विधि
उपरहरि,अपेक्षाकृत ऊँचा क्षेत्र या हार
उपरहितु,पुरोहित; संस्कार सम्पन्न कराने वाला ब्राहमण
उपरी ,"गोबर की बनी हुई मोटी-मोटी खपटियाँ, जो लाने के काम आती हैं"
उपरसंसी ,ऊपर से साँस नीचे हो जाना
उपरौर ,कन्डों (उपलो) का पर्वताकार सुडौल ढेर
उपल्ला,कपड़े का ऊपरी भाग
page,6
उपसहा,व्रत रखने वाला
उपाटु,अटपटापन
उपास,"व्रत, भोजन न करने का दिन"
उफनाबु,"नदी आदि का जल ऊपर को चढ़ना, हिलारें मारना"
उफरबु,अकस्मात मर जाना
उबका,"रस्सी का वह फंदा, जिससे लोटा आदि फाँसकर पकड़ा जाता है"
उबराबु,कुएँ आदि का पानी बढ़कर ऊपर आना
उबहनि,कुआँ से पानी खींचने में प्रयुक्त मोटी रस्सी
उबहा,(ईख का रस भरने का) मटका
उबीध,"सुन्दर, उत्तम"
उमथबु,मथकर बाहर निकालना (पानी आदि)
उमथ्याबु,मिचलाना
उमस,बिना हवा की गर्मी 
उमहबु,घिर आना (बादल)
उमाँह,"उमंग, उत्साह"
उमानबु,आदमी के शरीर की नाप लेना
उमासबु,जरा से उठाना
उमेद,"आशा, उम्मीद"
उम्बी,गेहूँ की भुनी हुई बाल
उरकी,पतावर का झुरमुट
page,7
उम्याड़बु,अस्वीकृत करना छोड़ना
उरगह,मुक्ति (सूर्य अथवा चन्द्रमा की ग्रहण से) उरगा
उरठ,"सूखा, नीरस"
उरिन,ऋणमुक्त
उरुम्बु,ढेर
उरेहबु,चित्रित करना
उर्द,"उड़द, माष"
उर्याहबु,"निर्मित करना, बनाना"
उर्सी,"समाप्त, बाजार आदि का पूरा हुआ समय"
उलका,पिण्ड 
उलका,"उतावला, उलकी धेरिया उलको दमाद, नाचे धेरिया गावें (द्याखें) दमाद"
उंलका-पत्तर,"उत्पात, गड़बड़"
उलझा,पीछे का डाला हुआ मिट्टी का ढेर 
उलदबु,"(बर्तन में रखी चीज को) उलट देना, जैसे पानी, दूध, अनाज आदि ।"
उलदाबल्दु,"उलट-फेर, इधर-उधर"
उलदु,"अत्यधिक, अधिक"
उलरबु,चिढ़ना; उछलना
उलरुआ,उलार होने पर नीचे जाने से गाड़ी को रोकने के लिए पीछे की ओर लगायी जाने वाली लकड़ी
उललाबु,अति उत्साहित होना
उलहबु,पानी की आपूर्ति के बावजूद बिना पके फसल सूखना
page,8
उलारबु,उछालना
उल्था,उलटा जवाब
उल्ल,असंतुलित
उल्ला,बुरे काम के  लिए प्रोत्साहन 
उवादा,वादा
उवारबु,सिर के ऊपर घुमाना
उसकिना,"घास का मुट्ठा, जिससे बर्तन मांजा जाये"
उसकिना,जूना
उसवाङ,स्वाँग
उसार,घर का सारा सामान
उसियार,कूड़ा-करकट
उसिजबु,उबल जाना
उसिनबु,"उबालना (चावल, आलू आदि)"
उसीका,लिखित ठेका या अन्य कार्रवाई
उसीयति,"उत्तराधिकार, इच्छा-पत्र"
उसीला,"ठौर, सिलसिला, सम्बन्ध; सिफारिश"
उसूल,"कायदा, सिद्धान्त"
उहवाँ,फसल
page,9
page,10
