page,1
एकंगा,"एक अंग वाला, असन्तुलित"
एकदन्तबाद,एकान्तवास
एकदरा,"वह कमरा, जिसमें एक द्वार हो पर किवाड़ न हों"
"एकनध, एकनहरि",हल जोतते समय एक बैल पर रखा गया पूरे हल का भार
एकलंगी,"तरफदारी, पक्षपात"
एकसाँ,"संगठित, समान"
एकहयँ,"एकजुट, एक"
एखत्थी,एक ही व्यक्ति द्वारा दुही जाने वाली (भैंस आदि); एक हाथ वाली; एक हत्थी
एजाँ,इस स्थान का
एटुका,बहुत से पानों का बंधा गट्ठर
"एठाई, एठियाँ",इसी स्थान पर
एँडा,पैर या जूते का पिछला भाग
एड़ा,थूनी का जमीन में गड़ा व हुआ निचला भाग
एहर,इधर
page,2
page,3
