page,1
ओइँठि,पानी देने के बाद खेतों में जोतने योग्य हुई मिट्टी
ओइना,परेशान (मु.) गाँड़ि ओइना होना-अत्यधिक परेशान होना
ओइना,सुतली कातने का एक साधारण काष्ठ का यंत्र
ओइसी,उधर; उंघे
ओकलाई,"उलटी, मिचली"
ओंका-बोंका,"एक खेल, जिसमें बच्चे हाथ की मुट्ठियाँ बाँधकर ऊपर नीचे रखकर कहते हैं-ओंका-बोंका तीन तिलोका लैया लाती चंदन काती"
ओखम,गर्मी
ओखरी,"जमीन में बनाया गया पत्थर का पात्र, जिसमें अनाज कूटा जाता है; गाली"
ओगरोधा,पानी निकालने के लिये कुएँ की खुदाई का काम
ओगे,सुविधा से या सुविधाजनक
ओछर,"नीच, ओछा"
ओजा,घट-बढ़
ओझबु,फँस जाना (विशेषतक कीचड़ य़ा दलदल में)
ओझाई,भूत उतारने की प्रक्रिया
ओड़इला,बचायी हुई घास
ओंड़ा,"वह बड़ी कौड़ी, जिससे खेल में ढाही मारी जाती है"
ओड़ा,बड़ा टोकरा
ओड़ान,"कुएँ का वह स्थान, जहाँ पुरवट का पानी गिरता है"
ओढ़र,बहाना; आरोप
ओढ़री,अनब्याही पत्नी
page,2
ओत,बहाना; आलस्य
ओती,आलसी
ओदारबु,"बनाना, नष्ट करना"
ओदी ,कलम (पेड़ पौधों आदि की); चर्म रोग विशेष
ओदु ,मिट्टी की नमी
ओनउबु,पाटा से खेत कसने केबाद जुताई करना
ओनउबु,सुनना
ओनाबु,"सुनना, ध्यान देना"
ओन्हबु,रस्सी से बाँधकर नीचा कर देना (छप्पर आदि)
ओपु,उचित जानकारी; किसी घटना का हालचाल
ओफाँ,"लाभ, उन्नति (स्वास्थ्य में); प्रोत्साहन"
ओबर,मिलिट्री जूते में लगने वाली अगली ठोकर
ओबरि,बैठक का सुन्दर स्थान
ओबरी,"ऐसी कोठरी, जिसमें हवा और रोशनी के लिए रास्ता न हो"
ओबा,"घोर संक्रामक बीमारी; जैसे-हैजा आदि; इसे दैव प्रकोप समझकर ՙओबा माई՚ (जैसे-माता, शीतला माता, काली माई आदि) कहा जाता है"
ओरखबु,ध्यान देना; बात सुनना
ओरहनु,उलाहना
ओरा,ओला; कमी
ओल्हौरी,दाल भरी पूड़ी
ओसउबु,अनाज साफ करने के लिए किसी पात्र में भरकर हवा में थोड़ा-थोड़ा गिराना; वसउबु
page,3
ओसरी,बारी
ओसहनु,"वह अनाज, जो ओसाया जाये"
ओसारु,बरामदा
ओहँटी,सिंचाई की सुविधा हेतु बनाई गई बड़ी क्यारी
ओहारबु,लकड़ी का बसुला से छीलना; मारने हेतु (हाथ या पाँव) उठाना
page,4
page,5
