page,1
कँकना,हाथ का गहना
कंकाला,झगड़ालू; कर्कश
कंकाली,"एक घुमक्कड़ जाति के लोग, जो शिकार करते, भीख माँगते और गाते फिरते हैं (शायद ये लोग किसी समय शिव उपासक और कंकाल के पुजारी थे)"
कँखरी,काँख
"कंगड़ि, कंगनी",नदी आदि के कटाव से निर्मित किनारे की धार; कगार; चबूतरा आदि का किनारा
कंगला,"दरिद्र लोग, जो बिना आमंत्रण, विवाह अथवा तेरहवीं आदि अवसरों पर खाने के लिए पहुँच जाते हैं"
कंगही,"कपड़ा बुनने की हस्त मशीन में प्रयुक्त छिद्र युक्त, पट्टी जिसमें तागा फँसाया जाता है"
कंगा,बिना बुलाये खाने के अवसर पर पहुँच जाने वाला व्यक्ति
कंचित,शापद 
कंचुकी,स्त्रियों का वस्त्र विशेष
कंजा,"एक कँटीला जंगली पेड़, जिसके फल भूरे रंग के होते हैं तथा कई औषधियों में काम आते हैं"
कंजा,जिसकी आँखे भूरी हों अथवा जिसकी आँख दागी हों
कँटिया,छोटा तराजू
कंटेन,"पूर्ण, सकन्धित"
कंडउरा,"वह कमरा, जिसमें कंडा रखा जाये"
कंडज,"एक जंगली पौधा, जिसकी दातून बनाई जाती है और जिसमें फली भी लगती है उसकी कड़वी गंध दाँतों के कीटाणुओं को मारती है"
कँड़ा,पैरों में पहनने का आभूषण
कंड़ा,गोबर का उपला
कँड़िया,"जमीन में गड़ा क्कंड़ों व पत्थर से निर्मित वह पात्र, जिसमें मूसल से चावल, दाल आदि छाँटते या कूटते हैं"
कंडील,"पतले और प्रायः रंगीन कागज के बने पिंजडे, जिसमें दिया जलाकर विशेष अवसरो पर रखे जाते हैं"
page,2
"कंता, कंथ","पति, प्रेमी;(कहा.) “जैसे कंता घर रहे वैसे रहे विदेश”"
कंतूतुरी ,अंधेरे में रहने वाला मेंढक की भाँति रेंगने वाला जन्तु विशेष
कंथा,"कथरी गुदड़ी, योगियों का वस्त्र विशेष"
कंदइल,कनेर का फूल
कंदहिला,गंदा
कंधरु,"कुसमय, दुर्दिन"
कंपा,"तिकोनी लकड़ी, जिस पर बुलबुल पकड़ने के लिए लासा लगा दिया जाता है"
कँवरी,"काँवरि, काँवर"
कंस,"द्वेष, ईर्ष्या; मथुरा का प्रसिद्ध राजा"
कइँचु,तिरछापन
कइंजड़,"एक नीच जाति, जो गीदड़ आदि का शिकार करते हैं । ये लोग प्रायः जंगली एवं बहुत लड़ाकू होते हैं"
कइँड़ा,लकड़ी का २ इंच का टुकड़ा
कइँता,"मार्ग, सँकरा रास्ता; अंकुर"
कइँती,पौधों के पेड़ से निकले हुए नए
कल्ले;-डारबु,अनाज माड़ते वक्त किनारे का अंश बीच में डालना; पट्टा मारबु
