page,1
खंखड़,अधिक सूखा एवं कठोर
खंगोरिया, (गरीब ग्रामीणों के पहनने की) चाँदी की हँसुली
खंघारबु,"(बर्तन आदि) धोना, ढूँढना"
खंचड़,दोगला घोड़ा
खँचरा,नाटा बैल; ठिगना व्यक्ति
खँचिया,छोटी टोकरी
खँचुहा,कछुआ
खँचोला,खंचिया का बड़ा रूप
खंझड़ी,"एक छोटा सा बाजा, जो एक हाथ से पकड़कर दूसरे हाथ से बजाया जाता है"
खंझर,मिला हुआ (अन्न)
खंटा,"खट्टा, अम्ल"
खंडवानी,खाँड़ का रस
खंडसरी,खाँड़ बनाने की दूकान
खंडसारी,"गुड़ का वह भेद, जो गीला होता है और जिससे शक्कर बनाते हैं"
खँड़िया,"टुकड़ा (मछली, माँ, का)"
खंडुआ,हाथ का कड़ा या कंगन
खँढ़उली,ईंट या कंडा का टुकड़ा
खंता,मिट्टी खोदने का औजार
खंती,छोटा खंता; गड्ढा
खंधानी,पहिए के पुट्ठों को जोड़ने वाले खाँचे या चूल
page,2
खंभियाबु,पौध में अन्य अंकुर फूटना
खइँचनी,माचि से मिलकर बंधी हुई एक विशेष लकड़ी
खइंचा,घास आदि भरी जोने वाली बड़ी डलिया
खइँतड़,"निकृष्ट (व्यक्ति), झगड़लू"
खइका,भोजन
खइखानु,घर गृहस्थी की समस्या या उत्तरदायित्व
खइर,कुशल; खैर
खइरात,दान; मुफ्त
खइबरि,मट्ठा बनाने की लकड़ी
खइहँसु,झंझट; (हृदय या मस्तिष्क को) दुखाने वाला
खउकबु,जोर से बोलना; डाँटना
खउरहा,जिसे (विशेषतः कुत्ते के) खुजली हो; शुष्क चर्म वाला
खउरा,"खुजली (प्रायः पशुओं, विशेषतः कुत्तों की)"
खउहटि,"खाने के लिए दी हुई मजटूरी, अनाज आदि; स्वप्न"
खउहाबु,क्रोधित होना
खउहार,"झंझट, झगड़ा"
खक्खा,"बहुत ऊँचा, कितु दुबला हाथी; साह- लेन-देन में खरा व्यक्ति"
खखरहा,"पुराना, बीच-बीच में छेद वाला (टोकरा)"
खखाबु,जोर से हँसना
खखारि,कफी
page,3
खखुण्डी,"भुट्टे का डंठल, जिसमें से दाना निकल गया हो"
खगउरा,हाथ का आभूषण
खङवा,"पशुओं का एक रोग, जिसमें खुर सड़ने लगते हैं"
खजहजा,फल विशेष
खजुरा,"छप्पर के छोर व दीवाल केबीच की साँस; दाँतों में लगने वाला मैल; रोयेंदार घास विशेष, जिसके लगने से खुजली उत्पन्न हो जाती है"
खटक,संदेह; आवाज
खटकिरवा,खटमल
खटखटा,"चौकोर खाँचेदार बल्ली, जिसमें सुनार तार बढ़ाते हैं; चिड़िया आदि को भगाने में सहायक वाद्य विशेष"
खटपटी,पैर में पहनने की खड़ाऊँ
खटपूरा,ढेले तोड़ने की मुंगरी
खटबिन्द,काले तिलों के तेल से बना एक आहार
खटमचवा,"छोटी सी चौकी या खाट, जिस पर रोगी आदि को रखकर ले जाएँ"
खटलुस,"थोड़ा खट्टा, जरा खट्टा"
खटरस,"कई रसों वाला, मजेदार"
खटरागु,झंझट
खटारा,गड़बड़ या पुरानी (गाड़ी)
खटिया,चारपाई
खट्टदि,खट की आवाज से; अविलम्ब
खट्वाला,बच्चों की खाट
खड़इँचा,"खंजन पक्षी, जो अधिकतर वर्षा ऋतु के अंत में दिखाई पड़ते हैं ।"
page,4
खड़उना,गहना विशेष 
खड़खड़िया,"गाड़ी, जिसके पहिये खड़खड़ करते हैं, पुरानी गाड़ी"
