page,1
गंगनधूरी,"कुकुरमुत्ता की तरह की एक वनस्पति, घास विशेष"
गंगबरार,"वह भूमि, जो नदी के पाट के कारण जोत में न आ सके"
गंगुआसुरइती,मिलजुलकर ठगने की क्रिया
गंगेरुवा,अनेक शाखाओं का एक दीर्घजीवी पौधा
गँछाई,"गाँछने की क्रिया, सुन्दरता या मजदूरी"
गंज,"ढेर, बाजार"
गंज,शकरकंद
गंजहड़,बड़ा बर्तन (हाथी के लिए)
गंजिया,कमर में लपेटकर या लटकाकर रुपया पैसा रखने में प्रयुक्त थैली
गंजी,शकरकंद; बनियाइन
गंजी,जिसके शरीर में गंजा हो
गंजुआ,पाल का पकाया हुआ; कुचला हुआ
गंठकाठ,छोटी पूँछ वाला (बैल)
गंठा,प्याज का मोटा बड़ा दाना
गंठी,"ऊँची, ठीक से तैयार की गई (बारात बात, महफिल आदि)"
गँड़खोदउवलि,"छिद्रान्वेषण, मनोमालिन्य"
गँड़गिल्हर,पेड़ पर चढ़कर खेला जाने वाला खेल
गंडही,गला
गँड़हा,टेढ़ा-मेढ़ा और खराब खीरा
गंडा,"(प्रायः हनुमान, भैरव का) प्रसाद स्वरूप रंगीन धागा, जिसे भक्त लोग पहनते हैं । चार की संख्या को गंडा कहते हैं ।"
page,2
गँड़ासी,"एक औजार, जिससे चौपायों के लिए चारा काटते हैं"
गँड़िहा,अप्राकृतिक व्यभिचार करने और कराने वाला
गंडू,"गांड़ू, यह शब्द यों भी नीच जातियों द्वारा एक-दूसरे को फटकारने या डाँटने के लिए प्रयुक्त होता है"
गंडुहा,"शायद या ‘गंडुआ’ का प्र. या घृणित रूप है, जो फटकारने के लिए प्रयुक्त होता है"
गँड़ेरी,"ज्वार, बाजरे या ईख आदि के बहुत छोटे-छोटे टुकड़े"
गँड़ेवर,दो या चार बैलों को जोड़ने की एक विशेष रस्सी
गँदला,गंदा; अनिश्चित
गंधि,बदबू
गंधी,हींग; धान की फसल में लगने वाला कीड़ा विशेष; इत्र बनाने वाला व्यक्ति
गंधी,गंदी
गँवउबु,"खो देना, गायब कर देना"
गँसनहर,"गाँसने वाला, डाँटने वाला"
गँसना,जकड़ने की रस्सी 
गँसनि,सिकुड़ने या कसने की क्रिया-
"गइँठा, गइना","नाटा, नाटे कद का"
गइबुआ,"आवारा, जिसके घर-बार का पता न हो"
गइरी,मिट्टी घोलने की हौदी या गड्ढा
गउँखा,"ताक, ताख"
गउँगीर,चालाक; जो अपनी ‘ गौ’ पर न चूके
गउँछा,नई शाखा
page,3
गउंज,गूंज; धुआँ आदि की घूमती हुई लहर
गउँतरा,"शिशु के नीचे बिछाया जाने वाला कपड़ा, पोतड़ा"
गउँतरी,"रिश्तेदारी, मेहमानी"
गउँसठि,सलाह
गउँहाँन,गाँव से मिला हुआ खेत
गउआई,अफवाह
गउआरासी,गऊ की भाँति-सीधा
गउआई,"अफवाह, जनख, अनिश्चित बात"
गउकसी,गोवध
गउखा,बड़े पशुओं का चमड़ा
गउखा,गायों से सम्बन्धित 
गउघाती,गऊ की हत्या करने वाला
गउचरु,गायों के चरने के लिए सुरक्षित भूमि
"गउझ, गउझा","फलों का गुच्छा, जो पेड़ पर लगा हो"
गउझरे,सघन
गउढ़ी,हाथ-पैर समेटकर बैठने की अवस्था
गउधुरिया,गोधूलि
गउहानु,पशुओं का वन्य विश्राम-स्थल
गच,चूने की जुड़ाई
