page,1
घइला,घड़ा
घइहल,"घायल, चोट लगा हुआ"
घई,"कोल्हू का वह पात्र, जिसमें सरसों आदि छोड़े जोते हैं । कच्चे चूल्हे की भीतरी पख; नदी का कुण्ड"
घउघ,सम्पत्ति
घउरी,केलों का गुच्छा
घउर्याबु,"दाँत पीसना, क्रोध करना"
घउलर,मोटा व्यक्ति
घग्घा,गृहणी
घंट,"किसी के मरने पर हिन्दुओं द्वारा बांधा जाने वाला मिट्टी का घड़ा, जिसे बाहर किसी पेड़ पर लटकाकर उसमें प्रतिदिन पानी भरते हैं"
घटका,प्राण निकलने के समय की स्थिति
घटका-लागब ,मरणासन्न होना
घटवार,घाट वाला; मल्लाह
घटितउला,कम तोलने वाला
घटियाही,पर-स्त्री-प्रसंग; धोखेबाजी
घटिहा,पर-स्त्री-से मैथुन करने वाला; धोखेबाज
घट्टी,"हानि, घाटा"
घट्ठई,हल जोतने के लिए आषाढ़ में हलवाहे को दिया गया पैसा
घट्ठा,"शरीर के किसी भाग पर पड़ा चिह्न, जिसमें चमड़ा मोटा हो जाता है"
घण्टी,छोटा लोटा
घत,"दाँव, मौका "
page,2
घंता-मंता,"एक खेल, जिसमें छोटे बच्चे को घुटने पर बैठाकर झुलाते और ‘घंता-मंता…….’ कहते हैं"
घन,घना (फसल में पौधे)
घन,बादल
घनई,"दो गगरियों एवं डण्डों से निर्मित नौका विशेष, जो तालाबों में सिंघाड़े तोड़ने आदि कार्य, में प्रयुक्त होती है"
घनचक्कर,मूर्ख; इधर-उधर घूमने वाले
घनवाह," लुहारों की दूकान में लम्बी खुदी हुई हौदी, जिसमे खड़े होकर घन चलाया जाता है"
घनु,बड़ा हथौड़ा
घन्नी,यातना
घपच्चू,मूर्ख
घमंजा,"मिलावट, गड़बड़"
घरइया,"घर का व्यक्ति (बारात का न हो), कभी-कभी ‘घराती’ और बाहरी को ‘बाराती’ कहते हें"
घरजानी,"बिना लिखा-पढ़ी के, गुपचुप (दिया गया उधार) मरजानी- व्यक्तिगत (व्यवहार जिसे दूसरे न जानें)"
घरबारी,जिसके परिवार हो
घरवना,"छोटा घर, जो बच्चे खेल में बनाते हैं"
घरसुमारी,जनगणना
घराय,"घर का-सा व्यवहार, घरेलू रीति"
"घरिया, घेरिया","मिट्टी का वह बर्तन, जिसमें चाँदी आदि धातुएँ गलाई जाती हैं "
घरिल,घड़ा
घरी,सोना गलाने की मिट्टी की घरिया (कटोरी); घड़ी (समय)
घरीला,मिट्टी का छोटा पात्र
page,3
घरुक,एक जाति और उसके लोग
घरुही,घर का खंडहर या चिह्न
घरू,"घर का सा, मैत्रीपूर्ण"
घलारा,पानी बहने का मार्ग; जोर से बहता हुआ पानी
घलुआ,"घाला; सौदे में दिया हुआ वह अंश, जो तोल के अतिरिक्त यों ही दिया जाये"
घलोना,लाल पका हुआ फल; प्रायः बच्चे इस शब्द का प्रयोग करते हैं
घवदि,केले के फलों का गुच्छा
घसनी,तुच्छ काम; कठिन परिश्रम
घसीट,जल्दी-जल्दी लिखा हुआ
घाई,"तरफ, ओर"
घाँखर,"ढीठ, धृष्ट"
घाटि,पर-स्त्री-गमन; दगाबाजी
घाँटी,गले के बीच का भाग
घाठ,गेहूँ या ज्वार की दलिया
घाता,तरल पदार्थ माप भर देने के बाद अलग से दिया गया अंश
घानी,कोल्हू में छोड़ने भर की सरसों आदि की राशि; सुगंध; ढेर; धन; भण्डार
घानु,एक बार में डालने भर की वस्तु
घाबड़,"गंभीर, अधिक बीमांर"
घामड़,"सुस्त, मूर्ख"
घामु,धूप
page,4
घार,क्यारी सींचने के लिए उसकी मेंड़ में बनाया गया छोटा मुँह
घारी,पशुओं के रहने का घर
घाला,"सौदे के साथ अन्त में दिया हुआ उपहार, घलुआ"
घावा,मेंड़ आदि काटकर पानी निकालने का रास्ता
घिउ-कुँआरि,"ग्वारपाठा, जिसके भीतर से घी-सा गूदा निकलता है । यह कई दवाओं में प्रयुक्त होता है, पेट के लिए इसकी तरकारी भी खाई जाती है"
घिन,घृणा
घिनवना,घृणा उत्पन्न करने वाला
घियहा,घी वाला; घी की बनी हुई; जिसमें घी रखा जाये (बर्तन)
घियाँड़ा,घी रखने में प्रयुक्त मिट्टी का बर्तन
घींच,"गला, गर्दन"
घुघुआर,"काफी मोटा-ताजा, किन्तु कम बोलने वाला, गब्बर, बात का जल्दी उत्तर न देने वाला"
घुघुटारि,घूँघट वाली
घुघुरी,भिगोये हुए अन्न को उबालकर या छौंककर बनाया गया चबेना
घुच्ची,"लग्गी में बंधी हुई दूसरी लकड़ी, जिससे लकड़ी आदि खींची या तोड़ी जाती है"
घुटन्ना,एक विशेष प्रकार का पैजामा
घुट्ठी,"वह खेत, जिसमें एक फसल काटकर दूसरी फसल बोई जाये; जुठैल"
घुण्डी,करधना आदि में बनी हुई गोल गाँठ
घुमड़ा,"खेत में स्थित वह स्थान, जहाँ फसल कुछ महीने रखी रहती है"
घुमनी,"चक्कर, घूमने या चक्कर आने की बीमारी"
घुमरबु,"लौटना, झूमना"
page,5
घुमरा,पशुओं के चारा खाने का एक ऊँचा स्थान; चक्कर
घुमरी,चक्कर (सिर में)
घुरकबु,आँखें दिखाकर डरवाना या धमकी देना 
घुरकी,"घुड़की, धमकी"
घुरघुचु,घोंसला
