page,1
चंग,पतंग; आलस्य
चंग,स्वस्थ
चंगेलवा,डलिया
"चंट, चंठ",चालाक
चंड,"बलवान, प्रचंड"
चंडुला,जिसके सिर में बाल न हों
चंडू,"एक मादक पेय पदार्थ-खाना-ऐसा स्थान, जहाँ पर लोंग एकत्र हो चिलम पीते हैं"
चंडोलु,व्यर्थ का कार्य
चंदनउटा,एक प्रकार का लहंगा
चंदना,विशेष प्रकार का गुड़
चंपू,"सुन्दर, विचित्र"
चंबेल,फैले हुए सींगों तथा भारी शरीर वाली (भैंस) 
चँवरा,सफेद पूँछ वाला (बैल); एक प्रकार का अनाज
चँवरी,बारीक चूर्ण; फल का गुच्छा
चँवरू,हस्तचालित पंखा
चइतवरि,चैत्र मास की पूर्णिमा
चइता,"एक गाना, जो प्राय: चैत में गाया जाता है"
चइला,लकड़ी का चिरा हुआ खपचा या बड़ी खपची
चउँघरि,"जबड़ा, चाप"
चउआ,चार अंगुल की चौड़ाई; ताश की चौकी; पशु
page,2
चउआई,"ऐसी हवा, जो चारों ओर से चले"
चउआल,चारों ओर की बातें; व्यर्थ की बात
चउकरा,चार लड़ी वाला
चउखटि,"चाक के नीचे गड़ने वाला चौकी के आकार का पत्थर, देहरी"
चउखाना ,चार खाने की डिजाइन से युक्त कपड़ा
चउखुँटा ,चार कोने वाला
चउगड़ा,"खरगोश, हिरन"
चउगान,"गेंद का पुराना खेल, जिसका उल्लेख कविता में प्रायः होता है"
"चउगिरदा, चउतरफा",चारोंओर
चउतरा,चबूतरा
चउधारी,चारधारी के (वस्त्र)
चउपटि,चाक रखने के लिए नीचे गड़ी हुई चौकी के आकार का पत्थर
चउपसर,चौराहा; खुला स्थान
चउपहल ,"चौपहल, चार किनारे वाला"
चउपारि ,द्वार पर का बैठकी कमरा
चउफेर,चारों ओर 
चउबंदा बही,सोलह खोने वाली बही
चउबोला,छंद विशेष
चउभरि,"दाढ़ के दाँत, एक स्थान के चार दाँत"
चउमास,"वह खेत, जिसमें बरसांती फसल न बोई गई हो"
page,3
चउमास,वर्षा ऋतु
चउमुख,चारों ओर 
चउमुहानी,"वह स्थान, जहाँ चार सड़कें मिलें या चार नदियों का संगम हो"
चउरइया,सब्जी विशेष
चउरस,समतल
चउरसी,चौंड़ी रुखान विशेष
चउरा,चबूतरा; समाधि; स्मारक; श्वेत रंग का घोड़ा; चौपाल
चउरासी,"बैल आदि के गले में बाँधने हेतु प्रयुक्त घुँघरुदार पट्टी; परेशानी, अस्सी चार-चोरासी की संख्या"
चउरी,श्वेत रंग की भेंड़
चउली-बउली,"मौज मस्ती, प्रसन्नचित बातें"
चउसझा,"खेती या अन्य काम, जिसमें कई लेगों का साझा हो"
चऊँधी,बैलगाड़ी में पीछे दोनों बल्लियों से मिलकर बंघी हुई लकड़ी
चकउड़ी,"कुम्हारों का वह बर्तन, जिसमें पानी रखकर बर्तन बनाते हैं"
चकचोन्ही,चकाचौंध
चकड़बा,कलह; शोरगुल
चकत्ता,शरीर पर उभरा हुआ ददोरा
चकरई,चौड़ाई; ‘चाकर’ का काम
चकरबान,पुल्लियों से जुड़े हुए घेरे; चक्कर लगाकर ऊपर उठने वाला वाण
चकर-मकर,इधर-उधर
चकरार,कुछ अधिक चौड़ा
page,4
चकारहा,चाकरी करने वाला; नौकरी-पेशा वाला
चकरेठ,चौड़ा और तगड़ा (व्यक्ति)
चकरोटु,खेतों का रास्ता
चकला,रड़ियों के रहने का स्थान; रोटी बेलने की अड्ढौ
चकवड़,प्रसिद्ध पौधा
चकाबूह,चक्रव्यूह; झगड़ा
चकावर,लकड़ी का चौड़ा-चपटा व मोटा तख़्ता
चकियस,मोटी और चौड़ी (स्त्री)
"चकेठि, चकेठी",चाक को घुमाने में प्रयुक्त बाँस का डण्डा
चकोड़ि,मिट्टी के बर्तन बनाते समय पानी रखने का बर्तन
चक्का,बड़ा पहिया 
चक्की,चाँदी की किस्म
चक्कू,चाकू
चखनबु,पोत देना
चखाचखी,"विरोध, वैर"
चखु,गिद्ध
चगड़,चालाक 
चङ्गेरा,मूंज का बना सुन्दर छोटा टोकरा
चचरा,पानी सूखने के बाद मिट्टी में पड़ी हुई दरार
चटकई,जल्दी
page,5
चटकनु,चपत
चटकुलु,वस्त्र विशेष
चटुआ,बच्चों का खिलौना
"चटोर, चटोहरा",जो बार-बार खाता रहे; लालची
चट्टी,लकड़ी व चमड़े मे बनी खड़ाऊँ
चटू,"चाटने वाला या वाली, दूसरे के पहाँ मुफ्त खाने वाला (व्यक्ति)"
चट्टा,ईंटों का सुडौल ढेर; बर्तन धोने का चबूतरा
चट्टें,तुरंत
चढ़ता,"क्यारियों की वह पंक्ति, जो आगे की ओर सींची जाती हे"
चढ़बाँक,"चतुर, चालाक"
चणानी,नए कुएँ की निचली छोटी दीवार को नीचे गलाने की क्रिया
चथरा,टुकड़ा; किसी फल आदि का फूटा भाग
चनक,चना  
चनगा,एक प्रकार की मछली
चनरमा,"चद्रमा; चाँदी या सोने का छोटा चदाकार गहना, जो ग्रह शांति कै लिए पहना जाता है"
चनबा,"स्त्रियो का एक आभूषण, जो चंद्राकार रत्न जड़ित होता है और मत्थे के ऊपर पहना जाता है; सावाँ जैसा अनाज"
चनिया,"छोटी सी झील, जिसमें कभी-कभी खेती की जाती है"
चनिहा,चाँदी का; चाँदीमिश्रित
चनुला,“चँडुला”
चन्नामाई,चंद्रमा; छोटे-छोटे बच्चे या माताएँ चंद्रमा को इसी तरह सम्बोधित करती हैं
page,6
चन्नी,"चारा पानी खिलाने पिलाने में प्रयुक्त लम्बा वाली आकार का पात्र, चरही "
चन्नू-चेहरा,"छोटी-छोटी चिड़ियाँ, जो बहुत शोर करती हैं"
चपचोई,बर्तनों की धार बनाने में प्रयुक्त मिट्टी की लीटी
चपड़ा,लाख की किस्म बिशेष
चपरचट्ट,"निर्जन, सूना; लम्बा-चौंड़ा (मैदान)"
चपरहा,अभागा; हठी
चप्पर,पत्त
चफइल,लम्बा-चौड़ा (मैदान) 
