page,1
छई,"क्षय रोग; छपुला की लकड़ी, जो विवाह में पूजी जाती है"
छउँकटई,विश्वासघात
छउँकटहा,विश्वासघाती
छउना,सुअर का छोटा बच्चा
छकड़ा,बड़ी बैलगाड़ी
छकनी,घास पीटने के लिए प्रयुक्त लकड़ी की बनी झाडू जैसी एक चीज
छकलिया,"जिसमें छः कली हों (कुर्ता, छाता आदि)"
छगड़ाबु,बकरी का गर्भ धारण करना
छंगुनियाँ,सबसे छोटी उंगली
"छंगू, छंगुआ",छः अंगुलियों वाला व्यक्ति
छच्छाकाल,क्रुद्ध
छच्छाबु,घास आदि का फैलकर बढ़ते रहना
छछन्न,चालाकी
छछुन्नरा,झूठा अपयश
छटकहरि ,"गाय या भैंस, जो दुहते समय उछले"
छटवा,चारा आदि डालने का टोकरा
छंटा,जो घोड़ा छाना या बंधा हुआ चरता हो
छँटा,"विशिष्ट, सर्वोच्च; चालाक"
छठियाँतर,"भेद, मनोमालिन्य; होब-बच्चों की छठी में बिच्छू के डंक आदि डाले जाते हैं, जिससे उन्हें बिच्छू काटने आदि का डर नहीं रहता है"
छठियाबु,"हठ करना (प्रायः बच्चों का), आग्रह करना"
page,2
छठुला,बच्चों के छट्ठी के दिन पहनायी जाने वाली पोशाक
छड़बदुआ,जो छोड़ देने से खराब हो गया हो
छड़ा,कड़ा के ऊपर पहनने का आभूषण
छतनार,जिसका ऊपरी भाग छत या छतरी की भाँति हो; छायादार
छतीसा,"दुष्ट, चालाक"
छतुरी,छाता
छत्ता,सीना; बर्र आदि का झोंझ
छदाम,खराब पैसा
छद्दर,छः दाँतों वाला
छनउर,"वह खेत , जहाँ मवेशी गोबर करने के लिए रात में ठहराये जाते हैं"
छनहनि,"भीड़, रहित, शान्त"
छन्नी,स्त्रियों के हाथ में पहनने का आभूषण
छपउबु,"बुवाई से पूर्वखेतों में पानी देना,"
छपया,जानवरों की एक संक्रामक बीमारी
छपरा,छप्पर
छपहार,छापने वाला; टीका लगाने वाला
छपाँच,छल-कपट 
छबरा,"वह बैल आदि, जिसके शरीर में दूसरे रंग के धब्बे हों"
छयदना,बरिच्छा; बरछिदी
छयावरि,"समूह, झुण्ड"
page,3
छरङबु,कड़ा हो जाना
छरछंद,ढोंग
छरछंदी,छलछह्म करने वाला
छरहर,लम्बा एवं पतला (व्यक्ति)
छराछर,तेजी के साथ; निरन्तर
छरीदा,बिना कुछ लादे हुए (ऊँट का) अकेले चलने वाला (ऊँट)
छर्दिहा,(छर्दी) छोटे कंकड़ मिली मिट्टी वाला
छलंक,छलांग
छलका,दुध आदि बर्तन से छलकने से रोकने हेतु ढक्कन में लगायी जाने वाली मूज आदि घास; ढीली खाल
छलरा,चमड़ा
छल्ला,बड़ी अंगुठी;
छल्ली,पैर के अंगुठों का आभूषण; बोरों आदि की कतार
छवँछियाबु,परेशान होना
छवाँह,भैंस का थन
छहरबु,फहराना; उतराना
छाई,सुअर की बच्ची
छागर,बकरा
छागलु,पैरों का गहना
छाँछ,थन से निर्गत दूध की धार
छाँट,उल्टी
page,4
छाँटबु,बुंदिया बनाना; धोना; (बाल) कतरना;
छाँटा,राशि को नापने का पात्र
छाड़न,"अपवाद, त्याग की हुई वस्तु"
छाडू,जीभ का प्रसिद्ध रोग 
छान्हि,फूस की बनी छत
"छापड़, छापर","जूते में तरा के आकृति का चमड़ा, जो उसके ऊपर लगाया जाता है; बिनवर"
छाला,"चमड़ा,"
छाली,छाल; सुपाड़ी
छाहीं,"छाया, रक्षा, बचाव"
छिउलारु,"पुरहाई कुएँ का वह स्थान, जहाँ पर खड़े होकर पानी डाला जाता है"
छिंगुरी,कनिष्ठिका उँगली
"छिटका, छिर्रारा",बिखेरकर बीज बोने की पद्धति
छिटकी,"बूंद का छोटा टुकड़ा, जो उड़कर पड़े; आँख में हुआ मोतियाबिन्द"
छिटवा,टोकरा
छिटुआ,बिखेरी हुई (बुवाई)
छिट्टी,"पानी आदि की बूंद, जो छिड़कने से पड़े"
छितनी,छोटी छिछली टोकरी
छिनगाइब,छोटी-छोटी डालों को काटकर साफ करना
छिनबु,"(सिल या जाँत) छिनना, रुखानी से खुरदुरा करना"
छिनरहटि,छिनाला कराने की आदत
page,5
छिनहा,जिसके मुँह पर माता के दाग हों
छिनुआ,दही काढ़ने का पात्र
छिबुलकी,"छोटी-सी चालाक स्त्री, धूर्त लड़की"
छिया,"गंदी वस्तु, मैला; (विस्म.) छीः"
छिरका,सिरका
छिहाइब,भरकरठूँसना
छिहुली,पलाश  का पेड़
छीछ,छिद्रान्वेषण 
छीछ,नष्ट
छीछिल,फैला व कम गहरा (बर्तन)
छीजबु,कम हो जाना (वस्तु का)
छीटबु,इधर-उधरफेंकना
छीटा,अनाज वसाने की डलिया
छीरा,कपड़े में तागा निकल जाने का निशान
छुई-मुई,"एक बूटी, जिसे लाजवंती भी कहते हैं"
छुछरउंधु,हल्का अंधेरा
छुछुवाबु,किसी कार्य हेतु इधर-उधर दौड़ना
छुछोहरा,इधर-उधर अधिक भाग-दौड़ करने वाला
छुट्टा,अकेला; सादा; बंधनमुक्त
छुतमितार,छूत का संदेह या भ्रम
page,6
छुतियउबु,सिंचाई करते समय मांगियों पर गीली मिट्टी चढ़ांना
"छुतिहर, छुतेहरा",अपवित्र
छुतिहा,"गंदा, छूतवाला; जूठा"
