page,1
जंगरा,चना निकलने पर अवशेष कुचले डंठल
जंगल फराकत जाबु,"दिशा-मैदान, मल त्याग हेतु जाना"
जंघा,"मोटी टहनी, जाँघ"
जंजालु,"झमेला, फँसाव, बंधन"
जंता,"सुराकदार छन्नी, जिसमें तार पतले किए जाते हैं"
"जंन्न, जंतुर",पैजनी को सुजवा से कसने वाली जार रस्सियाँ; जंगली पशु; जंतर
जंभीरा,नींबू
जइहा,जिस दिन
जई,"धान बोने की एक विधि, जिसमें धान किसी बर्तन में भिगोकर रखे जाते हैं, जिससे अंकुर जल्दी निकल सके । जंगली जौं; जऱई"
जउनु,दूध जमाने हेतु प्रयुक्त थोड़ा-सा दही
जउनु,जो
जउरि,खीर
जउरी,रस्सी
जक्दंबु,मस्ती में उछलना
"जकोइया, जकोई",मटर की फली का प्रारम्भिक आकार
जखीरा,"समान वस्तुओं का संग्रह, ढेर, पौधों का समूह"
जखेड़ा,भीड़
जगरूपु,विवाहों में प्रयुक्त एक खंभ; काठेक- जिसे कहीं-कहीं ‘मानिक खंभ’ भी कहते हैं
जग्गि,यज्ञ
जङरइत,ताकतवाला
page,2
जचबु,देखने में सुन्दर लगना
जच्छार,"रुष्ट, अत्यन्त क्रुद्ध"
जजमानी,यजमानी
जैजाति,सम्पत्ति
जट्ट,उजड्ड; जाट की भाँति असभ्य
जट्टी,स्टीमर से उतरने का स्थान; जो लकड़ी रखकर बनाया जाता है
जट्टाहिन,जले हुए गुड़ के स्वाद-सा स्वाद वाला
जड़काला,जाड़े की ऋतु (उदा.) ‘विरहकाल भयउ जड़काला’
जड़ावरि,जाड़े के कपड़े
जढ़ी,ज़िद्दी
जतिगर,"अच्छे प्रकार का (बीज, पौधा आदि)"
जती,यती; जोगी; संन्यस्त व्यक्ति
जतुआ,जोत (कृषि सम्बन्धी)
जत्ता,सोने का तार खींचने में प्रयुक्त युक्त पट्टी
जद्द-बद्द,भला-बुरा
जद्दी,जायदाद
जन,व्यक्ति; यह शब्द संख्यावाचक शब्दों के साथ बोला जाता है; मजदूर
जनखा,नपुंसक
जनगर,अधिक
जनारव,"जानवर, जीव; पहेली- “हाथ न गोड़ पहाड़ चढ़ा जात है देखो त बरखंडी बाबा कौन जनारव जात है ।” (धुआँ)"
page,3
जनाही,व्यक्ति के हिसाब से
जनुका,"ज्ञाता, जानने वाला (प्रायः मंत्र-तंत्र का)"
जनुका,होशियार
जनेरा,"मक्का, जोन्हरी"
जनेस,नरेश
जनौ,शायद; जहाँ तक ज्ञात है
जन्ता,"बैलगाड़ी की पैंजनी में लगाई जाने वाली रस्सी मशीन- बाल बनाने में प्रयुक्त मशीन विशेष, जनता"
जपबु,"हत्या करना, खाजाना"
जपाट,बिल्कुल
जपाट,मूर्ख; बहरा
जबर,हष्ट-पुष्ट
जबरा,"छोटा पर चौड़ा डेहरा, जिसमें अनाज रखा जाता है"
जबरिया,जबरदस्ती
जबहा,"शक्ति, अधिकार"
ज़बान,जीभ
जबाना,ज़माना
जबुर,"बुरा, भारस्वरूप"
जबून,खराब  
जबे,खत्म
जबोर,"प्रभावशाली, हृष्ट-पुष्ट"
page,4
जमइका,"जमाइका द्वीप, जहाँ भारतीय मजदूर भेजे जाते थे"
जमकबु,भली-भाँति स्थापित हो जाना
जमतुआ,"छोटे-छोटे पौधे, जो बिना बोए उगते हैं"
जमाई,घोड़े के नाचने की क्रिया
जमामर्द,मुस्तैद
जमाल,छूरा की क्वालिटी विशेष
जमुर्रुद,पन्ना नामक रत्न
जमेंड़ा,दही जमाने का बर्तन
जमोग,"आश्वासन, जमानत"
जम्म,स्थायी; न हटने वाला
जमोट,कुएँ की जोड़ाई के समय सबसे नीचे का काठ आदि का घेरा
जम्बूरु,कीलें खींचने का यंत्र
जययद,अत्यन्त शक्तिशाली व्यक्ति
जरई,"धान बोने की एक विधि, इसमें धान भिगोकर किसी बर्तन में अंकुर निकलने के लिए रखे जाते हैं; जई"
जरतार,सोने-चाँदी के तार
जरनि,जलन
जरबन,इजारबन्द
जरलहा,जला हुआ
जरबई,छोटे-छोटे जरवा या जड़ें
जरबना,ईधन
page,5
जरवा,पौधों में निकली हुई जड़ें
जराइंधि,पकवान आदि के जलने की बू
जरामपेशा,अपराधशील जाति
जरिआबु,फल का सख्त होना
जरि-भूरी,जंड़-भूल
