page,1
झउआ,झाँखड़ आदि से बना टोकरा
झँउस,"डाँट, लपट"
झउँसबु,सीधेआग में भूनना
झउँसहा,निंदनीय
झकड़ी,निरंतर और धीरे-धीरे होने वाली वर्षा
झकसा,"झंझट, झगड़ा"
झंकोर,झोंका
झंखबु,"चिन्ता करना, पश्चात्ताप करना"
झंगिया,बच्चों के प्रथम बार लगाया गया काजल
झंगुलिया,पोशाक विशेष
झझक,थोड़ा सा पागलपन
झँझकुलु,घोंसला
झंझरा,मिट्टी का बर्तन
झंझरी,लकड़ी अथवा पत्थर में कटी बेल आदि
झँटिहा,झिकझिक करने वांला बदमाश
झँटुल्ली,छोटा
झट्टदि या झट्टै,झट से
झड़कुलहा,कुम्हड़ा
झंडूलु,"बालक, जिसके सिर पर बड़े-बड़े बाल हों (प्यार का शब्द)"
झत्रा,नाज झरने की बड़ी चलनी
page,2
झनक,"दर्द का थोड़ा अंश,धीमी आवाज; मिजाज की थोड़ी तेजी या गर्मी"
झपको,हल्की नींद
झंपोला,बड़ी टोकरी
झबनी,टोकरी
झब्बर-झब्बर,झोंके के साथ
झब्बा,फूलदार आभूषण
झमड़ा,उलझी हुई खड़ी फसल
झमाड़,सघन; फैलावदार
झर,पशुओं के ब्याने पर बच्चों के साथ निकलने वाली रक्त और मांस की डोरी
झरखर,"मौसम, जिसमें पानी बरसना बंद हो जाये"
झरङहा,"(अन्न) जो कच्चा ही सूख गया हो और बीज के काम का न हो, विशेष कर चना; कचबाँसी"
"झरनत, झरुता",(फसल का) अंतिम समय या छूटा हुआ अंश
झरनि,पैदावार
झरवाखा,छोटी खिड़की
झरसबु,"झुलसना, मन ही मन नाराज होना"
झराहिन,मिर्चे की-सी झार
झरिहाव,लगातार होने वाली धीरे-धीरे कौ वर्षा; झरि
झल-झल,चमक के साथ
झलका,फफोला
झलकुट्टी,काँटेदार झाड़ियों का समूह
page,3
झलबद्दरु,कई दिन की सतत होने वाली वर्षा एवं बादल
झलबु,"(अधिक बाते) करना, शेखी मारना; हस्त पंखा हिलाना"
झलरिया,झाँड़ी; झुड़िया
झलूसा,"दिखावा, तमाशा"
झल्लाबु,बहुत क्रोध करना
झल्ली,चारा आदि डालने की गहरी गोल डलिया
झवाँझार,परेशान 
झस,आर्थिक सामर्थ्य; गुंजाइश
झँसाई,नीचता
झहरबु,ऊपर उठकर उड़ते या हिलते रहना
झाँ,बच्चों के खेलते समय एक दूसरे को बुलाने का शब्द
झाईं,हल्की परछाइ
झाऊ,फनींचर विशेष
झाँक,विशेष प्रकार की गंध
झाँखर,अरहर के सूखे पेड़
झाँझ,"पैरों गहना, बाद्य विशेष"
झाँझा,ककड़ी और मूली की फसल का एक रोग
झाँटू,झंझटी
झाँड़ा,टट्टी
झाँप,ऊपर से ढकने का कपड़ा; कच्ची छत्त में बिछाये गये पटरे
page,4
झाँपबु,"ढकना, बंद करना"
झापस,बादल घिरे रहना और धीरे-धीरे बरसात का मौसम
झाबर,झाँखर का बना बड़ा बर्तन; वह क्षेत्र जहाँ अधिकतर पानी भरा रहता है
झाबली,पान आदि रखकर बाजार ले जाने में प्रयुक्त छोटा झाबा
झाम,कुआँ साफ करने की लोहे की मशीन; बाधा
झार ,द्वेषपूर्ण क्रोध; झुंझलाहट; कड़वाहट की बू
झारबु,आभूषण आदि साफ करना; मंत्र द्वारा बिष उतारना
झारा,तलाशी
झारि,झड़ी; लगातार की वर्षा
झारि,पूर्णतया; मात्र
झारि,तेज
झारी,"सुराही, झाड़ी"
झाल,चलने की तरह का नुक्ती या बूंदी बनाने का यंत्र; लइया आदि भरने में प्रयुक्त बड़ा बोरा
झाला,कान में पहनने का आभूषण
झावँर,"मुर्झाया हुआ, सूखा हुआ"
"झाँवरि, झाँवर",बेहोशी का झोंका; काला; उदास
झावाँ,खूब जली हुई पक्की ईंट
झाँस,"हल्का, बुरा, नीच"
झाँसा,"धोखा,"
झिकवा,मछली विशेष
page,5
झिझकबु,"संकोच करना, हिचकना कंपित होना"
झिझक्वारबु,झटका देना 
झिझक्वारबु,झिचक्वारबु
झिनकई,छोटी; झीनी
झिनवा,महीन चावल
झिरिक,पतामी नाली काटने में प्रयुक्त रंदा की किस्म
झिरिककर ,खुरचकर
झिलंगा,"खाट, जिसकी बिनावट पुरानी हो गई हो"
झिलमिल,गहना विशेष
झिलमिल,अस्पष्ट
झीन,"बारीक, छोटा"
