page,1
टइझा,झगड़ा 
टइनी,टहनी
टउल्यावँ,मोलभाव
टंक,तोला
टंक-दबना,"मिट्टी का दो परतो वाला एक पात्र, जिसमें सोतने के टाँके टबा दिये जाते हैं"
टकउरी,छोटा तराजू
टकसार,"टकसाल, खजाना"
टघिलबु,पिघलना
टङरी,टांग
टंच,तैयार
"टंचनी, टाँचनी",कपड़ों पर निशान बनाने की छोटी सूई
टंटघरा,कछार के खेतों में बुवाई के समय हल चलाने वाला हलवाहा
टंटा,झगड़ा-झंझट
टँटाबु,मिट्टी का कड़ा होना
टटिया,झाँकड़ आदि से बनी दीवाल
टटुआ,टट्टू (छोटा घोड़ा)
टटेरी,झगड़ालू; शैतान
टट्टस,"मजबूत, स्वस्थ"
टट्यार,"झगड़ा, शैतानी"
टठिया या टठुलिया,थाली; थरिया
page,2
टड़वरिहा,बैलों का व्यापार करने वाली जाति का एक व्यक्ति
टँड़िया,हाथ के ऊपरी हिस्से में पहने का आभूषण; पछेलवा
टंडीला,सामान
टढुई,छड़ी
टनकहा,"वह जानवर, जो पैर झिटकता रहता हो"
"टप, टफ",कान का आभूषण
टपउबु,"व्यर्थ दौड़ना, घूमना, हैरान करना; कुदाना"
टपका,पककर गिरा हुआ आम आदि फल; बूंद-बूंद टपकने का भाव; चौपायों का रोग विशेष
टपंखा या तिपंखा,जिसकी आँख में टेढ़ापन हो
टमटमु,छोटी घोड़ा गाड़ी
टयरा,"हाथी के खाने पीने के लिए पत्ते समेत पीपल, बरगद आदि की डालें"
टयरा,टेउरा
टर्रा,अकड़कर गुस्ताखी से बोलने वाला
टसकबु,"खिसकना, स्थान से थोड़ा-सा हटना"
टसर,जुलाहों की ढरकी; तसर
टस्स,कल्पित स्थान
टस्स-होबु,जरा सा हिलना
टहँकउबु,पिघलाना
टहरकु,मदद
टहरकु देबु,"कार्यकरना, ध्यान करना"
page,3
टहलुआ,नौकर
टाकटउलु,"उलट फेर, कार्य"
टाँका,जोड़
टाँका काटबु,बट्टा लगाना
टाँगुन,"अन्न विशेष, जिसका भात बनता है"
टाघन,छोटा-सा जवान घोड़ा
टाँठ,कड़ा
टाठी,थाली
टाड,बाँह या गले का आभूषण
टाँड़ि,कमरे आदि में बने हुए छज्जे
टापर,टोकरी
टायरा,गहना विशेष 
टाली,सामान वाहक ट्रैक्टर का डिब्बा या ट्राली
टाँवाँ,चट्टे में रखा बीस ईटों का ढेर; छत आदि ढालते समय बल्ली के नीचे लगा ईटों का ढेर
टाँसबु,धातु के बर्तन की मरम्मत करना
टाह,नदी का ऊँचा किनारा
टिउआ,स्त्रियों की विदाई का निश्चिंत दिन
टिकन,गद्दा में प्रयुक्त कपड़ा विशेष
टिकबु,"टिकना, ठहरना"
टिकमटोक,अनावश्यक आडम्बर
page,4
टिकरी,रुपये के आकार की गोल चमड़े की टिक्की; छोटी-सी रोटी
टिकावनु,शादी अवसरों पर किया जाने वाला आर्थिक व्यवहार या भेंट
टिकुरई,समतल होने का गुण
टिकुरा,भूमि से ऊँचा उठा हुआ भाग; टावर ऊँची-नीची भूमि
टिकुली,बिंदी
टिकुवा,सफेद धब्बे से युक्त मस्तक वाला पशु
टिकोरा,छोटे-छोटे आम के फल; हवा का झोंका
टिट्वाहबु,"खोजना, टटोलना"
टिडड़िक्कबु,"व्यंग्य करना, कटाक्ष करना"
टिपटबु,दो रस्सियों को मिलाकर बटना
टिपना,"टिप्पणी, जन्म, विवाह आदि से सम्बप्धित विवरण"
टिपवाँस,आडम्बर
टिप्पा,लिंग; स्पर्श
टिमाकु,"श्रृंगार, साज-सज्जा"
टिल्ला,टीला
टिहड़ी,रीढ़ के पिछले हिस्से को टिहड़ी या करिहावँ (कमर) कहते हैं
टिहुना,घुटना
टीकुर,सूखा मैदान
टीचि,बैलगाड़ी में जुआँ के पास लगी खुँटरी या खूँटा
टीमटाम,सामान; सजावट
page,5
टुइयाँ,"मटर की किस्म विशेष, जिसके पौधे बहुत छोटे होते हैं"
टुकनी,टोकरी
टुकरा,टुकड़ा
टुकरी,पुराना छोटा कपड़ा
टुकवा,वस्त्र खण्ड
टुकुर-टुकुर,अपलक
टुटपुंजिया,न्यून पूँजी वाला
टुटरूटूँ,रद्दी; किसी तरह काम देने वाला; बिल्कुल अकेला
टुटहिल,टूटा हुआ
टुनगू,"वृक्ष का ऊपरी सिरा, चोटी"
टुरका,"टुकड़ा, कुटका; नाक की कील"
टूका,जूते का ऊपरी भाग यह शब्द प्रायः देशी जूतों में व्यवह्रत होता है; टुकड़ा (रोटी का)
टूँगबु,छोटे-छोटे कौर (निवाला) खाना धीरे-धीरे भोजन करना
टूँड़नि,मुंडन की तरह का एक संस्कार
टूना,चवन्नी
टूँसी,पतला टुकड़ा
टेई,"प्रेरणा, समानान्तर बात"
टेउका,किसी वस्तु को ऊपर रोकने के लिए प्रयुक्त बडी टेक
टेउँगा,पत्तियों समेत छोटे-छोटे कल्ले
टेंङारा,कुल्हाड़ा
page,6
टेटाबु,"अकड़ना, ऐंठना"
टेटिया,हथकरघे में वालपिन का एक अंग विशेष
टेंटु,"धोती का वह भाग, जो कमर मे लपेटा जाता है; गोद"
टेपर,"गुस्ताख, मुँहलगा"
टेंभुआ,"आम का वह भाग, जो डाल से जुडा रहता है; टेभुना"
टेभुना,"आम का वह भाग, जो डंठल से जुड़ा रहता है"
टेभुनी,नवांकुर
टेम,जलती हुई बत्ती
टेमरा,बाजरे का बाल रहित पौधा; आम आदि की शाखा
टेवँ या ट्यावँ,आदत 
टेवँ या ट्यावँ,निर्जीव
टेहरा,नव पल्लव
टेंहसा,बच्चों के हाथों का आभूषण
टोइयाँ,"तोते की किस्म विशेष, जो अशुभ कारक होती है"
टोउबु,टटोलना; परखना
टोक,"शब्द,अक्षर; संक्षेप बात"
टोंकी,टोकी या कही हुई बात
टोङ,किनारा; कोना
टोटियउबु,पौधों में लोटा आदि से थोड़ा पानी छोड़ना; टोंट मारना
टोड़रवा,बच्चों के हाथ का आभूषण
page,7
टोंड़ा,हल के फाल की नोक
टोपरा,टोकरा (लकड़ी का)
टोभु,सिलाई का फंदा
टोर्री,गैर खिला लावा
टोह,खोज 
ट्ट्यांभरू,कूल्हे की हड्डी
ट्ट्यांव,आदत 
ट्ट्वान्हा,"टोना, नज़र"
ट्रयाँड़ा,छोटी जाति का बैल
ट्रिपिल नाइन,(चाँदी) विशेष
page,8
page,9
