page,1
ठउरिग,"स्थिर, निश्चित"
ठउरै,पास ही में
ठकठक,"विशेष स्थान, रौब; अच्छी स्थिति"
ठकाठक,बिना भोजन के
ठकुरसोहाती,"बात, जो मालिक को सुहाय"
ठगहाई,ठगी धोखेबाजी
ठट्ठा,"हँसी, खिलवाड़"
ठंठन्यावँ,"वाद-विवाद, झगड़ा"
ठठरी,अस्थि-पंजर
ठठेरा,भुट्टा या फल रहित ज्वार आदि का पौधा
ठड़ा,खड़ा
ठड्ढा,खड़-खड़ा
ठनगन,"नखरा, मचलन"
ठप्पा,सोना या चाँदी को किसी शक्ल में ढालने का यंत्र
ठर्रा,देहात की बनी हुई शराब
ठर्रा,मोटी एवं मजबूत (रस्सी)
ठर्रा देना,नम खेत जोतने के पूर्व पाटा घुमाना
ठल-ठुला,रहने का स्थान; ठिकाना
ठसक,"गर्व, गर्वपूर्ण उक्ति"
ठहकबु,"ठहरना, रुकना"
page,2
ठाउँ,"स्थान, प्रारंभ"
ठाँठ,"वह गाय या भैंस, जो गर्भिणी न होती हो; रस विहीन"
ठाठु,भीट की छत का काम देने वाला विशाल छप्पर; फूसरहित छप्पर का ढाँचा शौक
ठाढ़ि,खड़ी; दुपहर- (स्त्री.) ठीको-ठीक दोपहर
ठानबु,"तय करना, निश्चित करना, धारणा बनाना"
ठामक,"नाटा, छोटे कद का"
ठारी,जोर की ठंड
ठावैं,"तत्काल ही, उसी स्थान पर; प्रारम्भ में ही"
ठिकरिया या ठिकरी,आग रखने में प्रयुक्त मिट्टी के बर्तन का टुकड़ा
ठिगना,"बौना, छोटे कद का"
ठिलिया,मिट्टी का छोटा घड़ा
ठिल्लै,"परिहास, मजाक; ठठोली"
ठीकरि,पानी न रुकने वाली जमीन; अपेक्षित ऊँची
ठीस,"गर्व, रौब"
ठीहा,निहाई रखने का लकड़ी का अड्डा; नांद बनाने का साँचा; अडडा; समय निर्धारण; वादा
ठूँठी,अरहर आदि के काटने पर नीचे का बचा पेड़
ठूँठु,शाखा रहित पेड़
ठेंका,कुदाल या फावड़े का हत्था
ठेकी,लकड़ी का सुडौल ढेर; विश्राम स्थल; लकड़ी के क्रय-विक्रय का केन्द्र
ठेकु,ढेर
page,3
ठेंगा,डण्डा; अंगूठा
ठेठ,शुद्ध; निरा; एकदम निपट
ठेंठी,शीशी या बोतल का मुँह बंद करने की लकड़ी
ठेनहा,शरारती
ठेप,कुछ छोटा
ठेला,धकेल कर चलायी जाने वाली गाड़ी; ट्रक
ठेलुहा,मसखरे लोग; अन्य या बाहरी लोग
ठेलुहावँ,मसखरी
ठेहा,"काटने का स्थान; लकड़ी का टुकड़ा, जिस पर गड़ासे से कुट्टी काटी जाती है"
ठोकचा,आम की सूखी खटाई
ठोकवा,महुवे और आँटे की बनी हुई मोटी पूड़ी
ठोंठी,अन्न के दाने के ऊपर का खोल; रद्दी भाग
ठोंठी,फोकली
ठोंड़,चोंच
ठोपु,बूंद
ठोर,चोंच
ठोर्रा,भुने मक्के का गैर खिला दाना
ठ्यांक,"ठोकर, ठेस"
ठ्यांगा,अंगूठा
ठ्याप,"रोक, बाधा, काट (बात में); विश्राम"
page,4
page,5
