page,1
डउंगी,टहनी
डउरी,बाँस की बनी टोकरी
डउलु,"तरकीब, प्रबन्ध"
डउल्यउबु,(लकड़ी) छाँटकर सीधी करना; अंदाज करना; तय करना
डकवा,डोकवा (झउवा)
डंकिनी,"डंकिन साहब का, इस्तमरारी (भूमि का बन्दोबस्त, जो उत्तर प्रदेश के पूर्वी जिलों में अभी तक चलता है)"
डकूरु,"बवंडर; बौड़र, नाचती हुई हवा"
डखना,पंख; खजूर की शाखा
डखुरहा,द्वेष करने वाला
डगर,राह; पगडण्डी
डगरबु,चलना (राह पर)
डगरोही,"पथिक, रास्ता चलने वाला"
"डगार, डंगार","डाली, शाखा"
"डटेर, ठठेरु",बाल (भुट्टा) रहित ज्वार का पौधा
डट्टा,हुक्के से संलग्न खरादी हुई सीधी लकड़ी
डंड,दण्ड; कष्ट
डँड़वारु,दो घरों के बीच की दीवार
डँड़सोही,पाँच या छः लकड़ियों का छोटा सा फाटक
डँड़हर,ज्वार-बाजरे के खड़े खेत
डँड़हरबु,फसल केखड़े खेत में जुताई करना
page,2
डड़हरी,बैलगाड़ी के पीछे वाले सुजवा के नीचे लगने वाली लकड़ी
डँड़हा,डाँड़ (किनारे) का वासी
डँड़ाही,"दण्ड, जुर्माना"
डँड़िया,"बच्चा पैदा होने का बाद, एक दिन के संस्कार में बनाई गयी चावल आदि से रेखाएँ; गाँव के बाहर का मैदान"
डँड़ोई,छोटे-छोटे कच्चे फल
डढ़ारबु,कपड़े को दुहराकर दोहरी सिलाई करना
डण्डु,"कष्ट, जुर्माना, मुआवज़ा"
डपोर ,मूर्ख
डपोरसंख,महामूर्ख
डफला,"एक बड़ा बाजा, जो लकड़ी से बजाया जाता है; डफ"
डँबरी,फल विशेष
डब्बल,पैसा
डभका,"धान, जो पकने वाला हो"
डभहा,गड्ढा
डमरा,"प्रसिद्ध टापू अंडमान, जहाँ जन्म कारावास के लिए लोग भेजे जाते थे"
डयरी,"डायरी, रोज़नामचा"
डरई,छोटी डाल
डलइया,डलिया
डंसा,"एक बड़ी मक्खी, जो वर्षा में होती है और पशुओं को कार्तिक माह तक काटती है"
डहकउबु,"लालच देना, भड़काना"
page,3
डहकु,जमीन में बना गड्ढा
डहडही,हरी-भरी (फसल आदि)
डहनि,टहनी
डहरा,नाज रखने के लिए मिट्टी का बड़ा बर्तन
"डहरि, डहर",पगडण्डी
डहला,कुआँ हेतु खुदा हुआ गड्ढा
डहुआ,नाव खेने का डण्डा विशेष
डहुकु,"गड्ढा, दहकु"
डाइनि,भृत की स्त्री; डाह करने वाली स्त्री
डाँक,कै करने की इच्छा; गाड़ी-मेल ट्रेन
डाकट,महत्वपूर्ण कागज़
डाकबु,"पार करना, फाँदना"
डाकमुंसी,पोस्टमास्टर
डाँकरि,नमीयुक्त (फसल)
डाँका,डकैती
डांगर,मृत जानवर
डांगर छोड़उबु,मृत जानवर की खाल निकालना
डाटबु,पहनना
डाँठ,अनाज समेत पौधा
डाँड़बु,दण्ड भुगतना
page,4
डाँड़ा-मेंड़ी,पड़ोसी
डाँड़ी,तराजू की डण्डी; चरखी में प्रयुक्त बल्ली; पतली मेड़
डाँड़ी मारबु,तोल में हेरा-फेरी करना
डाँड़ी सिलाई,दो कपड़ों को जोड़कर की गयी सीधी सिलाई
डाँडु,गाँव आदि की हद या सीमा; कीमत; कष्ट; दण्ड
डाँढ़,मिट्टी के बर्तन का हिस्सा विशेष
डाढ़बु,जलाना; तंग करना
डाढ़ा,आग
डाबी,चबेना भूनने व शक्कर घोटने के लिए प्रयुक्त लकड़ी का यंत्र; दोनों भुजाओं में आने भर का मुट्ठा
डाभ,"आम के मुख का तीखा रस, जिसे निचोड़ दिया जाता है"
डाभकि,देखिए ‘डाँकरि’
डामरु,कालापानी
डाल,लड़की की विदाई में बांधी गई पूड़ी आदि; शाखा
डाली,"उपहार, अनाज साफ करने में प्रयुक्त छिछली डलिया "
डाली परलगउबु,गाय आदि को चारा खाते समय दुहना
डाँवाडोल,"अनिश्चित, गड़बड़"
डाँस,डंक 
डासन,बिछौना
डासबु,बिछाना
डाह,ईर्ष्या
page,5
डाहबु,परेशान करना
डिंउसी,सब्ज़ी विशेष
डिउहार,डीह का देवता; ग्रामदेव
डिगना,"मिट्टी का ठप्पा, जिससे कुम्हार अपने कच्चे बर्तन पीटता है"
डिंगरी,"निर्णय, डिक्री; डिग्री"
डिग्ग,ऊँचा भाग या स्थान
डिट्टा,छोटी जाति का बैल
डिट्टान,दृष्टांत
डिठवनु,देवोथ्थानी एकादशी का दिन
डिठिबन्हबा,जादूगर; डीठ बाँध देने बाला
डिठियाँना,आँख से दूर
डिठियार,"दर्शक, दष्टि वाला "
डिठोन,देवोत्थान
डिड़वारु,डड़वारू
डिंढ़,हिम्मतवाला दुढ़
डिढ़ानि,बड़े दानों वाली मटर की फली
डिपाटु,"विभाग, महकमा"
डिंभ,आडम्बर
डिमकी,अत्यन्त छोटा ढेला
डियट या डिवठी,दिपक रखने की अइडी
page,6
डिलार,"वह खेत, जिसमें ढेला ज्यादा हो; ढेलहा"
डिल्ल,बैल की गर्दन का ऊँचा मांसल भाग
डिल्ल,बिल्ली
डिहुला,एक प्रसिद्ध धान
डीभी,खेत में उगे नए अंकुर
डीला,ढेला
डीलु,"शरीर, देह"
डीवट,दीपक रखने की अड्डी
डीहु,खंडहर; टीला
डुकवा,डोकवा
डुँड़ही,सींचने की सुविधा हेतु खेतों में बनी पतली-पतली मेंड़ें
डुडुवा,खेल विशेष
डुभकी,कढ़ी में डाली हुई उड़द की पकौड़ी
डुर्छे-डुर्छे,साँड़ को गर्भाधान हेतु प्रेरित करने का शब्द
डुहकबु,अकले पड़े-पड़े लालायित होते रहना
डूँड़,(पौदा या पेड़) जिसका सिर कट गया हो; जिसकी सींग टूट गई हो
डेउढ़ा,निरन्तरता
डेउढ़ा,बालों की कटिंग
डेउढ़ा,डेढ़ गुना
डेउढ़ी,"घर के भीतर प्रवेश करने के पूर्व का स्थान, जहाँ पहरेदार आदि बैठते हैं"
page,7
डेङ,बड़ा अनगढ़ बाँस का डण्डा
डेट,विवाह के अवसर पर माड़ौ में टांगी जाने वाली लकड़ी की मांगलिक वस्तु
डेड़उबा,बेर का कच्चा फल
डेड़क्करी,एक ककड़ी विशेष; डवाँ ड़ा
डेढ़निया,मिट्टी का एक बर्तन
डेढ़ी बिसारु,जिसमें दिये हुए अनाज का डयोढ़ा लौटाया जाए
डेबरा,गड्ढा; दस से पन्द्रह बिस्वे तक का खेत
डेबरा,बाएँ हाथ से कार्य करने वाला
डेबरी,बहुत छोटा खेत; खड़ही
डेबला,मटर जैसा अनाज विशेष
डेब्बी,डिबिया
डेरा डाँड़ी,सम्पूर्ण सामान
डेल,"वह खेत, जिसमें रबी की फसल तैयार की गयी हो"
डेल,ढेला
डेलरी,"डलिया, टोकरी"
डेली,"मिट्टी का छोटा बर्तन, जिसमें दीपक बनाया जाता है"
डेंहुड़ी,भीतरी कक्ष का दरवाजा
डेहुला,धान की प्रजाति
डैमल ठीहा,"वह ठीहा, जिस पर सोने को दबाकर छिलाई की जाती है"
"डोकिया, डोकी",लकड़ी की छोटी तश्तरी
page,8
डोंगरउ,बुढ़ऊ
डोंगरेवा,बुढ़िया
डोंगिया,नाव 
डोरि,"वह रस्सी, जिससे लोटा बाँधकर कुएँ से पानी खींचा जाता है; तागा"
डोरिया कटोरी,"गोल रंगीन, नक्काशीदार (काँच की चूड़ी), जिसके भीतर एक डोर-सी चलती रहती है"
डोरिहार,पटवा
डोलडाल,मलत्याग
डोलडाल जाबु,मल त्याग हेतु जाना
डोलु,पानी भरने का लोहे का बर्तन
डोहरा,बताशा बनाने का एक उपकरण
डौंकी,लकड़ी की सूखी हुई बड़ी टहनी
ड्वांग,अत्यन्त दुबली या मरणासन्न गाय आदि
ड्वाँड़ा,डेड़ककरी
page,9
page,10
