page,1
ढंइया,ढाई सेर की तोल
ढइहाँ,ढाईं (झाड़ी) पर बोने वाले या चढ़ने वाले (पौधे)
ढँउचा,साढ़े चार
ढकना,ढक्कन
ढकवा,मूंज की बनी बड़ी टोकरी
ढक्यालबु,धक्का देना
ढक्वालबु,पीना (उपेक्षित)
ढंगु,गुण; जुगाड़; तरीका
ढचरा,"बुरा तरीक, व्यर्थ का नियम"
ढट्ठा,खाल में रगर लगने से-बना निशान; घट्ठा
ढड्ढू,लंगूर
ढंढसु,"नाटकीयता, ढोंग"
ढनगउबु,लुढ़काना
ढप,आदत  
ढब,"तरीका, हुनर"
ढमकबु,बजना
ढरकउना,देखिए ‘ढरकावन’
ढरकउबु,पानी आदि गिराना
ढरका,जानवरों को दवा आदि पिलाने में प्रयुक्त बाँस का पोंगा विशेष; आँसू बहने का रोग या बीमारी
ढरकावनु,पानी जो किसी आगंतुक के कल्याणर्थ देवी-देवता को चढ़ाया जाता है
page,2
ढरगही,खेत को चौरस करने की क्रिया
ढरहर,गोल एव चिकना; गिरने लायक
ढर्रा,"रास्ता, दस्तूर, नियम"
ढलार,ढाल युक्त
ढाका,टोकरा; बांग्लादेश की राजधानी
ढाँख,वृक्ष विशेष 
ढाँख,"बात, रौब"
ढाँख,होलिका में प्रयुक्त रंडे आदि का पेड़
ढाठा,साफा
ढाठी,"आदत, खराब आदत"
ढाबली,मुर्गियों को बन्द करने का छोटा घर
ढारबु,"आरोपित करना, मढ़ना; बिगाड़ना; गिराना"
ढाला,अनाज का बहुत बड़ा ढेर
ढाँसी,जोर की खाँसी
ढाँही,काँटा आदि की छोटी डाल
ढिग,"पास, नजदीक"
ढिग,धोती का रंगीन किनारा
ढिपुनी,"फाल का वह भाग, जो पेड़ से लगा रहता है; ढेंपी"
ढिबरी,"चिमनी, दीपक"
ढिलमिल,सुस्त 
page,3
ढिल्लरी,आलसी
ढीठ,"हिम्मती, निर्भय"
ढींढ़स,छः पसेरी का
ढींढा,"गर्भ, बड़ा पेट"
ढीलबु,छोड़ना
ढीलौ,जूँ
ढुकबु,छिपकर खड़ा रहना; कुछ पाने की आशा में खड़े रहना
ढुका,लंलचाया
ढुंढुनी,सन की फली
ढुनुकबु,गिर पड़ना; मर जाना
ढुरहुर,चिकना एवं गोल (अनाज)
ढुरुहुरी,पतला रास्ता
ढुसकट,बलुई (जमीन)
ढूखु,रबी की फसल में बोये हुए खेत की पहचान का चिह्न
ढूँढ़ी,चावल के आटे के लडडू; गोल फली
"ढूहा, ढूहु","ढेर, ऊँची जमीन"
ढेंकी,चूरा कूटने में प्रयुक्त लकड़ी की मशीन
ढेकुआ,कोल्हू की कातरि में गड़ी हुई लकड़ी; क्धां
"ढेंकुरि, ढेंकुली",ढेकली; पानी निकालने का साधन
ढेंढ़ी,"अंगूठी आदि का छल्ला, टेंट"
page,4
ढेंपी,ढिपुनी
ढेमाका,अमुक
ढेरियउबु,अनाज को भूसे आदि से अलग करना; ढेर करना
ढेलवाँसि,रस्सी की बनी जाल जिससे ढेला दूर तक फेंका जाता है
ढेंसर,"पकने वाला (फल), अधपका"
ढोआई,ढुलाने की मजदूरी या कर्म
ढोंका,"ढेला, टुकड़ा"
ढोकाबु,स्तन में दूध उतारना
ढोठा,"हथकरघे का वह अंग, जिस पर बाबीन या छुंछी चढ़ाई जाती है; मार"
ढोंढ़ी,नाभि; ढोंढु
ढोरा,पशु
ढोरु,"चर्म रहित, साफ"
ढोलना,गले में पहना जाने वाला माला विशेष
ढोली,२०० (दो सौ) पानों की ढेरी
ढोवा,"बोझ, जो एक बार में जा सके"
ढ्यांगा,छोटे कद का बैल
ढ्वाँका,स्तनों में आया या उतरा हुआ दूध
page,5
page,6
