page,1
तंग,संकीर्ण; परेशान
तंग,घोड़ों की जीन कसने में प्रयुक्त पेची
तंग-टोर ,जिस घोड़े के तंग बाँधने के स्थान पर भौंरी हो
तंगिया,"कुछ अधिक लेने ढेर सारे किये या फैलाये गये नखरे, बहाने"
तंगी,आर्थिक परेशानी; संकीर्णता
तंगु,पीछा
"तंबोर, तंबोला",पान
तइँता,"हमेल में लगी कटिया, जिसमें बच्ची पुही जाती हैं व रुपयाकार बच्चियाँ"
तइकै,तब फिर; तदनन्तर
तइफा,संगीत पार्टी; मंडली
तइया,जलेबी बनाने के लिए प्रयुक्त थालीनुमा कराही; ताई
तउँक,गर्दन में पहनने का आभूषण
तउजा,उधार
तउनु,वह
तउबु,"बर्तन आदि का मुँह ढकना, बन्द करना"
तउला,"अनाज आदि तोलने वाला व्यक्ति, अनाज क्रय-विक्रय का दलाल"
तउहूँ,तब भी
तक,"बड़ा तराजू; -पट्टी बही-(स्त्री.) काँटे द्वारा जिस माल का वजन किया जाता है, उसका विवरण व्यापारी के नाम सहित तारीखवार होता है"
तकउबु,देखभाल किसी के जिम्मे छोड़ना
तकथा,लकड़ी का मोटा पटरा
page,2
तकदमा,"प्रभुत्व, अधिकार"
तकबु,"देखभाल करना, ताकना"
तकमा,तमगा
तकमा,तगमा
तकरार,"झगड़ा, बहस"
तकरूरी,नियुक्ति
तकसीर,"गलती, अपराध"
तकुआ,"चरखा का पुर्जा, जिस पर तागे की फुल्ली पिन्हाई जाती है"
तक्कर,परेशान  
तखरी,स्त्रियों के बाल साफ करने की कूची
तगइयति,"देखभाल, रखवाली"
तगाड़,मिट्टी घोलने की हौदी; खौं
तगादा,"तकाज़ा, तकादा"
तग्गी,पतला तागा या रस्सी
तचबु,गरम होना
तजबीज,"प्रस्ताव, मुकदमे का फैसला; अंदाज"
तजुरबा,अनुभव
तड़कबु,नाले आदि को उछल कर पार करना; चटक जाना; क्रोध दिखाना
तड़का,बघारः बड़ा सबेरा
तड़कि,छत में लगने वाली लकड़ी कटी हुई लम्बी लकड़ी
page,3
तड़के,प्रातः काल
तड़क्की,"नाम, शाबासी, शोहरत"
तड़खर,गर्म (व्यक्ति)
तड़ी,थपेड़ा
ततबीर,"तदबीर, योजना"
तथा,"वित्तीय सामर्थ्य, गुंजाइश"
तदारुक,"दंड, कष्ट"
तधीनी,अपच 
तन,ओर
तन,शरीर
तनतना,शासन
तनदेही,तत्परता
तनबु,छा जाना; अकड़कर सीधा होना; बहकावे में आना
तना,समान
तना,पेड़
तना,"छाया हुआ; तंग, नाराज़"
तनि,जरा-से
तनी,सकरी पट्टी; (अव्य) किंचित
तनुक,"जरा से, तनिक"
तनुवा,चमड़ा तानने के काम आने वाला औजार
page,4
तनेतराज,पूर्णतः परेशान
तन्नाबु,गुस्सा हो जाना
तपबु,गरम होना
तपसी,"तप करने वाला, तपस्वी"
तपहा,"एक नदी, जो अयोध्या के पास बहती है"
तपउबु,आभूषण आदि गरम करना
तपता,अलाव
तपता,कोइरा
तपाकी,ईष्यालु
तपाकु,ईर्ष्या
तबक्का,"विश्वास, ठिकाना"
तबली,छोटा तब्बल
तबल्ची,छोटा तब्बल
तबल्ची,तबलावादक
तबा,"हृदय, जी"
तबा,परेशान
तबालति,"तकलीफ, कष्ट"
तबिजिया,बच्चों का माला विशेष
तबेला,अस्तबल
तब्बौ,"फिर भी, इस पर भी"
page,5
तमखुहा,तम्बाकू पीने वाला
तमतमा,शासन
तमसबु,तमकना
तमस्सुक,ऋण सम्बन्धी अदालती कागज
तमाखू,"मादक पदार्थ, तम्बाकू"
तमाशबीन,तमाशा देखने वाला
तमीज़,"शिष्टता, सभ्यता"
तमून,ताऊन; प्लेग
तमेर,ताँबे का काम करने वाला
तम्बा,पैजामा
तयदाति,"तादाद, सीमा, अंदाज"
तरंतारु,मुक्ति
तरइहा,तराई का रहने वाला 
तरई,तारा
तरकी,कनफूल
तरकी,तरौना
तरकुल,ताड़ का पेंड़
तरखर,देखिए ‘तड़खर’
तरजुआ,तराजू
तरपासबु,डाँटना
page,6
तरल्ला,कपड़े की निचली परत
तरवाँची,माची में लगने वाली नीचे की लकड़ी
तरवाँसबु,अधिक चलने से बैल आदि के पैर तिरछे हो जाना या खुर फैल जाना
तराँछ,गहनों की हाथ से तराश
तराँ,जूते का निचला हिस्सा
तरायल,नीचे रहने वाला
तरासबु,चमड़ा साफ करना
तरिवन,कान का गहना विशेष
तरी,"पुराना एकत्रित किया हुआ धन, नमी; आभूषणों में प्रयुक्त तल्ली"
तरे,नीचे  
तरैली,हल की एक छोटी लकड़ी
तरौंछा,जुआठा के नीचे लगी हुई लकड़ी
तलक,तक
तलख,"तेज (नमक), अधिक खट्टा या मीठा"
तलबाना,किसी को कचहरी में बुलाने की फीस; चपरासी की उजरत
तलरी,"तलैया, छोटा तालाब"
तलहा,शौच किया हुआ (बर्तन आदि) शौच रहित; तालाब सम्बधी
तलिया,छोटा तालाब
तलीका,तलाशी
तलीन,तैयार
page,7
तल्ला,"तल, मंजिल, खण्ड सम्बन्ध, नाता"
