page,1
थई,विश्वास; भरोसा
थकरी,स्त्रियों के बाल साफ करने की कूची
थकहर,थका हुआ; वृद्ध
थकामांदा,"श्रमित, श्रम से थकित"
थकिया,"वह चाँदी, जो टाँकेदार एवं दागी होती है"
थन,स्तन
थनइली,"स्तन की एक बीमारी, जिसमें वे पक जाते हैं"
थनिहा,बाँसों का झुरमुट
थपरी,ताली
थपुआ,खपरैल
थबरा,तमाचा
थंभबु,थोड़ा रुकना; गर्भवती होना
थम्भरा,मोटी थूनी; थोम्भरा
थम्हना,जिससे कोई वस्तु थामी या पकड़ी जाय; हत्था
थया,विश्वास
थरिया,थाली  
थरुहट,थारुओं की बस्ती; थारुओं का पुराना डीह
थलकुरु,हृदय
थलर-थलर,मांस का हिलता हुआ
थवई,मकान बनाने का काम करने वाला
page,2
थवई-गीरी,राजगीरी
थवना,घड़ा रखने के लिए मिट्टी की बनी गोलअड्डी
थाकि,"सिवाने का पत्थर, सीमा का चिह्न"
थांगी या थांघी,लता चढ़ाने के लिए प्रयुक्त एक शाखदार लकड़ी
थाथी,"धरोहर, पूंजी"
थान,कपड़ों व जेवरातों की संख्या; कपड़े का भारी लम्बा रूप
थान्ह,"स्थान, देवता का स्थान; -पवान-उचित स्थान"
थाप,स्थापना; ढोलक की थपक
थापबु,स्थापना करना
थापरा,"बैलगाड़ी का वह पुर्जा, जो उँटरा के ऊपर से जुआँ खिसकने से रोकता है"
थापा,चूड़ियाँ बनाने के लिए लाख बढ़ाने में प्रयुक्त लकड़ी का यंत्र 
थापी,पिटना; बल्ला
थांभबु,संभालना; पकड़ना
थाम,"लकड़ी का खंभा, जिस पर छप्पर रखा जाए या ढेकुर खड़ी हो"
थारा,बड़े आकार की थाली; बेंड़ी द्वार पानी गिराने का ऊपरी स्थान
थाल्हा,पौधे के चारों ओर बनाया गया घेरा
थाह,"नाप, अंदाज (जल आदि की)"
थाहि,डाल
थाही,"गहराई की नाप, थाह"
थिगली,कपड़ो में लगने वाली चकती
page,3
थिर,"स्थायी, शांत"
थुआ,निंदावाचक शब्द
थुक्का-कजिहति,"दुर्दशा, बदनामी "
थुड़ी,निंदा
थुन्हियाँ,थूनी
थूह,"ढेर, गड्डा"
थूहा,खीझे हुए ‘ऐरी’ का गोला एवं ऊँचा ढेर
थेई-थेई,वाह ! वाह! यह शब्द कहकर ताली बजाते हुए छोटे बच्चों को नचाते हैं
थेथर,"परेशान, व्यग्र"
थेवई,मकान बनाने वाला; राजगीर
थोकु,ढेर 
थोथिहा,लम्बी नाभि वाला (बैल)
थोंथी,मटर आदि का सूखा आवरण
थोमरिया,छप्पर की थूनी
थोरि,निंदा
page,4
page,5
