page,1
दंतकरौ,ईर्ष्या; दाँत पीसने की क्रिया
दँतील,पुष्ट एबं मजबूत दाँतों वाला
दँउनी,पक्की फसल को कुचलकर अनाज निकालने का काम; मड़नी
दउनु,"अत्यल्प, नाम मात्र की वस्तु"
दउरा,"बाँस, बेंत आदि का टोकरा"
दउरा,दौड़ा
दकब,कब ? न जाने कब
दकवन,कौन ? न जाने कौन
दकस,कैसा ? न जाने कैसा
दकियानुस,"देहाती, पुरानी तरह का"
दगदगी,"खटका, चिंता, डर"
दगधा,"दुविधा, शंका"
दगरा,"मैले पानी या कीचड़ वाला गड्ढा, तालाब आदि"
दगल,पोशाक; चीर-गर्म वस्त्र
दगल-फसल,धोखे का मामला
दगहिल,जिसमें दाग पड़ा हो; (फल) जो सड़ने लगा हो
दड़ा,फेंटाई करने से माल पूर्णतः मिश्रित होने की अवस्था
दत्तूर,"नियम, तरीका"
ददईं,"दादा, हे दादा, अरे बाप"
ददरा,"दाद, निशान"
page,2
ददल्यउबु,"झूठा बना देना, बात न मानते हुए मूर्ख बनाना"
ददिया ससुर,ससुर का बाप
दधिकंदो,"एक त्योहार, जिसमें लोगों पर दही छिड़का जाता है"
दनगर,दाना से युक्त
दनाई,"समझ, होशियारी"
दनादन्न,"निरन्तर, बिना रुके"
दपाई,छिपने या चुप रहने की क्रिया
दपाटप,"साफ, चमकदार"
दफा,बार
दफा,कानून की धारा
दबंग,प्रभावशाली; सवल
दबउला,अनुचित दबाव
दबकबु,छिपना
दबाहुर,(सवारी) जो आगे दबी हो
दबिला,पकती हुई वस्तु को चलाने के लिए लकड़ी का बना बड़ा चम्मच
दबीज़,"भारी, मोटा (कपड़ा आदि)"
दबैल,आर्थिक रूप से दबने वाला
दबोट,दबाव
दब्बू,"दबने वाला, डरपोक"
दमनी,बैलगाड़ी विशेष
page,3
दयंतुरु,दैत्य
दरइची,छोटी खिड़की
दरकबु,चटक जाना
दरका,दरार
दरकार,"अपेक्षा, जरूरत"
दरक्खतु,बहुत मोटा पेड़
दरखनी,भूमि में छेद या गड्ढा करने का एक औजार 
दरगाह,मुसलमानों का पवित्र स्थान
दरजा,"कक्षा, उच्च स्थान; गण"
दरजि,दीवाल या लकड़ी में फटने का चिह्न
दरपनी,छोटा दर्पण
दरब,"द्रव्य, तत्व, महत्व, मूल्य"
दरबर,मोटा पिसा हुआ (आटा)
दरबा,छोटा गिचपिच मकान; मुर्गियों के रहने का घर
दराना,"राहगीर, जनता, झुण्ड"
दरि,"जगह, स्थान"
दरिनई,वृद्धता
दरियाबु,जानकारी
दरियावै,"नदी, बड़ी नदी"
दरियावै,अथाह
page,4
दरीना,"वृद्ध, अनुभव"
दरीवा,बाज़ार
दरेंती,दीवार आदि में छेद करने में प्रयुक्त लोहे का औजार
दरेग,"दया, तर्स"
दरेतिया,दाल दरने वाली छोटी चकिया
दरेरा,भीड़-भाड़ की रगड़न
दरेस,वर्दी
दर्यारा,"संकट, प्रकोप"
दर्रा,"मोटा पिसा हुआ आटा, दला हुआ (गेंहू, जौं आदि)"
दर्रा,"घाटी, पर्वतों के बीच का सँकरा रास्ता"
दर्राक,चालाक
दल,"पत्ता, निमंत्रण (कथा का); पार्टी, बड़ा शामियाना"
दलगर,गूदेदार (फल आदि) 
दलामलि,जोर की भीड़; रेलपेल; प्रायः गीतों में
दलिददुरु,दरिद्रता
दले," महावत द्वारा प्रयुक्त शब्द, जिससे हाथी पानी में चलने एवं पानी पीने के लिए आदेश लेता है"
दलेल,दण्ड (प्रायः पुलिसवालों का)
दल्लान,"मुख्य द्वार का बड़ा कमरा, जिसमें द्वार होते हैं पर किवाड़ नही"
दवंगरा,जोर की वर्षा
दवँतरी,एक आयु के व्यक्ति
page,5
दवँन,सिंचाई के टोकरे में लगने वाली एक रस्सी
दवँरी,कटी हुई फसल पर बैलों को घुमाने की क्रिया; मड़नी
दवना,"एक सुगंध देने वाला तुलसी के समान पौधा, जिसकी पत्तियाँ देवतओं को चढ़ती हैं"
दसउन्ही,"एक जाति, जिसके पुरुष कविता गाकर जीवन यात्रा करते हैं"
दसकत,"हस्ताक्षर, दस्तखत"
दसगर्दा,छोटा-सा मामला
दसगान्न,मृत्यु के बाद की एक क्रिया
दसनामी,एक प्रकार के साधू
दसपना,चिमटा
दसवरदार,(कानूनी अधिकार से) अलग
दसवाँ,मृत्यु के दसवें दिन का संस्कार
दसवाँ,१/१० वाँ
दसा,हालत
दसाइबु,बिछाना
दसी,"बैलगाड़ी में प्रयुक्त वे बल्लियाँ, जिन पर पटरे जड़े जाते हैं; दशमी तिथि"
दस्तबन्द,अंगुलियों में पहना जाने वाला गहना
दस्ता,"हथौड़ी का बेंट; कागजों के २४ तावों का समूह, टीम"
दस्तुरी,फीस; (व्यक्ति विशेष की) उजरत
दस्सा,बनियों की एक उपजाति
दहकच्चरि,भीड़; शोरगुल
page,6
दहकबु,खूब जलना या गर्म हाना
दहकु,गड्ढा; डहुकु
दहड़ि,मिट्टी की हंडी
ददपहु,"हट्टा-कट्टा, बहादुर"
देहरोल,"परिश्रमी,  धैर्यवान"
दहला,नदी के किनारे का मैदान या जंगल
दहाइब,खूब भिगोना
