page,1
"धइँतल, धइंताल",लम्बी देह का एक खास किस्म का सुअर
"धइँतल, धइंताल","दुष्ट, नटखट"
धइना,"कारनामा, नियम, आदत"
धउँस,"रौब, गर्वपूर्ण व्यवहार"
धउँसा,"बड़ा, नगाड़ा"
धकापेल,बहुतायत से
धंगरबु,रौंदना
धड़ल्लेति,बिना किसी रुकावट के
धड़ांग,"पंक्ति, किनारा"
धतूरा,प्रभावशाली व्यक्ति
धंधरि,"लौ, ज्वाला"
धंधाक,दौड़कर; धंधाय
धधाबु,प्रज्वलित होना; इच्छा करना !
धनइत,धनवाला
धनउची,आँगन में बना हुआ छोटा चबूतरा
धनकोदवा,धान एवं कोदों मिला हुआ अन्न
धनखरा,"पत्नी के साथ आया हुआ पूर्व पति का (पुत्र); वह खेत, जिसमें धान की फसल ली गई हो"
धनखरी,घान का खेत; धनखर
धनगर,धान उत्पन्न करने वाला (खेत) धनहा
धनघुट्ठी,धान कटा हुआ खेत
page,2
धना,"प्रिया, वधू"
धनिया,"युवा स्त्री, दुलहिन; मालवी में ‘धनी’ पति या मालिक के रूप में प्रयुक्त होता है; धान की उपजाति; मशाल"
धनुही,रूई धुनकने वाली मशीन; छोटा धनुष
धन्धि,"तीव्र इच्छा, उत्कटता (प्यास की)"
धन्ना,धरना; सेठ-धनाढ़य सेठ
धन्नि,"मोटी लकड़ी, जो कुएँ पर या दीवार पर रखी जाती है"
धन्नि,"धन्य, प्रशंसनीय, आश्चर्यजनक"
धन्नी,छत पें पड़ने वाली मोटी लकड़ी
धन्नो,"प्रिया, वधू"
धपइया,"कोस का आधा, एक मील की दूरी"
धपाधप,"बहुत साफ, उज्ज्वल"
धमधूसर,अधिक मोटा
धँमबु,"चुमना, घुसना"
धमरिन,धोबिन (गीतों में); इसका पु. प्रयुक्त नहीं होता; डोमिन
धमसा,छोटी चेचक 
धमारि,भार (उपभोग सम्बन्धी)
धरउआ,"बिना ब्याह के ऐसी स्त्री का लाना, जिसका ब्याह पहले हुआ हो"
धरगही,"पाटा चलाते समय माचि से बंधने वाली रस्सी, जिसको पकड़ कर खड़ा हुआ जाता है"
धरबु,"रखना, रखदेना"
धरम जुहया,"वह जुआँ, जिसमें तराठ के स्थान पर केवल फंदे लगे होते हैं"
page,3
धरहारिया,"पकड़ने की कोशिश, बाध्य करने का प्रयत्न"
धराउँ,सुरक्षित (कपड़ा आदि) विशेष अवसरों पर पहनने के लिए रखा हुआ
धरि,"देवी को चढ़ाई हुई वह पानी की धार, जिसमें लौंग, गु ड़ आदि डाला जाता है"
धरिकार,बाँस की टोकरी आदि बनाने वाला
धवरहरा,"टीला, ऊँची इमारत, मीनार"
"धाकडु, धाकर",निकृष्ट ब्राह्मण
"धाकडु, धाकर","धनाढ्य, साहसी"
धांधबु,भोजन आदि खाना
धानि,पुत्री या बहन की सम्पति
धारौ-धार,"बेरोक-टोक (बह जाना, पतित होना); एकदम"
धाह,जलन; जलती हुई आग की दूर से लगती गर्मी
धिङरा,"सुस्त लुच्चा, जिसे कोई काम न हो"
धिया-पूता,बाल-बच्चे; धी (कन्या) पूत (पुत्र) स्त्रियों में प्रचलित सम-वयस्क को बहिनी-और छोटी को धिया
धीङ-धीङा,अस्त-वयस्ता
धीरपूर,शांत एवं धैर्यवान
धीरा,"धीरज, धैर्य "
धीरा,धीमा
धीवर,कहार
धुच्चि,"हठ, व्यर्थ की जिद"
धुंधला है शब्द ,भविष्य
page,4
धुनकबु,"रूई साफ करने की क्रिया, मारना"
धुनकहा,रूई धुनकने वाला व्यक्ति
धुनका,धुआँ निकलने का एक छेद
धुनकी,रूई धुनकने की मशीन; छोटी सी डेहरी
धुनि,"तर्ज, ढंग, ध्वनि"
धुमिल,मटमैला
धुर,बैलगाड़ी की पहिया के अन्दर की छड़
धुरकिल्ला,धुरी में लगने वाली लकड़ी या कील
"धुरन, धूरन",चारा आदि में लगाया गया आँटा
धुरा,"पुरहाईं कुआँ का वह ऊँचा स्थान, जहाँ तक बैल आते हैं; धुर"
धुरिया धाम,नाश की ओर धूल का घर
धुरु,खेतों का किनारा
धुसरहा,"वह जानवर, जिसकी पूँछ के प्रारम्भिक भाग में नीचे की तरफ फोड़ा जैसा आकार बन जाता है"
धुस्स,ढेर (बालू का)
धूई,धूनी
धूरा,चिमटे के आकार की वह लकड़ी जो कुएँ पर गर्रा टांगने के लिए गाड़ी जाती है; ऊँचा जल मार्ग
धूरी,सीमा
धूसर,कालिमायुक्त या मटमैला
धेती,"नेती, मथानी की रस्सी"
धेरिया,पुत्री  
page,5
धेलाय,तीन सौ रुपये लेने के लिए
धोई,"उड़द की धुली दाल, जो बड़ा पकौड़ा आदि बनाने के काम में आती है"
धोकर कसा,"काल्पनिक व्यक्ति, जो अपनी धोकरी में बच्चों को भर के उठा ले जाता है"
धोकरी,बड़ी थैली
धोजा,"ध्वजा, पताका"
धोंधकी,मिट्टी की छोटी डेहरी या अनाज रखने का पात्र
धोंधा,मोटा एवं सुस्त 
धोंधा,लावा आदि के लडडू
धोंनाह,बड़े और घने पौधों की आड़
धोबघटा,"वह घाट, जहाँ धोबी कपड़ा धोते हैं"
धोबिया राग,धोबियों में गाया जाने वाला गीत
धोवउवा,कपड़े धोने की संख्या
page,6
page,7
