page,1
नंगई,निर्लज्जता एवं हठ; दबंगई
नंगबाँड़िया,(बच्चा) जो अपनी बात पर मचला रहे; जिद्दी
नंगा,बेशर्म एवं झगड़ालू; नग्न
नंगिच्यउबु,समीप पहुँचना
नंगीचे,पास; समीप
नंदोलिया,अधिक छोटी नांद
नंदवाला,छोटी नांद
नँधाव,"नाली का वह चौड़ा व गहरा भाग, जहाँ पर बेड़ी चलायी जाती है"
"नइँयाँ, नायँ","तरह, जैसा"
नइचा,हुक्के का नैचा
नइथुवा,"नया, युवा"
नइनी,मछली विशेष
नइहर,(स्त्री के) पिता का घर या गाँव; (कहा.) “नइहरे मे चुनरी धुमिल भई”
नउआ झकोर,नाइयों की लम्बी पंचायत
नउतई,"पूजा, दैव शक्ति द्वारा किसी के कष्ट दूर करने की क्रिया"
नउतरा,जूते की किस्म विशेष
नउतोरु,नये सिरे से बनाया गया (खेत)
नउधा,नई अवस्था के
नउबति,"बधाई, दशा"
नउहड़िया,"व्यक्ति, जो अलग भोजन बनावे"
page,2
नउहर,नया 
नकटी,नाक की मैल
नकटी,वह स्त्री जिसकी नाक कट गयी हो
नकदम,"परेशान, नाक में दम"
नकद्दर,"खरांब, रद्दी"
नकराई-सकराई,हुण्डी के भुगतान में जो घट-बढ़ी लगती हो
नकारा,अनुचित  
नकिदरों,परेशानी; कष्ट
नकुटा,चप्पल में प्रयुक्त चमड़े की पतली पट्टी विशेष
नकुना,नाक  
नक्क,"अच्छी, उपजाऊ (भूमि)"
नक्कटई,बदनामी
नक्की,युग्म रहित; समीचीन
नक्कू,"मुँह छिपाने वाला,"
नक्कू,नाक का मैल
नक्षत्तरु,भाग्य
नक्षत्री,भाग्यवान
नखत,नक्षत्र
नखारु,गाय भैंस आदि जानवरों की जाति या नस्ल
नगरा,"हल विशेष, जिसमें फार डण्डा जैसा लम्बा लगता है"
page,3
नगवारा,"अप्रिय, बुरा"
नगहाज्वारा,"वह लाख की चूड़ी, जिसमें नग जड़े होते हैं"
नगारा,नगाड़ा
नगिरही,स्त्रियों का एक आभूषण जिसमें नौ दाने होते है
नग्घन,किसी रोगी के मलमूत्र को लाँघने से लगा रोग
नचना,बरात में मित्रों एवं नातेदारों द्वारा नाचने वाले को दिया गया रुपया
नजरा,आगे के बड़े-बड़े बाल
नजीर,"दृष्टांत, मिसाल"
नजोर,कमजोर
नटई,"गला, गर्दन"
नटई,गटई
नटवा,"जाति विशेष, जो नेक प्रकार के कार्य, कलाएँ करके पेट चलाते हैं"
नटारमु,प्रारंभिक तैयारी; पूरा प्रबन्ध
नटिया,छोटे आकार का बैल
नटुला,नाटा व्यक्ति
नतअभेर,रिश्तेदारी का सिलसिला
नतइती,"रिश्तेदारी, नातेदारी"
नताइति,नतइती
नतोह,नाती की स्त्री
नथइला,बैलगाड़ी का पुर्जा विशेष
page,4
नथिया,नाक का आभूषण
नथुनी,नाक में पहनने का स्वर्ण आभूषण
नदारति,"नष्ट, गायब"
नद्धी,"ताँत, चमड़े की डोरी"
ननियाउर,"नाना का घर, गाँव"
नपाक ,अपवित्र
नपान,"प्रतीक्षा में, लालच में"
नफगर,नफा देने वाला
नफा,लाभ; फायदा
नबूद,नष्ट 
नबेली,"नई, जवान (स्त्री) सुन्दर"
नमोसी,बदनामी
नयचा,हुक्के की नली
नय्याब,उम्दा
नरकुल,"जंगली पौधा, जिसकी लकड़ी से कलम, बाँसुरी बनती हैं"
नरखराबु,ऐंठ के साथ बोलना
नरगह,दुःखमय स्थिति
नरदई,नारद का काम
नरदवा,"जहाँ पर गन्दा पानी इकट्ठा होता है, नापदान"
नरमा,एक प्रकार की रूई और उसका पेड़
page,5
नरा,तारो की बड़ी फुल्ली; पेट के भीतर नाभि के पास का भाग
नरिया,नालीनुमा खपड़ा; नाली
नरी,तागे की छोटी फुल्ली; गर्दन
नरुआ,"अनाज वाले पौधों का (पोला) डंठल; कोल्हू का वह छेद, जिससे तेल गिरता है"
नरेही,"झुण्ड, समूह"
नरोई,"घुटने के नीचे का सामने वाला भाग, जिसमें ऊपर हडडी होती है"
नर्रा,"सिंचाई का एक प्रकार, जिसमें बिना कोहा कटाए पानी दिया जाता है; हरे प्याज की पौध"
नर्राबु,क्रुद्ध स्वर में बोलना
नलकी,माला में प्रयुक्त प्लास्टिक की नली
नलुई भट्टी,ठठेरों की भट्ठी
नल्ला,हथेली एवं बाँह को जोड़ने वाला भाग
नवई,नाईगीरी
नवगिरही,हाथों में पहना जाने वाला गहना
नवतता,दाहिनी ओर घूमने के लिए हलवाहे का बैलों को संकेत
नवधुआ,नया (छोटा पेड़)
नवरिया,नौका
नवलेवा,"वह स्थान, जहाँ पर नदियों द्वारा वर्षा में आकर नई मिट्टी जम जाती है"
नवहरा,तीन बीता लंबा बना हुआ नया हल
नवा,"नये अन्न का ग्रहण; संस्कार, गाँवों में यह दो बार रस्म मनाया जाता है"
नवारा,नाव पर चढ़कर खेला जाने वाला एक पुराना खेल (गीत) “सरजू में खेलत राम नवारा” 
page,6
नसउरी,नौ अंगुल की चौकोर ईंट
नसी,फार
नसीर,"रेशम सरीखी नक्काशी दार (चूड़ी), जो सतह पर रंगीन होती है"
नसुड्ढा,"अपशकुनी, जिसके देखने से अपशकुन हो"
नसुहा,"चारा काटने की लकड़ी, जिसका आधा भाग भूमि में गड़ा हो"
नासूर,"फोड़ा, जो शीघ्र अच्छा न हो"
नह,बैलों को बाएँ मोड़ने की बोली 
नह,नाखून 
नह,बैलगाड़ी के पहियों में प्रयुक्त भेलन
नहकै,"नाहक, व्यर्थ ही"
नहखरबु,बैलों आदि का क्रुद्ध मुद्रा में बोलना
नहखुरु,नाखून काटने की क्रिया
नहट,नष्ट
नहबु,बैलों को माची में जोतना
नहन्नी,नाखून काटने की चाकू विशेष
नहरनु,नाखून काटने का औजार
नहरूम,जिससे कुछ छीन लिया गया हो
नहवनिया,स्नान के लिए जाने वाला यात्री
नहसुतु,बीसों नाखूनों को धोने की क्रिया
नहसुति,"एक पेड़, जिसकी लकड़ी लाल होती है"
page,7
नहाँ,चबूतरा
नहान,स्नान 
नहारी,नाश्ता
नहिया,पैर की अंगुली का आभूषण
नांघबु,लाँघना
नांघबु,गाय आदि मादा जानवरों का गर्भस्थ होना
नांदा,मिट्टी के बर्तन थपथपाने में प्रयुक्त अडडा; बड़ी नोद कूंड़ा
"नाकदरि, नाकदरी",बेङ़ज्जती
नाका,"गली, मुहल्ले का प्रवेश द्वार; सूई का छेद; चप्पल की वह पट्टी, जो अंगूठे व उंगली के बीच होती है"
नाकि ,नाक; पानी मे रहने वाला भैंस की भाति का एक बड़ा जानवर
नाकिस,"दुष्ट, क्रृर स्वभाव का"
नाकेदार,कर्मचारी जो नाके का नियंत्रण करता है
नाखुरु,नाखून काटने की क्रिया
नाखूनी,पोशाक में लगी नीचे की मोड़; नाखून में प्रयुक्त रंग
नाखूनी,दावनि
नागा,अनुपस्थिति 
नागा,अनुचित
नागा,साधुओं का पंथ या उपजाति
नाजु,अनाज  
नाजो,(गीतों में) नाज़ करने वाली सुंदरी; नायिका
page,8
नाटा,छोटे आकार का बछड़ा
नाटा, नाटे कद का; (कहा.) “नाटा खोटा बेंचकर बैल धुरंधर लेहु” 
नात,रिश्तेदार
नाथ,बैल आदि के नथुने में लगी या पड़ी हुई रस्सी
नाथ,स्वामी; (कहा.) “आगे नाथ न पीछे पगहा” 
नाधबु,"बैलों को माचि में मचियाना; बनाना, बाँधना"
नाधबु,"चल देना, बकना"
नाधा,"चमड़े की पट्टी, जो हल आदि बाँधने के काम आती है"
