page,1
पंखुरी,फूलों की पंखुड़ी; गेहूँ के ऊपर का आवरण
"पंगति, पंघति","भोजन करने वाले व्यक्तियों की पंक्ति, कतार"
पंगुला,पंगुल व्यक्ति
पंघति,पंगति
पंचइती,"पंचायत की ओर से, सार्वजनिक"
पँचरोजा,"वे दिन या समय, जिसमें आम अधिक पकते हैं"
पँचवासी,हल का एक छोटा पुर्जा
पंचा,अंगौछा से बड़ा और धोती का आधा अधोवस्त्र
पंचाइति,"बैठक, श्राद्ध संस्कार"
पंचुरवा,प्रसूता को दिया जाने वाला मेवा आदि से मिश्रित पेय पदार्थ
पंचूर,पहिए के पुट्ठों को जोड़ने वाले खाँचे
पंछा,किसी अंग से बहने वाला पानी; चेहरा
पंछोप,पानी का किनारा
पंजियउबु,"समझना, परखना"
पंजीला,अधिक चौड़ा
पँड़लू,भैंस का नर बच्चा
पंडोह,नाबदान
पँवरि,द्वार की देहरी
पँवारी,लोहारों का एक औजार; जिससे लोहे में छेद करते हैं
पइँजनी,बैलगड़ी में पहियों को रोकने हेतु प्रयुक्त पटरा विशेष
page,2
पइँता,पेड़ से निकला हुआ नया कल्ला
पइँती,"पवित्र, जो अनेक संस्कारों में उंगली में पहनी जाती है"
पइआ,अत्यन्त मरा हुआ दाना
पइजा,पल्लों को दरवाजे में बाँधने में प्रयुक्त लोहे के छल्ले विशेष
पइठबु,"प्रविष्ट होने, घुसना"
पइढ़ी,"पुरहाई कुएँ का वह स्थान, जहाँ तक बैल रस्सा खींचते हुए जाते हैं"
पइना,बैलो को हाँकने में प्रयुक्त डंडी
पइरी,लाँक के बोझ खोलकर माड़ने हेतु निर्मित गोलाकार ढेर
पइली,जोतते समय हराई में बचा थोड़ा अंश; कटोरा; डलिया
पइहाँ ,पर
पउड़बु,तैरना; इधर-उधर भटकते रहना
पउड़ा,एक प्रकार का गन्ना
पउनहरि,रोटी पोने (बनाने) वाली
"पउनहा, पउथहाँ","वह खेत, जो भाइयों को बँटवारे हेतु प्रत्येक वर्ष बारी-बारी से मिले"
पउनारि,"कमल का पेड़, उसकी जड़ एवं शाखा, जिसका साग बनता है"
पउरी,देहरी; सीढ़ी के डण्डे
पउनी,"सेवक, जैसे-बढ़ई, लुहार आदि"
पउरुख,"पौरुष, बल"
पउला,"खड़ाऊँ विशेष, जिसमें खूँटी के स्थान पर रस्सी लगती है"
पउली,एँड़ी
page,3
पउहटु,"पड़ोस, जवार"
पकना,महुए का पका फल
पकसाइब,(फल को) कच्चा तोड़कर पकाना
पकिया,कीचड़
पकुसबु,पकना
पकेठ,अनुभवी एवं चालाक
पक्कन,पकाने वाला (मौसम)
पक्खा,कमरों में चौड़ाई की दीवार
पख,"कमी, दुगुर्ण, अंग"
पखउरा,कंधा
पखना,पंख
पखवाज,एक बाजा
पखियाबु,मचलना
पखुरा,बाँह और कंधे का जोड़
पखेउ,भैंस को खिलाया जाने वाला बाजरे का भात
पखेरू,पक्षी
पग,"पाग, पगड़ी"
पग,पैर
पगडंडी,पैदल का सँकरा रास्ता
पगरइतिनि,वर-वधू की माँ
page,4
पगही,बैल आदि बांधने की रस्सी
पग्घा,"सुनारों के यहाँ प्रुयुक्त वह बड़ा पात्र, जिसमें गली हुई चांदी जमाई जाती है"
पचउखा,"पाँच ईखों का प्रसाद, जो बसियार में प्रयुक्त हिस्सेदार को दिया जाता है"
पचकबु,बर्तनों का भाग दब जाना; पिछड़ना
पचकल्यानी,"इधर-उधर का; साधारण, यह शब्द भी गुरु की भाँति बुरे अर्थ में आने लगा है"
पचखा,"पंचक, पंचक प्रत्येक मास के अंतिम पाँच दिनों में प्रवृत्त माना जाता है, जो शुभ कर्म हेतु वर्जित है यहाँ तक कि मृत व्यक्ति का दाह-संस्कार भी स्थगित रहता है"
पचड़ा,"बखेड़ा, झंझट"
पचारा,"देवी को प्रसन्न करने हेतु गीत, जो ओझाई एवं डिहबन्हई में गाया जाता है"
पचहँड़ि,"बटुआ, हण्डी विशेष"
पचांगुरु,भूसा आदि समेटने में प्रयुक्त उंगलीदार यन्त्र
पचाक,लोहे की नुकीली छड़
पचाढ़ी,जोठे में लगी छोटी लकड़ी
पचेढ़ी,"गन्ने के पेड़ से निकली ईख, जो चूसने योग्य नहीं होती"
पच्चड़,किसी भारी वस्तु को रोकने के लिए ठोंका हुआ लकड़ी का टुकड़ा
पच्छाँह,पश्चिमी क्षेत्र
पच्छा ,"वह रस्सी, जो बैलगाड़ी में पीछे पीछे लगती है"
पछरबु,पीछे हटना; पीछे रह जाना
पछीता,मकान में पीछे की कोठरी
पछुवहाँ,पश्चिम का (रहने वाला)
पछुवा,जूते में लंगोटे की तरह लगने वाली बाहर की पट्टी
page,5
पछेड़,पीछे पड़ने की क्रिया या आदत
पछेलवा,हाथ के ऊपरी हिस्से में पहनने का गहना
"पछोतरी, पछाँछी",हल का एक छोटा पुर्जा
पछ्वारबु,सूप से अनाज साफ करना
पजरीं,बगल में सट कर बैठना
पजावा,छोटा भट्ठा
पटइन,पटवा की स्त्री
पटइला,पटरा
पटऊ,"कपड़े का थान, जो कुल देवता को चढ़ाया जाता है"
पटकनु,डंडा
पटकोई,छोटे दाने वाली मटर
पटपरी,दाना पड़ने से पूर्व की फली
पटरी,पैर की उंगलियों में पहना जाने वाला एक आभूषण
पटहार,सूत का काम करने वाला व्यक्ति
पटाव,"दरवाजे पर लिंटर स्वरूप रखा पटरा, भरान"
पटियइती,"बराबरी, प्रतिस्पर्धा"
पटिया,हल में हरीस को कसने के लिए लगाई गयी लकड़ी; सँकरा व लंबा खेत; पट्टी
पटीलबु,"ले लेना, धूर्तता से प्राप्त कर लेना"
पटुवा,कमर में बांधने वाला कपड़ा
पटुली,बैठने का छोटा पाटा 
page,6
पटुहा,माला बनाने व बेचने वाला व्यक्ति
पटेहरु,"वह मोटी लकड़ी, जो कुएँ आदि पर पैर टिकाने हेतु रखी जाती है"
पटोहा,खेत की मिट्टी समतल करने का एक यंत्र
पटौधन,पट या अदा होने का हिसाब
पट्टदि,अविलम्ब
पट्ट ,"ठंडा, हलका, शांत"
पट्टा ,लाख की चूड़ी का कंगन; बैलगाड़ी से बैलों को जोतने में प्रयुक्त पट्टी; किनारा
पट्टी ,बाजू का गहना विशेष
पट्टे ,तोता
पट्ठा ,खूब ह्रष्ट पुष्ट व्यक्ति
पठिया,गर्भाधान के योग्य बकरी
"पड़रू, पड़वा",भैंस का बच्चा
पड़ियाबु,गाभिन होना
पड़ेल,गर्भाधान याग्य पड़िया
पढ़,परत; पररी
पढ़िया,किनारी
पढ़ेला,सुनारों के यहाँ प्रयुक्त यंत्र विशेष
पढ्यालबु,भेजना
पढ्वारा,विवाह आदि में भोजन पर प्रचलित चने की दाल
पतकउरा,बड़ी पतकी
page,7
