page,1
फइँचि,"बारीक लकड़ी का टुकड़ा, जो काँटे की तरह गड़ जाए"
फइंटयाबु,नाराज़ होना
फइहाबु,"चिल्लाना, व्यर्थ में रोना"
फइहाबु,फेहाबु
फउत,मरा हुआ
फउदि,फौज
फउरम,तुरन्त
फउरेबु,"जाल, षडयंत्र, छल-प्रपंच"
फकना,पतला रद्दी कपड़ा; आँटा आदि से निर्मित मीठा चूर्ण; कफन का कपड़ा
फक्कड़,"मस्त, निर्भीक और पहुँचा हुआ"
फगूई,होली
फजरी,एक प्रकार का अच्छा आम
फजिर,सूर्योदय के समय
फजिहति,"दुर्दुशा, डाँट-फटकार, बेइज्जती"
फज्झी,लकड़ी का पतला टुकड़ा; फर्री
फट्टदि,झट से; फट की आवाज से 
फट्टा,चालबाज 
फट्टा,(बाँस का) चीरा हुआ लम्बा टुकड़ा; बस; पर्त
फडु,बिना पहियों की बैलगाड़ी; धूत-क्रीड़ा स्थल; मैदान
फतुही,स्त्रियों का छोटा ब्लाउज; सदरी विशेष
page,2
फत्ते,विजय
फत्ते,समाप्त
फंदिया,"चमड़े की पट्ठी विशेष, जो वृक्षों पर चढ़ने में सहायक होती है; छोटा गट्ठर"
फंदी,ऊँख का गट्ठर
फद्दा,रेतीला खेत; धूल
फयँकट,धोखेबाज
फरई,लकड़ी का बना एक साँचा
फरका,छप्पर का एक भाग
फरगडड,विस्तृत एवं स्वच्छ (जगह)
फरजी,(शतरंज का) वज़ीर
फरजी,"काल्पनिक, झूठा"
फरबु,फलना या फल लगना; गाय आदि जानवरों का गर्भ धारण करना
फरवट,"चतुर, चालाक, तेज"
फरसी,"हुक्का, जिसे फर्श पर रखकर पी सकें"
फरहरी,उपवास सम्बन्धी
फरहा,तन्त्वहीन अनाज; थोथा
फरिका,टटवा
फरिया,ओढ़नी
फरिवाह,फरी मारने वाला; अद्भुत खेल दिखाने वाला
फरी,बैलगाड़ी में किनारे लगने वाली दो लम्बी पटियाँ
page,3
फरीक,पक्ष
फरुहा,फावड़ा
फरुही,गोबर आदि समेटने में प्रयुक्त का लकड़ी का यंत्र; छोटा फावड़ा
फर्च,"साफ, शुद्ध"
फर्रा,लंगोटा में लगी आगे की पट्टी
फर्री,"ईंट का लम्बई-चौड़ाई में फटा हुआ आधा अंश, पट्टी"
फर्स,"जीत, मैदान या फर्श"
फलाने,अमुक
फलाँस,गीले खेत में जोतने के पहले चलाया गया पाटा
फलास,"द्यूत-क्रीड़ा, जो ताश के साथ खेला जाता है"
फवक,वदरंग; निस्तेज (चेहरा)
फवूरू,"धोका, षडयन्त्र; मैल"
फँसरी,"बांधने की रस्सी, फाँसी"
फसला,मछली पकड़ने में प्रयुक्त जाल विशेष
फाँक,टुकड़ा (फलादि का)
फाँका,बड़ी फाँक; अतृप्ति; लंघन
"फाजिल, फादिल",अधिक
फाँटु,"कागज़, जिस पर हिस्सेदारों की भूमि का ब्यौरा अलग लिखा हो"
फाठी,थोथा सरसों
फाँड़,कमर के दोनों ओर का भाग
page,4
फाँता,होशियार
