page,1
बंदी,नाकाबंदी
बंक,"बैंक, नहर के आसपास का किनारा"
"बंकनार, बंकलाप",सुनारों के यहाँ प्रुयुक्त छोटी फुकनी
बंगरहा,"अवध में पायी जाने वाली बैल की जाति विशेष, बांगर"
बंगरी,गहना विशेष
बंगली,सबसे पीछे या बगल की छोटी कोठरी या कमरा
बंगा,"बच्चों का एक खेल, जिसमें पानी में पत्थर-ईंट आदि फेंककर सब चिल्लाते हैं “कै सेर बंगा” और फिर सब पानी में डुबकी लगाकर उसे ढूँढते और कहते- “अढ़ाई सेर बंगा”"
बंगा,वह (भैंस) जिसके सींग फैले हुए हों
बँटबु,हाथ से रस्सी बनाना; वितरित होना
बंटाढार,"गड़बड़, सर्वनाश"
बँड़ेरी,"कच्ची छत पर आसपास उठी मेंड़, मुँड़ेरि"
बंता,स्त्रियों के आने-जाने का मुहूर्त (जो ‘बनता’ हो)
बंदु,बैलगाड़ी में लगे जगह-जगह लोहे के बाँध
बंदरी,रबी की फसल में हेने वाली घास विशेष
बंदा,"कपड़े के पतले बंद, जो किनारे बाँधने के लिए लगे होते हैं; दास, प्राणी"
बंदिस,प्रतिबन्ध; गाँठ; योजना
बदी,माथे पर धारण करने वाला एक आभूषण
"बंदेल, बंद्याला",ज्वार के जिन पौधों में भुट्टे नहीं पड़ते
बंदौबस्तु,"इंतजाम, प्रबन्ध"
बंधान,सूप आदि में लगे बंधन
page,2
बंध्याज,"आँड़, रोक"
बंबा,हैण्ड पम्प; नहर से निकला नाला
बंबु,रणनाद; बड़ा गड्ढा
बंभनी कुम्हड़ा,"एक फल विशेष, जिसकी पेठा नामक मिठाई बनती है"
बँवरा,कपड़ा पकड़कर हवा करने का तरीका (खलिहान में नाज साफ करने में प्रयुक्त) 
बँवरा,परती
बँसवाड़ि,बाँसों का वृक्ष समूह
बँसुली,कृषि यंत्र
बइंगबु,फेंकना
बइंगबु,झिकबु
बइठकी,हलवाह के काम न करने का दिन; छुट्टी
बइठुआ,काम करते समय बैठ जाने वाला बैल आदि
बइकल,पागल; गूंगा
बइना,"संस्कार विशेष में वितरण की जाने वाली पूड़ी, मिठाई आदि"
बइपारु,"व्यापार, री-व्यापारी"
बइबी,"अपरिचित, बाहरी"
बइरिहा,छोटा
बइला,"बुद्धिहीन, मूर्ख"
बइला,बैल
बउँका,पानी का एक खर; लौकी आदि पेड़ों की शाखाएँ
page,3
बउंग्याबु,फसल का अत्यधिक या अपेक्षा से अधिक बढ़ जाना; बड़बड़ाना
बउँड़रु,चक्कर काटती हवा
बउआबु,निद्रा में कुछ बड़बड़ाना
बउखा,पौधों का बौखा (शाखा); हवा (थोड़ी देर तक चलने वाली)
बउगर,बोने योग्य खेत
बउंगरा,"दूर-दूर (पौध), बीड़र"
बउचट,"विक्षिप्त, मूर्ख"
बउझक,पागल 
बउझड़,"झंझट, झगड़ा"
बउनी,बुवाई
बउनी,अति छोटे कद की (स्त्री)
बउरु,फूल (आम का) 
बउरेंठ,अर्द्धविक्षिप्त
बउसबु,गर्व से कहना; डींग मारना
बउसाब,शक्ति
बउहरि,"बहू, पुत्रवधू; बहुरिया"
बऊँड़ी,लता
बएतरके,बड़े सबेरे
बकउबु,"गुमराह करना, झूठी सीख देना"
बकउरा,"बैलगाड़ी में प्रयुक्त लकड़ी का पुर्जा, जो मडगार्ड का काम करता है"
page,4
बकठैंठैं,देर तक होने वाली एवं व्यर्थ की बातें जो जोर-जोर से हों
बकला,छिलका; बोकला
बकलोल,"पागल, मूर्ख"
बकवाह,"हल्की-सी लड़ाई, शोर"
बकसीस,इनाम
बकुचा,गट्ठर (कपड़े आदि का)
बकुरबु,बोलना
बकुला,बगुला
बकुल्याबु,जानवरों के मन में किसी भावना के उत्पन्न होने पर रास्ता देखे बिना इधर-उधर खूब भागना
"बकेनि, बकेन्ना","वह गाय आदि, जिसको ब्याये हुए ज्यादा समय हो गया हो"
बकोट,मुट्ठी 
बक्कल,चमड़ा 
बक्काल,बनिया; बनिया-नीच जाति के लोग; बाणिज
बक्कुरु,"बोल, आवाज"
बक्खर,"जलाव, चासनी"
बखत,"वख्त, वक्त"
बखरा,हिस्सा; घोड़े की पीठ पर रखा जाने वाला एक गद्दा
बखरी,"अनाज कूटने पें प्रयुक्त का यंत्र, फर; मूसरु, पहरुआ"
बखानु,"वर्णन, प्रशंसा"
बखारी,नाज रखने का स्थान
page,5
बखिया,"मिलनि, खाल "
बखिया उधेड़ना ,अत्यधिक पीटना या बेइज्जती करना
बखील,पौधों के दूर-दूर होने की स्थिति; बीड़र
बगई,"गुड़ विशेष, जो गंभीर चोट लगने पर पिलाया जाता है"
बगली,ऊँच-नीची लकड़ी साफ करने का (रंदा)
बगार,झुण्ड
बगुचा,"कपड़ों का वह गट्ठर, जो कंधे आदि पर रखकर विक्रेता फेरी लगाकर बेचते हैं"
बगेदबु,"भगाना, निकालना"
बगैरत,"बैशर्म, बेहया"
बगैरती,"बेशर्मी, निर्लज्जता"
बग्गरु,घरेलू पशुशाला
बङुआ,बिना पते-ठिकाने वाला लावारिस
