page,1
भंगडु,"वाद-विवाद, भड़भड़"
भँजाइबु,भजाना (पैसा तोड़ाना)
भँटइती,भाँट का सा व्यवहार
भँड़खेलि,गड़बड़ी
भंड़रौ,"गन्ना पेराई का वह पहला दिन, जब गुड़ भी तैयार होता है"
भँड़वन,मिट्टी का पात्र
भँड़सार,रसोईघर
भँड़ा,किसी भारी वस्तु को उठाने में प्रयुक्त लकड़ी
भँड़ियही-भँड़ियाही,घर में घुसकर चोरी करने की आदत
भँड़िया,मिट्टी की हण्डी
भँडुआ,वेश्या के साथ रहने वाला पुरुष; गुलाम; नीच व्यक्ति
भँड़ेरि,गड़बड़ी
भँड़ेहरी,डेहरी आदि रखने की कोठरी या कमरा
भंभुहा,सावाँ का भूसा
भंभूरि,"दल, समूह"
भँवक्खा,जिसकी आँखें टेढ़ी हों
भँवरकली,"बकरियों के गेरावँ में लगा लोहे का अंग, जो उनके घूमने पर घूमता रहता है"
भँवरि,"नदी आदि के पानी का चक्रवात, सिर में बना बालों का चक्र"
भंसारु,भण्डार
भँसीड़,सब्जी विशेष
page,2
भ,"हुआ, हो गया"
भइँडयाबु,लड़ने की मुद्रा में खड़ा होना
"भइने, भइना","भांजा, बहिन का पुत्र"
भइपनु,भ्रातृत्व
भउजी,बड़े भाई की स्त्री
भकचुम्मा,जो कुछ बोल न सके
भकभेलर,"फूहड़, बेढंगा "
भकस,"मन में छिपा असन्तोष, भड़ास"
भकुहा,"जो कुछ कर न सके, निःसहाय एवं मूर्ख"
भक्कलु,छेद
भक्खर,खाने का स्थान; बलि-वेदी
भख,भोजन
भखवइया,"भाखने वाला, भविष्यवाणी करने वाला, स्वीकारकर्त्ता"
भगंदरु,"प्रसिद्ध रोग, जिसमें गुदा से मवाद या पीव आता है"
भग,"स्त्री की गुप्तेंद्रिय, गुदा"
भगति,"कीर्तन, भक्ति"
भगमच्छरु,"शोरगुल, झगड़ा"
भगवा,"छोटा-सा कपड़ा, जो गुप्तेन्द्रियों पर गरीब लोग लपेट लेते हैं"
भगुति,"विभूति, सम्पत्ति"
भगोहड़ा,भागने वाला या भागा हुआ व्यक्ति
page,3
भग्गलु,इज्जत
भङरा,"कीड़ा विशेष, बोरे का टुकड़ा, पुराने कम्बल का भाग"
भचक,"पैर की खराबी, चलने में अड़चन"
भच्छनागु,भूख की अधिकता
भटक,"संदेह, दुविधा"
भटभटी,"ऐसी अवस्था, जिसमें चकाचौंध के कारण न दिखाई पड़े"
भटभ्यारा,"मिलन, संयोग, सामना"
भठिया,धोबियों की भट्ठी; कण्डों (उपलो) का सुडौल ढेर
भठियारा,"भट्ठी चलाने वाला, रोटी पकाने वाला (मुसलमान)"
भड़ंग,"दिखावा, व्यर्थ की बनावट "
भड़कदंता,जिस बैल के सब दाँत समय से पूर्व निकल आवें
भड़कील,देखने में सुन्दर व बड़ा
भड़रबु,खुरपी से मिट्टी (पौधे की जड़ की) खोदकर उलट देना
भतइत,"हलवाहा, जो भाता पर काम करे"
भतरहा,"भूना या उबला हुआ पदार्थ, जिसमें कोई भाग गला न हो"
भतरिन्हा,खाना बनाने वाला
भतार,"पति, मालिक"
भदेस,भद्दी
भद्दरा,खराब मुहूर्त;(कहा.) “घरी मँघर जरै नव घरी भद्दरा”; सन्नाटा
भद्दा,धूल
page,4
भद्दा,"धूमिल, खराब"
भद्दि,"बदनामी, दुर्गति"
भनछबु,"फिरते रहना, तलाश करना"
भनबु,"कहना, वर्णन करना"
भन्ना,"बैलगाड़ी में चौड़ाई में लगने वाले बाँसों के छोटे होने पर उनमें जोड़े गये छोटे बाँस, अदायगी"
भन्ना मारबु ,व्यापारियों द्वारा छोटे व्यापारियों को रकम न देना
भन्नाबु,"भिनभिनाना, भन्न-भन्न की या फटी आवाज़ करना; नाराज होना"
भभक्का,बड़ा छेद
भभरी,वृद्धावस्था या बीमारी के कारण उत्पन्न होने वाली शारीरिक सूजन
भयवादी,"बिरादरी, भाई चारा"
भरकुंडा,"ऐसी जुताई, जिसमें ‘कूँड़’ कुछ अन्तर पर बनते हैं"
भरजालि,भार्दूल
भरमजालु,"दायित्व, भ्रमजाल"
भरमबु,"भ्रम में पड़ना, घूमना"
भरसा,छत की कमजोर बल्ली को रोकने हेतु दीवाल से टिकाकर लगाई गई लकड़ी
भरसायँ,अन्न भूनने का चूल्हा
भरहर,छिद्रयुक्त; बीड़र; मोटा
भराव,फर्नीचर विशेष
भराव,गहरा
भरी,तोला
page,5
भरुआमटका,पेशाब करने में प्रयुक्त मिट्टी का बर्तन
भरुहाबु,"परेशान होना, उपेक्षित करना"
भर्ती,लेई द्वारा चिपकाया जाने वाला टुकड़ा; नियोजन
भर्रा,"अनाज से मिट्टी आदि छानने का पात्र, चलना; मंझा के नीचे बंधी हुई मोटी रस्सी को कसने में प्रयुक्त लकड़ी"
भलकुछु,"हर तरह से, सब कुछ"
भलमंसी,सज्जनता
भलिपूछौ,सच पूछो तो
भलेमानुस,सज्जन 
भवँरि,पानी का चक्रवात; चक्र
भवँरी,भाँवर
भवर,"विचार, मंसूबा"
भवातुलि,मंडराती हुई
भसमी,"गंभीर या सघन, भस्म"
भसमु,"साथी, भस्म, पालन-पोषण"
भसोटु,शक्ति प्रायः दूसरे को ललकारने में प्रयुक्त
भाँज,"रोक, विघ्न, ऐंठन"
भाँजबु,रस्सी की अनेक लड़ियों को एक में लपेटना
भाँटा,बैंगन
भाँड़ा,बर्तन
भाँपत,"खेत का वह भाग, जहाँ पलड़ों द्वारा उचित दूरी पर खाद न गिराई गई हो"
page,6
भाँपबु,"परख लेना, ताड़ना"
भाँयँ-भाँयँ,निर्जन स्थान में सन्नाटे की आवाज
भाखबु,"कहना, भविष्यवाणी करना"
भागि,"भाग्य, नियति"
भाठि,मांद
भाठि,भारि
भाता,"हलवाही करने की वह पद्धति, जिसके अनुसार उसे पूरी उपज का १/६ भाग मिलता है"
भाती,"धरोहर, सम्पत्ति"
भाती,अधिक कच्ची
भाबिता,"भवितव्यता, भावी"
भाभी,"भवितव्यता, बड़े भाई की पत्नी"
भारकस,बैलगाड़ी (बोझा लादने में प्रयुक्त)
भारनु,मकान निर्माण सम्बन्धी उपकरण विशेष
भारि,मांद
भारि,भाठि
भारु,"चबेना भूनने की भट्ठी, भाड़;"
भास,पानी या कीचड़ में धँस जाने की स्थिति
भिंजारनि,सर्वनाश
भिंजारबु,नष्ट या समाप्त करना
भिकबु,फेंकना
page,7
भिजउबु,भिगोना
भिटुहुरा-भटुहुरा,उपलों (कण्डों) का सुडौलढेर
भिटुरा,मिट्टी का ऊँचा उठा हुआ स्थान
भिटुरी,"गठरी, दुःख"
भिड़काइब,(दरवाजों का) बंद करना
भिड़नी,"संधर्ष, भिड़ंत"
भितलिया,पतली दीवार
भितल्ला,"कपड़े का भीतरी पल्ला, खजाना"
भितिया,छोटी व पतली दीवाल अधिकतर रसोईघर में प्रयुक्त
भितूरि,"भाण्डार, रसोईघर"
भिनउखा,प्रातः काल
भिन्नही,प्रातः काल
भिन्नही,अधिक भिनभिन करने वाली
भिन्सार,प्रातः काल
भियानु,प्रातः काल
भियानु,विहान
भिरवारु,ज्वार-बाजरे के गट्ठों का खड़ा ढेर
भिलिर-भिलिर,फूट-फूटकर (रोना)
भिल्ला,भेंड़ का नर बच्चा
भिहलाबु,बिखरकर खराब हो जाना; ठण्ड लग जाना
page,8
भीठ,"किसी ऊँचे टीले पर लकड़ी एवं फूस से बना विशाल छप्पर, जिसमें पान की खेती की जाती है"
भीति,दीवाल
भीरा,"लकड़ी के कोल्हु में पटरे पर रखा जाने वाला बोझ, हस्त चक्की का मिट्टी से निर्मित अड्डा"
भीरी,"अरहर आदि का गट्ठर, बैल की पीठ पर लदा हुआ ‘जार’ नामक फंदा"
भुई,भूमि; जमीन
भुकुर-भुकुर,आँसू गिरा-गिराकर; मुँह विदोर-विदोर कर
"भुक्का, भूका",सत्तू
भुगुति,"भुक्ति, मृत व्यक्ति की स्मृति में एक ब्राह्मण का भोजन"
भुग्गा,मूर्ख
भुचकुरु,कचूमर
भुच्चड़,जिसकी समझ में बात जल्दी न आवे
भुजवा,चबेना भूनने वाली जाती
भुजाली,नैपालियों द्वारा प्रयुक्त कुकुड़ी; छोटी तलवार
भुड़ागरु,"वह जमीन, जो बलुई व ऊँची-नीची हो"
भुड़ागरु,भुड़ही
भुट्टा,मकाई या ज्वार का फल; -होना- (मु.) मर जाना
भुताही,भूतों के प्रकोप की निरन्तरता
भुन्नासु,"शिश्न, अपशब्दपरक वस्तु"
भुरका,"पानी पीने में प्रयुक्त मिट्टी का बर्तन; रूपान्तर-कुज्झा, घट, कुल्हड़"
भुर्रा,खुला हुआ; जो गोली के रूप में बंधा न हो
page,9
भुसइला,बरसात में प्रथम दिन गिरा हुआ पानी
भुसइला,दौंगरा
भुसउरा,"वह कमरा, जहाँ भूसा भरा जाता हो"
भुसु,भूसा
भुलभुलउबु,(फल आदि को) आग में थोड़ा-सा भून लेना
भुलभुलि,भूमि की तपनि
भुवा,"सफेद बाल की सी चीज, जो कुछ फूलों तथा पेड़ों में से निकलती है"
भूँजबु,भूनना
भूँभुररि,आग से भरी हुई राख
भूँभुररि,भुलभुलि
भूजा,चबेना  
भूड़ा,धूलयुक्त मिट्टी
भूभा,"मकरे का खोला, बीजकोष"
भूही,खर-पतवार आदि की राख
भेंगि,शक
भेंड़,"विघ्न, छिद्रान्वेषण; पशु विशेष"
भेड़िया,"बैल की किस्म, जिसकी सींगे बिल्कुल छोटी व खूब मोटी हों"
भेड़हा,भेंड़िया
भेभन,"मुँह से निकला हुआ थूक, पानी आदि"
भेलनी,चरखी में लंगा छोटा भेलन
page,10
भेलस,"भेष, वेश"
"भेलि, भेली",ब्याने के थोड़ी देर बाद किसी-किसी भैंस के शरीर से निकलने वाला मांस; गुड़ की बट्टी
भेव,"रहस्य, अन्तर, भेद"
भैवद्दी,भाई का रिश्ता
भोंड़ी,"पेट का मध्य भाग, यह शब्द प्रायः धमकी देने के लिए ही प्रयुक्त होता है; (उदा.) “भोंड़ी फोरि देब”"
भोंसड़ी,योनि
भोङा,"लम्बी वस्तु, जिसमें आर-पार छेद हो"
भोटिया,छोटा-मोटा एवं हृष्ट-पुष्ट (व्यक्ति)
भोथा,भद्दा एवं कम समझवाला व्यक्ति
भोरइब,"बहकाना, फँसाना"
भोरका,भुरका
"भोरहरु, भोरु",प्रातः काल
भौठी,एक अन्न विशेष
भ्याँट,"बलि, मुलाकात"
भ्याजा,"भेजा, दिमाग"
भ्मपना,विवाह
page,11
page,12
