page,1
मंगउरा,दसवाँ संस्कार में प्रयुक्त उड़द की दाल का बना गोल बड़ा
मंगतरहा,असमानता (बुवाई में)
मंगनी,वैवाहिक रस्म विशेष
मंगरी,जीर्ण-शीर्ण छप्पर के ऊपरी सिरे पर बाँधी जाने वाली अलग से पट्टी; (कहा.) “मंगर मंगरी बुद्धै खाट बैफै बढ़नी बाराबाट”
मंगवारी,पतली मेंड़
मंजरुआ,प्रतिवर्ष जोता-बोया जाने वाला खेत
मंजूर,मजदूर
मंजूर,स्वीकार
मंजूरी,पारिश्रमिक; स्वीकृति
मंझखुटरा,बैलगाड़ी में लगने वाली खुटरियों में से बीच की खुटरी
मंझरेहटा,"छप्पर बाँधने के लिए पहले इसके बीच वाले भाग को बनाते हैं, जिसे मंझरेहटा कहते हैं"
मंझिया,विवाह आदि में स्थापित मध्यस्थ; मंझवानी
मंझी,ईंटे पाथते समय गीली मिट्टी ढोने में प्रयुक्त बाँस की निर्मित पट्टी
मंझोला,छोटी कन्नी 
मंड,"बू, हवा"
मंडल,"बहुत-सा, असंख्य"
मंडल,प्रदेश का एक अंश; दल (गाने बजाने वालों का)
मंडली,"समूह, संगीत पार्टी या दल"
मंतरा,मात्रा
मंसा,"इच्छा, उद्देश्य, अभिप्राय"
page,2
मइजिलि,"राह, शवयात्रा"
मइया,ममेरा
मइया,माता
मइया ससुर,पति अथवा पत्नी का मामा
मइया सासु,पति अथवा पत्नी की मामी
मइला,"गू, विष्टा "
मइला,गंदा
मइहरु,घी की तलछट
मइहाँ,में
मउका,वारदात का स्थान; अवसर
मउगा,"पुरुष, जो स्त्रियों की  भांति बोले या वस्त्र पहने"
मउजा,गाँव (ग्राम सभा का) 
मउताज,"इच्छुक, कंगाल"
मउना,"मूज का टोकरा, मिट्टी का बड़ा पात्र"
मउरा,जिस बैल के सांग पीछे की ओर झुके हों
मउरी,"छोटा मौर, जो दूल्हन के बाँधा जाता है"
मउरुसी,पैतृक
मउला,"अल्लाह, बादशाह"
मउवा,टोकरा
मकइहरु,मक्का का पौधा या डंठल
page,3
मकाई,मक्का  
मकुना,"हाथी, जिसके बाहर वाले दाँत न हों छोटा हाथी"
मकुनी,"मोटी पटी जो मटर, चने या जौं के आँटे की बनती हैं"
मकूला,कहावत
मखउड़ा,"प्रसिद्ध स्थान, जहाँ राजा दशरथ ने पुत्रेष्टि यज्ञ किया था । यह सरयू के उत्तर दिशा में है प्रतिवर्ष जँहा मेला लगता है"
मखडडी,जानबूझकर न सुनने की प्रवृत्ति
मगजी,बैलगाड़ी की चौड़ाई में लगी सम्पूर्ण पट्टियाँ जोड़ने के लिए किनारे की ओर लगी हुईं दो लम्बी एवं पतली पाटियाँ; जूते एवं पोशाक में अलग से लगा किनारा
मगजु,"भेजा, दिमाग"
मगरमत्तु,"चिन्तामुक्त, गैर-जिम्मेदार"
मगरूर,कहा न सुनने वाला; घमण्डी
मगघा,"मघा नक्षत्र, प्लास्टिक का छोटा जग"
मघेरू,माघ या जाड़े में होने वाली (बारिश)
मङता,"माँगने वाला, याचक"
मङरि,छप्पर या खपरैल के बीच का भाग
मचका,"धक्का, ढीलापन"
मचलबु,"रूठ जाना, मितलाना"
मचला,"कच्ची दीवाल बनाने योग्य मिट्टी, गीली मिट्टी"
मचवा,"बड़ी मचिया, खाट का पावा; (कहा.) “आन्हरि मउसी चूमै मचवा”"
मचहना,मक्का आदि के खेतों में बना लकड़ियों का मंच या मचान
मचियउबु,बैलों को काम के लिए माची से जोड़ना; नाहबु
page,4
मच्छ,मछली 
मछोतरा,हल में हरीस कसने में प्रयुक्त लकड़ी
मछोतरा,मछवातरु; पाटि
मजकूर,"उल्लिखित, प्रायः कचहरी के कागजों में प्रयुक्त"
मजक्का,हास्य
मजगर,"बढ़िया, अच्छा"
मजगोदरा,बीच वाला
मजमा,"जनसमूह, भीड़"
मजरुआ,"वह खेत, जिसमें खेती होती हो"
मजहम,"भेद, रहस्य; धर्म"
मजाज,अधिकार
मजाल,"हिम्मत, बल"
मझिअरिया,रसोईघर
मटरगस्ती,"बेफिक्री, आवारागर्दी"
मटियामेट,मिट्टी में मिश्रित; बरबाद
मटियार,"वह जमीन, जिसकी मिट्टी कड़ी व उपजाऊ हो"
मट्टी,शव; मिट्टी
मट्ठर,सुस्त; जिसे काम करने की इच्छा न हो
मट्ठर,मटठु
मठई,कुदाल
page,5
मठल्याबु,भोजन आदि खाद्य-पदार्थ को बेमन खाना
मठिया,गहना विशेष; छोटा मठ
मठूस,बात न सुनने या न मानने वाली; गर्वीली
मठोरि,सुस्त
मड़इया,छोटा बगला
