page,1
यकदत्ती,प्रतिद्वंदी की ठुड्डी में हाथ से लगाकर तथा नीचे से पैर पकड़कर गिराने का दाँव
यकनधा,एक ही बैल पर जोर देने के लिए नाधा को एक ओर करने की पद्धति
यकबैग,"एकाएक, अचानक"
यकसर,"इकहरा, एक परत का"
यकसरा,एक्स-रे
यकसाँ,"एक तरह का, संगठित"
यकहव,"एकत्र, संगठित"
यकाह,पहला (ब्याह)
यठई,इस स्थान पर
यथापरमान,आवश्यकतानुसार
यवँ,"इस तरह, इस प्रकार से"
यवैं,योंही
यसवैं,इस वर्ष
यसवैं,आसवँ
यहू,यह भी
यहौ,यहभी
या ,यह (स्त्री.)
याक ,एक 
याक ,हिमालय पर मिलने वाला एक जंगली बैल
याका,एकता
page,2
याँड़-ब्याँड़,उल्टा-सीधा
यानी,अर्थात्
यार,दोस्त
यारी,"दोस्ती, मित्रता"
page,3
page,4
