page,1
रंज,शोक; गुस्सा
रँड़ापा,वैधव्य
रँड़पुतवा,राँड़ का पुत्र
रंदबु,रंदे से लकड़ी चिकनी करना
रइंधा,"संघर्ष, झगड़ा; रोना-धोना"
"रइयत, रइयति","प्रजा, जनता"
रई,लकड़ी या काँटे की फाँच या फाँस
रउका,बदली या वर्षा के बीच निकला हुआ दिन या धूप
रउताई,इधर-उधर लगाने की आदत
रउतुआ,रायता
रउरियाबु,कुछपाने की आशा में डटा रहना
रउल,"चक्कर, पर्यटन"
रउस,आलुओं को सींचने हेतु बनाई गयी पतली-पतली नालियाँ
रकबा,क्षेत्रफल
रकाबी,तश्तरी
रकील,फर्मा की तीनों फरों में भीतर की ओर बनी एक पतली रेखा
रखइला,रखाया या बचाया हुआ घास का मैदान
रखइला,"रखउना, रक्खा"
रखउनी,रक्षा बन्धन
रखरी,कँटीली पत्तियों वाली ऊँख
page,2
रखवारु,"रक्षक, चौकीदार"
रगर,जिद; ईर्ष्या; संघर्ष
रगवाही,"वर्षा न होने का समय, वर्षा बन्द हो जाने का समय"
रगा,वर्षा न होने का दिन
रचका,"ज़रा-सा, थोड़ा-सा"
रजाने,"सुरक्षित, मुबारक, फलीभूत"
रजामन्द,सहमत
रजिन्ना,"दैनिक, रोज़ाना"
रजुरी,लेजुरी
रज्ज-गज्ज,"अधिकता, आराम"
रट्ठ,फसल आदि का ढेर
रठाबु,फसल का खूब पक जाना
रतवाई,कोल्हू चलने पर पहले दिन रस बाँटने का चलन या रस्म
रतियाही,रात में चोरी करने की आदत या प्रणाली
रतुली,"रात्रि सम्बन्धी, लाल"
रत्ता,रास्ता
रधिया,कपास की किस्म विशेष
रनिकजरा,एक प्रकार का काला धान
रपारप्प,"तेज़ धार वाला, (तलवार आदि)"
रप्पस,घोड़े की चाल
page,3
रप्फल,पतला कम्बल
रबदा,"कीचड़, दलदल"
रबाना,"एक बाजा जो हाथ से बजाया जाता है, विदा"
रबावँ,दलदल
रब्बा,छोटी बैलगाड़ी
रब्बी,गेहूँ की फसल  
रमदेहुला,एक प्रकार का धान
रमना,चरागाह
रम्मा,कंक्रड़ खोदने या दीवार आदि गिराने में प्रयुक्त लोहे का लम्बा औजार
रयपर,चद्दर
रर्रा,बक-बक करने व और माँगने वाला
रवँ,"क्रोध, घमण्ड"
रवंजक,"परम प्रसन्न, प्रोत्साहित"
रवन्ना,"खरीदी वस्तु का क्रय-पत्र, जो रवानगी आदि को अधिकृत करे"
रवहाल,खुश
रवाँ,"अभ्यस्त, प्रशिक्षित, बहता हुआ"
रवाइसि,आतिशबाज़ी
रवादार,अहसानमंद
रवाबु,सूखते जाना (व्यक्ति का); इर्द-गिर्द घूमते या उड़ते रहना
रसउती,एक प्रकार की ईख
page,4
रसदि,"खाने-पीने का सामान, कमाई बरतौनी"
रसम,"रिवाज, दस्तूर"
रसरा,"मोटी रस्सी, रस्म"
रसवाई,गन्ना पेरकर पंचायती रूप से रस बाँटने की रस्म
रसहंग,"हल्का ज्वर, शरीर की हरारत"
रसाई,"पहुँच, सिलसिला"
रसियाबु,बर्तन आदि से हल्का-हल्का पानी आदि बहना
रसियाव,मीठा भात
रसियाव,रस्यावरि
रसूम,"नियम, रस्म"
रसौते या रसौधे,नम खेत में की गई धान की बुवाई
रस्यावरि,गन्ने के रस में पकाए गये चावल
रस्यावरि,रसियाव
रहँकला,छोटी बैलगाड़ी
रहँटा,"बैल से खींचा जाने वाला सिंचाई का साधन, सूत कातने की मशीन"
रहँटियाबु,दुबला होते जाना
रहँटी,कपास ओटने की चर्खी
रहकल,"एक पुराने प्रकार की बंदूक, जो टूटदार होती थी"
रहगर,"चला हुआ, घर से बाहर"
रहठा,अरहर का सूखा पेड़
page,5
रहठा,झाँखर 
रहतिया,बची हुई
रहना,दहेंड़वा को रखने के लिए ज़मीन में बनाया गया गड्ढा
रहनि,लय 
"रहरिया, रहरी",अरहर  
रहलू,विशेष प्रकार की बैलगाड़ी
रहसधारी,बधइया (रहस) बजाने तथा लहचारी गाने वाली जाती
रहसु,"रहस्य, रासलीला, बाजा जो देवी के नाम से बजाया जाता है"
रहसुति,रहने की सम्भावना
रहाइसि,"चैन, सहन, रहने की दशा, सम्भांवना"
रहाव,"गर्भस्थ हो जाने के बाद जानवरों का दूध उतारने की क्रिया, गर्भस्थ होने के पूर्व दूध उतारने को पन्हाव कहते हैं"
रहिला,चना; (उदा.) “मिसिर करैं घिसिर-घिसिर रहिला नोन चबायँ”
रहिला,लहिला
रहीस,"रईस, मालदार"
रहुनियाँ,चरवाहों द्वारा जानवरों को गाँव के बाहर एकत्र करने का स्थान
रहुवा,दूसरे के घर में रहने वाला
रहूँ,धुएँ का जाला जो घाव ठीक करने में दवा का काम करता है
रहूँ-बहूँ,"अनाथ, व्यर्थ"
राँकर या राँकरि,असमतल तथा कँकड़ीली भूमि
राँपी,चमड़ा काटने का यन्त्र
page,6
राउत,अहीर के लिए आदर प्रदर्शक शब्द; रावल; सिंगरौर क्षत्रियों की एक उपजाति; रावत
राकस,राक्षस
राडु,राङा
राचि,"हथकरघे का वह अंग, जिसमें तागा भरा या लपेटा जाता है"
राछि,विवाह की एक रस्म
राजि,"शासन, राज्य, मनमानी"
राड़ा,घास विशेष
रातुलि,रक्तिम
रान,जाँघ
रापी,ՙराँपी՚ देखिए
राब,गुड़ का गीला एवं प्रारम्भिक रूप विशेष
रामदाना,चबेना में प्रयुक्त अनाज विशेष
रामरस,नमक (संतों में अधिक प्रचलित)
रामरोसु,शांति
रारि,झगड़ा
राव,बड़ा जमींदार
रावट,महल
रावटी,"माला में पड़ने वाला मूंगा विशेष, कपड़े द्वारा निर्मित घर"
"रावल, रावलि",दुश्चरित्र
रासि,"अनाज का ढेर, जो खलिहान में तैयार हो, ज्योतिषी राशी, घोड़े की लगाम"
page,7
रासी,दागी; घोड़ा की जाति विशेष
राह,रास्ता
राह देखबु ,इन्तज़ार करना
रिगिर,"हठ, द्वेष"
रिग्घी,आलू बोने के लिए खेत में बनाई गई रस्सी से रेखा
रिनु,कर्ज
रिसि,"क्रोध, ऋषि"
रिंधबु,दाल-चावल आदि पकाना
रिंधबु,रीन्हबु
रीकड़,"भूमि, जिसमें कंकड़-पत्थर हों, अनुपजाऊ (खेत)"
रीचा,छोटी-सी बात; बात का मूल
रीठी,ՙरेठिया՚ देखिए
रीरी,आम का अत्यन्त छोटा रूप
रीरी,कील
रुंगउना,फल बेचते समय क्रेता को एक अतिरिक्त फल देने की रस्म
रुंगाउबु,बच्चे को कुछ देकर सन्तुष्ट करना
रुइया,चारा काटने में प्रयुक्त जमीन में गड़ी हुई लकड़ी की अडडी
रुइहरु,"रूई का छोटा टुकड़ा, रूई से युक्त पोशाक विशेष"
रुइहरु,रुइहा
रुकसति,"विदाई, छुट्टी"
page,8
रुखान,लकड़ी में छेद करने की छेनी विशेष
रुगरुगाबु,"अच्छा होना, तन्दुरुस्त होना"
रुज,रोग
रुजुक,"रोजी, जीवन-यात्रा"
रुतबा,"प्रतिष्ठा, पद"
रुनझुन,घंटियों की आवाज़
रुरानि,रोगग्रस्त मूली
रुरुहाबु,"पौधों या फसल का अत्यन्त कम विकास होने, कमजोर होना"
रुसबति,घूस
रुहकबु,किसी वस्तु के लिए तरसते रहना
रूख,वृक्ष
रूख,सूखी (रोटी)
रूखड़,मतलब से कम नम
रून,"ऊन; मुलायम रोयेंदार वस्तु, जो कुछ फलों आदि पर होती है"
रूपा,"चाँदी, सोना"
रूबरू,आमने-सामने (व्यक्ति के) मुँह पर
रूमबु,खड़े-खड़े हाथ बाँधकर शरीर के धक्के से गिराना
रूसा,पलस्तर हेतु प्रयुक्त लकड़ी का ६X६ इंच का यंत्र; वनस्पति विशेष
रूह,"आत्मा, प्राण"
रेंड़,"एक पेड़, जिसमें रेंड़ी होती है; (उदा.) “रूख न विरूख तहाँ रेंड़वै पुनीत”"
page,9
रेंड़बु,दाने पड़ने के निकट होना (गेहूँ आदि के पौदे का)
रेड़ब,"टांगदेना, बहुत दिनों तक टांग रखना"
रेउती,माचि से मिलकर बंधी हुई लकड़ी
रेउती,खहँचनी
रेउरी,रेवड़ी
रेजा,"छोटा-छोटा टुकड़ा, मिट्टी रौंदने का कार्य करने वाले मजदूर"
रेठिया,बच्चों के माला में पड़ने वाला मूंगा विशेष
रेढ़ा,"झगड़ा, बखेड़ा"
रेतु,लकड़ी आदि की डिज़ाइन साफ करने या धार रखने का यंत्र
रेवा,घर के चारों ओर दीवार पर लगाई गई गोबर की रेखा; बही-बनियों की एक बही
रेशम-चूड़ी,प्रायः पीले और लाल रंग की पुरानी चाल की सादी चूड़ी
रेहू,कपड़े धोने में प्रयुक्त मिट्टी
रैज,"तरीका, व्यवहार"
रैन,रात
रोकादानी या रोकदानी,बेइमानी (खेल में)
रोगन,तेल; मसाला
रोचना,"जन्में शिशु के मामा के घर, नौआ द्वारा ले जाया गया हल्दी व चावल का मिश्रण, खुशखबरी"
रोज़मर्रा,दैनिक 
रोजिगार,फलादि की खेती
रोज़ी,जीविका
page,10
रोजु,प्रतिदिन
रोटकती,रोटी बनाने हेतु पहनी जाने वाली धोती
