page,1
लंकलाट,उच्च स्तर के व्यक्तियों में पहना जाने वाला (कपड़ा)
लंग,ओर
लंग,लंगड़ा
लंगई,नीचता
लँगरी,"धोती का वह भाग, जो नीचे से पीछे ले जाकर ऊपर कमर पर खोंस लिया जाता है"
लँगरी,"लांग, काँच"
लंग्घना,"भूखा, अतृप्त"
लंग्घनु,क्षुधा
लंग्वाटा,भेलन को साधने वाला पुरजा; जूते के पिछले भाग में लगी विशेष पट्टी; लंगोट; चाप
लंबर,नम्बर
लंभबु,"हाँफना, दौड़ना"
लइमार,किसी का धन लेकर बेइमानी करने वाला (व्यक्ति)
लइयन-पइयन,"तुरन्त, अविलम्ब"
लइरा,"गाय, भैंस का बच्चा"
लइसन,"लैसंस, आज्ञा-पत्र"
लउंगा,प्रशाखा
लउँचा,छोटी पतली डाल
लउँचा,लउछा 
लउँड़ी,"दासी, गुलाम"
लउंदु,"अधिमास, मलमास"
page,2
लउआर,चुगली 
लउक,लायक 
लउका,"कद्दू, मिट्टी के बर्तन"
लउछा,"कई फलियों का गुच्छा, छोटी पतली डाल"
लउता-बउता,इधर-उधर की बात
लउनिया,"तुलना, बराबरी"
लउनी ,"फसल काटने-पीटने की मजदूरी स्वरूप मिलने वाला अनाज, जिसका निर्धारण अनाज की राशि के हिसाब से होता है"
लउर,बड़ा डण्डा या लाठी
लउर्याबु,धान आदि की बालियों (बाल) का झुकना
लकड़चिर्रा,लकड़ी चीरने वाला
लकड़चिर्रा,आराकस
लकड़िहार,लकड़हारा
लकलका,खूब साफ एवं चमकीला
लक्का,तक
लखउड़ी,पतली ईंट (विशेष)
लखनी,"बच्चों का एक खेल, जिसमें पेंड़ की डालों पर चढ़ते-कूदते रहते हैं"
लखनी,सियरि चटकना
लखबु,"लगना, प्रतीत होना, मालूम देना, देखना"
लग,तक
लगउना,जानवरों के चारे में लगाया जाने वाला आँटा आदि पदार्थ
page,3
लगउना,रोपा जाने वाला
लगछुआई,"सम्पर्क, छूत"
लगवरहा,किसान का लगा हुआ स्थायी हलवाहा
लगहर,कच्ची छत में मिट्टी रोकने हेतु पड़ी पतली लकड़ियाँ
लगहर,रास्ता रोकने वाला (कुत्ता आदि); जुड़ा हुआ
लगा,प्रारम्भ
लगदा,हरी छड़ी या डण्डी
लगाक,"रस्सी विशेष, जिसे पाटा देते समय पकड़कर खड़ा हुआ जाता हैं"
लगुठिया,छोटी व पतली लाठी
लगे,"पास, निकट"
लगेनिया लगेरु,दूध देने वाला (जानवर)
लग्गी,"लम्बा व पतला बाँस, डलिया में लगने योग्य झाँखर; उपाय"
लचबु,"झुकना, सम्मान करना; उबु-(क्रि. स.) झुकाना"
लच्छन,लक्षण
लच्छा,पैर में पहनने का आभूषण
लच्छा,सूत
लजाधुर,शर्मीला
लट,"रस्सी में प्रयुक्त कई लटों में से एक लट, कुछ बालो का समूह"
"लटकन, लटकनिया",गहना विशेष
लटपटाबु,"(दिन आदि का) समाप्त होना, कमजोर पड़ना"
page,4
लटी,"तुच्छ, दुष्ट; कड़वी"
लट्टम-पट्टम,जैसे-तैसे
लट्ठइतु,लाठी चलाने में निपुण
लट्ठा,"बड़ा डंडा, एक प्रकार का कपड़ा, ९९ इंच की माप"
लट्ठ,मोटी लाठी
लट्ठ,मूर्ख
लड़कपुल्ली,चिबिल्ला लड़का
लड़हरा,चरी का लम्बा पेड़
लढ़मपढ़ा,जुगाड़
लढ़ी,बड़ी बैलगाड़ी
लत,आदत
लतखोर,"लात खाने वाला; ՙखोर՚ कई निंदात्मक शब्दों में लगता है; जैसे-हरामखोर, हलालखोर"
लतना,जलेबी बनाने में प्रयुक्त छिद्र युक्त मोटा कपड़ा
लतमरा,"लात खाने वाला, पैर रखने व जल रोकने हेतु कुएँ पर रखी हुई लकड़ी"
लतरा,पुराना जूता
लतर्याबु,शरीर से कमजोर होना
लतहा,लात चलाने वाला (पशु)
लतहा,पुराना जूता
लतिहड़,"लात खाने वाला, कमजोर"
लत्ता,"चिथड़ा, फटा कपड़ा"
page,5
लत्ती,"लट्टू नचाने में प्रयुक्त मोटा तागा, जो कई लड़ों से मिलकर बनता है"
"लदरा, लेदरा",खूब फलने वाला
लदुआ,बोझ ढोने वाला
लदुआ,दीवाल को पानी से बचाने के लिए उस पर रखा गया फूस आदि
लदोई,गुड़ की पतोई विशेष
लद्धड़,"भारी एवं सुस्त, कमजोर"
लन्ती,निंदा का
लपकबु,"अत्यन्त लम्बी चाल चलना, चमकना"
लपटा,नमकीन लपसी
लपटेउना,"घास विशेष, जो कपड़ों में बहुत जल्दी लिपट जाती है"
लपलपउवाँ,खूब स्वच्छ
लपसी,आँटे से निर्मित पतला हलुवा या घोल
लपेटन,"हथकरघे का पुर्जा, जिसमें तागा लिपटता है"
लबड़धौंधौं,"अव्यवस्था, शोरगुल"
लबड़ा,बायाँ
लबदा,"ताजा तोड़ा हुआ डण्डा, जिससे फल तोड़ा जाए"
लबदा,लगदा
लबनी,"छोटा घड़ा, जो ताड़ वृक्ष में ताड़ी हेतु लटकाया जाता है"
लबरा,"लालची, बात पर कायंम न रहने वाला"
लबलबउवाँ,ऊपर तक (भरा हुआ) लबालब
page,6
लबलबी,जल्दबाज़; (कहा.) “लबलबी क बियाह कनपटी मैं सेनुर”
लबाबु,गाढ़ा द्रव
लबार,झूठा
लबार,लबरा
लबेद,"मनमानी बात, वेद विरुद्ध बात, शास्त्रीय मत तथा ढकोसला"
लबेदम,"चरम सीमा पर, अत्यन्त शिथिल"
लब्बर,पशु बाँधने की एक बड़ी रस्सी
लब्भचब्भु,मनचाहा भोजन
लब्भा या लरफा,चिलम की ऊँची लौ
लब्भी,खिलवाड़ में लिपटन की क्रिया
लभकु,"लालच, फायदा"
लभ्याड़,"बाधा, झंझट "
लमउझ,दूर का (रिश्तेदार)
लमछर,"कुछ लम्बा, लम्बा वाला"
लमेरा,"धान के साथ उगा हुआ वह पौधा, जिसमें अन्न न पैदा हो"
लम्बर,"संख्या, नम्बर"
लयमड़,सुस्त और फूहड़ (व्यक्ति)
लर,"गहनों में लगी हुई लड़ी, पक्ष"
लरजबु,"शरम खाना, काँपना, भयभीत होना"
लरजर,आधार बात
page,7
लरिकउरी,गर्भवती
ललंगा,लाल-लाल
ललक,प्रबल आकंक्षा; सुविधा
ललखरि,लाल रंग की
ललटैना,"वनस्पति विशेष, जिससे डलिया आदि बनायी जाती हैं"
ललमुनिया,"वनस्पति विशेष, पक्षी विशेष "
ललाम,सुन्दर
लली,"प्रिय पुत्री, पुत्री"
लल्ला,छोटा प्यारा बच्चा
लल्ला,लाल
लल्लु,प्रसन्न
लल्लु,फायदा
लल्लो-पत्तो,"चिकनी-चुपड़ी बात, खुशामद"
लबगहा,"वह खेत, जिसमें अगहनी धान रोपा जाता है"
लवता-बवता,इधर-उधर की बात
लवहार,मर कर जीवित हो जाने की दशा
लवाय,तत्काल ब्याई हुई गाय
लवारि,"बड़े लावा वाली ज्वार, टूध देने वाली गाय या भैंस"
लस,"चिपचिपाहट, अपनत्व"
लसबु,"किसी के शरीर से स्पर्श करते हुए खड़ा होना, बैठना, लेटना, सहायता की अपेक्षा करना"
page,8
लसम,चिपकने की प्रवृत्ति
लसोहरु,"एक वृक्ष विशेष, जिसमें बेर जैसे फल लगते हैं, लसोड़ा"
लस्त,"शिथिल, थका हुआ"
लस्सुन,लहसुन
लस्सुन,लासुन
लहँकट,पशुओं में अवसर मिलते ही भागने की प्रवृत्ति वाला; हरहँटा
लहंगर,लम्बा-चौड़ा
लहंगरी,बैलों को जुएँ से रोकने हेतु प्रयुक्त सन की बुनी हुई पट्टी; छोटा लहंगा
लहँड़ा,"झुण्ड, टोली"
लहकवरि,विवाह में प्रचलित कलेवा
लहचार,"विवश, लाचार"
लहचारी,देवी गीत 
लहजा,क्षण-
लहट्याबु,लालचवश खड़ा होना या रुकना
"लहडू, लाढू",छोटी बैलगाड़ी
लहतगा,सिलसिला
"लहना, लेहना",प्रजा जाति को वार्षिक मिलने वाला फसल का गट्ठा
"लहना, लेहना",जेंवरा
लहबड़,"पताका, झण्डा"
लहबड़,"तोते की किस्म, जो शुभ व उत्तम होती है"
page,9
लहरपटोर,रेशमी वस्त्र
लहरि,"लहर, पानी की तरंग; कृपा"
लहरिया,टेढ़ी-मेढ़ी रेखा
लहरी,"लहरदार, ऊँची-नीची, रंगीन और भड़कीली काँच की (चूड़ी)"
लहरे-बहरे,"कुछ न कुछ, आस-पास"
लहर्रा,ज्वार
लहसुआ,"नवांसुर, वनस्पति विशेष"
लहालोट,अतिशय प्रसन्न
लहासि,"लाश, शव"
लहिला,चना
लहुरा,"सामान्यत; पाँच में से चौथे का उपनाम, जैसे-मंझला, संझला"
लांक,"पकी फसल, मात्रा"
"लांग, लांगि",पहनी हुई धोती का एक भाग
लांगा,नंगा
लाई-लूसी,चुगली; चापलूसी
लाखा,गेहूँ आदि फसलों में लगने वाला रोग; धुनते समय रूई के बने ढेर विशेष
लाखु,बहुत ज्यादा
लाखु,लाख
लाग-डाँट,"शत्रुता, रंजिश"
लागन,लगने वाला
page,10
लागन हरहा,दूध देने वाला जानवर;
लागन कुत्ता,मार्ग रोकने वाला कुत्ता
लागा,"पाटा चलाते समय माची से बाँधने में प्रयुक्त वह रस्सी, जिसे पकड़कर खड़ा हुआ जाता है"
लागा,धरगही
लागु,"बैलगाड़ी में फरी के नीचे लगने वाला पुर्जा, गलती, दोष"
लागेम,साथ ही
लाटा,महुए तथा तिल का वह व्यंजन
लाटि,"वृक्ष की पेंड़ी, बैल के कंधे का मांसल भाग"
लाटी,चाँदी
लाद,"दीवार की चुनाई का एक रद्दा, किराये पर भार ढोने की क्रिया"
लादी,गधों पर लादन में प्रयुक्त कपड़ों का गट्ठर विशेष
लानति,"निन्दा, लज्जा; चुनौती"
