page,1
वंगु,गीदड़
वंदनु,मस्तक पर पहना जाने वाला गहना विशेष; प्रार्थना
वइरबु,(हस्त चक्की आदि में अनाज आदि) डालना
वइरा,"फसल काटने आदि कार्यों में खेत की चौंड़ाई की वह माप, जो एक बार में कटता जाता है"
वखरीयस,मोटा-ताजा
वगरबु,बूंद-बूंद करके टपकना गाय-भैंस आदि के थनों में दूध का आ जाना
वछाहुँ,"पेंड़ आदि की स्थायी छाया, छाया का प्रभाव"
वछातै,हल्के स्पर्श के साथ (चोट आदि का लगना)
वजे,"कारण, वजह"
वझासु,ओझन या फँस जाने का स्थान
वठंगउबु,किंवाड़ बन्द करना
वठई,वहाँ
वढ़नी,ओढ़नी
वतरा,उतना
वतहँत,"कुछ दूर, उधर"
वतीरा,"तरीका, स्वभाव"
वदरबु,"(मिट्टी, दीवार आदि का) फटकर गिरना"
वनउबु,"जोतना, सुनना"
वनसिल,कुछ खराब
वनाबु,"सुनना, ध्यान देना"
page,2
वरकबु,"झुकना, गाय आदि के ब्याने की अवस्था में शरीर में भरीपन आना"
वरक़्साजी,चांदी सोने के वरक़ बनाने का काम
वरखबु,प्रतीक्षा करना
वरहनु,उलाहना
वरा,"सस्ता, समुचित दाम का"
वसलहति,"कमी, औसत"
वसहनु,"अनाज, जो खलियानों में वसाये जाते हैं"
वसाइबु,अनाज आदि को साफ करने हेतु हवा में थोड़ा-थोड़ गिराना
वसाही,"संख्या सूचक शब्द, बार"
वहकारबु,"हाँकना, बैलों को हाँकने में ՙव तता՚ ये तीन अक्षर के दो शब्द प्रयुक्त होते हैं"
वहारी,"चक्कर, दफा, बार"
वहिका,उसका
वांगबु,गाड़ी के धुरे में तेल लगाना
वांगबु,औंगबु
वाँछ,लम्बाई में कुछ कम; उटंग
वाँठ,ओंठ
वांधबु,"छा जाना, घिर आना, तान देना"
वा,वह (स्त्री के लिए)
वाकिफ,परिचित
वाकिया,घटना
page,3
वाजिब,उचित
वाढ़र,पालकी के परदा का रंगीन कपड़ा; आरोप
वाढ़र,ओढ़र
वाद,गीला
वाद,विचारधारा
वायल,विशेष रूप (कपड़े का)
वार,ओर
वार,आक्रमण
वारा-न्यारा,निस्तारण; खर्च
वालपिन,"हथकरघे का वह अंग, जिस पर तागा चढ़ाकर सुलझाया जाता है; कील विशेष"
वालावरसी,"मददगार, वारिस"
वासर,गर्भ धारण करने योग्य भैंस
वासिल,उचित रूप से प्रयुक्त प्राज या मिला
वासिल बाकी नवीस,"तहसाल का एक कर्मचारी, जो आई हुई और बाकी लगान का हिसाब रखता है"
वास्ता,"सम्बन्ध, लगाव, मतलब"
वाहियात,"व्यर्थ, मूर्खतापूर्ण"
वाही,"मूर्ख, व्यर्थ, फालतू "
विरिख,वृक्ष
वींदरी,एक प्रकार का कपड़ा
वैत,"सुविधा, आराम, फायदा"
page,4
page,5
