page,1
सीताफल,कद्दू
संकेती,"तंगी, कमजोरी, अभाव"
संखा,श्वेत रंग का घोड़ा
संखानि,संतति
संगर,"समर, युद्ध-मैदान"
संगसा,बड़ी संगसी
संगीन,"एक लम्बी और पतली बरछी, जो बंदूक के सिरे पर लगायी जाती है"
संगीन,"उत्तम, भयंकर"
संघरी,साथी
संघरी,"साथ, संगति"
संघाती,"मित्र, दोस्त"
संघाती,संघी
संच,"ठीक-ठीक, कारबार"
सँचरबु,प्रचलित होना
संजमी,संयमी
संजाफ,रंगीन किनारा
संझलउका,संध्या के निकट
संझवाती,"सायंकाल का गीत, शाम"
संझा,सायंकाल  
संझिलीपहर,दोपहर बाद का प्रहर
page,2
संटा,डण्डा
संटेला,लढ़िया
संड-मंड,सूजा हुआ; मीठा
संडासु,लम्बा-चौड़ा छेद; पाखाना
संती,"स्थान पर, बदले"
संतोला,संतरा
संदानु,गधों को सांदने की रस्सी
संदना,गांय को दुहते समय उसके पैरों को सांदने में प्रयुक्त रस्सी
सँदबु,"कीचड़ में भरना, फँसना"
संबाबु,समाजाना
संभर,"तैयारी, चढ़ाई "
सँवाचबु,"पूछना, जाँच-पड़ताल करना"
सइँतबु,"पाखानाउठाना, एकत्रकरना, परवरिश करना"
सइँयाँ,"पति, स्वामी, ईश्वर"
सइका,"मिट्टी का बर्तन, जिससे कोल्हाड़ में रस उड़ेलते हैं"
सइगर,"प्रचुर, अधिक"
सइरहँटु,व्यर्थ का कार्य
सइरा,हल्का काला
सइल,लाख की चूड़ी बनाने में प्रयुक्त लकड़ी का साँचा
सइल,अधिक
page,3
सइला,माची में प्रयुक्त बैलों की गर्दन रोकने में सहायक डण्डा
सइलानी,मौजी
सइहा,भेद
सइहा,भेदिहा
सई,"उत्तेजना, सहायता, एक नदी"
सउँघ,सामना
सउँघर,"ठीक, दुरुस्त (दिमाग से)"
सउरि,सूतिकागृह
सकट,रथ या रब्बा
सकठी,"जो ՙभगत՚ न हो, अदीक्षित"
सकरी सैतनवा,"बच्चों का खेल विशेष, जो जमीन में रेखाओं से कई खाने का रेखांकन करके खेला जाता है"
सकलाल,अंग-प्रत्यंग; -ढील होबु- गम्भीर रूप से अस्वस्थ होना
सकहा,श्वाँस का मरीज
सकारें,शाम
सकीमी,"कमी, तंगी"
सकूनति,सन्तुष्टि
सकोरा,छोटा मिट्टी का बर्तन
सक्वालबु,पानी आदि पीना
सखर,"अपव्ययी, खर्चीला"
सखर-दखड़,बीमार
page,4
सखरबु,हामी भरना
सखरमा,जुकाम
सगत्तर,सर्वत्र
सगरा,बड़ा तालाब
सगरा,सम्पूर्ण
सगियान,"सचेत, बड़ा"
सगुनइती,शकुन विचारने वाली
सगुनु,बैलगाड़ी में प्रयुक्त सबसे आगे बाहर की ओर निकली हुई लकड़ी; शकुन 
सग्गड़,विसेष प्रकार की बौलगाड़ी
सङहा,गुड़ बनाने के लिए प्रयुक्त भट्टी में झोंकने योंग्य ईंधन
सजिल सजील,"हुष्ट-पुष्ट, उत्तम, सुव्यवस्थित"
सज्जी,"सारा, पूरा"
सटक,फरसी की पतली नली
सटल करघा,"मशीनी करघा, जिससे कपड़ा बुना जाता है"
सटल्लहा,"रद्दी, पुराना"
सटहा,निकृष्ट जाति का
सट्टा,"इकरारनामा, पूरी नकद राशि न देकर उसके बदले दी गई कोई वस्तु"
सट्टी,बाजार
सड़इधि,सड़ने की दुर्गंध
"सड़इँधी, सरइंधी",सड़ी हुई
page,5
सत्तारी,कार्य स निवृत्त
सत्ती,"सती, पवित्रता"
सत्ती होबु,"पति-शव के साथ जलना, (मुहा.) किसी कार्य में तन-मन-धन लगा देना"
सतलड़ी,सात लड़ों का गहना विशेष
सतवाँसा,सात महीने का (बच्चा)
सत्तु,सतीत्व
सत्या,"प्रसिद्धि, नाम, दशा"
सथरिया,बिछौना
सदमा,"भय, आघात, रंज"
सदर,मुख्य स्थान
सदाफर,सदैव फलने वाला
सद्दर,सात दाँतों वाला (बैल आदि)
सधउरी,साद्य या सीमन्त सामग्री
सधर,बड़ा और बढ़िया (फल)
सनई,बारीक सन वाला पतला पेड़
सनकी,"शक या सनक करने वाला, सन्देहशील"
सनखर,सन का टुकड़ा
सनद,"सबूत, प्रमाणपत्र"
सनफर,सस्ता
सनसलति,सम्पत्ति; सब कुछ
page,6
सनीनौ,रक्षाबन्धन
सनु,रस्सी बनाने में प्रयुक्त छाल विशेष; वर्ष
सनेहु,"प्रेम, स्नेह"
सन्तकला,ऐंठे काँच में लकीरों के चिह्न से युक्त (रंगीन चूड़ी)
सन्न-गन्न,"स्तब्ध, जड़वत्"
सन्नहटा,सन्नाटा
सन्नाम,"प्रसिद्ध, चर्चित"
सन्नूकि,सन्दूक
सपठा,छोटा सन्दूक (जेवर आदि रखने का)
सपनहा,"वह दोष, जिसमें जानवर अपनी जीभ निकाला करते हैं"
सपरबु,"हो सकना, सधना"
सपरहिटा,अंशहीन दूध
सपहरि,"सब के सब, बिना किसी को छोड़े"
सपेद,सफेद
सफरा,बैलगाड़ी में बिछाने और ढकने में प्रयुक्त सुतली का कपड़ा
सफीना,उपस्थित होने का आज्ञा पत्र
सफील,साफ
"सबज, सबुज",हरा
सबजा,नाक का एक आभूषण 
सबद,"टोकरी, डलिया"
page,7
सबधरि,सम्पूर्ण
सबरखऊ,"बेसब्र, जिसको इन्तजार की सब्र ना हो, अधिक या सब कुछ खाने वाला"
सबरी,"नकब काटने में प्रयुक्त लोहे का हथियार, त्रेतायुग में भीलनी विशेष का नाम"
सबूदान,घड़ा रखने की तिपाई आदि
"सबूरी, सबुर","सब्र, धैर्य; संतोष"
सब्जी फरोश,"साग-तरकारी बेचने वाला, कुंजड़ा"
सब्बलु,"लोहे का लम्बा औजार, जिससे कंकड़ आदि खोदे जाते हैं"
सभदि,"शब्द, गूढ़ ज्ञान"
समगम,शांत 
समथर,"बराबर, समतल"
समथ्याबु,थोड़ा आराम करना; दम लेना
समदा,हल्के लाल रंग के शरीर वाला
समध्यानु,समधी का घर
समसी,सँड़सी
समहे,समक्ष
समुल्ला,"सम्पूर्ण, समूल"
समुहाबु,"इच्छा करना, किसी कार्य हेतु लग जाना"
समौं,समय
सम्बल,बैलगाड़ी आदि केजुएँ में लगने वाले छोटे-छोटे डण्डे विशेष
सम्याता,"सहनशक्ति, व्यवस्था, सामर्थ्य"
page,8
सयगर,अधिक
सयमड़,"मस्त, मनमौजी"
सयम्मर,बहुत-सा
सयरा,आल्ह खण्ड या उसका पाठ
सयराठ,"झंझट, तैयारी"
सयलानी,मनमौजी
सयान,अधिक वय का; चतुर
सयाना,सयान
सयार,जल्दी होने वाला काम
सरउती,"एक प्रकार का गन्ना, जो नरम एवं पतला होता है"
सरकठु,"प्रबन्ध, समझौता"
सरकवाँसी,पशु बाँधने में प्रयुक्त रस्सी का फंदा
सरकस,"उद्दण्ड, बेढब"
सरकस,नट आदि का तमाशा
सरकसी,"उद्दण्डता, बदमाशी"
सरकिहार,गाँव के समीप के खेत
सरकिहार,गोइँड़हर
सरखत,लिखित ठेका या किरायानामा
सरगही,"सूर्योदय के पूर्व का वह भोजन, जो रोजे के दिनों में मुसलमान लोग करते हैं"
सरगु,"विष्णु धाम, बैकुंठ,  स्वर्ग"
page,9
सरजि,प्रसिद्ध कपड़ा
सरट,गिरगिट
सरतराश,नाई
सरथबु,समझाना
सरपट्टबु,तीव्र गति से खा-पी जाना
सरपुत,साले का बेटा
सरपुत,सरउत
सरपेच,पगड़ी में बाँधने का एक आभूषण
सरपोटबु,"बटोरकरखा लेना, झटपट खा लेना"
सरफ या सरफा,खर्च
सरफुराई,सनई की सूखी लकड़ी
सरबती,एक बारीक कपड़ा
सरबराही,कार्य करने में मदद
सरबावलि,"सर्वनाश, समाप्ति"
सरया,एक प्रकार का अच्छा धान
सरसई,किसी फल का प्रारम्भिक गोल रूप (विशेषतः आम के)
सरसब्जी,उपजाऊपन
सरस्याँटबु,डरकर सिमट जाना
सरहंग,लम्बा-चौड़ा (व्यक्ति); प्रभावशाली
सरहद,"सीमा, हद"
page,10
सरहर,पतला एवं लम्बा; (पहे.) “सावन टेढ़ि चइत सरहरि कहै सबलसिंह बूझौ नरहरि”
सरा,समाधि
सराकति,साझा
सराजामु,"व्यवस्था, तैयारी"
सराथन,अनाज साफ करने के लिए प्रयुक्त की गयी झाडू
सराथन,सरहँटी
सराबोर ,लथपथ
सरि,"गड्ढा, तुलना"
सरिया,"सुनारों में प्रचलित ՙपारिश्रमिक՚ का गुप्त शब्द, लौह छड़; पशुशाला"
सरियारिक,आयु में बड़े
सरीक,"सम्मिलित, हिस्सेदार"
सरीहन,"स्पष्टतः, खुल्लमखुल्ला"
सरीहन,सरिहन
सरेख,चतुर
सर्तिया,"दृढ़तापूर्वक; पक्का, अचूक"
सर्याखा,असरेखा नक्षत्र
सर्रउवाँ,चिकना व ऊँचा (पेड़)
सर्रउवाँ,सर्राटे के साथ
सलकठ,प्रबन्ध 
सलतन्त,"शांत, कुशलतापूर्वक"
page,11
सलना,दीवाल में लेसु (प्लास्टर) हेतु प्रयुक्त मिट्टी में छोड़ा जाने वाला भूसा आदि
सलफ,आसान सस्ता
सलमा,"सोने-चाँदी आदि का वह तार, जो कपड़ों पर बेलबूटे के काम आता है"
सलाक,सोने-चाँदी की सलाख या छड़
सलाका,पेंसिल
सलिल,आसान  
सलीपट,लकड़ी या लोहे का मोटा लम्बा टुकडा
सलीपट,सिलापट
सलूका,"आधी बाँह की बनियान, जिसमें सामने बटन लगते हैं"
सलोन,"नमकीन, सुन्दर"
सलोनीकरबु,सोने से चाँदी निकालना 
सवँरि,प्रसवगृह
सवँलिया,"प्रेमी, पति"
सवाई,बेलगाड़ी का पुर्जा विशेष; सवा गुना
सवाङ,वयः प्राप्त पुरुष; सुन्दर व्यक्ति
सवाङिनि,बारात में आये हुए मेहमान
सवाल-खानी,"कचहरी में प्रार्थना पत्र लेने का समय, दस्तूर आदि"
ससरी,साँस
सहर,प्रोत्साहन
सहउल,दीवाल की ऊँचाई में सीधापन देखने का यंत्र
page,12
सहजोर,अपेक्षाकृत बली
सहडिट्ट,"प्रत्यक्ष, स्पष्ट"
सहतीर,"लम्बा, लट्ठा"
सहना,"फसल सम्बन्धी मुकदमों अदालत द्वारा नियुक्त पंच, जो खड़ी फसल का उत्तरदायी होता है"
सहनी,"छोटी नांद, जिसमें गन्ने का रस गरम होता है"
सहन्ची,"एकान्त व बन्द कोठरी, जिसमें हर प्रकार का सामान डाल दिया जाता है"
