page,1
हिमउटु,भूमि में बना हुआ साँप आदि जन्तुओं का घर या उसके ऊपर का भाग
हँकड़बु,झगड़ना
हँकनी,"बैलों को हाँकने का एक तरह का डण्डा, जिसमें एक कील लगी रहती है"
हँकरबु,हाँक देकर बुलाना
हँकारी,"निमन्त्रण, न्यौता"
हँड़कोली,छोटी हाँड़ी
हँड़िया,हण्डी
"हँडुहउबु, हँढ़वाइब","स्त्री का पर पुरुष-प्रसंग कराना, बेइज्जती कंराना"
हँथवड़,"वह टेढ़ी लकड़ी, जिसे पकड़कर जाँत घुमाया जाता है"
हँथोड़ा,हाँथ का गहना विशेष
हँफनी,श्वाँस की बीमारी
हँसउवा,"हँसी, बदनामी"
हँसमुसकी,हँस-हँसकर बात टालने की आदत
हँसा,कँटीला झाड़
हँसारति,हँसी 
हँसि,समान
हँसुआ,हँसिया
हँसुली,गर्दन का आभूषण विशेष
हँसोड़,जिसे हँसी करने का शौक हो
हइँचनी,हत्थी
page,2
हइँचलाबादु,"हंगामा, शोरगुल"
हरबी-दइबी,"आकस्मिक घटना, आपत्ति"
हइमस,द्वेष
हइलरि,"पारिवारिक सदस्यों का झुण्ड, शोरगुल"
हइला,बकरी
हइलाबु,"बकरी भागाना, हाँकना, तालाब में कुलेल करते नहाना"
हई,"हानि, दूसरे के खेत या पेड़ से नाज, फल आदि की चोरी"
हउँकबु,हवा करना
हउँकबु,धउँकबु
हउँकनि,"हवा करने की मशीन, जो लुहारों के यहाँ प्रयुक्त होती है; धउँकनी"
हउका,"शंका, आशंका, लालच"
हउचियाबु,"घबरा जाना, दंग रह जाना"
हउदा,बड़ी नाँद
हउदु,"लम्बा-चौड़ा घाव, गड्ढा"
हउफा,जनश्रुति
हउला,"दहशत, भय; -पैठबु-बैठबु (मु.) मन में दहशत घर कर जाना"
हउलू,जो अपना काम बेढंगे हिसाब से करे
हउवा,"एक कल्पित वस्तु या नाम, जिसका नाम बच्चों आदि को डराने के लिए लिया जाता है"
हउसा,फल आदि का गुच्छा
हउहारा,जोर की हवा
page,3
हकतलफ,अधिकार का ह्रास
हकतकाबु,घबरा जाना 
हकसफा,"मुकद्दमा, जिसमें प्रथमाधिकार का निश्चय हो; हकशफा"
हक्का-बक्का,"चकित, घबराया हुआ"
हगना,बहुत टट्टी करने वाला
हगसउँचा,"अशुद्ध, टट्टी करके पानी न लेने वाला"
हगास,मल त्याग की इच्छा
हच्चा,पहिए को गड्ढे में लगा धक्का या झटका
हजरत,चालाक व्यक्ति
हजारदाना,"एक पौधा, हजार मनकों की माला"
हजारा,"छिड़काव के काम आने वाली एक बाल्टी, जिसमें बहुत से छेदों वाला नल लगा रहता है"
हजारा,"हजार का, गेंदा की उपजाति, जाल विशेष"
हजूरे,"सामने, सम्मुख"
हटकबु,"मना करना, रोकना"
हड़उबु,खेतों में चिड़िया उड़ाना या भगाना
हड़कबु,"डाँटना, धमकाना"
हड़गर,जिसकी हड्डियाँ मोटी हों
