page,1
ಅಃ,"[ಕತ್ತರಿಸಿ ಕೊಡುವಾಗ, ನೋವಿನಿಂದ] ಅಯ್ಯೋ ಎಂಬ ಉದ್ಗಾರ (ಎಂದುಂ ಪೋಗೆಂದನೆ ಮಾಣೆಂದನೆ ಪೆಱತೊದನೀವೆನೆಂದನೆ ನೊಂದು ಅಃ ಎಂದನೆ ಸೆರಗಿಲ್ಲದೆ ಪಿಡಿಯೆಂದನಿದೇಂ ಕಲಿಯೊ ಚಾಗಿಯೋ ರವಿತನಯಂ: ಪಂಪಭಾ, ೧. ೧೦೨)"
ಅಂಕಕಾರ್ತಿ,"ಅಂಕಕಾತಿ, ವೀರನಾರಿ (ಕಲಿಯೆನೆ ನೆಗೞ್ದಳ್ ಕಸವರಗಲಿಯೆನೆ ಗುಣದಂಕಕಾರ್ತಿ ಮೊನೆಯೊಳ್ ಮನೆಯೊಳ್: ಅಜಿತಪು, ೧. ೬೫)"
ಅಂಕಕಾಱ,"ಅಂಕವೆಂಬ ದ್ವಂದ್ವಯುದ್ಧ ಮಾಡುವವನು, ವೃತ್ತಿವೀರ (ನುಡಿಯಲಱಯದ ಅಂಕಕಾಱಂ ಆಕಾಶಮಂ ನೋಡಿದನೆಂಬಂತೆ: ಧರ್ಮಾಮೃ, ೯. ೮೨ ವ)"
ಅಂಕಂಗೊಳ್,"ಅಂಕಂಗುಡು (ದಕ್ಷಿಣಚರಣದಿಂ ಅಂಕಂಗೊಂಡು ಭೋಂಕನೆಡೆದ ಕೊಸೆಯಂ ತೆಗೆದು: ನೇಮಿಪು, ೪. ೧೦೪ ವ)"
ಅಂಕಚಾರಣೆ,"ವ್ಯಕ್ತಿ ಅಥವಾ ಪದಾರ್ಥದ ವಿಶೇಷ ಲಕ್ಷಣಗಳನ್ನು ಹೇಳುವುದು (ಅಂಕಚಾರಣೆಗಳೊಳಂ ಸಂತಂ ಪೇೞ್ಗೆ ಉೞದಾವೆಡೆಯಂತರದೊಳಂ ಆಗದು ಎಂದಂ ಅತಿಶಯಧವಳಂ: ಕವಿರಾಮಾ, ೨. ೨೯)"
ಅಕಟ,"ಅಯ್ಯೋ ಎಂಬ ಅರ್ಥದ ಉದ್ಗಾರ (ಆಯೆಡೆಗೆ ಬಂದನಕಟೆಂದು ತಡವರಿಸಿ: ಧರ್ಮಾಮೃ, ೨. ೩೪ ವ)"
ಅಃಕಡ,"ಗರಡಿಮನೆ (ಎತ್ತಿ ಬಿಸುಡುವ ಬಿಸುಡಲ್ ಮರಳ್ದೆದ್ದು ಕೆಡಪಿ ಬಿಡದಬ್ಬರಿಸುವ ಕಲಿಮಲ್ಲರಿಂದಂ ಅಃಕಡಮೆಸೆಗುಂ: ತ್ರಿಷಷ್ಟಿಪು, ೧೭. ೧೪)"
ಅಂಕಣಿ,"ರಿಕಾಪು (ಜಾತ್ಯಶ್ವಂಗಳಂ ವಳಯಮಂ ಸೋಂಕದಂಕಣಿಯ ಹಂಗಿಲ್ಲದೆ ಭೋಂಕನೇಱೆ: ಗಿರಿಜಾಕ, ೬. ೫೫ ವ)"
ಅಂಕತಳ,"ತೊಡೆಯ ಮೇಲ್ಭಾಗ (ತದಂಗನಾ ಅಂಕತಳದೊಳ್ ಬಾಲಾರ್ಕನಂ ಪೋಲ್ತು ಭಾಸುರತೇಜೋಧಿಕನಪ್ಪ ಬಾಳನಂ: ಆದಿಪು, ೭. ೪೪)"
ಅಂಕದ ವಸ್ತು,"ಅಮೂಲ್ಯವಾದ ವಸ್ತು (ಮಿತ್ರಂ ಧನಂ ಧಾತ್ರಿ ಕಿಂಕರರ್ ಎಂಬ ಅಂಕದ ವಸ್ತುವಂ ಪಡೆಗೆ: ಪಂಚತಂತ್ರ, ೪೪೧)"
ಅಂಕದಂಬು,"ಹೆಸರುವಾಸಿಯಾದ ಬಾಣ (ಅಂಕದಂಬೆತ್ತಲುಂ ತುಱುಗಿ ನಡುವಿನಂ ಸಾರ್ದು ಸಾರ್ದೆಚ್ಚೆಚ್ಚು ಕಾದಿದರ್: ಪಂಪಭಾ, ೧೩. ೩೯)"
ಅಂಕದೌಷಧ,"ವೀರ್ಯಪುಷ್ಟಿಯ ಔಷಧ, ಪರಿಣಾಮಕಾರಿ ಔಷಧ (ಬಲಮರ್ದೆನೆ ಅಂಕದೌಷಧಂ: ರನ್ನ ನಿಘಂಟು, ೪)"
ಅಕಂಪಿತಶರೀರ,"ನಡುಗದ, ದೃಢವಾದ ಮೈಯುಳ್ಳ (ಪರಮಯೋಗಿಯಿರ್ಪಂದದಿಂದಕಂಪಿತಶರೀರನಿರ್ದುದು ಜಲಾಶಯೋಪಾಂತದೊಳ್ ಬಕಂ: ಪಂಪರಾ, ೭. ೯೧)"
ಅಂಕಮಾಲಾ,"[ರಾಜರ] ಸ್ತುತಿಮಾಲೆ (ಮಹಾವಂದಿವೃಂದ ಅಂಕಮಾಲಾನಾದಂ ಗಂಭೀರನಾದಂ ನೆಗೞರೆ ತಳರ್ದಂ ರಾಗದಿಂ ಸಾರ್ವಭೌಮಂ: ಆದಿಪು, ೧೧. ೧೪)"
ಅಂಕಮಾಲೆ,"ಬಿರುದಾವಳಿ (ಸ್ಮರನ ಬಿರುದಿನಂಕಮಾಲೆಯನೋದದರಗಿಳಿಗಳಿಲ್ಲ: ಪಂಪರಾ, ೧. ೧೦೭ ವ)"
ಅಕರ್ಣಹೃದಯ,"ಕಿವಿ ಮತ್ತು ಹೃದಯಗಳಿಲ್ಲದ; ಹಾವಿನ ಹೃದಯವುಳ್ಳ (ಕವಿತಾವಿಷಯಂ ಕಠಿಣಹೃದಯನಪ್ಪ ಜಡಾತ್ಮಂಗೀವುದೋ: ಮಲ್ಲಿನಾಪು, ೧. ೩೬)"
ಅಕರ್ತೃಕ,"ಕರ್ತೃವಿಲ್ಲದ, ಸೃಷ್ಟಿಸಿದವನಿಲ್ಲದ (ಲೋಕಪ್ರಕಾರಮೆಂತೆಂದದೊಡೆ ಅದಕರ್ತೃಕಂ ಅದಹಂಕೃತಂ ಅದೂರ್ಧ್ವಂ ಅಧ್ಯಾಧೋಭೇದದಿನಿರ್ಪುದು: ಅನಂತಪು, ೧. ೬೬ ವ)"
ಅಂಕವಣಿ,"ರಿಕಾಪು (ಉಂಗುಟಮಂ ಅಂಕವಣಿಗೆ ಕರಾಂಗುಳಿಯಂ ಸ್ಕಂಧಸಂಧಿಗುಯ್ದು ಏಱದಂ ಉತ್ತುಂಗ ತುರಂಗಮಂ: ಪಂಪರಾ, ೪. ೧೨೦)"
ಅಂಕವಣೆ,"ಕುದುರೆಯ ರಿಕಾಪು (ಅನ್ನೆಗಂ ನಕುಳನುಮಂಕವಣೆಯುಂ ಬಾಳುಂ ಬಾರುಂ ಚಮ್ಮಟಿಗೆಯನುಮಂ: ಪಂಪಭಾ, ೮. ೫೪ ವ)"
ಅಕಳಂಕರಾಮ,"ಅರಿಕೇಸರಿಯ ಬಿರುದು, ಅರ್ಜುನ (ಚತುರಂಗಮೆಯ್ದೆ ಕೀಲಿಸೆ ಪಡೆ ಚಿತ್ರದೊಂದು ಪಡೆಯಂತೆವೊಲಾಯ್ತು ಅಕಳಂಕರಾಮನಿಂ: ಪಂಪಭಾ, ೧೧. ೧೩೫)"
page,2
ಅಕಾಂಡ,"ಅಕಾಲ (ಸುತ್ತಿದ ಪೆಂಡವಾಸದೆಳವೆಂಡಿರ ಲೋಲಕಟಾಕ್ಷಮಾಲೆ ದಿಗ್ಭಿತ್ತಿಗೆ ಅಕಾಂಡ ಕಾಂಡಪಟಮಂ ಕುಡೆ: ಮಲ್ಲಿನಾಪು, ೫. ೭೧)"
ಅಕಾಂಡಜಳದ,"ಅನಿರೀಕ್ಷಿತ ಮೋಡ (ಕೆಲದ ಪುಂಡರೀಕದೊಳ್ ಮಂಡಳಿಸಿದ ಮರಾಳಮಂಡಳಿಗಕಾಂಡಜಳದ ಮಂಡಳ ಶಂಕೆಯಂ ಭೋಂಕನಾಗಿಸಿ: ರಾಜಶೇವಿ, ೨. ೭೬ ವ)"
ಅಕಾಂಡತಾಂಡವ,"ಪಾಂಡಿತ್ಯದ ಅನವಶ್ಯಕ ಪ್ರದರ್ಶನ (ಅಕಾಂಡತಾಂಡವಾರಂಭಶೌಂಡ ಶಿಖಂಡಿಮಂಡಳಮುಮಂ: ಆದಿಪು, ೪. ೫೪ ವ)"
ಅಕಾಂಡಪ್ರಳಯ,"ಅಕಾಲದಲ್ಲುಂಟಾದ ಪ್ರಳಯ (ಸಮುದ್ಯತ್ ರಜತಗಿರಿ ತಟ ಸ್ಪಷ್ಟ ಸಂಶ್ಲಿಷ್ಟ ಮೌರ್ವೀನಿನದಂ ಪರ್ವಿತ್ತು ಅಕಾಂಡಪ್ರಳಯ ಘನಘಟಾಟೋಪ ಗಂಭೀರನಾದಂ: ಪಂಪಭಾ, ೧೨. ೧೩೭)"
ಅಕಾಮಿಕ,"ಇಚ್ಛೆಯಿಲ್ಲದ ವ್ಯಕ್ತಿ (ಸಕಳಪರಿಗ್ರಹಮಂ ಬಿಟ್ಟಕಾಮಿಕಂ ಯೋಗಯುಕ್ತನೆನಿಪಂ: ಸಮಯಪ, ೮. ೧೭೯)"
ಅಕಾರಣಂ,"ಕಾರಣವಿಲ್ಲದೆ (ನಿಮಗಿಂತು ಸಾವುಂ ಏತೆಱದಿನಕಾರಣಂ ನೆಱೆಯೆ ಸಂಭವಿಸಿರ್ದುದೋ ಕುಂಭಸಂಭವಾ: ಗದಾಯು, ೪. ೪೯)"
ಅಕಾರಾದಿ ಹಕಾರಾಂತ,"ಸಂಸ್ಕೃತ ವರ್ಣಮಾಲೆಯ ಮೊದಲಕ್ಷರವಾದ ಅ ಇಂದ ಕೊನೆಯದಾದ ಹವರೆಗೆ [ಕನ್ನಡದಲ್ಲಾದರೆ ಇದು ಅಕಾರಾದಿಳಕಾರಾಂತ] (ಅಂತಕಾರಾದಿ ಹಕಾರಾಂತಸ್ವರವ್ಯಂಜನಭೇದಭಿನ್ನ ಶುದ್ಧಾಕ್ಷರಂಗಳುಮಂ ಆಯೋಗವಾಹಕಚತುಷ್ಕಮುಮಂ ಸಂಯೋಗಾಕ್ಷರಂಗಳುಮಂ ಬ್ರಹ್ಮಿಗೆ ದಕ್ಷಿಣಹಸ್ತದೊಳ್ ಉಪದೇಶಂಗೆಯ್ದು: ಆದಿಪು, ೮. ೫೯ ವ)"
ಅಕಾಲ,"ನಿಗದಿತ ಕಾಲದಲ್ಲಿ ಅಲ್ಲದ್ದು (ಆಕಸ್ಮಿಕ ನೃಪ ಕರುಣೋದಯಕ್ಕಂ ಅಕಾಲತರುಫಲಕ್ಕಂ ವಿಬುಧಾನೀಕಂ ಬೆರ್ಚುಗುಂ ಅಬುಧನದೇಕಿರ್ಕ್ಕಿಮೊ ಗೂಗೆವೊಂಗುವೊಂಗದೆ ರಜದಿಂ: ಶಾಂತಿಪು, ೨. ೩೫)"
ಅಕಾಲಕಾಲ,"ಅಕಾಲಪ್ರಳಯ (ಪ್ರಕುಪಿತಮೃಗಪತಿಶಿಶುಸನ್ನಿಕಾಶರ್ ಅತಿ ವಿಕಟಭ್ರೂಭಂಗರ್ ನಕುಲಸಹದೇವರ್ ಇರ್ವರುಂ ಅಕಾಲಕಾಲಾಗ್ನಿರೂಪಮಂ ಕೆಯ್ಕೊಂಡರ್: ಪಂಪಭಾ, ೭. ೮)"
ಅಕಾಲಚಕ್ರ,"ಅಪಮೃತ್ಯು (ಆವಂಗಕಾಲಚಕ್ರಮನೋವದೆ ಮಾಡಲ್ಕೆ ಚಕ್ರಮಿದು ಬಗೆದುದೊ: ಆದಿಪು, ೧೪. ೫)"
