page,1
ಆ,"ನಿರ್ದೇಶಕ ಅವ್ಯಯ (ಕಾವೇರಿಯಿಂದಂ ಆ ಗೋದಾವರಿವರಮಿರ್ಪ ನಾಡದಾ ಕನ್ನಡದೊಳ್: ಕವಿರಾಮಾ, ೧. ೩೬)"
ಆ ವಂದ,"ಅಗೋ ಬಂದ, ಆಗ ಬಂದ (ಅತಿವಿಶದವಿಶಾಲ ಊರುಕ್ಷತದಿಂದೊಱೆದನಿತು ಜಡೆಯುಮಂ ನಾಂದಿ ಮನಃಕ್ಷತದೊಡನೆ ಎೞ್ಚರಿಸಿದುದು ಉತ್ಥಿತಮಾ ವಂದಸ್ರಮಿಶ್ರಗಂಧಂ ಮುನಿಯಂ: ಪಂಪಭಾ, ೧. ೧೦೫)"
ಆಕಂಠಪ್ರಮಾಣ,"ಕಂಠದವರೆಗೂ (ದಿವ್ಯಾಹಾರಮಂ ಆಕಂಠಪ್ರಮಾಣಂ ಬರೆಗಂ ತಣಿಯುಂಡು: ವಡ್ಡಾರಾ, ಪು. ೭೮. ಸಾ. ೨೨)"
ಆಕಂಠೋಷ್ಠಂಬರಂ,"ಗಂಟಲು ಮತ್ತು ತುಟಿಯವರೆಗೆ (ಇಂಬಾಗಿರೆ ಮುದದಿಂ ಪಲವುಂ ಬಣ್ಣದ ಭಕ್ಷ್ಯರಾಶಿವೆರಸು ಆಕಂಠೋಷ್ಠಂಬರಮುಂಡೊಯ್ಯನೆ ಪಾರ್ವಂ ಬಂದಾ ಕೊಡನ ಕೆಳಗೆ ಪಟ್ಟಿರ್ದಾಗಳ್: ಪಂಚತಂತ್ರ, ೨೫೪)"
ಆಕಂಪಂಗೊಳ್,"ನಡುಗು, ಅಲ್ಲಾಡು (ತ್ರಿಭುವನಂಗಳ್ ಆಕಂಪಂಗೊಳೆ ಮುರಜಕೇತನವಿರಾಜಿತಮಪ್ಪ ತನ್ನ ರಥಮಂ ಅದಿರದೆ ಇದಿರಂ ಪರಿಯಿಸಿ: ಪಂಪಭಾ, ೧೩. ೧೩. ೪೪ ವ)"
ಆಕಂಪನಗೊಳ್,"ನಡುಗು (ಕಾಮದೇವನ ಕೂರಲಗಿನ ಧ್ವನಿಯೆಂದು ಕೋಕಿಲಧ್ವನಿಗೆ ಆಕಂಪನಗೊಳುತ್ತುಂ; ಗಿರಿಜಾಕ, ೪. ೧೨೦ ವ)"
ಆಕಂಪಿಸು,"ನಡುಗು (ಮುಡಿ ಸೊಪ್ಪಾಗದು ನೀವಿ ಬಿರ್ಚದು ಅಧರಂ ಬೆಳ್ಪೇಱದು ಊರುದ್ವಯಂ ಪೊಡರ್ದು ಆಕಂಪಿಸದು ಅಕ್ಷಿ ಕೆಂಪಡಸದು: ಜಗನ್ನಾವಿ, ೧೬. ೧೨೬)"
ಆಕಪ್ಪು,"ಗುಳಿ, ಖೆಡ್ಡ (ತಂದು ಆನೆಯಂ ಕೆಡಪು ಆಕಪ್ಪಿನೊಳ್ ಎಚ್ಚು ತೋಱ ಬಲವದ್ಭಲ್ಲೂಕಮಂ: ಉದ್ಭಟಕಾ, ೨. ೫೦)"
ಆಕರಿಸು,"ವ್ಯಾಪಿಸು, ಆವರಿಸು (ಕರಮೆಸೆದಂ ವಿಸ್ತರಚಂದ್ರಿಕೆ ಆಕರಿಸಿದ ಹರನೀಳನಗೇಂದ್ದಂದದಿಂ: ಕರ್ಣನೇಮಿ, ೧೨. ೨೭೫)"
ಆಕರ್ಣಕೃಷ್ಟ,"ಕಿವಿಯವರೆಗೆ ಸೆಳೆಯಲ್ಪಟ್ಟ (ಆಕಣ್ಕೃಷ್ಟ ಉತ್ಸೃಷ್ಟ ನಿಜ ವಿಕೀರ್ಣಟಂಕಂಗಳಿಂದಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ)"
ಆಕರ್ಣನ,"ಆಲಿಸುವುದು, ಕೇಳು (ತತ್ ವಾರ್ತಾ ಆಕರ್ಣನದಿಂ ಸಂತೋಷಂಬಟ್ಟು: ಚಾವುಂಪು, ಪು. ೪೫೩. ಸಾ. ೧೯)"
ಆಕರ್ಣನೀಯ,"ಆಲಿಸಲು ಯೋಗ್ಯವಾದ (ದ್ವಿರೇಫೋದಿತನಾದ ಆಕರ್ಣನೀಯಂ ಪಂಚೇಂದ್ರಿಯಸುಖದೊದವಂ ನಂದನಂ ಮಾೞ್ಪುದೆಂದು: ಚಂದ್ರಪ್ರಪು, ೧. ೧೧೨)"
ಆಕರ್ಣಾಂತಂ,"ಕಿವಿಯವರೆಗೂ (ಒಂದೆ ಸೂೞೆ ತೆಗೆದು ಆಕರ್ಣಾಂತಮಂ ತಾಗೆ .. .. ಸಮಂತೆಚ್ಚು ಮೆಚ್ಚಿಸಿದಂ: ಪಂಪಭಾ, ೩. ೬೩)"
ಆಕರ್ಣಾಂತಂಬರಂ,"ಕಿವಿಯವರೆಗೂ (ಧನಂಜಯಂ ಆಕರ್ಣಾಂತಂಬರಂ ತೆಗೆದು ಆ ಕರ್ಣಾಂತಂ ಮಾಡಲ್ ಬಗೆದು: ಪಂಪಭಾ, ೧೨. ೨೧೨ ವ)"
ಆಕರ್ಣಾಂತವಿಶ್ರಾಂತ,"ಕಿವಿಯವರೆಗೂ ಹರಡಿದ (ಜಗತೀನಾಥಂ ಆ ಕುಮಾರಂ ಒಸೆದು ಆಕರ್ಣಾಂತವಿಶ್ರಾಂತ ದೃಷ್ಟಿಗಳಿಂ ನೋಡುತ ಎಯ್ದೆವರ್ಪುದುಂ: ಸುಕುಮಾಚ, ೧೧. ೨)"
ಆಕರ್ಣಿಸು,"ಆಲಿಸು (ರಾಜನೀತಿಯ ಕ್ರಮಂಗಳಂ ಅತಿಕ್ರಮಿಸಿ ನಡೆವುದು ಉಚಿತಮಲ್ಲೆಂದು ನುಡಿದ ದವನಕನ ಮಾತನಾಕರ್ಣಿಸಿ: ಪಂಚತಂತ್ರ, ೧೬೯ ವ)"
ಆಕರ್ಷಣ,"[ಬಾಣವನ್ನು ತೊಟ್ಟು] ಎಳೆಯುವಿಕೆ (ಶರಸಂಧಾನ ಆಕರ್ಷಣ ಹರಣಾದಿ ವಿಶೇಷವಿವಿಧಸಂಕಲ್ಪಕಳಾಪರಿಣತಿಯಂ ಮೆಱೆದುದು: ಪಂಪಭಾ, ೧೨. ೧೮೬)"
ಆಕಸ್ಮಿಕ,"ಅನಿರೀಕ್ಷಿತ (ನರಕ ನಗರ ಲಗ್ನಕೆ ಆಕಸ್ಮಿಕ ಅಗ್ನಿದ್ಫುಲಿಂಗಸ್ಫುರದವಿರಳ ಲಾಕ್ಷಾಗೇಹಪೂರಂ: ಆದಿಪು, ೫. ೮೯)"
ಆಕಸ್ಮಿಕಪಾಂಸು,"ಇದಕ್ಕಿದ್ದಂತೆ ಎದ್ದ ಧೂಳು (ಕಿಂಚ ಆಕಸ್ಮಿಕ ಪಾಂಸುಪಲ್ಲವ ಜಳಸ್ಯಂದೀ ಸದಾಸಿಂಧುರ್ ಅಪ್ರಾಗೇಯಂ ಪ್ರಿಯಗಳ್ಳಭೂಪತಿ ಚಮೂಪ್ರಸ್ಥಾನಮಾಚಕ್ಷತೇ: ಪಂಪಭಾ, ೯. ೯೭)"
ಆಕಳಿತ,"ಹಿಡಿದ (ಮುನಿಪತಿಯಾಗಿರ್ದೇಕೆಂದಱಯೆಂ ದಶಧರ್ಮ ಆಕಳಿತಕರಾಗ್ರನಾದನೆನಗಿದು ಚೋದ್ಯಂ: ಆದಿಪು, ೬. ೩೦); ಸೇರಿದ (ಝಣಝ್ಝಣಿತ ಮೇಖಲಾಕಲಿತಹಾರ ಕೇಯೂರ ಭೂಷಣಪ್ರಭೆ ದಿಗಂತಮಂ ಬೆಳಗೆ: ಕಾದಂಸಂ, ೮. ೪೬)"
page,2
ಆಕಳಿಸು,"ಹಿಡಿ (ನಳಿನಿಯ ನಳಿನಮನಿನಿಸಾದೊಡಂ ಆಕಳಿಪಂತಿರೆ ಕರದೆ ವಧುವ ಕರಮಂ ಕರದಿಂ ತಳಿದಂ ಕುಮಾರಂ: ಚಂದ್ರಪ್ರಪು, ೬. ೭೪)"
ಆಕಳ್,"ಹಸು (ಆಕಳ್ಗಳಿಲ್ಲದೆಯುಂ ಆ ಕಳ್ಗಳ ಸೊರ್ಕು ನಿಂದುದಱಂದೆ: ಲೀಲಾವತಿ, ೫. ೧೧೮)"
ಆಕಾಂಕ್ಷಣ,"ಆಕಾಂಕ್ಷೆ (ಈಕೆಯ ವದನಾಕಾರಮನೇಕಾಂತಂ ಪೋಲ್ವೆನೆಂಬುದರ್ಕಾಗಿ ಕನತ್ಕೋಕನದಕಿಂದುಂ ಉಂಟು ಆಕಾಂಕ್ಷಣಂ ಅದಱೊಳ್ ಎಂಬುದು ಉಪಮೋತ್ಪ್ರೇಕ್ಷಂ: ಕವಿರಾಮಾ, ೩. ೬೭)"
ಆಕಾರಂಗಿಡು,"ರೂಪಗೆಡು (ಲೋಕದೊಳಾಂ .. .. ಮೆಯ್ಯಾಕಾರಂಗೆಟ್ಟು ನಮೆವರಂ ಕಂಡಱಯೆಂ; ಧರ್ಮಾಮೃ, ೪. ೫೫)"
ಆಕಾರವಿಕೃತ,"ಆಕಾರ ಮರೆಸಿಕೊಂಡ (ಶುಕ ಶಿಖಂಡಿ ಹಂಸ ಸಾರಸ ಕ್ರೌಂಚ ಕರಿ ಕಳಭ ಮಲ್ಲಾದ್ಯನೇಕ ಅನೇಕಾಕಾರ ವಿಕೃತಾಮರಕುಮಾರ: ಆದಿಪು, ೮. ೩ ವ)"
ಆಕಾರಸಂವರಣೆ,"ಆಕಾರಗುಪ್ತಿ, ರೂಪವನ್ನು ಮರೆಮಾಚಿಕೊಳ್ಳುವುದು (ಅತಿ ವಿಸ್ತೀರ್ಣಶಾಖಾ ಸಂಕೀರ್ಣಮಪ್ಪುದೊಂದು ವಟವಿಟಪಿಯ ಕೆಳಗೆ ತರುಣಹರಿಣವೃಕ ವರಾಹಋಕ್ಷತರಕ್ಷು ಪ್ರಮುಖನಿಖಿಲ ಮೃಗಗಣಪರಿವೃತನುಮಾಗಿಯಾಕಾರಸಂವರಣೆಯಂ ಉಟುಮಾಡಿಕೊಂಡಿರ್ಪುದುಂ: ಪಂಚತಂತ್ರ, ೮೧ ವ)"
ಆಕಾಶಗಾಮಿ,"ಅಂತರಿಕ್ಷದಲ್ಲಿ ಸಂಚರಿಸುವವನು (ಆತಂ ಆಕಾಶಗಾಮಿ ನೀಮೆಂತು ಕೊಲ್ವಿರೆನೆ: ವಡ್ಡಾರಾ, ಪು. ೫೯. ಸಾ. ೨೩)"
ಆಕಾಶದ್ರವ್ಯ,"[ಜೈನ] ಷಡ್ದ್ರವ್ಯಗಳಲ್ಲಿ ಒಂದು (ಜೀವದ್ರವ್ಯ ಪುದ್ಗಲದ್ರವ್ಯ ಧರ್ಮದ್ರವ್ಯ ಅಧರ್ಮದ್ರವ್ಯ ಆಕಾಶದ್ರವ್ಯ ಕಾಲದ್ರವ್ಯಗಳೆಂಬ ಷಡ್ದ್ರವ್ಯಂಗಳ ಗುಣಪರ್ಯಾಯಮುಮಂ: ಸುಕುಮಾಚ, ೩. ೩೯ ವ)"
ಆಕಾಶಧ್ವನಿ,"ಆಗಸದಿಂದ ಬಂದ ಧ್ವನಿ, ಅಶರೀರವಾಣಿ (ಆ ಕಮಳಾಕರಮಂ ಪೊಕ್ಕು ಆಕಾಶಧ್ವನಿಯಂ ಉಱದೆ ಕುಡಿದು ಅರಿಭೂಪಾನೀಕಭಯಂಕರನುಂ ಗಡಂ ಏಕೆಂದಱಯೆಂ ಬೞಲ್ದು ಜೋಲ್ದಂ ಧರೆಯೊಳ್: ಪಂಪಭಾ, ೮. ೪೧)"
ಆಕಾಶವಚನ,"ಆಕಾಶದಿಂದ ಬಂದ ಮಾತು (ಆಕಾಶವಚನಮಿದು ಸುತಶೋಕಮಂ ಎನಗೆ ಅಱಪಿದಪ್ಪುದು ಅಸ್ಮತ್ತನಯಂಗೆ .. .. ಆದುದಾಗಲೆವೇೞ್ಕುಂ: ಪಂಪಭಾ, ೧೧. ೧೧೩)"
