page,1
ಇಂ,"ಇನ್ನು, ಉನ್ನು ಮುಂದೆ (ಪಂಚಧನುಶ್ಶತಂ ಪವಣ್ಣೆಲೆ ನರರ್ಗೆ ಎಂದೊಡೆ ಇಂ ನಿಮಿರೆ ಬಣ್ಣಿಸಲ್ಕಾನಱಯೆಂ ವಿದೇಹಮಂ: ಆದಿಪು, ೧. ೫೧)"
ಇಂ ಬೞಯಂ,"ಆ ಬಳಿಕ (ಇತ್ತ ವಿಕ್ರಮಾರ್ಜುನನುಂ ಓಲಗಂ ಪರಿದಿಂ ಬೞಯಂ ತನ್ನ ಪವಡಿಸುವ ಮಾಡಕ್ಕೆ ಒಡನೊಡನೋಲಗಿಸುತ್ತುಂ ಬಂದ: ಪಂಪಭಾ, ೪. ೬೯ ವ)"
ಇಂಕೆವರ್,"ಬತ್ತು, ಇಂಗಿಹೋಗು (ಇಂಕೆವಂದು ಎಯ್ದೆ ಕಂಪಲ್ ಮಸಗುತ್ತುಂ ಬತ್ತೆ ತೆರ್ಪಂಬಡೆದ ಅಋಷುಗೆಱೆಗಳ್: ಜಗನ್ನಾವಿ, ೧೭. ೬೨)"
ಇಕ್ಕಿ ಮೆಟ್ಟು,"ಬೀಳಿಸಿ ತುಳಿ (ಪುದಿದ ಜಸಂ ಪೊದಳ್ದ ಚಳಂ ಒಂದಿದ ಅಳಂಕೃತಿ ಕೈತ ದೇಸಿ ಎಂಬುದಂ ಎನೆ ವಸ್ತುವಿದ್ಯೆಯೆನೆ ಕಬ್ಬಮೆ ಮುನ್ನಂ ಅವಂತಿವಲ್ಲದಲ್ಲದೆ ಪೆಱವಿಲ್ಲ ಕಬ್ಬಂ ಎನೆ ಮುನ್ನಿನ ಕಬ್ಬಮನೆಲ್ಲಮಂ ಇಕ್ಕಿಮೆಟ್ಟಿದುವು ಸಮಸ್ತಭಾರತಮುಂ ಆದಿಪುರಾಣ ಮಹಾಪ್ರಬಂಧಮುಂ: ಪಂಪಭಾ, ೧೪. ೫೯)"
ಇಕ್ಕು,"ಇಡು (ಒಂಬತ್ತು ತಿಂಗಳ ಗರ್ಭಿಣಿಯಂ ಪೊಒತ್ತು ಪೋಗಿ ಆಕೆಯನಲ್ಲಿಕ್ಕಿ ಇಂತೆಂದರ್: ವಡ್ಡಾರಾ, ಪು. ೧೧೨, ಸಾ. ೭); ಧರಿಸು ಕೊರಲೊಳಿಕ್ಕಿದ ಎಕ್ಕಸರದ ಕೆಂಬಟ್ಟೆಯ ತೊಂಗಲ್ ಅನಂಗಜಗಮಲತೆಯ ತಳಿರ ತೊಂಗಲಂತೆ ಪೊಳೆಯೆಯುಂ: ಮಲ್ಲಿನಾಪು, ೪. ೬೪ ವ); ಬಿಸಾಕು (ಸಕಳಾವನಿತಳವಲ್ಲಭನಂ ಭೋಂಕನೆತ್ತಿ ಪೊತ್ತಿರ್ದಂ ಇಕ್ಕಲೊಲ್ಲದೆ ನೆಲದೊಳ್: ಆದಿಪು, ೧೪. ೧೧೧); ಪ್ರಯೋಗಿಸು; ನಿಕ್ಷೇಪಮಾಡು; ನೀಡು; ಹೊಡೆ, ಹನನಗೈ (ಇಕ್ಕಿದಂ ಅಭವಂ ಪಾರ್ಥನಂ ಇಕ್ಕಿದನಾ ತ್ರಿಪುರಹರನಂ ಅರ್ಜುನಂ: ಪಂಪಭಾ, ೮. ೨೨)"
ಇಕ್ಕುಂಗೂೞ್,"ಇತರರು ನೀಡುವ ಅನ್ನ, ಭಿಕ್ಷೆ (ಪೆಱನಿಕ್ಕುಂಗೂೞೊಳಂ ಕೀೞಲೊಳಂ ಅಳವಿಗೆಟ್ಟಿರ್ಪ ನಿಮ್ಮಿರ್ಪುದಕ್ಕಂ .. .. ನೀಗು ನೀಂ ಭೀಮಸೇನಾ: ಪಂಪಭಾ, ೮. ೭೧)"
ಇಕ್ಕುಪಡು,"ಸೋಲು ಅನುಭವಿಸು (ಸುಮಿತ್ರನೊಳ ಪೋರಲೆಂದು ಆತನ ಪೊೞಲ್ಗೆ ವಂದು ರಂಗದೊಳ್ ಗೆಲ್ದೋಡಿ ಇಕ್ಕುಪಟ್ಟ ಸುಮಿತ್ರಂ: ಚಾವುಂಪು, ೨೭೯. ಸಾ. ೫)"
ಇಕ್ಕುವಡು,"ಸೋಲು ಅನುಭವಿಸು, ಹೊಡೆಯಲ್ಪಡು (ಮೆಯ್ಯನೀಡಾಡಿ ದಾರುಣಮೆನಿಪ ದಾಹಜ್ವರದಿಂ ಇಕ್ಕುವಟ್ಟಂತೆ ಏನಾನುಂ ವ್ಯಾಧಿ ಕೆಯ್ಕೊಂಡಂತೆ ಆರೊಳಂ ನುಡಿಯದೆ: ಕಾದಂಸಂ, ೫. ೯೫ ವ)"
ಇಕ್ಕುೞ್,"ಒಂದು ರೋಗ ಮತ್ತು ಪಟಿಕಾರ (ಎರಡರ್ಥಕ್ಕೆ: ಇಕ್ಕುೞೆಂದು ವ್ಯಾಧಿವಿಕಾರಮುಂ ಸಂದಂಶಮುಂ ಅಕ್ಕುಂ: ಶಬ್ದಮದ, ೩೩ ವೃತ್ತಿ ೧೩೨); ಇಕ್ಕುಳ (ಪುಸಿ ಬಸನಮೆಂದು ಕೆಲಬರ್ ಕುಸಿವರ್ ನಾಲಗೆಯಂ ಇಕ್ಕುೞೊಳ್: ಆದಿಪು, ೫. ೮೭)"
