page,1
ಈ,"ಕೊಡು (ಈ ಪ್ರದಾನೇ: ಶಬ್ದಮದ, ಧಾ ೧); ದಾನಮಾಡು (ಪೆಣನಂ ಎತ್ತಲ್ ಸಲ್ಲೆಂದು ಆಪತ್ತುವಡಿಸಿ ಪುತ್ರನಂ ಈ ಪೊನ್ನಂ ಸಂಗತಿಗುಡುವೆವೆಂಬರ್ ತಕ್ಕರ್: ಸಮಯಪ, ೧೪. ೧೫೫); ಎಡೆಗೊಡು (ಮಣಿಮಾಲಿಯಲ್ಲದೆ ಉೞದಾರುಮಂ ಸಾರಲ್ ಈಯದೆ ಭಂಡಾರಮಂ ಕಾದುಕೊಂಡಿರ್ಪುದುಂ: ಆದಿಪು, ೨. ೧೫ ವ); ದಾನಮಾಡು (ಜೀವಮುಳ್ಳಿನಂ ಇಱದು ಅರ್ಥಮುಳ್ಳಿನೆಗಂ ಇತ್ತು ನೆಗೞ್ತೆಯನಾಂಪುದೆಂಬ ಪೆಂಪಿನ ಸಮಕಟ್ಟು: ಪಂಪಭಾ, ೫. ೭೭)"
ಈಕ್ಷಂಗಳ್,"ನೋಟಗಳು (ಆಕೆಯ ಹಾವಭಾವವಿಳಾಸ ವಿಭ್ರಮಕಟಾಕ್ಷ ಈಕ್ಷಂಗಳ್ ಮನಮಂ ಒನಲಿಸೆಯುಂ ಕನಲಿಸೆಯುಂ: ಪಂಪಭಾ, ೪. ೭೪ ವ)"
ಈಕ್ಷಣ,"ಕಣ್ಣು (ಅಲಂಪುಗಳ್ ಕನಸಿನೊಳಂ ಪಳಂಚಲೆವುದೆನ್ನೆರ್ದೆಯೊಳ್ ತರಳಾಯತೇಕ್ಷಣೇ: ಪಂಪಭಾ, ೪. ೧೦೬); ನೋಟ (ಆ ಪೀನಕುಚಂಗಳ್ ಆಕ್ಷಣದೊಳ್ ಈಕ್ಷಣಮಂ ಸೆಱೆಗೆಯ್ಯೆ: ಪಂಪರಾ, ೭. ೧೦೯)"
ಈಕ್ಷಣಭದ್ರ,"ನೋಡಲು ಶುಭಪ್ರದವಾದ ಧಾತಕೀಷಂಡಂ ಈಕ್ಷಣಭದ್ರಂ: ಚಂದ್ರಪ್ರಪು, ೧. ೭೨)"
ಈಕ್ಷಣಹರ,"ಕಣ್ಸೆಳೆಯುವ (ದಕ್ಷಿಣಕಟಮೆನೆ ಸಿವುಱುವ ದಕ್ಷಿಣರದನದೊಳೆ ಹಸ್ತಮಂ ಪೇಱುವ ಚೆಲ್ವು ಈಕ್ಷಣಹರಮೆನೆ: ಆದಿಪು, ೧೨. ೫೯)"
ಈಕ್ಷಣಾಕರ್ಷಣ,"ನೋಟವನ್ನು ಸೆಳೆಯುವ, ಆಕರ್ಷಕವಾದ (ಅಕೃತಕಚಿತ್ರಪ್ರಕಾರದಿಂ ಮೆಱೆದುದು ಈಕ್ಷಣಾಕರ್ಷಣಮಂ: ಮಲ್ಲಿನಾಪು, ೮. ೯೪)"
ಈಕ್ಷಿಸು,"ನೋಡು (ನಾಸಿಕಂ ಅಡ್ಡಂಬಂದಂದಮಂ ಈಕ್ಷಿಸಿ: ಕವಿರಾಮಾ, ೩. ೨೩೪)"
ಈಗಡು,"ಈಗ, ಈ ಸಮಯದಲ್ಲಿ (ಈಗಡಿನ ನೆಗೞ್ತೆಯ ಕಬ್ಬದೊಳ್ ಒಡಂಬಡಂ ಮಾಡಿದ್ ಪುರಾತನ ಕವಿಗಳ್: ಕವಿರಾಮಾ, ೧. ೩೨)"
ಈಗಡೆ,"ಈಗಲೇ (ಮಂತ್ರಾವಾಸದೊಳ್ ಮಂತ್ರನಿಶ್ಚಿತನಾಗಿ ಈಗಡೆ ಕಾದಿದಲ್ಲದೆ ಇಳೆಯಂ ನೀನೆಂತುಮಿತ್ತಪಯ್: ಪಂಪಭಾ, ೮. ೮೭)"
ಈಗಳ್,"ಈಗ (ಪೊಸತಂ ಸ್ತ್ರೀರಾಜ್ಯಮಂ ಮೇಣ್ಪಡೆದನೊ ಬಿದಿ ಲಾವಣ್ಯಸಿಂಧುಪ್ರವಾಹಂ ಪೊಸತೀಗಳ್ ಬಂದು ಬೆಳ್ಳಂಗೆಡೆದುದೊ: ಆದಿಪು, ೧. ೮೨)"
ಈಚಲ್,"ಈಚಲುಮರ (ತದೀಯ ತಟಂಗಳಲ್ಲಿ ಈಚಲ ಕಡೆಗೊಂಬುಗಳ್ ತುಱುಗಿ ಬಿರ್ದವೊಲಿರ್ದುವು .. .. ಮೊಸಳೆಗಳ್: ಕುಸುಮಾಕಾ, ೭. ೧೮)"
ಈಂಟಿಸು,"ಕುಡಿಸು (ಕಿವಿಯಿಂದೀಂಟಿಸುವರ್ ಸಮಸ್ತರಸಮಂ: ಲೀಲಾವತಿ, ೧. ೧೨)"
ಈಂಟು,"ಕುಡಿ, ಪಾನಗೈ (ನೀಳಪಾಟಳ ಜಂಬೂಫಳ ಮಧುರರಸಮಂ ಈಂಟಿದೆಂ ಇಳೇಶ ಪಿರಿದೞಯಿಂ ಮನಂ ತಣಿವಿನೆಗಂ: ಕಾದಂಸಂ, ೧. ೩೧)"
