page,1
ಉಂಕೆ,"ಒಂದು ಜಾತಿಯ ಹಕ್ಕಿ (ನಿನ್ನ ಭರ್ತಾರಂ ಬೇಂಟೆಯಾಡಿ ಪಲವುಂ ಲಾವುಗೆಯುಂ ಉಂಕೆಯುಂ ಕೊರಸುಂ ಮೊದಲಾಗೊಡೆಯ ಪಕ್ಷಿಜಾತಿಗಳಂ ಬಲೆಯನೊಡ್ಡಿ ಪಿಡಿದು: ವಡ್ಡಾರಾ, ಪು. ೧೫೧, ಸಾ. ೩)"
ಉಕ್ಕಡ,"ನಗರದ ಗಡಿ (ಗರಟಿಗೆಯುಕ್ಕಡದ ವಿಯಚ್ಚರರಂ ಪೇಸೇೞೆಕೊಂದರೋ: ಶಾಂತಿಪು, ೩. ೧೦೦); ಶಾಂತಿಪು (ಗರಟಿಗೆಯ ಜಾವದ ಉಕ್ಕಡದ ಉಲಿ ಮೞದ ಪೊತ್ತು ಸೂೞ್ಗೆ ಕರುಮಾಡದ ಪಕ್ಕದೊಳಿರ್ದ ಪಟ್ಟದಾನರಯ ಬದಗಂ: ಯಶೋಧಚ, ೨. ೨೭); ಕಾವಲು (ಬಾಗಿಲ್ಗಾಪಿನ ಜಾವದುಕ್ಕಡದ ಗರವಟಿಗೆಯ ಠಾಣಾಂತರದವರೆಲ್ಲಂ ಎರಡು ಕೈಯನೆತ್ತಿ ಪುಂಡರೀಕಾಕ್ಷಂಗೆ ಪೊಡೆವಟ್ಟು: ನೇಮಿನಾಪು. ೭. ೪೪ ವ)"
ಉಕ್ಕಂದ,"ತುಂಬಿ ತುಳುಕುವ (ಸಿರಿಯಂ ನೋಡಲ್ ಬಂದುದು ಅಮರ್ದಿನ ತಾಯ್ಗಡಲೆಂಬಂದಮಂ ಉಕ್ಕಂದಮಾಗಿ ತಳೆದೆಸೆದಿರ್ಕುಂ: ಮಲ್ಲಿನಾಪು, ೨. ೫೬)"
ಉಕ್ಕಲಿಸು,"ದರ್ಪದಿಂದಿರು (ನೀಂ ಉಕ್ಕಲಿಸಿದೆಯಕ್ಕುಂ .. .. ಅಮರೇಂದ್ರನ ಮಱೆವೊಕ್ಕೊಡಂ ಆಂ ಕೊಲಿಪೆಂ ಎನ್ನ ಮುಳಿಸನೆ ಸಲಿಪೆಂ: ಹರಿವಂಶ, ೮. ೬೮)"
ಉಕ್ಕಿಱ,"ಅತಿಶಯವಾಗು (ಮತ್ತಮಾ ಖಗೇಶ್ವರನೆಡವಕ್ಕದೊಳಿಱವ ತಕ್ಕಿನೊಳ್ ಉಕ್ಕಿಱಯನಾಂತುಕೊಂಡು: ವರ್ಧಮಾಪು, ೪. ೪೯ ವ)"
ಉಕ್ಕೆವ,"ಠಕ್ಕು, ಮೋಸ (ಜೂದಿನೊಳ್ ಉಕ್ಕೆವದಿಂದೆ ಗೆಲ್ದ ನಿನ್ನಂ ಅವನಿತಳಂ ಕರಾತಳದವೋಲ್ ತನಗಂ ಬೆಸಕೆಯ್ಯೆ ಕೆಯ್ಗೆ ಮಾಡುವ ನಯಂ ಆ ಬೃಹಸ್ಪತಿಯುಮಂ ಗೆಲೆವಂದುದು ಧಾರ್ತರಾಷ್ಟ್ರನಾ: ಪಂಪಭಾ, ೭. ೪೦); ಮೋಸಗಾರ (ಮಿಕ್ಕ ಗುಣಂಗಳ ಭವ್ಯರಂ ಉಕ್ಕೆವಂ ಅಜ್ಞಾನದಿಂದೆ ಕಿಡೆ ನುಡಿವುದೆ: ಸಮಯಪ, ೧೩. ೫೦); ಉತ್ಸಾಹ, ಉತ್ಸವ (ಉರಿಯಂ ಕಾಱುವ ಕೆಂಡಮಂ ಕಱೆವ ಬಿಲ್ಲಂ ಕಂಡೆವಿಲ್ಲ ಉಕ್ಕೆವದಿಂ ತರುಣೀರತ್ನಮಂ ಈೞ್ದುಕೊಳ್ವ ಸಮಕಟ್ಟಿಂದಟ್ಟಿದಂ ಖೇಚರಂ: ಪಂಪರಾ, ೫. ೭೮)"
ಉಕ್ಕೆವಗುದುರೆ,"ಮೋಸದ ಕುದುರೆ (ಪುಯ್ಯಲಿಡೆ ಕಡುಕೆಯ್ದು ಉಕ್ಕೆವಗುದುರೆ ಪೊೞಲನಡೞಲಿಸಿತಾಗಳ್: ಪಂಪರಾ, ೪. ೧೦೬)"
ಉಕ್ಕೆವಚಾಮರ,"ಉತ್ಸವಕಾಲದ ಚಾಮರ (ಮಂಡೋದರಿಯಂ ಮದೀಯ ಪಿತೃಗೆ ಉಕ್ಕೆಚಾಲಮರಮಿಕ್ಕಲುಯ್ದಪೆಂ: ಪಂಪರಾ, ೧೪. ೧೦೩)"
ಉಕ್ಕೆವತನ,"ವಂಚಕತನ (ಎಂದು ತನ್ನುಕ್ಕೆವತನದಿನೋದಿಸಿದ ವೃತ್ತಾಂತಮಂ ಆದ್ಯಂತಮಱಯೆ ಪೇೞ್ದು: ಸುಕುಮಾಚ, ೨. ೬೨ ವ)"
