page,1
ಊಟ,"ಆಹಾರ ತಿನ್ನುವುದು (ಘೃತಮಿಲ್ಲದ ಊಟಮೇನೊಪ್ಪುಗುಮೇ: ಅಜಿತಪು, ೬. ೯೩)"
ಊಡು,"ಫಲ ನೀಡು (ಮುನ್ನೆರಪಿದುಭಯಕರ್ಮಂ ತನ್ನಂ ಪಿಡಿದೂಡುತಿರ್ಕುಂ ಇಂ ಜೋಯಿಸವೇಕೆ: ಸಮಯಪ, ೪. ೮); ತಿನ್ನಿಸು (ಮುನ್ನಿನ ದಿವಸದೊಳಗಣ ಪರಿಜನಮೆಲ್ಲಮಂ ಪಾರ್ವರಂ ಊಡುವ ನೆವದೊಳೆ ಪೊಱಮಡಿಸಿ: ಪಂಪಭಾ, ೩. ೪ ವ); ಲೇಪಿಸು (ಆ ನೃಪರೂಪಚಂದ್ರನಂತರದೊಳೆ ಮಾಡಿ ಕೇಸಡಿಗಳಂ ಹರಿಚಂದನದಿಂದಂ ಊಡಿ ಕೇಸರದ ತುಱುಂಬನಿಕ್ಕಿ: ಕಾದಂಸಂ, ೮. ೫೨); ಆಧಾರ (ಭೋಜನಕ್ರಿಯಾಯಾಂ ಆಧಾರೇಚ (ಶಬ್ದಮದ, ಧಾ, ೨೭೮)"
ಊಡುಗೊಳ್,"ಮರೆಮಾಚು (ನೀಡುಂ ಊಡುಗೊಂಡೋಡಿ ತತ್ ಪಿತೃವನಾಭ್ಯಂತರದೊಳಿರ್ದ ಭೂರುಹಮನೇಱ: ಕರ್ಣನೇಮಿ, ೩. ೧೬೧ ವ)"
ಊಣ,"ಊನ, ಕೊರತೆ (ಜಡಮತಿಯೊಳೆನ್ನೊಳ್ ಆವುದಮೂಣಂ ನೋಡದೆ: ಪುಷ್ಪದಂಪು, ೫. ೧೦೩)"
ಊದು,"ಬಾಯಿಂದ ಗಾಳಿ ಹೊರಬೀಳಿಸು, ಗಾಳಿ ಬೀಸು (ಸೊಡರ್ಗುಡಿ ಒಯ್ಯನಾಗೆ ಪೊಸಮಲ್ಲಿಗೆ ಕಂಪುನಾಱೆ ತಣ್ಪಿಡಿದ ಎಲರ್ ಊದೆ ಗಾವರದ ಮೆಲ್ಲುಲಿ ತುಂಬಿಯ ಗಾವರಂಂಗಳ ಗೆಡೆಗೊಳೆ: ಪಂಪಭಾ, ೪. ೧೧೦)"
ಊನ,"ಕೊರತೆ (ತನಗಿನಿತು ಊನಮಾಗೆ ಮೆಱೆದಾ ಭುಜವೀರ್ಯಮನಾಂತು ಮಾಣ್ದುದೇಂ: ಪಂಪಭಾ, ೧೨. ೧೯೭)"
ಊನತ್ವ,"ನ್ಯೂನತೆ, ಕೊರತೆ (ಸಾಹಸದ ನಿಮ್ಮಯ್ವರುಂ ಮಕ್ಕಳಾಗಿರೆಯುಂ ನಿಚ್ಚಲುಂ ಇಂದ್ರನೋಲಗದೊಳ್ ಅಂತಾ ಪಾಂಡುರಾಜಂಗೆ ನಿರ್ನೆರಮಪ್ಪ ಒಂದಪಮಾನದಿಂದಂ ಇನಿತೊಂದು ಊನತ್ವಮಪ್ಪಂತುಟೇ: ಪಂಪಭಾ, ೬. ೧೭)"
ಊರೞುವು,"ಊರಿನ ನಾಶ, ಊರಿಗೆ ಊರೇ ಸೂರೆಗೊಳ್ಳುವುದು (ತುಱುಗೋಳೊಳ್ ಪೆಣ್ಬುಯ್ಯಲೊಳ್ ಎಱೆವೆಸದೊಳ್ ನಂಟನ ಎಡಱೊಳ್ ಊರೞುವಿನೊಳಂ ತಱಸಂದು ಗಂಡುತನಮನೆ ನೆಱುಪದವಂ ಗಂಡನಲ್ಲಂ ಎಂತುಂ ಷಂಡಂ: ಗದಾಯು, ೨. ೨೪)"
ಊರಾವು,"ಊರಿನ ಹಸು (ಕಾೞ್ವಲಸುಂ ಊರ ಪಲಸುಂ ಕಡಾವುಂ ಊರಾವುಂ: ಧರ್ಮಾಮೃ, ೯. ೪೧ ವ)"
ಊರಿಚ,"ದಡ್ಡ, ಅಸಂಸ್ಕೃತ (ಇದೇಕೆ ಬಿಕ್ಕಿ ಬಿರಿದು ಅೞ್ತಪೆ ಎಂದಂ ಅದೊರ್ವಂ ಊರಿಚಂ: ಲೀಲಾವತಿ, ೨. ೧೧೯)"
ಊರು,"ತೊಡೆ (ತೋಡುವೆಂ ಒರ್ವನ ಒಳ್ಗರುಳಂ ಉರ್ವಿಗೆ ನೆತ್ತರನೆತ್ತಿ ಪೀರ್ದು ವಿರ್ದಾಡುವೆಂ ಒರ್ವನ ಊರುಗಳಂ ಎನ್ನ ಗದಾಶನಿಘಾತದಿಂದೆ ನುರ್ಗಾಡುವೆಂ: ಪಂಪಭಾ, ೯. ೨೪)"
ಊರುಕ್ಷತ,"ತೊಡೆಯ ಗಾಯ (ಅತಿವಿಶದವಿಶಾಲ ಊರುಕ್ಷತದಿಂದೊಱೆದನಿತು ಜಡೆಯುಮಂ ನಾಂದಿ ಮನಃಕ್ಷತದೊಡನೆ ಎೞ್ಚರಿಸಿದುದು ಉತ್ಥಿತಮಾ ವಂದಸ್ರಮಿಶ್ರಗಂಧಂ ಮುನಿಯಂ: ಪಂಪಭಾ, ೧. ೧೦೫)"
ಊರುದಘ್ನ,"ತೊಡೆ ಮುಳುಗುವಷ್ಟು ಮಟ್ಟ (ಪೆಣ್ಬಡೆ ನಿಂದುದು ಜಾನುದಘ್ನ ಊರುದರ್ಘನ ಕಟಿದಘ್ನ ನಾಭಿದಘ್ನ ಸ್ಥಳದೊಳ್: ಜಗನ್ನಾವಿ, ೧೪. ೯೫)"
ಊರುದ್ವಯನ,"ತೊಡೆ ಮುಳುಗುವಷ್ಟು ಮಟ್ಟ (ಲಾವಣ್ಯರಸಂ ತೆಕ್ಕನೆ ತೀವಿದ ತಿಳಿಗೊಳನ ಪಯಸಂ ಊರುದ್ವಯನಂ: ಅನಂತಪು, ೭. ೩೫)"
