page,1
ಋಕ್ಕು,"ಋಗ್ವೇದಮಂತ್ರ, ವೇದಮಂತ್ರ (ಉತ್ವಂಬೆರೆಸಿದ ದ್ವಿತ್ವಕ್ಕೆ: ಸಂತ್"
ಋಕ್ಷ,"ಕರಡಿ (ವಟವಿಟಪಿಯ ಕೆೞಗೆ ತರುಣ ಹರಿಣ ವೃಕ ವರಾಹ ಋಕ್ಷ ತರಕ್ಷು ಪ್ರಮುಖನಿಖಿಲಮೃಗಗಣ ಪರಿವೃತನುಂ ಆಗಿ: ಪಂಚತಂತ್ರ, ೮೧ ವ); ಒಂದು ಜಾತಿಯ ಮರ (ಸ್ರೋತಸ್ಸುರುಚಿರಪುಷ್ಕರಂ ಆತತ ಋಕ್ಷಂ ಗುಹಾನ್ವಿತಂ ಪ್ರಿಯವಂಶ ಉಪೇತಂ ತುಂಗ ಉತ್ಸಂಗಮೇತಂ ಕರಿರಾಜನೆನಿಸುಗುಂ ಗಿರಿರಾಜಂ: ಅಜಿತಪು, ೯. ೨೯); ನಕ್ಷತ್ರ (ಋಕ್ಷಚಯದೊಳ್ ಚಂದ್ರಂ ಪಿರಿದೆಸೆವಂತಿರೆ ಭಕ್ತರ ನೆರವಿಯೊಳ್ ಅಂದಲ್ಲಿ ಸೌಂದರಂ ಕುಳ್ಳಿರ್ದಂ: ತ್ರಿಷಷ್ಟಿಪು, ೩. ೧೮)"
ಋಕ್ಷರಾಜ,"ಚಂದ್ರ (ನಭಮಂ ಋಕ್ಷರಾಜಾನ್ವಿತಂ ನಾಗಕದಂಬಾನಂತವಿಭ್ರಾಜಿತಮಹಿಪುರಮಂ: ಶಬರಶಂ, ೩. ೨೯)"
ಋಕ್ಷಾಕೀರ್ಣ,"ನಕ್ಷತ್ರಗಳಿಂದ ಕೂಡಿದ, ಕರಡಿಗಳಿಂದ ಕೂಡಿದ (ಆ ಮಹಾವನಂ .. .. ಗಗನಮಂಡಲದಂತೆ ಋಕ್ಷಾಕೀರ್ಣಮುಂ: ಚಂದ್ರಪ್ರಪು, ೫. ೫೨ ವ)"
ಋಚ,"ಮಂತ್ರ (ನಾಲ್ಕು ವೇದಂಗಳೊಳ್ ನಾಲ್ಕುಂ ಋಚಂಗಳಂ ಪೇೞ್ದು ಸಿತ ದೂರ್ವಾಂಕುರವಿಮಿಶ್ರಂಗಳಪ್ಪ ಶೇಷಾಕ್ಷತೆಗಳಂ ಕೊಟ್ಟು ಮುಂದೆ ನಿಂದನಂ ನಿಮಗೆ ಬಾೞ್ತೆಯಪ್ಪುದಂ ಬೇಡಿಕೊಳ್ಳಿಂ ಎನೆ: ಪಂಪಭಾ, ೫. ೭೦ ವ)"
ಋಚೆ,"ಋಚ (ಅಂತು ಸೊಗಯಿಸೆ ಪಾಡುವ ಮಂಗಳರವಂಗಳುಂ ಓದುವ ಋಚೆಗಳುಂ ಪರಸುವ ಪರಕೆಗಳುಂ ಎಸೆಯೆ ಪಸೆಯೊಳಿರ್ದು: ಪಂಪಭಾ, ೩. ೭೬ ವ)"
ಋಜು,"ಸರಳವಾದ (ಆತ್ಮವಲ್ಲಭನೊಳಾದ ಅನುರಕ್ತತೆಯಂ ಮಹತ್ತ್ವಮಂ ಸಮದ ಪತಿವ್ರತಾಚರಣಮಂ ಋಜುವೃತ್ತಿಯಂ ಅಂದು ಭಾವಿಸುತ್ತ ಒಂದುಮಂ ಎಂದಳಿಲ್ಲ: ಕಾದಂಸಂ, ೮. ೬೮); ಒಂದು ವಸ್ತುವನ್ನು ನೋಡುವ ವಿವಿಧ ಕೋನಗಳು (ಕೆಲರಾಗಳ್ ಋಜುವಿಂದಂ ಅರ್ಧಋಜುವಿಂದಂ ಸಾಚಿಯಿಂದಂ ಕೆಲರ್ ಪಲವು ಭಂಗಿಯಿನಿರ್ದು ಜಾನಕಿಯ ರೂಪಾಶ್ಚರ್‍ಯಮಂ ನೋಡಿ.. ನಿಷ್ಪಂದರಾಗಿರ್ಪುದುಂ: ಪಂಪರಾ, ೫. ೬೫)"
ಋಜುಗುಣ,"ನೇರ ಸ್ವಭಾವ (ಈ ಋಜುಗುಣಕ್ಕೆ ಆರ್ ಕೂರರ್: ಕಾದಂಸಂ, ೫. ೪೬)"
ಋಜುಮತಿ,"[ಜೈನ] ಋಜು ಬುದ್ಧಿ (ಕ್ರಮದಿಂ ಋಜುಮತಿಯುಂ ವಿಪುಲಮತಿಯುಂ ಎಂಬದಱ ಭೇದಂ ಇರ್ತೆಱನಕ್ಕುಂ: ಚಂದ್ರಪ್ರಪು, ೧೪. ೫೭)"
ಋಜುಮಾರ್ಗ,"ನೇರ ಮಾರ್ಗ, ನೇರ ನಡವಳಿಕೆ (ಪಿರಿಯಾತಂ ಸ್ವಭಾವದಿಂ ಋಜುಮಾರ್ಗವೃತ್ತಿಯಂ ತಳೆದು: ಸುಕುಮಾಚ, ೨. ೫೭ ವ)"
ಋಜುರೋಹಿತ,"ಕಾಮನಬಿಲ್ಲು (ಅಂತಾ ಋಜುರೋಹಿತಂ ತಿರೋಹಿತಮಾಗೆ .. .. ಸಂಸೃತಿಯ ಅನಿತ್ಯತೆಗಿದುವೆ ನಿದರ್ಶನಂ: ಚಂದ್ರಪ್ರಪು, ೪. ೫೧ ವ)"
ಋಜುವೃತ್ತಿ,"ನೇರ ನಡವಳಿಕೆ (ಋಜುವೃತ್ತಿಯಂ ಅಂದು ಭಾವಿಸುತ್ತ ಒಂದುಮನಂದಳಿಲ್ಲ: ಕಾದಂಬ, ೧೦. ೮೯)"
ಋಜ್ವಾಗತ,"ನೇರವಾಗಿ ನಿಲ್ಲುವಿಕೆ (ಋಜ್ವಾಗತದೊಳ್ ಬೆರೆಸಿರೆ ತನ್ನಯ ನಿಲವು ಯೋಗಿಸಂಸ್ತವಯೋಗ್ಯಂ: ಪಾರ್ಶ್ವನಾಪು, ೧೫. ೯೬); ನೇರ ಮಾರ್ಗ (ಎಸೆಗುಂ ಋಜ್ವಾಗತಂ ಕಣ್ಗೊಳಿಸುಗುಂ ಅಳವಟ್ಟಿರ್ದ ಋಜ್ವಾಗತಂ: ಅಜಿತಪು, ೨. ೪೫)"
ಋಣಂಗುಡು,"ಸಾಲ ಕೊಡು (ಉಪದೇಶಂಗೊಟ್ಟರ್ ಋಣಂಗೊಟ್ಟರ್ ಎಂಬ ನಾಣ್ಣುಡಿಯುಂಟು: ಧರ್ಮಾಮೃ, ೬. ೧೩೯ ವ)"
ಋಣಸಂಬಂಧ,"ಕರ್ಮಾಧೀನ ಬಾಂಧವ್ಯ (ಅಂಬಿಗನೊಳ್ ಆದುದು ಋಣಸಂಬಂಧಂ ನಿನಗೆ ಅಮೋಘಂ: ಪಂಪಭಾ, ೧೩. ೨೬)"
ಋತ,"ಸತ್ಯ (ಋತಮೆಸೆದಿರ್ಪ .. .. ಮತವಿರ್ಪೆಡೆಯೊಳ್ .. .. ಪುಸಿಯಿರ್ಪ .. .. ಕುತ್ಸಿತಮತಮಿರ್ಪುದಲ್ತು: ನೇಮಿನಾಪು, ೧. ೫೯)"
ಋತವಚನ,"ಸತ್ಯದ ಮಾತು (ಯತಿಪತಿ ಮುಖಾರವಿಂದೋದ್ಗತ ಋತವಚನಮಂ ಸ್ವಕೀಯಹೃದ್ಗೋಚರಮಾಗೆ: ಸುಕುಮಾಚ, ೯. ೧೧೨)"
ಋತವಾಕ್ಯ,"ಋತವಚನ (ಅನುಪಮ ವಿಕ್ರಮಕ್ರಮಂ ಉದಾರಗುಣಂ ಋತವಾಕ್ಯಂ ಎಂಬ ಪೆಂಪೆನಲಿವು ಮೂಱೆ ನಾಲ್ಕೆ ಗುಣಂ: ಪಂಪಭಾ, ೧೨. ೯೩)"
ಋತು,"ಎರಡ ತಿಂಗಳ ಕಾಲ (ಆಗಳ್ ಆಱುಂ ಋತುಗಳ ಪೂಗಳಂ ಒಂದುಮಾಡಿ ಪೂವಿನಂಬುಗಳಂ ಪಣ್ಣಲೆಂದು ಕಾಮದೇವಂ ಮಾಡಿದ ಓಜನ ಸಾಲೆಯಿರ್ಪಂತಿರ್ಪ ಪೂವಿನ ಸಂತೆಯೊಳ್: ಪಂಪಭಾ, ೪. ೮೦ ವ)"
ಋತುಕಾಲಪ್ರಾಪ್ತೆ,"ಋತುಮತಿಯಾಗು (ಋತುಕಾಲ ಪ್ರಾಪ್ತೆಯಾಗಿರ್ದ ನಲ್ಲಳಲ್ಲಿಗೆ ಬರಲ್ ಪಡೆಯದೆ ಆಕೆಯಂ ನೆನೆದು ಇಂದ್ರಿಯಕ್ಷರಣೆಯಾದೊಡೆ: ಪಂಪಭಾ, ೧. ೬೮ ವ)"
page,2
ಋತುಪ್ರತಾನ,"ಋತುಸಮೂಹ (ಋತುಪ್ರತಾನಾವಯವಂಗಳನೆ ವಿದೂಷಕಂ ಮದೋಪಕ್ರಮಂ ಮಾಡಿ: ಶಾಂತಿಪು, ೮. ೮೮ ವ)"
ಋತುಮತಿ,"ರಜಸ್ವಲೆಯಾದವಳು (ಅವಿ ರಾತ್ರೆಯಿ ಮಲಿನಿಕೆ ಪುಷ್ಪವತಿ ರಜಸ್ವಲೆ ಉದಕ್ಕೆ ಋತುಮತಿ: ಅಭಿಧಾವ, ೧. ೧೧. ೧೪)"
ಋತುವಿಮಾನ,"[ಜೈನ] ಅರವತ್ತಮೂರು ಇಂದ್ರಕಗಳಲ್ಲಿ ಮೊದಲನೆಯದು (ಇದು ಋತುವಿಮಾನಮೋ ಮೇಣಿದು ಅಹೀಂದ್ರನ ರುಂದ್ರರಮ್ಯಹರ್ಮ್ಯಮೋ: ಕರ್ಣನೇಮಿ, ೧೧. ೪)"
