page,1
ಎಕ್ಕಛಾಯ,"ಇಂದ್ರನೀಲ (ವರ್ಗದ್ವಿತೀಯಕ್ಕೆ: ಛಪ್ಪಿಸಿದಂ, ಎಕ್ಕಛಾಯಂ, ಠಾವು: ಶಬ್ದಮದ, ೨೫, ವೃತ್ತಿ)"
ಎಕ್ಕಟಿ,"ಗುಪ್ತವಾಗಿ, ಗುಟ್ಟಾಗಿ (ಕಣ್ಸನ್ನೆಗೆಯ್ವುದುಂ ಆಕೆಗಳ್ ಆತನಂ ಎಕ್ಕಟಿಗಱೆದು: ಲೀಲಾವತಿ, ೧೪. ೨೬ ವ)"
ಎಕ್ಕಟಿಗಾಳೆಗ,"ದ್ವಂದ್ವಯುದ್ಧ (ಪುದುವೆತ್ತು ಎಕ್ಕಟಿಗಾಳೆಗಂ ಸಮನಿಸಿತ್ತು ಎಮ್ಮೀ ಗದಾಯುದ್ಧಮಂ ತ್ರಿದಶರ್ ನೋಡಲೆ ಕೌತುಕಂಬೆರಸಿ ಬಂದಿರ್ದರ್: ಗದಾಯು, ೭. ೬೯)"
ಎಕ್ಕತಕ್ಕು,"ಸಮಾನಯೋಗ್ಯತೆ, ಅರ್ಹತೆ (ಕರಿಯಂ ಬೇಡುವ ಬಾಯ್ಗಿದೊಂದಲಗಿನಂಬೊಲ್ದೇಱುವಂಗಕ್ಕೆ ಭಾಸುರ ಭಲ್ಲಾಸ್ತ್ರಮಿದು ನೀಡಿ ಬಿಡದಿಕ್ಕಲ್ ಎಕ್ಕತಕ್ಕುಳ್ಳ ತೋಳೆರಡಕ್ಕುಂ: ಅನಂತಪು, ೧೪. ೧೮)"
ಎಕ್ಕತಳ,ನಿಯಮಿತ ಜಾಗ (ಎಕ್ಕಕ್ಕೆ: ಏಕಪತ್ರಂ
ಎಕ್ಕತಾಳ,"ಏಳು ಬಗೆಯ ತಾಳಕ್ರಮಗಳಲ್ಲಿ ಒಂದು (ಧ್ರವ ಮಟ್ಠೆಯಂ ಪಡಿಮಟ್ಠೆಯಂ ಅಟ್ಟತಾಳ ಎಕ್ಕತಾಳ ರೂಪಕಂ ರಚ್ಚೆಯ ಎಂಬ ಏೞುಂ ತೆಱದ ತಾಳಕ್ರದಿಂದ: ಧರ್ಮಪ, ೨. ೨೦ ವ)"
ಎಕ್ಕತುಳ,"[ಏಕತುಲ] ದ್ವಂದ್ವಯುದ್ಧ (ಅಂತು ಮುಳಿಸಿನ ಮೋಪಿನ ಗಂಡಮಚ್ಚರದ ಮೆಚ್ಚವಣಿಗೆಯ ಅಂಕಕಾಱರ್ ಎಕ್ಕತುಳಕ್ಕೆ ಎಕ್ಕೆಯಿಂ ಸೂೞೇಱಱವಂತೆ ಒರ್ವರ್ ಒರ್ವರೊಳ್ ಕಾದೆ: ಪಂಪಭಾ, ೧೨. ೭೬ ವ); ಸಾಹಸ (ಸಿಂಗಮಂ ಓವದೆ ಎಕ್ಕತುಳದಿಂ ತವೆ ತೂೞಯೆ ಸಿಂಧುದೇಶದಿಂ ಪಿಂಗಿಸದಂ ಮಹಾಭಯಮಂ: ಶಾಂತೀಶ್ವಪು, ೩. ೨೮); ಸಮಾನ (ರಾವಣನೊಳ್ ಅಡುರ್ತು ಎಕ್ಕತುಳಮಿಱದು: ಪಂಪರಾ, ೯. ೧೦೫)"
ಎಕ್ಕತುಳಂ,"ಅತಿಶಯವಾಗಿ (ಕಡೆಗಣ್ಣ ಕಾಂತಿಗಳೊಳ್ ಎಕ್ಕತುಳಂ ಇಕ್ಕಿಯುಂ: ಆಚವರ್ಧ, ೬. ೩೨ ವ)"
ಎಕ್ಕಬಾಗೆ,"[ಏಕಭೋಗ್ಯೆ] ಒಂದೇ ಪಾಲುಳ್ಳವಳು (ಎನಗೆ ಎಕ್ಕಬಾಗೆ ನೋಡೀಗಳ್ ಈ ಇಳಾಲತಾಂಗಿ ಪುದುವಲ್ಲಳ್ ಅದೆಂತೆನೆ ಮುನ್ನ ನೂಲ ತೋಡಾಗದೆ ಕೆಟ್ಟು ಪೋದವರಂ ಇಂ ಮಗುೞ್ದುಂ ನಿಱಪಂತು ಬೆಳ್ಳನೇ: ಪಂಪಭಾ, ೯. ೪೬)"
ಎಕ್ಕಮದ್ದಳೆ,"ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ (ಎಕ್ಕಮದ್ದಳೆಯ ಕೊೞಲ ಝಂಕಾರದ ಪಱೆಗಳ್ ಮುಂದೆ ಬಾಜಿಸುತ್ತಂ: ವಡ್ಡಾರಾ, ಪು. ೮೦, ಪು. ೧೨)"
ಎಕ್ಕಲ,"ಕಾಡು ಹಂದಿ (ಬೆರ್ಚಿಸಿ ತನ್ನಗೇಂದ್ರಕಂದತಮೃಗರಾಜಿಯಂ ಜವದನೇೞ್ತಂದುದು ಸೊರ್ಕಿದ ಎಕ್ಕಲಂ: ಶಬರಶಂ, ೪. ೫)"
ಎಕ್ಕಲಗಾಣ,"ಒಂಟಿ ಹಾಡುಗಾರ (ನುಣ್ಚರದಿಂ ಆಣತಿಮಾಡಿದುದು ಉನ್ಮದಾಳಿ ತಾವರೆಯೊಳಗಿರ್ದ ಲಕ್ಷ್ಮಿಯ ಮನಂಬಡೆವ ಎಕ್ಕಲಗಾಣನೆಂಬಿನಂ: ಮಲ್ಲಿನಾಪು, ೬. ೬೯)"
