page,1
ಏಂ,"ಏನು ಕಾರಣ, ಏಕೆ (ಇಱವಂತು ನಿನಗೆ ಮನದೊಳ್ ತಱಸಲವುಂಟಪ್ಪೊಡೆ ಎಲವೊ ದೇವೇಶನಂ ಏಂ ಸೆಱೆವಿಡಿದೆ: ಪಂಪಭಾ, ೧೦. ೧೨೧)"
ಏ ಕಜ್ಜಂ,"ಆಗಬೇಕಾದುದೇನು, ಏನು ಉಪಯೋಗ? (ರವಿರಶ್ಮಿಗಳ್ ಪುಗಲೆವೇಡ ಈ ರಶ್ಮಿಗಳ್ ಸಾಲ್ಗುಂ ಇಂತೇ ಕಜ್ಜಂ ಬೆಳಗು: ಆದಿಪು, ೬. ೧೦೪)"
ಏ ಕಾರಣಂ,"[ಸ] ಯಾವ ಕಾರಣದಿಂದ (ನಗೆಗಣ್ ಸೋರ್ವ ಕದುಷ್ಣವಾರಿಚಯದಿಂ ಬಿಂಬಾಧರಂ ಸುಯ್ಯ ಬೆಂಕೆಗಳಿಂ ನಾಡೆ ಬೆಡಂಗುಗೆಟ್ಟ ಇರವು ಇದಿಂತೇಕಾರಣಂ: ಪಂಪಭಾ, ೪. ೬೮)"
ಏಂ ಗಳ,"ಏನಪ್ಪಾ! ಹಾಗಲ್ಲವೇ (ಪಸಿವನಾಮೇಗೊಂಡು ಏಂ ಗಳ ಗೆಯ್ವೆವು: ಆದಿಪು, ೭. ೭೩)"
ಏಂ ಪಿರಿದೋ,"ಏನು ದೊಡ್ಡದೋ! (ಕೊಡಗೂಸುತನದ ಭಯದಿಂ ನಡುಗುವ ಕನ್ನಿಕೆಯ ಬೆಮರ ನೀರ್ಗಳ ಪೊನಲೊೞ್ಕುಡಿಯಲ್ ಒಡಗೂಡೆ ಗಂಗೆಯ ಮಡು ಕರೆಗಣ್ಮಿದುದು ನಾಣ ಪೆಂಪೇಂ ಪಿರಿದೋ: ಪಂಪಭಾ, ೧. ೯೨)"
ಏ ಬಂಡಂ,"[ಭಾಂಡ] ಯಾವ ದ್ರವ್ಯ, ಏನು ಪ್ರಯೋಜನ (ತಪೋರಾಜ್ಯಾಯತ್ತಂ ಎನ್ನ ಚಿತ್ತಂ ನ್ಯಾಯಾರ್ಜಿತಮಲ್ಲದೆನಿಪ ಧನಂ ಏ ಬಂಡಂ: ಪಂಪರಾ, ೬. ೧೨೬)"
ಏ ಭಂಡಂ,"ಏನು ಪ್ರಯೋಜನ (ದೇವೇಂದ್ರವಿಭವಮೆಂದುಂ ಭವ್ಯಂಗೆ ಏ ಭಂಡಮೊ ರತ್ನತ್ರಯ ಲಾಭಮೆ ಲಾಭಂ: ಸಮಯಪ, ೪. ೨೪)"
ಏಕ,"ಸಮಾನವಿಲ್ಲದ, ಶ್ರೇಷ್ಠ (ಏಕಂ ಕೂಟಸ್ಥಂ ನಿನ್ನಾಕಾರ ತ್ರಿತಯವಾದ ವಿಭುತೆ ಸಮಗ್ರಂ: ಜಗನ್ನಾವಿ, ೪. ೮೦)"
ಏಕ ಪುಂಸಾ ನ ಗಂತವ್ಯಂ,"[ಕಾಡಿನೊಳಗೆ] ಒಬ್ಬನೇ ಎಲ್ಲಿಗೂ ಹೋಗಬಾರದು (ಕಾನೊಳಗೇಕಪುಂಸಾ ನ ಗಂತವ್ಯಂ ಎಂದೀ ನಡೆದಪುದೆ ತಿಮಿರದೊಳೆನಿಪುವು ನಾನಾಹಿ ಮಸ್ತಿ ಮಣಿದೀಪಂ: ನೇಮಿನಾಪು, ೩. ೩೮)"
ಏಕಕ,"ಒಬ್ಬಂಟಿ (ರಾಜವ್ರಜಪರಿಷತ್ ಪರಿವೃಷ್ಟಿತ ಪ್ರಭುವೇಕೆ ತೊಟ್ಟನೆ ಏಕಕನಾದಂ: ಕರ್ಣನೇಮಿ , ೧೪. ೮೭)"
ಏಕಕಾರ್ಯಾಳೋಚನಪರ,"ಒಂದೇ ಕಾರ್ಯದ ಬಗ್ಗೆ ಆಸಕ್ತರಾದ[ವರು] (ಎಂದು ತಮ್ಮೊಳ್ ಅಯ್ವರುಂ ಏಕಕಾರ್ಯಾಳೋಚನಪರರಾಗಿ ದ್ವೈತವನದೊಳ್ ಅದ್ವೈತಸಾಹಸರಿರ್ಪನ್ನೆಗಂ: ಪಂಪಭಾ, ೭. ೩೦ ವ)"
ಏಕಕುಂಡಲ,"ಬಲರಾಮ (ಆರ್ಪಿನ ತಱಸಲದಂ ಕಂಡಂ ಏಕಕುಂಡಲನೆ ವಲಂ: ಪಂಪರಾ, ೬. ೧೩೫)"
