page,1
ಐ,"ಏ ಮತ್ತು ಆಕಾರಗಳು ಖಡಿ ಆದ ಒಂದು ಸಂಧ್ಯಕ್ಷರ (ಅಕಾರಮುಂ ಏಕಾರಮುಂ ಕೂಡಿ ಸಂಧಿಯಾಗೆ ಐಕಾರಂ ಪುಟ್ಟುಗುಂ: ಶಬ್ದಮದ, ೨೦, ವಿಚಾರಂ)"
ಐಕಿಲಣುಗಿ,"ಪಾರ್ವತಿ (ಐಕಿಲಣುಗಿ ಸರಸತಿ ಸಿರಿ ತೊಡೆ ಬಾಯ್ ಎರ್ದೆಯೊಳಿರ್ದು ತಮ್ಮೆಱೆಯರಂ ಒಲ್ದು ಇರುಳುಂ ಪಗಲುಂ ಕಾದಿರ್ಪರ್: ತ್ರಿಷಷ್ಟಿಪು, ೭. ೩೦)"
ಐಕಿಲ್,"ಚಳಿ, ಹಿಮ (ಬಿಸಿಲ್ ಐಕಿಲ್ ಪಸಿವು ಉಗ್ರದಂಶಮಶಕವ್ಯಾಬಾಧೆ ನೀರೞ್ಕೆ: ಆದಿಪು, ೬. ೩೪)"
ಐಕ್ಷವರಸ,"ಕಬ್ಬಿನ ರಸ (ಸುಧೆ ದಧಿ ಘೃತಂ ಮಧು ಸತ್ ಐಕ್ಷರಸಂಗಳಂ ಮಧುರತರ ಭಸಿತಮಿಶ್ರಿತ ಜಳಂಗಳಂ: ರಾಜಶೇವಿ, ೧೩. ೫೧ ರಗಳೆ)"
ಐಂದವ,"ಇಂದು ಅಥವಾ ಚಂದ್ರನಿಗೆ ಸಂಬಂಧಿಸಿದ; ಬೆಳುದಿಂಗಳು (ಅಂಚೆ ಸಂಚಳಿಪನಂಗನ ಜಂಗಮಕಲ್ಪವಲ್ಲಿ ಮಂಜುಳಕರಪುಂಜವಂ ಕೆದಱುವೈಂದವ ಕೋರಕಜಾಲಮೆಂಬಿನಂ: ಅನಂತಪು, ೨. ೨೦)"
ಐಂದವಬಿಂಬ,"ಚಂದ್ರಬಿಂಬ (ಐಂದವಬಿಂಬ ರೌಪ್ಯಕುಂಭಗತಸುಧಾಮರೀಚಿಜಳಮಂ ಸುರಿದಂ ಸಲೆ ಕಾಲಪಾಮರಂ: ರಾಜಶೇವಿ, ೧೧. ೬೮)"
ಐಂದ್ರ,"ಇಂದ್ರಾಸ್ತ್ರ (ಕೆಳರ್ದು ಅಂದುಗ್ರರಣಾಗ್ರಹ ಪ್ರಣಯದಿಂದಾಗಳ್ ಕುರುಕ್ಷೇತ್ರಮಂ ಕಳವೇೞ್ದು ಇರ್ವರುಂ ಐಂದ್ರ ವಾರುಣದೆ ವಾಯವ್ಯಾದಿ ದಿವ್ಯಾಸ್ತ್ರಸಂಕುಳದಿಂದ ಒರ್ವರಂ ಒರ್ವರ್ ಎಚ್ಚು: ಪಂಪಭಾ, ೧. ೭೯)"
ಐಂದ್ರದಿಶೆ,"ಇಂದ್ರದಿಕ್ಕು, ಪೂರ್ವ (ಆ ನಗೇಂದ್ರದ ಐಂದ್ರದಿಶಾಭಾಗದೊಳ್: ಚಂದ್ರಪ್ರಪು, ೧. ೭೫)"
ಐಂದ್ರಬಾಣ,"ಇಂದ್ರಾಸ್ತ್ರ (ಜ್ವಳನಪತತ್ರಿಯಂ ಕಡಿದು ವಾರುಣಪತ್ರಿಯಿಂ ಐಂದ್ರಬಾಣಮಂ ಕಳೆದು ಸಮೀರಣಾಸ್ತ್ರದಿಂ ಭೂಭುಜರೆಲ್ಲರಂ ಭಯಂಗೊಳಿಸಿ: ಪಂಪಭಾ, ೧೧. ೪೩)"
ಐಂದ್ರಿ,"ಇಂದ್ರನ ಮಡದಿ, ಶಚೀದೇವಿ (ಚಂದ್ರಲೇಖೆ ಚಂದ್ರ ಆದಿತ್ಯಪ್ರತಿಮರ್ ಐಂದ್ರಿಯವೋಲ್ ಅಪ್ರತಿಮಪ್ರಭರಂ ಪ್ರಸಿದ್ಧರಂ ಬಧು ಪಡೆದಳ್: ಪಂಪರಾ, ೧೦. ೭೦)"
ಐಂದ್ರಿಯ,"ಇಂದ್ರಿಯಗಳನ್ನು ಹೊಂದಿದಂತಹ (ಬಂದುದು ಉನ್ಮದೇಭದ ತೆಱದಿಂ ಹಿಮೋದಿತ ಮಹಾರುತಂ ಐಂದ್ರಿಯದೊಂದು ಮಾರುತಂ: ಕುಸುಮಾಕಾ, ೭. ೨)"
ಐಂದ್ರಿಯಕ,"ಇಂದ್ರಿಯಗೋಚರವಾದ, ಪ್ರತ್ಯಕ್ಷವಾದ (ಐಂದ್ರಿಯಕಂ ಪ್ರತ್ಯಕ್ಷಂ ಅತೀಂದ್ರಿಯಮಪ್ಪುದು ಪರೋಕ್ಷಂ: ಅಭಿಧಾವ, ೧. ೧೨. ೨೪)"
ಐಂದ್ರೀತನೂದರಿ,"ಪೂರ್ವದಿಕ್ಕು (ದಿವಸಶ್ರೀದೇವಿಗೆ ಐಂದ್ರೀತನೂದರಿ ತಂದುತ್ಸವದಿಂದೆ ತೋರ್ಪ ಅರುಣರತ್ನ ಆದರ್ಶಮೆಂಬಂತೆ .. .. ಭನುಬಿಂಬಂ: ಕುಸುಮಾಕಾ, ೪. ೭೯)"
ಐಂದ್ರೀದಿಶಾ,"ಪೂರ್ವದಿಕ್ಕು (ಐಂದ್ರೀದಿಶಾ ಅವನಿಭೃತ್ ಚೂಳಮನೇಱ ತನ್ನಮಳಹೃತ್ಪೀಠಾಗ್ರಮಂ ಖೇಚರ ಅವನಿಭೃನ್ನಂದನೆ ಆ ಸ್ವಯಂಪ್ರಭೆ .. .. ಅರ್ಚಿಸಿದಳ್: ಶಾಂತೀಶ್ವಪು, ೨. ೧೪)"
ಐಂದ್ರೀನಾರಿ,"ಪೂರ್ವ ದಿಗಂಗನೆ (ದರಸ್ಮೇರಾನನೆಯಾದ ಐಂದ್ರೀನಾರಿಯ ನಗೆಯಂತೆ ನೆಗೆದುವು ಇಂದುಕರಂಗಳ್: ಲೀಲಾವತಿ, ೬. ೯೦)"
ಐನಸ,"ಪಾಪ (ವಿನುತವಿಶೋಧಿ ನಾಡೆ ನೆಲವೆರ್ಚಿ ಮಹಾ ಐನಸರಾಜವ್ಯೂಹಮಂತನಿವೃತ್ತಿ ಸೂಕ್ಷ್ಮಪರಿಣಾಮವಿಶೇಷ ವಿನಷ್ಟಮಾಗೆ: ಶಾಂತೀಶ್ವಪು, ೧೬. ೧೭)"
ಐನೋಬಂಧನ,"ಪಾಪದ ಸೆರೆ (ಸುಜನಸಂಂ ಅಖಿಳ ಐನೋಬಂಧನಮಂ ಬಿಡಿಪಂತಿರೆ ಬಂಧುಗಳಂ ಬಿಡಿಸಿ ತಪಕೆ ತಱಸಂದಿರ್ದಂ: ಪಾರ್ಶ್ವನಾಪು, ೧೫. ೭೧)"
ಐರಣಿ,"ಶುಭಸೂಚಕ ಚಿತ್ರ ಬರೆದ ಗಡಿಗೆ (ಅರ್ಚಿಸಿದೈರಣಿ ಚಂದನ ಚರ್ಚೆಯ ತಳಿರ್ಗೆಂಪಂ: ವರ್ಧಮಾಪು, ೩. ೯೦)"
ಐರಣಿಕ,"ಅಕ್ಕಸಾಲಿಗ (ಐರಣಿಕಂ ಕುರುಕುರುಕಾರಂ ತದಧ್ಯಕ್ಷಂ ಭೌರಿಕನೆನಿಕುಂ: ಅಭಿಧಾವ, ೧. ೧, ೮೦)"
ಐರದಾಳಿ,"ಮುತ್ತೈದೆಯರ ಮಾಮಗಲ್ಯಸೂಚಕ ತಾಳಿ (ಆಳಾಪಂ ಮಿಗೆ ಮೇಳಯ್ಸಿದರ್ ಐರದಾಳಿಯಂ ಬಾಳಕಿಯರ್: ಗಿರಿಜಾಕ, ೧೦. ೩೮)"
page,2
ಐರಾದೇವಿ,"(ಕಮನೋದ್ಬುದ್ಧತೆವೆತ್ತು ನಿತ್ಯಮೆಸೆವ ಐರಾದೇವಿಯ ಆಸ್ಯಾರವಿಂದಮಂ ಆ ಪೋಲ್ತಪೆಂ: ಶಾಂತೀಶ್ವಪು, ೧೩. ೧೮೧)"
ಐರಾವಣ,"ಇಂದ್ರನ ಆನೆ (ಐರಾವಣದಯೆ ಪೆಱಗನೆ ವಾರಣಗಣವಾಸೆಯಿಂದೆ ಬರ್ಪಂತಿರೆ .. .. ಮುಖ್ಯರಪ್ಪ ಮಲ್ಲರ್ವಂದರ್: ನೇಮಿನಾಪು, ೮. ೭೧)"
ಐಲಬಿಲ,"ಕುಬೇರ (ಅಳಕಾನಗರದಂತೆ ಅಗಣ್ಯಪುಣ್ಯಜನ ಮಿಳಿತಮುಂ ಧನಸನಾಥ ಐಲಬಿಲೋಪಯುಕ್ತಮುಂ: ರಾಜಶೇವಿ, ೨. ೨೮ ವ)"
ಐಶ್ವರ್ಯ,"ಅಧಿಕಾg, ಶಕ್ತಿ (ಉಮಾಕಾಮಿನೀಜೀವಿತೇಶಂ ಪರಮೈಶ್ವರ್ಯಸ್ಪದಂ ರಕ್ಷಿಸುಗೆ ವಸುಧೆಯಂ: ಜಗನ್ನಾವಿ, ೧. ೩); ಭಾಗ್ಯ (ಪುತ್ತಕಳತ್ರಪರಿಗ್ರಹಗಾತ್ರ ಧನೈಶ್ವರ್ಯಮೆಂಬಿವು ಆರ್ಗಂ ಅನಿತ್ಯಂ: ಪುಷ್ಪದಂಪು, ೧೩. ೨೭)"
ಐಸರ,"ಐದೆಳೆಯ ಸರ (ಕಟ್ಟಿದ ಐಸರಂ ಅದೊಂದು ಬೆಡಗಿನ ಸೇತುಮಾಲೆ: ಆದಿಪು, ೧೨. ೧೨); ಪಂಚಶರ, ಮನ್ಮಥನ ಐದು ಬಾಣಗಳು (ಅಸಮಾಸ್ತ್ರಂ ಐಸರಂಗಳಿಗಿಸದೆ ಈಗಳ್ ಈ ನೆಗೞ್ದ ನಾಲ್ಸರದಿಂದಿಸುವಂ ವಿಯೋಗಿಯಂ: ಮಲ್ಲಿನಾಪು, ೫. ೨೫)"
ಐಸರಲ,"ಪಂಚಬಾಣ, ಮನ್ಮಥ (ಪಿರಿದು ಮಾತಿನೊಳೇಂ ಐಸರಲಂಗೆ ಪೊಡರ್ಪಿನೆೞ್ಗೆಯುಂಟಾದೊಡೆ ಚೆಚ್ಚರದಿಂದೆತ್ತಿಸಿ ತಂದಿರ್ವರ ಬಲ್ಪಂ ಬೞಕೆ ನೋಡು ನೀಂ ಕಾಳೆಗದೊಳ್: ಕಬ್ಬಿಗಕಾ, ೧೪೫)"
ಐಸಾಸಿರ್ವರ್,"ಐದು ಸಾವಿರ ಮಂದಿ (ನಿಜತನೂಭವರೈಸಾಸಿರ್ವರ್ ಪದಿನಾಱುಸಾಸಿರ್ಬರ್ ಮಕುಟಬದ್ಧರ್ ನಿಜಲತಾಂಗಿಯರ್ ಅಯ್ವತ್ತು ಸಾಸಿರ್ವರ್: ಆದಿಪು, ೬. ೨೭)"
ಐಹಿಕ,"ಇಹಲೋಕಕ್ಕೆ ಸಂಬಂಧಿಸಿದ, ಇಹಲೋಕದ (ನಿನ್ನೆಂದಂತುಟೆ ಮೋಕ್ಷಕ್ಕೆನ್ನಿರ್ಪಿರವು ಅಘಟಮಾನವೈಹಿಕದ ತೊಡರ್ಪು ಎನ್ನಿರವಿನೊಳುಂಟು: ಪಂಪಭಾ. ೮. ೪)"
ಐಳಬಿಳ,"ಕುಬೇರ (ಹರಿ ಶಿಖಿ ಯಮ ನಿರುತಿ ಜಳಾಕರಪತಿ ಮರುತ್ ಐಳಬಿಳ ಹರ ಅಹಿಪ ಶಶಿ ಭಾಸ್ಕರರರಂ ಸೌಧರ್ಮೇಂದ್ರಂ ನಿರವಿಸಿದಂ ದಶದಿಶಾಳಿಯೊಳ್ ಬಲಸಹಿತಂ: ಶಾಂತೀಶ್ವಪು, ೧೪. ೧೦೯"
ಐಳಾವನ,"ಏಲಕ್ಕಿಯ ತೋಟ (ತಳರ್ದುದೆತ್ತಂ ಚೂತಸಪ್ತಚ್ಛದ ಏಳಾವನಸುರಭಿಮದಾಸಾರಾಸ: ಆದಿಪು, ೧೧. ೩೦)"
page,3
page,4
page,5
page,6
page,7
page,8
page,9
page,10
