page,1
ಒಕ್ಕಣ,"ಒಕ್ಕುವ ಕೆಲಸ (ಒಕ್ಕಣದಂತೆ ರಾಶಿಯಂತೆ ಮಿರ್ಥಯಾದೃಷ್ಟಿ ಸಾಧನ ಸಮ್ಯಗ್ದೃಷ್ಟಿ ಸಂಯಕ್ ಮಿಥ್ಯಾದೃಷ್ಟಿ: ಧರ್ಮಾಮೃ, ೧೨. ೧೪ ವ); ಒಂದು ಆಯುಧ (ಭಲ್ಲೆ ಹ ಸೀಸಕಂ ಕವಚ ಅಡಾಯುಧ ಒಕ್ಕಣವುದ್ದುವಾರೆಯುಂ: ಸೂಕ್ತಿಸು, ೧೮. ೨೮)"
ಒಕ್ಕಲಿಕ್ಕು,"ಒಕ್ಕಣ ಮಾಡು, ಬಡಿ (ಅಂತು ತನ್ನ ಬಲಮೆಲ್ಲಮಂ ಜವನಂತೆ ಒಕ್ಕಲಿಕ್ಕಿ ಕೊಲ್ವ ಕಳಶಕೇತನನಂ: ಪಂಪಭಾ, ೧೨. ೨೧ ವ); ಧ್ವಂಸಮಾಡು (ನಿಂದ ತುೞಲಾಳ್ಗಳನಾಂ ತಱದು ಒಕ್ಕಲಿಕ್ಕದಿರ್ದೊಡೆ .. .. ನಚ್ಚಿನ ನಿನ್ನ ಲೆಂಕನೇ: ಕಬ್ಬಿಗಕಾ, ೧೮೭)"
ಒಕ್ಕಲಿಗ,"ಬೇಸಾಯ ಮಾಡುವವನು (ಮಲೆ ತಲೆದೋಱದೆಂದುದನೆ ಕೊಟ್ಟುದು ಡಂಗಮಡಂಗಿ ಬಂದುದು ಒಕ್ಕಲಿಗವೆಸರ್ಗೆ ಪೂಣ್ದುದು: ಪಂಪಭಾ, ೨. ೯೦); ರೈತ (ಒರ್ವಂ ಒಕ್ಕಲಿಗಂ ಒಂದು ಪೇಱು ಮಣ್ಣಂ ತಂದು ಶ್ರೀಪರ್ವತದ ಮೇಗೊಟ್ಟಿದೊಡೆ: ವಡ್ಡಾರಾ, ಪು ೧೮೭, ಸಾ ೨೩)"
ಒಕ್ಕಲಿಸು,"ವ್ಯಾಪಿಸು (ದಿವಿಜರ ಕಿವಿಯಂ ಜಕ್ಕುಲಿಸಿ ನೆಗೆದು ಭುವನಮಂ ಒಕ್ಕಲಿಸಿದುದು ಆ ಗಭೀರಭೇರೀ ನಿನಾದಂ: ಕರ್ಣನೇಮಿ , ೧೧. ೮೪)"
ಒಕ್ಕಲ್,"ಮನೆತನ (ಮಲೆಪರ್ ಮಂಡಳಿಕರ್ ಕಱುಂಬರ್ ಅದಟರ್ ವೀರರ್ಕಳುಂ ತಮ್ಮ ಬಾೞ್ದಲೆಯಂ ಬೇಡಿದ ವಸ್ತುವಾಹನಮುಮಂ ಮುಂದಿಟ್ಟು ಮೂವಿಟ್ಟಿಯ ಒಕ್ಕಲವೋಲ್ ಇಂ ಬೆಸಕಯ್ಯೆ ಸಂತಮಿರುತುಂ: ಪಂಪಭಾ, ೯. ೧೦); ಬೇಸಾಯಗಾರ (ಪಿರಿದು ತೆತ್ತ ಒಕ್ಲಂತೇ ಗಂಡನೊಲ್ಲದ ಸ್ತ್ರೀಯಂತೆ: ಧರ್ಮಾಮೃ, ೫. ೮೩ ವ)"
ಒಕ್ಕಳ,"[ಒರ್+ಕಳ] ಒಂದು ಕೊಳಗ (ಉಪ್ಪಿಲ್ಲದೆ ಕೇಳ್ ಒಕ್ಕಳ ತುಪ್ಪವನೆಱೆದುಣ್ಬೆನೆಂಬೊಡೆ ಉಂಬ ಉಣಿಸೇಂ ಸ್ವಾದಪ್ಪುದೇ: ಧರ್ಮಾಮೃ, ೧. ೫೦)"
ಒಕ್ಕು,"ಹೊರಕ್ಕೆ ಸುರಿ (ತಿಸುಳದೊಳ್ ಉಚ್ಚಳಿಪ್ಪ ಪೊಸನೆತ್ತರೆ ಕೆಂದಳಿರಾಗೆ ಕಣ್ಗೆ ಅಗುರ್ವಿಸುವಿನಂ ಒಕ್ಕು ನೇಲ್ವ ಕರುಳೋಳಿಯೆ ಬಾಳಮೃಣಾಳಮಾಗೆ ಮಿಕ್ಕಸುರರ ಮೆಯ್ಯೊಳಾದ ವಿರಹಾಗ್ನಿಯಂ ಆಱಸುತಿಂತೆ ತನ್ನ ಕೂರಸಿಯೊಳ್ ಅಡರ್ತು ಕೊಂದಸಿಯಳ್ ಇರ್ಕೆ ಅಸಿಯೊಳ್ ಪಡೆಮೆಚ್ಚೆ ಗಂಡನಾ: ಪಂಪಭಾ, ೧. ೬); ಬೆಳೆಯಿಂದ ಕಸ ಬೇರ್ಪಡಿಸು, ಒಕ್ಕಣ ಮಾಡು ಹಾಗೂ ಶಕುನ ಹೇಳು (ಒಕ್ಕು ಖಲಕರಣೇ ಶಕುನೇಚ: ಶಬ್ದಮದ, ಧಾ ೧೩)"
ಒಕ್ಕೈಸು,"ಸೇರು, ಒಂದುಗೂಡು (ಉಭಯಕಟದ ಸೊರ್ಕುಕದಡಿನ ತೆರ್ಕೆಗಡಲ್ಗಳ್ ಒಕ್ಕೈಸಿ ಜಗಮನಿಕ್ಕಲೆಂದು : ಅನಂತಪು, ೧೨. ೩೦ ವ)"
ಒಖ್ಖಾಣಿಸು,"ವ್ಯಾಖ್ಯಾನಿಸು (ಕವಿಮಾರ್ಗದೊಳ್ ಒಖ್ಖಾಣಿಪ ಠವಣಿಪ ಕಮ್ಮೈಸುವ ಎಡೆಯೊಳ್ ವಖ್ಖಾಣಿಸಲುಂ ಠವಣಿಸಲುಂ ಕಮ್ಮೈಸಲುಂ ಇವನಂತಾರ್ ಬಲ್ಲರ್ ಎನಿಸಿದಂ ಕವಿರತ್ನಂ: ಅಜಿತಪು, ೧. ೮೨)"
